"Date","AMGN","Price"
2008-10-03,33,58.89
2008-10-10,35,48.58
2008-10-17,29,50.19
2008-10-24,39,57.17
2008-10-31,33,59.89
2008-11-07,21,58.87
2008-11-14,25,58.23
2008-11-21,25,54.9
2008-11-28,17,55.54
2008-12-05,23,57.4
2008-12-12,18,58.13
2008-12-19,17,57.83
2008-12-26,12,57.36
2009-01-02,14,58.99
2009-01-09,24,57.78
2009-01-16,13,57.52
2009-01-23,10,53.19
2009-01-30,29,54.85
2009-02-06,18,58.03
2009-02-13,19,57.9
2009-02-20,15,56.69
2009-02-27,16,48.93
2009-03-06,14,46.38
2009-03-13,15,51.25
2009-03-20,24,48.62
2009-03-27,15,51.65
2009-04-03,22,46.57
2009-04-17,17,47.07
2009-04-24,21,49.83
2009-05-01,21,48.61
2009-05-08,17,47.2
2009-05-15,16,48.16
2009-05-22,16,49.3
2009-05-29,17,49.94
2009-06-05,16,50.89
2009-06-12,15,50.4
2009-06-19,20,52.34
2009-06-26,9,52.8
2009-07-10,43,57.81
2009-07-17,23,58.79
2009-07-24,17,60.92
2009-07-31,38,62.31
2009-08-07,26,60.49
2009-08-14,30,60.85
2009-08-21,19,60.64
2009-08-28,13,59.61
2009-09-04,15,58.95
2009-09-11,11,58.54
2009-09-18,13,60.8
2009-09-25,11,60.27
2009-10-02,16,58.58
2009-10-09,8,59.42
2009-10-16,13,61.32
2009-10-23,26,56.17
2009-10-30,10,53.62
2009-11-06,13,54.69
2009-11-13,11,55.41
2009-11-20,7,55.38
2009-11-27,9,56.5
2009-12-04,10,56.85
2009-12-11,8,56.31
2009-12-18,7,55.8
2010-01-08,16,56.77
2010-01-15,12,56.25
2010-01-22,13,56.6
2010-01-29,15,58.48
2010-02-05,9,57.68
2010-02-12,12,56.48
2010-02-19,11,57.38
2010-02-26,7,56.61
2010-03-05,6,57.24
2010-03-12,5,57.43
2010-03-19,13,60
2010-03-26,12,59.41
2010-04-09,9,60.9
2010-04-16,9,60.72
2010-04-23,13,58.88
2010-04-30,12,57.31
2010-05-07,10,54.46
2010-05-14,10,54.69
2010-05-21,8,52.44
2010-05-28,10,51.78
2010-06-04,24,54.34
2010-06-11,11,54.1
2010-06-18,7,55.2
2010-06-25,10,56.26
2010-07-02,9,51.7
2010-07-09,10,52.56
2010-07-16,11,52.17
2010-07-23,16,52.75
2010-07-30,14,54.53
2010-08-06,12,55.94
2010-08-13,10,55.02
2010-08-20,11,52.34
2010-08-27,9,52.08
2010-09-03,13,52.91
2010-09-10,7,54.35
2010-09-17,11,55.22
2010-09-24,9,56.32
2010-10-01,11,55.51
2010-10-08,13,56.39
2010-10-15,10,56.71
2010-10-22,12,57.55
2010-10-29,14,57.19
2010-11-05,8,55.42
2010-11-12,8,54.47
2010-11-19,20,55
2010-11-26,9,53.56
2010-12-03,8,53.73
2010-12-10,9,53.89
2010-12-17,17,57.42
2010-12-31,10,54.9
2011-01-07,12,56.98
2011-01-14,8,56.5
2011-01-21,7,56.97
2011-01-28,9,55.29
2011-02-04,11,55.2
2011-02-11,12,53.74
2011-02-18,11,52.24
2011-02-25,9,52.26
2011-03-04,7,52.32
2011-03-11,8,53.53
2011-03-18,9,52.94
2011-03-25,8,53.15
2011-04-01,5,53.08
2011-04-08,5,53.9
2011-04-15,10,55.51
2011-04-29,9,56.85
2011-05-06,12,57.63
2011-05-13,9,60.47
2011-05-20,11,60.86
2011-05-27,7,59.35
2011-06-03,8,58.69
2011-06-10,8,57.99
2011-06-17,8,58.01
2011-06-24,9,57.04
2011-07-01,8,58.28
2011-07-08,4,57.64
2011-07-15,7,55.05
2011-07-22,6,55.22
2011-07-29,11,54.7
2011-08-05,7,52.12
2011-08-12,10,50
2011-08-19,6,51.98
2011-08-26,8,54.08
2011-09-02,8,54.1
2011-09-09,8,54.04
2011-09-16,6,56.71
2011-09-23,8,55.1
2011-09-30,5,54.96
2011-10-07,4,56.27
2011-10-14,6,57.49
2011-10-21,7,58.59
2011-10-28,12,57.24
2011-11-04,9,55.17
2011-11-11,8,57.86
2011-11-18,6,55.57
2011-11-25,5,54.65
2011-12-02,8,58.1
2011-12-09,12,58.59
2011-12-16,5,60.05
2011-12-23,14,63.69
2011-12-30,9,64.21
2012-01-06,10,64.76
2012-01-13,9,67.6
2012-01-20,9,69.57
2012-01-27,13,68.34
2012-02-03,9,69.28
2012-02-10,12,67.36
2012-02-17,7,67.78
2012-02-24,6,67.73
2012-03-02,5,67.73
2012-03-09,5,68.01
2012-03-16,5,67.38
2012-03-23,3,66.66
2012-03-30,8,67.97
2012-04-13,3,65.59
2012-04-20,4,68.47
2012-04-27,9,71.64
2012-05-04,8,69.77
2012-05-11,6,70.78
2012-05-18,6,69.15
2012-05-25,7,69.05
2012-06-01,5,67.75
2012-06-08,6,68.87
2012-06-15,5,71.29
2012-06-22,10,72.46
2012-06-29,8,72.91
2012-07-06,6,73.85
2012-07-13,8,76.96
2012-07-20,11,77.77
2012-07-27,17,83.92
2012-08-03,13,82.21
2012-08-10,9,82.73
2012-08-17,11,83.38
2012-08-24,9,84.59
2012-08-31,8,83.92
2012-09-07,5,83.96
2012-09-14,5,81.36
2012-09-21,7,82.03
2012-09-28,10,84.29
2012-10-05,7,86.94
2012-10-12,7,84
2012-10-19,8,87.16
2012-10-26,10,87.63
2012-11-02,3,86.45
2012-11-09,6,85.17
2012-11-16,9,84.54
2012-11-23,6,87.6
2012-11-30,7,88.8
2012-12-07,8,88.32
2012-12-14,7,89.2
2012-12-21,8,87.16
2012-12-28,6,85.24
2013-01-04,6,88.98
2013-01-11,8,86.96
2013-01-18,8,82.08
2013-01-25,8,83.42
2013-02-01,8,86.3
2013-02-08,7,86.77
2013-02-15,6,83.61
2013-02-22,6,86.82
2013-03-01,11,92.58
2013-03-08,11,93
2013-03-15,8,91.81
2013-03-22,8,96.56
2013-04-05,16,104.04
2013-04-12,12,111.57
2013-04-19,12,111.38
2013-04-26,20,108.38
2013-05-03,14,106.48
2013-05-10,13,106.72
2013-05-17,10,105.63
2013-05-24,9,105.91
2013-05-31,11,100.53
2013-06-07,11,98.81
2013-06-14,10,97.42
2013-06-21,11,98.28
2013-06-28,12,98.66
2013-07-05,11,97.64
2013-07-12,13,104.27
2013-07-19,14,109.39
2013-07-26,13,109.6
2013-08-02,20,109.06
2013-08-09,17,109.63
2013-08-16,12,104.91
2013-08-23,10,105.6
2013-08-30,25,108.94
2013-09-06,11,111.01
2013-09-13,12,115.06
2013-09-20,11,116.85
2013-09-27,10,113.19
2013-10-04,11,112.91
2013-10-11,11,110.89
2013-10-18,10,114.92
2013-10-25,18,116.32
2013-11-01,9,118.69
2013-11-08,9,113.21
2013-11-15,10,114.98
2013-11-22,13,113.03
2013-11-29,9,114.08
2013-12-06,8,114.12
2013-12-13,6,112.16
2013-12-20,9,114.03
2013-12-27,6,115.12
2014-01-03,6,114.47
2014-01-10,10,117.99
2014-01-17,11,119.15
2014-01-24,13,119.29
2014-01-31,16,118.95
2014-02-07,10,118.9
2014-02-14,13,123.84
2014-02-21,9,123.85
2014-02-28,9,124.02
2014-03-07,10,122.26
2014-03-14,10,122.54
2014-03-21,11,122.93
2014-03-28,14,120.55
2014-04-04,11,119.11
2014-04-11,14,111.94
2014-04-25,20,111.41
