"Date","sell.KEY","Price"
2009-09-25,59,6.24
2009-10-02,53,6.17
2009-10-09,32,6.19
2009-10-16,39,6.45
2009-10-23,38,6.48
2009-10-30,61,5.39
2009-11-06,48,5.73
2009-11-13,37,5.59
2009-11-20,40,5.73
2009-11-27,59,5.57
2009-12-04,62,6.16
2009-12-11,52,6.07
2009-12-18,43,5.56
2010-01-08,58,6.5
2010-01-15,40,6.88
2010-01-22,61,7.25
2010-01-29,36,7.18
2010-02-05,62,6.89
2010-02-12,74,6.79
2010-02-19,63,6.79
2010-02-26,49,7.15
2010-03-05,66,7.25
2010-03-12,52,7.55
2010-03-19,54,7.6
2010-03-26,77,7.86
2010-04-09,38,8.35
2010-04-16,65,8
2010-04-23,52,9.19
2010-04-30,62,9.02
2010-05-07,58,7.88
2010-05-14,40,8.43
2010-05-21,44,7.87
2010-05-28,47,8.02
2010-06-04,59,7.77
2010-06-11,44,8.24
2010-06-18,59,8.37
2010-06-25,52,8.27
2010-07-02,47,7.22
2010-07-09,36,8.35
2010-07-16,64,7.75
2010-07-23,54,8.03
2010-07-30,46,8.46
2010-08-06,58,8.17
2010-08-13,31,7.82
2010-08-20,51,7.64
2010-08-27,56,7.58
2010-09-03,25,8.03
2010-09-10,59,8.22
2010-09-17,57,8.23
2010-09-24,32,7.9
2010-10-01,41,8.11
2010-10-08,39,8.4
2010-10-15,38,8.03
2010-10-22,33,8.3
2010-10-29,40,8.2
2010-11-05,48,8.4
2010-11-12,57,8.02
2010-11-19,66,7.66
2010-11-26,45,7.48
2010-12-03,33,8.2
2010-12-10,52,8.38
2010-12-17,64,8.42
2010-12-31,67,8.85
2011-01-07,54,8.73
2011-01-14,45,8.77
2011-01-21,64,8.78
2011-01-28,65,8.79
2011-02-04,47,9.45
2011-02-11,51,9.54
2011-02-18,34,9.53
2011-02-25,47,9.29
2011-03-04,47,9.26
2011-03-11,53,9.08
2011-03-18,48,8.92
2011-03-25,37,8.72
2011-04-01,60,8.95
2011-04-08,45,8.87
2011-04-15,46,8.82
2011-04-29,46,8.67
2011-05-06,55,8.53
2011-05-13,55,8.27
2011-05-20,56,8.4
2011-05-27,55,8.45
2011-06-03,75,8.06
2011-06-10,43,8.01
2011-06-17,42,8.3
2011-06-24,54,7.93
2011-07-01,53,8.44
2011-07-08,45,8.26
2011-07-15,64,7.93
2011-07-22,57,8.41
2011-07-29,56,8.04
2011-08-05,51,7.25
2011-08-12,50,6.43
2011-08-19,51,6.01
2011-08-26,49,6.42
2011-09-02,41,6.24
2011-09-09,61,6.12
2011-09-16,50,6.53
2011-09-23,51,5.71
2011-09-30,54,5.93
2011-10-07,56,6.16
2011-10-14,57,6.51
2011-10-21,51,6.95
2011-10-28,60,7.33
2011-11-04,43,7.33
2011-11-11,52,7.47
2011-11-18,58,7.08
2011-11-25,75,6.67
2011-12-02,52,7.2
2011-12-09,61,7.38
2011-12-16,63,7.18
2011-12-23,76,7.78
2011-12-30,59,7.69
2012-01-06,64,7.98
2012-01-13,52,8.32
2012-01-20,50,8.3
2012-01-27,54,8.01
2012-02-03,63,8.24
2012-02-10,62,7.94
2012-02-17,50,8.12
2012-02-24,66,8.06
2012-03-02,66,7.98
2012-03-09,60,8.02
2012-03-16,58,8.54
2012-03-23,53,8.36
2012-03-30,45,8.5
2012-04-13,59,7.97
2012-04-20,74,7.87
2012-04-27,61,8.11
2012-05-04,52,7.82
2012-05-11,58,7.89
2012-05-18,57,7.41
2012-05-25,47,7.5
2012-06-01,56,7.14
2012-06-08,66,7.28
2012-06-15,70,7.43
2012-06-22,60,7.62
2012-06-29,48,7.74
2012-07-06,51,7.7
2012-07-13,57,7.85
2012-07-20,53,7.89
2012-07-27,66,8.18
2012-08-03,56,8.24
2012-08-10,61,8.34
2012-08-17,72,8.36
2012-08-24,49,8.35
2012-08-31,61,8.43
2012-09-07,67,8.61
2012-09-14,70,9.04
2012-09-21,46,8.91
2012-09-28,59,8.74
2012-10-05,48,8.88
2012-10-12,54,8.33
2012-10-19,65,8.74
2012-10-26,67,8.39
2012-11-02,41,8.37
2012-11-09,64,8.29
2012-11-16,54,8.03
2012-11-23,50,8.45
2012-11-30,51,8.08
2012-12-07,65,8.11
2012-12-14,70,8.14
2012-12-21,63,8.44
2012-12-28,54,8.35
2013-01-04,57,8.95
2013-01-11,61,8.84
2013-01-18,50,9.28
2013-01-25,54,9.29
2013-02-01,52,9.47
2013-02-08,71,9.57
2013-02-15,52,9.48
2013-02-22,65,9.51
2013-03-01,48,9.33
2013-03-08,64,9.86
2013-03-15,58,10.11
2013-03-22,59,10.05
2013-04-05,58,9.66
2013-04-12,50,9.84
2013-04-19,50,9.41
2013-04-26,64,9.8
2013-05-03,38,10.03
2013-05-10,57,10.3
2013-05-17,66,10.8
2013-05-24,60,10.66
2013-05-31,58,10.78
2013-06-07,54,10.86
2013-06-14,62,10.41
2013-06-21,54,10.54
2013-06-28,53,11.04
2013-07-05,67,12
2013-07-12,57,11.79
2013-07-19,64,12.04
2013-07-26,49,12.4
2013-08-02,79,12.55
2013-08-09,69,12.23
2013-08-16,60,12.16
2013-08-23,73,12.2
2013-08-30,75,11.67
2013-09-06,66,11.9
2013-09-13,69,11.97
2013-09-20,65,11.57
2013-09-27,73,11.36
2013-10-04,52,11.64
2013-10-11,83,11.88
2013-10-18,67,12.6
2013-10-25,67,12.69
2013-11-01,81,12.54
2013-11-08,63,13.02
2013-11-15,61,12.85
2013-11-22,88,12.98
2013-11-29,65,12.75
2013-12-06,66,12.95
2013-12-13,69,13.04
2013-12-20,85,13.32
2013-12-27,63,13.4
2014-01-03,55,13.32
2014-01-10,83,13.63
2014-01-17,60,13.54
2014-01-24,61,12.93
2014-01-31,56,12.76
2014-02-07,65,12.74
2014-02-14,74,12.92
2014-02-21,76,12.85
2014-02-28,65,13.17
2014-03-07,77,13.9
2014-03-14,59,13.79
2014-03-21,82,14.36
2014-03-28,71,14.14
2014-04-04,58,14.21
2014-04-11,63,13.18
2014-04-25,67,13.54
