"Date","Illinois.Tool.Works","Price"
2013-09-20,12,76.49
2013-09-27,15,76.73
2013-10-04,18,75.34
2013-10-11,12,76.93
2013-10-18,17,77.42
2013-10-25,17,78.55
2013-11-01,13,78.98
2013-11-08,12,79.08
2013-11-15,11,79.65
2013-11-22,17,79.5
2013-11-29,18,79.58
2013-12-06,14,80.49
2013-12-13,12,78.95
2013-12-20,14,81.87
2013-12-27,11,83.59
2014-01-03,11,83.74
2014-01-10,12,82.47
2014-01-17,16,82.66
2014-01-24,16,79.21
2014-01-31,17,78.87
2014-02-07,25,79.68
2014-02-14,15,78.59
2014-02-21,17,81.48
2014-02-28,13,82.5
2014-03-07,13,82.78
2014-03-14,13,80.29
2014-03-21,17,80.76
2014-03-28,13,80.76
2014-04-04,12,83.57
2014-04-11,17,81.27
2014-04-25,13,84.47
