"Date","The.Hershey.Company","Price"
2013-07-05,29,90.02
2013-07-12,40,91.69
2013-07-19,20,92.67
2013-07-26,37,94.46
2013-08-02,35,97.23
2013-08-09,40,97.55
2013-08-16,31,95.17
2013-08-23,30,95.47
2013-08-30,31,91.95
2013-09-06,40,90.74
2013-09-13,51,91.58
2013-09-20,45,93.6
2013-09-27,33,93
2013-10-04,49,91.77
2013-10-11,51,93.95
2013-10-18,57,96.03
2013-10-25,47,97.11
2013-11-01,42,99.21
2013-11-08,42,97.55
2013-11-15,57,98.56
2013-11-22,45,96.29
2013-11-29,22,96.89
2013-12-06,32,97.16
2013-12-13,43,94.84
2013-12-20,40,96.3
2013-12-27,42,96.28
2014-01-03,43,95.81
2014-01-10,44,97.86
2014-01-17,36,98.58
2014-01-24,36,98.12
2014-01-31,53,99.4
2014-02-07,36,100.38
2014-02-14,44,105.28
2014-02-21,44,107.7
2014-02-28,53,105.82
2014-03-07,47,105.64
2014-03-14,28,106.2
2014-03-21,45,104.84
2014-03-28,60,103.24
2014-04-04,42,102.97
2014-04-11,38,98.32
2014-04-25,58,96.36
