"Date","DVN","Price"
2012-12-21,23,53.46
2012-12-28,19,51.15
2013-01-04,24,54.58
2013-01-11,21,54.26
2013-01-18,22,54.28
2013-01-25,27,54.98
2013-02-01,29,58.02
2013-02-08,28,60.42
2013-02-15,26,59.25
2013-02-22,28,54.98
2013-03-01,24,53.88
2013-03-08,26,56.24
2013-03-15,26,58.06
2013-03-22,25,57.31
2013-04-05,27,54
2013-04-12,23,55.05
2013-04-19,27,51.44
2013-04-26,24,53.61
2013-05-03,21,58.15
2013-05-10,23,59.18
2013-05-17,26,58.79
2013-05-24,24,57.84
2013-05-31,24,56.85
2013-06-07,21,56.85
2013-06-14,27,54.32
2013-06-21,27,53.43
2013-06-28,29,51.88
2013-07-05,20,54.56
2013-07-12,25,55.65
2013-07-19,26,57.89
2013-07-26,23,55.84
2013-08-02,21,55.96
2013-08-09,35,58.5
2013-08-16,26,57.38
2013-08-23,21,58.13
2013-08-30,27,57.09
2013-09-06,27,58.38
2013-09-13,24,58.39
2013-09-20,21,59.54
2013-09-27,27,58.71
2013-10-04,31,58.92
2013-10-11,23,60.8
2013-10-18,27,63.21
2013-10-25,29,64.54
2013-11-01,26,63.66
2013-11-08,27,60.11
2013-11-15,25,60.48
2013-11-22,36,62.57
2013-11-29,26,60.62
2013-12-06,20,60.48
2013-12-13,23,59.22
2013-12-20,28,60.94
2013-12-27,23,61.69
2014-01-03,22,61.03
2014-01-10,20,60.53
2014-01-17,25,59.01
2014-01-24,27,59.52
2014-01-31,24,59.22
2014-02-07,25,61.02
2014-02-14,29,62.05
2014-02-21,33,63.67
2014-02-28,23,64.42
2014-03-07,23,65.13
2014-03-14,26,62.74
2014-03-21,29,64.09
2014-03-28,24,65.79
2014-04-04,26,68.01
2014-04-11,24,67.55
2014-04-25,28,70.4
