"Date","buy.ALL","Price"
2008-05-09,49,49.38
2008-05-16,53,50.07
2008-05-23,46,49.92
2008-05-30,51,50.94
2008-06-06,50,50.03
2008-06-13,53,49.89
2008-06-20,56,47.89
2008-06-27,57,46.52
2008-07-11,63,44.15
2008-07-18,65,45.09
2008-07-25,67,45.58
2008-08-01,63,45.96
2008-08-08,64,46.69
2008-08-15,63,46.19
2008-08-22,64,46.14
2008-08-29,64,45.13
2008-09-05,51,45.08
2008-09-12,57,45.23
2008-09-19,53,47.54
2008-09-26,59,46.33
2008-10-03,56,42.48
2008-10-10,55,26.96
2008-10-17,54,31.58
2008-10-24,54,25.53
2008-10-31,54,26.39
2008-11-07,58,26.89
2008-11-14,54,27.07
2008-11-21,62,21.52
2008-11-28,75,25.44
2008-12-05,67,27.03
2008-12-12,67,27.16
2008-12-19,65,31.86
2008-12-26,76,30.84
2009-01-02,75,33.26
2009-01-09,63,30.06
2009-01-16,56,28.77
2009-01-23,60,26.63
2009-01-30,60,21.67
2009-02-06,63,22.7
2009-02-13,54,21.23
2009-02-20,67,18.44
2009-02-27,57,16.83
2009-03-06,58,14.55
2009-03-13,63,16.82
2009-03-20,52,18.59
2009-03-27,58,20.4
2009-04-03,62,21.26
2009-04-17,59,23.42
2009-04-24,60,22.31
2009-05-01,65,23.1
2009-05-08,61,26.12
2009-05-15,57,24.3
2009-05-22,63,26.27
2009-05-29,61,25.73
2009-06-05,60,25.05
2009-06-12,69,24.85
2009-06-19,62,24.07
2009-06-26,61,24.16
2009-07-10,60,23.08
2009-07-17,75,24.24
2009-07-24,73,26.4
2009-07-31,75,26.91
2009-08-07,72,27.79
2009-08-14,68,28.55
2009-08-21,69,28.63
2009-08-28,62,29.26
2009-09-04,60,28.85
2009-09-11,59,28.92
2009-09-18,65,30.64
2009-09-25,63,29.13
2009-10-02,68,30.76
2009-10-09,68,31.92
2009-10-16,67,31.67
2009-10-23,69,31.5
2009-10-30,64,29.57
2009-11-06,64,28.93
2009-11-13,62,28.91
2009-11-20,68,29.12
2009-11-27,85,28.27
2009-12-04,79,28.6
2009-12-11,83,28.63
2009-12-18,76,28.82
2010-01-08,67,31.21
2010-01-15,68,30.91
2010-01-22,76,29.98
2010-01-29,70,29.93
2010-02-05,68,28.91
2010-02-12,64,29.53
2010-02-19,67,31.22
2010-02-26,67,31.25
2010-03-05,65,32.14
2010-03-12,65,31.47
2010-03-19,64,31.26
2010-03-26,66,32.2
2010-04-09,75,32.97
2010-04-16,67,33.85
2010-04-23,67,35.19
2010-04-30,69,32.67
2010-05-07,68,31.8
2010-05-14,70,31.87
2010-05-21,75,30.54
2010-05-28,75,30.63
2010-06-04,73,28.94
2010-06-11,72,29.98
2010-06-18,71,30.54
2010-06-25,69,30.83
2010-07-02,79,28.28
2010-07-09,75,29.44
2010-07-16,80,27.83
2010-07-23,77,28.28
2010-07-30,83,28.24
2010-08-06,77,28.98
2010-08-13,70,28.1
2010-08-20,72,27.75
2010-08-27,76,27.99
2010-09-03,66,29.42
2010-09-10,71,29.87
2010-09-17,74,30.99
2010-09-24,69,31.6
2010-10-01,76,31.57
2010-10-08,71,32.42
2010-10-15,66,32.43
2010-10-22,65,32.79
2010-10-29,69,30.49
2010-11-05,71,31.27
2010-11-12,81,30.18
2010-11-19,77,30.33
2010-11-26,90,29.33
2010-12-03,91,30.31
2010-12-10,90,30.94
2010-12-17,93,31.31
2010-12-31,98,31.88
2011-01-07,85,31.29
2011-01-14,84,30.71
2011-01-21,79,31.35
2011-01-28,81,31.15
2011-02-04,75,31.35
2011-02-11,78,31.39
2011-02-18,75,32.11
2011-02-25,74,31.48
2011-03-04,72,31.71
2011-03-11,79,31.99
2011-03-18,69,31.15
2011-03-25,77,31.46
2011-04-01,74,31.45
2011-04-08,76,31.4
2011-04-15,73,31.41
2011-04-29,82,33.84
2011-05-06,71,33.43
2011-05-13,76,32.38
2011-05-20,74,32.01
2011-05-27,76,31.24
2011-06-03,77,30.67
2011-06-10,76,29.65
2011-06-17,78,29.65
2011-06-24,80,29.43
2011-07-01,77,30.9
2011-07-08,78,30.54
2011-07-15,83,29.47
2011-07-22,80,28.69
2011-07-29,83,27.72
2011-08-05,85,26.29
2011-08-12,89,25.12
2011-08-19,86,24.36
2011-08-26,83,24.45
2011-09-02,77,24.96
2011-09-09,78,24.81
2011-09-16,75,24.94
2011-09-23,79,22.77
2011-09-30,74,23.69
2011-10-07,73,23.72
2011-10-14,73,24.96
2011-10-21,78,26.9
2011-10-28,70,27.16
2011-11-04,71,25.9
2011-11-11,83,26.64
2011-11-18,85,25.98
2011-11-25,92,24.7
2011-12-02,91,26.68
2011-12-09,84,26.93
2011-12-16,93,26.44
2011-12-23,100,27.62
2011-12-30,98,27.41
2012-01-06,89,28.02
2012-01-13,81,28.98
2012-01-20,82,29.83
2012-01-27,82,29.09
2012-02-03,78,30.69
2012-02-10,86,30.97
2012-02-17,81,31.39
2012-02-24,85,31.36
2012-03-02,81,31.24
2012-03-09,83,31.66
2012-03-16,74,32.68
2012-03-23,76,32.51
2012-03-30,79,32.92
2012-04-13,72,32.3
2012-04-20,69,32.65
2012-04-27,74,33.55
2012-05-04,76,34.2
2012-05-11,69,34.83
2012-05-18,66,32.75
2012-05-25,69,33.57
2012-06-01,71,33.07
2012-06-08,73,34.31
2012-06-15,71,34.15
2012-06-22,80,34.08
2012-06-29,79,35.09
2012-07-06,76,34.79
2012-07-13,83,33.87
2012-07-20,77,34.41
2012-07-27,81,34.73
2012-08-03,84,37.04
2012-08-10,83,37.98
2012-08-17,86,37.86
2012-08-24,83,37.76
2012-08-31,79,37.28
2012-09-07,83,38.48
2012-09-14,72,39.86
2012-09-21,76,40.43
2012-09-28,72,39.61
2012-10-05,74,40.98
2012-10-12,76,40.61
2012-10-19,73,42.01
2012-10-26,77,40.15
2012-11-02,73,38.56
2012-11-09,76,38.73
2012-11-16,84,38.92
2012-11-23,92,40.74
2012-11-30,95,40.48
2012-12-07,86,41.48
2012-12-14,94,40.18
2012-12-21,92,40.31
2012-12-28,96,39.86
2013-01-04,87,42.2
2013-01-11,80,42.96
2013-01-18,80,43.21
2013-01-25,80,43.91
2013-02-01,73,44.84
2013-02-08,78,45.14
2013-02-15,78,45.85
2013-02-22,82,46.74
2013-03-01,78,46.35
2013-03-08,76,47.42
2013-03-15,73,47.98
2013-03-22,74,48.22
2013-04-05,73,49.32
2013-04-12,76,50.35
2013-04-19,73,48.97
2013-04-26,71,49.09
2013-05-03,75,48.69
2013-05-10,73,49.39
2013-05-17,68,50
2013-05-24,68,48.73
2013-05-31,74,48.24
2013-06-07,74,47.46
2013-06-14,75,46.87
2013-06-21,70,47.23
2013-06-28,73,48.12
2013-07-05,76,49.13
2013-07-12,79,51.11
2013-07-19,81,52.1
2013-07-26,81,51.52
2013-08-02,78,52.15
2013-08-09,79,50.66
2013-08-16,81,49.39
2013-08-23,75,49.27
2013-08-30,75,47.92
2013-09-06,73,48.4
2013-09-13,71,50.06
2013-09-20,75,52
2013-09-27,77,51.07
2013-10-04,76,52.35
2013-10-11,74,52.52
2013-10-18,81,53.87
2013-10-25,78,53.35
2013-11-01,74,53.28
2013-11-08,78,54.12
2013-11-15,84,54.7
2013-11-22,84,54.71
2013-11-29,95,54.27
2013-12-06,90,54.32
2013-12-13,90,52.81
2013-12-20,93,53.77
2013-12-27,97,53.65
2014-01-03,94,53.33
2014-01-10,79,54.09
2014-01-17,80,52.9
2014-01-24,79,50.62
2014-01-31,77,51.2
2014-02-07,77,52.76
2014-02-14,82,52.96
2014-02-21,80,53.86
2014-02-28,78,54.26
2014-03-07,80,55.71
2014-03-14,75,55.13
2014-03-21,72,56.06
2014-03-28,76,55.8
2014-04-04,78,56.41
2014-04-11,80,55.29
2014-04-25,73,56.11
