"Date","F5.Networks","Price"
2010-02-12,49,53.35
2010-02-19,52,54.94
2010-02-26,42,55.8
2010-03-05,30,61.22
2010-03-12,35,63.1
2010-03-19,60,61.75
2010-03-26,52,62.56
2010-04-09,34,64.76
2010-04-16,35,66.25
2010-04-23,45,71.28
2010-04-30,30,68.43
2010-05-07,37,63.33
2010-05-14,46,70
2010-05-21,37,66.9
2010-05-28,39,70.33
2010-06-04,28,69.01
2010-06-11,28,69.95
2010-06-18,42,73.81
2010-06-25,38,71.89
2010-07-02,22,68.65
2010-07-09,32,75.23
2010-07-16,40,76.37
2010-07-23,44,87.21
2010-07-30,38,87.83
2010-08-06,52,88.48
2010-08-13,45,83.88
2010-08-20,37,91.04
2010-08-27,46,89.02
2010-09-03,38,93.8
2010-09-10,46,94.15
2010-09-17,35,100.98
2010-09-24,30,103.07
2010-10-01,36,103.29
2010-10-08,52,94.69
2010-10-15,39,97.2
2010-10-22,38,98.45
2010-10-29,46,117.7
2010-11-05,42,123
2010-11-12,37,123.86
2010-11-19,45,122.69
2010-11-26,48,135.04
2010-12-03,45,139.28
2010-12-10,41,143.09
2010-12-17,73,136.01
2010-12-31,21,130.16
2011-01-07,38,138.35
2011-01-14,39,144.17
2011-01-21,100,109.97
2011-01-28,66,109.58
2011-02-04,46,123.64
2011-02-11,39,126.62
2011-02-18,40,120.85
2011-02-25,40,120.18
2011-03-04,40,113.82
2011-03-11,42,111
2011-03-18,43,96.92
2011-03-25,41,95.67
2011-04-01,66,93.56
2011-04-08,45,95.18
2011-04-15,39,94.69
2011-04-29,34,101.36
2011-05-06,47,100.9
2011-05-13,39,104.64
2011-05-20,43,106.96
2011-05-27,45,112.85
2011-06-03,36,109.7
2011-06-10,41,105.39
2011-06-17,47,97.2
2011-06-24,33,106.1
2011-07-01,29,113.16
2011-07-08,32,116.42
2011-07-15,37,113.94
2011-07-22,45,101.2
2011-07-29,45,93.48
2011-08-05,48,82.94
2011-08-12,37,81.9
2011-08-19,40,69.32
2011-08-26,37,75.49
2011-09-02,31,76.31
2011-09-09,28,74.6
2011-09-16,37,83.72
2011-09-23,39,74.38
2011-09-30,47,71.05
2011-10-07,52,85.01
2011-10-14,44,90.07
2011-10-21,27,88.92
2011-10-28,45,107.63
2011-11-04,46,109.62
2011-11-11,34,111.19
2011-11-18,43,106.19
2011-11-25,25,97.62
2011-12-02,37,112.42
2011-12-09,36,114.74
2011-12-16,31,104.83
2011-12-23,32,106.39
2011-12-30,22,106.12
2012-01-06,32,106.72
2012-01-13,44,106.78
2012-01-20,42,120.27
2012-01-27,39,120.16
2012-02-03,43,124.77
2012-02-10,38,124.01
2012-02-17,36,124.92
2012-02-24,44,127.48
2012-03-02,48,127.01
2012-03-09,38,125.61
2012-03-16,33,131.91
2012-03-23,32,132.13
2012-03-30,32,134.96
2012-04-13,27,122.12
2012-04-20,41,131.63
2012-04-27,25,136.11
2012-05-04,32,131.9
2012-05-11,28,125.91
2012-05-18,34,112.71
2012-05-25,32,109.04
2012-06-01,28,97.31
2012-06-08,35,102.4
2012-06-15,27,102.16
2012-06-22,33,99.3
2012-06-29,31,99.56
2012-07-06,32,94.49
2012-07-13,32,91.39
2012-07-20,31,96.1
2012-07-27,43,97.75
2012-08-03,22,92.78
2012-08-10,36,102.23
2012-08-17,31,103.56
2012-08-24,30,98.65
2012-08-31,29,97.49
2012-09-07,27,100.27
2012-09-14,30,103.67
2012-09-21,42,107.88
2012-09-28,31,104.64
2012-10-05,33,103.43
2012-10-12,26,97.27
2012-10-19,31,95.84
2012-10-26,45,81.78
2012-11-02,29,82.59
2012-11-09,24,87.93
2012-11-16,29,86.64
2012-11-23,29,92.16
2012-11-30,31,93.68
2012-12-07,28,92.37
2012-12-14,24,90.41
2012-12-21,24,97.46
2012-12-28,14,96.14
2013-01-04,25,97.53
2013-01-11,27,97.89
2013-01-18,26,96.89
2013-01-25,29,105.43
2013-02-01,31,105.96
2013-02-08,32,105.25
2013-02-15,36,101.72
2013-02-22,30,101.06
2013-03-01,36,93.58
2013-03-08,39,94.01
2013-03-15,33,90.91
2013-03-22,33,87.01
2013-04-05,40,73.21
2013-04-12,29,74.98
2013-04-19,35,71.38
2013-04-26,33,74.2
2013-05-03,23,75.37
2013-05-10,24,79.99
2013-05-17,31,82.63
2013-05-24,30,81.56
2013-05-31,32,83.21
2013-06-07,27,78.07
2013-06-14,31,73.99
2013-06-21,39,70.92
2013-06-28,30,68.8
2013-07-05,22,69.19
2013-07-12,19,79.79
2013-07-19,46,80.29
2013-07-26,39,87.65
2013-08-02,30,88.45
2013-08-09,31,89.88
2013-08-16,34,87.49
2013-08-23,31,87.1
2013-08-30,29,83.38
2013-09-06,24,86.88
2013-09-13,38,92.01
2013-09-20,31,93.62
2013-09-27,35,86.8
2013-10-04,37,91.54
2013-10-11,37,90.5
2013-10-18,37,87.81
2013-10-25,39,82.71
2013-11-01,36,79.43
2013-11-08,34,82.02
2013-11-15,34,84.62
2013-11-22,33,82.94
2013-11-29,30,82.26
2013-12-06,26,83.59
2013-12-13,29,81.47
2013-12-20,35,88.1
2013-12-27,22,89.22
2014-01-03,20,88.03
2014-01-10,28,88.52
2014-01-17,32,96.92
2014-01-24,40,104.91
2014-01-31,37,107.02
2014-02-07,31,107.28
2014-02-14,37,111.91
2014-02-21,40,110.28
2014-02-28,30,112.34
2014-03-07,32,114.78
2014-03-14,31,107.47
2014-03-21,33,112.83
2014-03-28,28,105.14
2014-04-04,38,104.44
2014-04-11,33,103.01
2014-04-25,31,103.52
