"Date","MSFT","Price"
2006-02-24,37,26.63
2006-03-03,45,26.93
2006-03-10,43,27.17
2006-03-17,38,27.5
2006-03-24,65,27.01
2006-03-31,43,27.21
2006-04-07,42,27.25
2006-04-21,32,27.15
2006-04-28,77,24.15
2006-05-05,100,23.8
2006-05-12,65,23.17
2006-05-19,62,22.56
2006-05-26,58,23.72
2006-06-02,56,22.76
2006-06-09,52,21.92
2006-06-16,81,22.1
2006-06-23,47,22.5
2006-06-30,47,23.3
2006-07-07,44,23.3
2006-07-14,54,22.29
2006-07-21,66,23.87
2006-07-28,57,24.25
2006-08-04,50,24.29
2006-08-11,48,24.43
2006-08-18,54,25.79
2006-08-25,54,25.85
2006-09-01,44,25.84
2006-09-08,37,25.6
2006-09-15,43,26.85
2006-09-22,46,26.66
2006-09-29,42,27.35
2006-10-06,54,27.87
2006-10-13,50,28.37
2006-10-20,51,28.43
2006-10-27,56,28.34
2006-11-03,52,28.73
2006-11-10,54,29.24
2006-11-17,53,29.4
2006-11-24,43,29.76
2006-12-01,45,29.12
2006-12-08,44,29.4
2006-12-15,44,30.19
2006-12-22,42,29.64
2006-12-29,38,29.86
2007-01-05,41,29.64
2007-01-12,47,31.21
2007-01-19,45,31.11
2007-01-26,58,30.6
2007-02-02,61,30.19
2007-02-09,46,28.98
2007-02-16,44,28.74
2007-02-23,40,28.9
2007-03-02,48,27.76
2007-03-09,38,27.29
2007-03-16,36,27.33
2007-03-23,32,28.02
2007-03-30,28,27.87
2007-04-13,36,28.61
2007-04-20,37,29.02
2007-04-27,61,30.12
2007-05-04,56,30.56
2007-05-11,42,30.89
2007-05-18,44,30.83
2007-05-25,33,30.48
2007-06-01,32,30.59
2007-06-08,30,30.05
2007-06-15,29,30.49
2007-06-22,26,29.49
2007-06-29,27,29.47
2007-07-06,27,29.97
2007-07-13,31,29.82
2007-07-20,47,31.16
2007-07-27,33,29.39
2007-08-03,32,28.96
2007-08-10,32,28.71
2007-08-17,33,28.25
2007-08-24,28,28.81
2007-08-31,28,28.73
2007-09-07,24,28.44
2007-09-14,26,29.04
2007-09-21,35,28.65
2007-09-28,45,29.46
2007-10-05,35,29.84
2007-10-12,31,30.17
2007-10-19,33,30.17
2007-10-26,81,35.03
2007-11-02,72,37.06
2007-11-09,55,33.73
2007-11-16,39,34.09
2007-11-23,31,34.11
2007-11-30,34,33.6
2007-12-07,31,34.53
2007-12-14,33,35.31
2007-12-21,30,36.06
2007-12-28,27,36.12
2008-01-04,34,34.38
2008-01-11,35,33.91
2008-01-18,35,33.01
2008-01-25,69,32.94
2008-02-01,66,30.45
2008-02-08,60,28.56
2008-02-15,51,28.42
2008-02-22,40,27.68
2008-02-29,41,27.2
2008-03-07,32,27.87
2008-03-14,36,27.96
2008-03-28,28,27.91
2008-04-04,35,29.16
2008-04-11,35,28.28
2008-04-18,33,30
2008-04-25,63,29.83
2008-05-02,51,29.24
2008-05-09,65,29.39
2008-05-16,37,29.99
2008-05-23,35,28.05
2008-05-30,24,28.32
2008-06-06,28,27.49
2008-06-13,34,29.07
2008-06-20,25,28.23
2008-06-27,28,27.63
2008-07-11,31,25.25
2008-07-18,44,25.86
2008-07-25,31,26.16
2008-08-01,31,25.44
2008-08-08,30,28.13
2008-08-15,29,27.81
2008-08-22,22,27.84
2008-08-29,20,27.29
2008-09-05,20,25.65
2008-09-12,26,27.62
2008-09-19,38,25.16
2008-09-26,46,27.4
2008-10-03,49,26.32
2008-10-10,57,21.5
2008-10-17,54,23.93
2008-10-24,49,21.96
2008-10-31,40,22.33
2008-11-07,33,21.5
2008-11-14,34,20.06
2008-11-21,36,19.68
2008-11-28,27,20.22
2008-12-05,28,19.87
2008-12-12,26,19.36
2008-12-19,25,19.12
2008-12-26,19,19.13
2009-01-02,25,20.33
2009-01-09,28,19.52
2009-01-16,29,19.71
2009-01-23,45,17.2
2009-01-30,30,17.1
2009-02-06,28,19.66
2009-02-13,24,19.09
2009-02-20,22,18
2009-02-27,28,16.15
2009-03-06,29,15.28
2009-03-13,30,16.65
2009-03-20,25,17.06
2009-03-27,25,18.13
2009-04-03,31,18.75
2009-04-17,26,19.2
2009-04-24,39,20.91
2009-05-01,27,20.24
2009-05-08,29,19.42
2009-05-15,25,20.22
2009-05-22,21,19.75
2009-05-29,20,20.89
2009-06-05,27,22.14
2009-06-12,22,23.33
2009-06-19,25,24.07
2009-06-26,20,23.35
2009-07-10,22,22.39
2009-07-17,26,24.29
2009-07-24,43,23.45
2009-07-31,41,23.52
2009-08-07,23,23.56
2009-08-14,20,23.69
2009-08-21,17,24.41
2009-08-28,17,24.68
2009-09-04,18,24.62
2009-09-11,16,24.86
2009-09-18,19,25.26
2009-09-25,18,25.55
2009-10-02,17,24.96
2009-10-09,20,25.55
2009-10-16,21,26.5
2009-10-23,38,28.02
2009-10-30,26,27.73
2009-11-06,22,28.52
2009-11-13,21,29.63
2009-11-20,22,29.62
2009-11-27,16,29.22
2009-12-04,17,29.98
2009-12-11,16,29.85
2009-12-18,17,30.36
2010-01-08,19,30.66
2010-01-15,19,30.86
2010-01-22,15,28.96
2010-01-29,23,28.18
2010-02-05,16,28.02
2010-02-12,15,27.93
2010-02-19,15,28.77
2010-02-26,12,28.67
2010-03-05,14,28.59
2010-03-12,14,29.27
2010-03-19,14,29.59
2010-03-26,13,29.66
2010-04-09,15,30.34
2010-04-16,16,30.67
2010-04-23,28,30.96
2010-04-30,16,30.54
2010-05-07,17,28.21
2010-05-14,14,28.93
2010-05-21,14,26.84
2010-05-28,23,25.8
2010-06-04,16,25.79
2010-06-11,15,25.66
2010-06-18,14,26.44
2010-06-25,13,24.53
2010-07-02,17,23.27
2010-07-09,16,24.27
2010-07-16,16,24.89
2010-07-23,26,25.81
2010-07-30,15,25.81
2010-08-06,14,25.55
2010-08-13,13,24.4
2010-08-20,13,24.23
2010-08-27,13,23.93
2010-09-03,15,24.29
2010-09-10,13,23.85
2010-09-17,18,25.22
2010-09-24,17,24.78
2010-10-01,15,24.38
2010-10-08,17,24.57
2010-10-15,19,25.54
2010-10-22,19,25.38
2010-10-29,27,26.67
2010-11-05,23,26.85
2010-11-12,21,26.27
2010-11-19,17,25.69
2010-11-26,9,25.25
2010-12-03,14,27.02
2010-12-10,16,27.34
2010-12-17,15,27.9
2010-12-31,13,27.91
2011-01-07,19,28.6
2011-01-14,15,28.3
2011-01-21,15,28.02
2011-01-28,23,27.75
2011-02-04,13,27.77
2011-02-11,19,27.25
2011-02-18,15,27.06
2011-02-25,12,26.55
2011-03-04,12,25.95
2011-03-11,12,25.68
2011-03-18,12,24.8
2011-03-25,11,25.62
2011-04-01,10,25.48
2011-04-08,13,26.07
2011-04-15,12,25.37
2011-04-29,23,25.92
2011-05-06,13,25.87
2011-05-13,24,25.03
2011-05-20,14,24.49
2011-05-27,13,24.76
2011-06-03,12,23.91
2011-06-10,13,23.71
2011-06-17,11,24.26
2011-06-24,11,24.3
2011-07-01,14,26.02
2011-07-08,13,26.92
2011-07-15,13,26.78
2011-07-22,23,27.53
2011-07-29,18,27.4
2011-08-05,19,25.68
2011-08-12,22,25.1
2011-08-19,15,24.05
2011-08-26,14,25.25
2011-09-02,14,25.8
2011-09-09,11,25.74
2011-09-16,15,27.12
2011-09-23,17,25.06
2011-09-30,13,24.89
2011-10-07,16,26.25
2011-10-14,12,27.27
2011-10-21,17,27.16
2011-10-28,13,26.98
2011-11-04,11,26.25
2011-11-11,10,26.91
2011-11-18,10,25.3
2011-11-25,9,24.3
2011-12-02,11,25.22
2011-12-09,10,25.7
2011-12-16,10,26
2011-12-23,9,26.03
2011-12-30,9,25.96
2012-01-06,13,28.11
2012-01-13,15,28.25
2012-01-20,17,29.71
2012-01-27,16,29.23
2012-02-03,16,30.24
2012-02-10,14,30.5
2012-02-17,14,31.25
2012-02-24,13,31.48
2012-03-02,17,32.08
2012-03-09,12,31.99
2012-03-16,15,32.6
2012-03-23,14,32.01
2012-03-30,12,32.26
2012-04-13,15,30.81
2012-04-20,19,32.42
2012-04-27,16,31.98
2012-05-04,13,30.98
2012-05-11,11,31.16
2012-05-18,13,29.27
2012-05-25,13,29.06
2012-06-01,11,28.45
2012-06-08,13,29.65
2012-06-15,12,30.02
2012-06-22,27,30.7
2012-06-29,15,30.59
2012-07-06,12,30.19
2012-07-13,14,29.39
2012-07-20,22,30.12
2012-07-27,14,29.76
2012-08-03,13,29.75
2012-08-10,12,30.42
2012-08-17,12,30.9
2012-08-24,14,30.56
2012-08-31,14,30.82
2012-09-07,14,30.95
2012-09-14,13,31.21
2012-09-21,14,31.19
2012-09-28,14,29.76
2012-10-05,16,29.85
2012-10-12,14,29.2
2012-10-19,20,28.64
2012-10-26,24,28.21
2012-11-02,19,29.5
2012-11-09,19,28.83
2012-11-16,24,26.52
2012-11-23,15,27.7
2012-11-30,18,26.62
2012-12-07,17,26.46
2012-12-14,17,26.81
2012-12-21,14,27.45
2012-12-28,11,26.55
2013-01-04,18,26.74
2013-01-11,16,26.83
2013-01-18,16,27.25
2013-01-25,26,27.88
2013-02-01,16,27.93
2013-02-08,15,27.55
2013-02-15,15,28.01
2013-02-22,12,27.76
2013-03-01,14,27.95
2013-03-08,15,28
2013-03-15,13,28.04
2013-03-22,12,28.25
2013-04-05,13,28.7
2013-04-12,21,28.79
2013-04-19,20,29.77
2013-04-26,24,31.79
2013-05-03,23,33.49
2013-05-10,20,32.69
2013-05-17,20,34.87
2013-05-24,28,34.27
2013-05-31,15,34.9
2013-06-07,17,35.67
2013-06-14,20,34.4
2013-06-21,17,33.27
2013-06-28,15,34.54
2013-07-05,13,34.21
2013-07-12,18,35.67
2013-07-19,36,31.4
2013-07-26,25,31.62
2013-08-02,17,31.89
2013-08-09,16,32.7
2013-08-16,14,31.8
2013-08-23,37,34.75
2013-08-30,22,33.4
2013-09-06,36,31.15
2013-09-13,20,33.03
2013-09-20,25,32.79
2013-09-27,20,33.27
2013-10-04,19,33.88
2013-10-11,16,34.13
2013-10-18,19,34.96
2013-10-25,29,35.73
2013-11-01,17,35.53
2013-11-08,23,37.78
2013-11-15,19,37.84
2013-11-22,20,37.57
2013-11-29,16,38.13
2013-12-06,20,38.36
2013-12-13,16,36.69
2013-12-20,15,36.8
2013-12-27,13,37.29
2014-01-03,13,36.91
2014-01-10,17,36.04
2014-01-17,16,36.38
2014-01-24,24,36.81
2014-01-31,21,37.84
2014-02-07,28,36.56
2014-02-14,16,37.62
2014-02-21,15,37.98
2014-02-28,15,38.31
2014-03-07,15,37.9
2014-03-14,12,37.7
2014-03-21,21,40.16
2014-03-28,19,40.3
2014-04-04,20,39.87
2014-04-11,18,39.21
2014-04-25,21,39.91
