"Date","buy.PEG","Price"
2012-12-28,34,29.94
2013-01-04,34,31.06
2013-01-11,56,30.12
2013-01-18,29,29.83
2013-01-25,28,30.53
2013-02-01,43,31.17
2013-02-08,37,31.43
2013-02-15,51,31.09
2013-02-22,34,32.16
2013-03-01,38,32.85
2013-03-08,36,32.69
2013-03-15,61,33.28
2013-03-22,57,33.41
2013-04-05,62,34.51
2013-04-12,46,35.06
2013-04-19,52,35.9
2013-04-26,51,36.12
2013-05-03,48,36.29
2013-05-10,46,34.81
2013-05-17,55,35.07
2013-05-24,34,33.89
2013-05-31,69,33.04
2013-06-07,44,32.68
2013-06-14,35,32.63
2013-06-21,40,31.67
2013-06-28,46,32.66
2013-07-05,39,31.66
2013-07-12,39,33.16
2013-07-19,62,34.22
2013-07-26,80,34.32
2013-08-02,46,34.53
2013-08-09,64,33.92
2013-08-16,55,32.58
2013-08-23,48,32.76
2013-08-30,42,32.42
2013-09-06,48,32.16
2013-09-13,42,32.33
2013-09-20,45,33.25
2013-09-27,51,33.02
2013-10-04,49,32.92
2013-10-11,54,33.91
2013-10-18,40,33.91
2013-10-25,44,34.32
2013-11-01,50,33.82
2013-11-08,63,33.51
2013-11-15,48,34.08
2013-11-22,35,33.61
2013-11-29,39,32.69
2013-12-06,40,32.56
2013-12-13,37,31.86
2013-12-20,60,31.75
2013-12-27,47,31.92
2014-01-03,44,31.43
2014-01-10,33,31.88
2014-01-17,41,31.78
2014-01-24,51,33.02
2014-01-31,33,33.34
2014-02-07,33,33.95
2014-02-14,37,34.7
2014-02-21,28,36.58
2014-02-28,41,36.66
2014-03-07,52,35.44
2014-03-14,60,36.65
2014-03-21,50,36.9
2014-03-28,38,37.37
2014-04-04,48,38.47
2014-04-11,55,38.81
2014-04-25,60,40.24
