"Date","Coca.Cola.Enterprises","Price"
2009-11-13,26,20.23
2009-11-20,26,20.42
2009-11-27,21,19.93
2009-12-04,22,19.91
2009-12-11,21,19.76
2009-12-18,21,20.43
2010-01-08,21,21.18
2010-01-15,21,21.25
2010-01-22,21,20.95
2010-01-29,21,20.19
2010-02-05,21,20.1
2010-02-12,19,19.28
2010-02-19,23,19.74
2010-02-26,64,25.55
2010-03-05,33,25.86
2010-03-12,23,27.01
2010-03-19,19,26.96
2010-03-26,25,27.6
2010-04-09,25,28.26
2010-04-16,25,28.37
2010-04-23,19,28.25
2010-04-30,21,27.73
2010-05-07,19,25.84
2010-05-14,16,26.57
2010-05-21,18,25.36
2010-05-28,19,26.1
2010-06-04,20,25.47
2010-06-11,21,26.27
2010-06-18,24,27.04
2010-06-25,16,25.88
2010-07-02,18,26.03
2010-07-09,20,27.68
2010-07-16,21,27.69
2010-07-23,20,28.51
2010-07-30,17,28.7
2010-08-06,23,29.17
2010-08-13,23,28.71
2010-08-20,23,29.02
2010-08-27,16,28.67
2010-09-03,17,29.37
2010-09-10,23,30.17
2010-09-17,17,30.19
2010-09-24,22,30.2
2010-10-01,29,31.8
2010-10-08,33,22.55
2010-10-15,26,24.1
2010-10-22,16,24.63
2010-10-29,21,24.01
2010-11-05,24,24.61
2010-11-12,18,24.94
2010-11-19,15,25.51
2010-11-26,15,24.67
2010-12-03,15,25.49
2010-12-10,23,25.93
2010-12-17,14,25.25
2010-12-31,14,25.03
2011-01-07,14,23.88
2011-01-14,18,25.49
2011-01-21,12,25
2011-01-28,13,25.03
2011-02-04,14,25.81
2011-02-11,15,26.24
2011-02-18,15,27.15
2011-02-25,20,26.57
2011-03-04,15,25.83
2011-03-11,15,26.34
2011-03-18,15,25.81
2011-03-25,15,26.5
2011-04-01,15,27.57
2011-04-08,16,27.49
2011-04-15,16,28.17
2011-04-29,16,28.41
2011-05-06,12,27.61
2011-05-13,13,28.96
2011-05-20,15,29.47
2011-05-27,16,28.61
2011-06-03,18,28.4
2011-06-10,14,27.99
2011-06-17,14,28.61
2011-06-24,13,28.34
2011-07-01,12,29.81
2011-07-08,17,28.99
2011-09-23,14,24.8
2011-09-30,13,24.88
2011-10-07,11,24.11
2011-10-14,11,26.02
2011-10-21,11,25.57
2011-10-28,11,26.56
2011-11-04,11,26.16
2011-11-11,13,26.74
2011-11-18,11,25.97
2011-11-25,11,24.22
2011-12-02,12,25.82
2011-12-09,13,26.14
2011-12-16,9,25.78
2011-12-23,9,26.05
2011-12-30,9,25.78
2012-01-06,9,25.46
2012-01-13,9,25.59
2012-01-20,12,26.59
2012-01-27,10,26.99
2012-02-03,10,27.49
2012-02-10,10,27.43
2012-02-17,11,29
2012-02-24,11,28.71
2012-03-02,12,28.33
2012-03-09,13,27.51
2012-03-16,11,27.81
2012-05-25,12,27.57
2012-06-01,9,26.35
2012-06-08,9,26.94
2012-06-15,9,26.85
2012-06-22,9,26.95
2012-06-29,9,28.04
2012-07-06,10,28.14
2012-07-13,12,27.32
2012-07-20,13,26.84
2012-07-27,14,29.7
2012-08-03,10,29.34
2012-08-10,10,29.43
2012-08-17,9,29.67
2012-08-24,9,29.58
2012-08-31,9,29.53
2012-09-07,9,30.72
2012-09-14,10,31.17
2012-09-21,10,31.32
2012-09-28,11,31.27
2012-10-05,11,31.96
2012-10-12,11,31.49
2012-10-19,11,31.2
2012-10-26,11,30.97
2012-11-02,11,31.29
2012-11-09,11,30.33
2012-11-16,9,29.64
2012-11-23,9,30.56
2012-11-30,9,31.18
2013-03-22,9,37.18
2013-05-03,7,37.22
2013-05-10,8,37.26
2013-05-17,8,38.21
2013-05-24,9,37.95
2013-05-31,9,37.16
2013-06-07,7,37.04
2013-06-14,7,36.14
2013-06-21,7,34.49
2013-06-28,8,35.16
2013-07-05,8,34.97
2013-07-12,8,36.89
2013-07-19,9,37.17
2013-07-26,9,37.85
2013-08-02,7,38.12
2013-09-27,7,40.57
2013-10-04,7,40.2
2013-10-11,7,40.88
2013-10-18,7,42.19
2013-10-25,7,41.18
2013-11-01,7,41.77
2013-11-08,7,41.32
2014-01-31,6,43.29
2014-02-07,6,44.4
2014-02-14,6,46.15
2014-02-21,9,47.34
2014-02-28,8,47.08
2014-03-07,8,47.42
2014-03-14,8,46.5
2014-03-21,9,47.37
2014-03-28,10,46.85
2014-04-04,6,46.88
2014-04-11,6,45.24
