"Date","HAR","Price"
2007-07-27,32,115
2007-08-03,36,115.2
2007-08-10,35,113.5
2007-08-17,37,111.68
2007-08-24,35,113.81
2007-08-31,37,113.39
2007-09-07,37,112.8
2007-09-14,38,112.73
2007-09-21,42,85
2007-09-28,40,86.52
2007-10-05,40,87.27
2007-10-12,43,86.6
2007-10-19,38,86.4
2007-10-26,40,84.12
2007-11-02,41,82.52
2007-11-09,40,75.52
2007-11-16,43,73.67
2007-11-23,43,73.61
2007-11-30,47,73.6
2007-12-07,50,73.83
2007-12-14,45,73.35
2007-12-21,42,73.77
2007-12-28,39,73.85
2008-01-04,40,68.49
2008-01-11,44,68.97
2008-01-18,44,37.08
2008-01-25,41,38.7
2008-02-01,44,48
2008-02-08,42,39.72
2008-02-15,41,42.99
2008-02-22,42,42.32
2008-02-29,42,41.2
2008-03-07,44,42.51
2008-03-14,44,42.58
2008-03-28,41,44.19
2008-04-04,44,44.21
2008-04-11,43,39.54
2008-04-18,42,39.27
2008-04-25,43,40
2008-05-02,41,41.55
2008-05-09,41,38.38
2008-05-16,44,43.37
2008-05-23,47,44.67
2008-05-30,45,44.72
2008-06-06,39,44.85
2008-06-13,41,45.12
2008-06-20,38,45.15
2008-06-27,40,41.55
2008-07-11,37,37.96
2008-07-18,38,41.63
2008-07-25,36,42.49
2008-08-01,35,39.82
2008-08-08,40,41.49
2008-08-15,39,37
2008-08-22,43,33.63
2008-08-29,42,34.03
2008-09-05,41,32.95
2008-09-12,41,33.6
2008-09-19,43,33.86
2008-09-26,43,35.21
2008-10-03,43,27.23
2008-10-10,43,19.8
2008-10-17,45,20.59
2008-10-24,44,16.74
2008-10-31,42,18.37
2008-11-07,46,17.29
2008-11-14,48,14.88
2008-11-21,45,11.94
2008-11-28,45,15.05
2008-12-05,47,15.2
2008-12-12,50,15.02
2008-12-19,44,16.56
2008-12-26,41,15.16
2009-01-02,43,18.2
2009-01-09,45,20.51
2009-01-16,47,18.65
2009-01-23,47,17.13
2009-01-30,49,16.09
2009-02-06,48,13.86
2009-02-13,47,12
2009-02-20,47,10.53
2009-02-27,49,10.62
2009-03-06,49,9.47
2009-03-13,50,11.65
2009-03-20,50,11.41
2009-03-27,52,14.14
2009-04-03,50,15.62
2009-04-17,50,17.94
2009-04-24,50,19.71
2009-05-01,47,19.53
2009-05-08,50,20.75
2009-05-15,50,16.51
2009-05-22,50,16.89
2009-05-29,50,18.64
2009-06-05,48,20.48
2009-06-12,49,23.04
2009-06-19,46,18.31
2009-06-26,42,18.63
2009-07-10,41,20.57
2009-07-17,43,25.18
2009-07-24,43,23.67
2009-07-31,43,24.68
2009-08-07,44,26.61
2009-08-14,48,26.53
2009-08-21,48,28.67
2009-08-28,50,30.92
2009-09-04,52,27.77
2009-09-11,51,29.13
2009-09-18,53,32.47
2009-09-25,53,30.12
2009-10-02,51,31.6
2009-10-09,50,35.38
2009-10-16,49,36.6
2009-10-23,52,35.55
2009-10-30,52,37.61
2009-11-06,53,38.09
2009-11-13,57,37.79
2009-11-20,55,36.17
2009-11-27,54,36.21
2009-12-04,52,36.35
2009-12-11,56,36.68
2009-12-18,52,36.11
2010-01-08,50,37.09
2010-01-15,51,37.88
2010-01-22,51,37.01
2010-01-29,50,35.55
2010-02-05,50,34.93
2010-02-12,51,44.2
2010-02-19,52,43.96
2010-02-26,49,43.14
2010-03-05,52,43.03
2010-03-12,53,43.51
2010-03-19,53,43.97
2010-03-26,54,47.21
2010-04-09,53,49.18
2010-04-16,55,49.13
2010-04-23,56,51.95
2010-04-30,55,39.48
2010-05-07,55,38.77
2010-05-14,52,37.62
2010-05-21,56,33.41
2010-05-28,56,32.3
2010-06-04,53,30.38
2010-06-11,52,32.4
2010-06-18,49,34.2
2010-06-25,46,32.98
2010-07-02,45,29.95
2010-07-09,44,32.12
2010-07-16,45,29.12
2010-07-23,43,31.34
2010-07-30,46,30.41
2010-08-06,49,29.88
2010-08-13,51,29.61
2010-08-20,56,30.71
2010-08-27,53,32.2
2010-09-03,54,35.1
2010-09-10,58,32.02
2010-09-17,58,32.92
2010-09-24,57,33.68
2010-10-01,57,33.12
2010-10-08,55,34.57
2010-10-15,57,36.12
2010-10-22,58,34.33
2010-10-29,58,33.55
2010-11-05,58,39.88
2010-11-12,61,40.8
2010-11-19,60,42
2010-11-26,57,44.19
2010-12-03,61,47.61
2010-12-10,60,48.37
2010-12-17,59,47.8
2010-12-31,53,46.3
2011-01-07,59,43.92
2011-01-14,63,46
2011-01-21,59,44.24
2011-01-28,63,42.74
2011-02-04,65,49.26
2011-02-11,62,51.58
2011-02-18,62,51.56
2011-02-25,60,48.95
2011-03-04,60,48.73
2011-03-11,61,49.37
2011-03-18,63,46.5
2011-03-25,65,47.14
2011-04-01,63,46.52
2011-04-08,64,45.88
2011-04-15,64,46.06
2011-04-29,65,48.53
2011-05-06,66,46.17
2011-05-13,66,48.73
2011-05-20,66,47.13
2011-05-27,66,47.6
2011-06-03,61,47.11
2011-06-10,61,43.07
2011-06-17,58,43.06
2011-06-24,59,43.59
2011-07-01,55,46.62
2011-07-08,55,47.83
2011-07-15,56,44.95
2011-07-22,54,45.81
2011-07-29,55,41.6
2011-08-05,58,34.34
2011-08-12,58,33.26
2011-08-19,74,31.74
2011-08-26,100,34.87
2011-09-02,86,34.29
2011-09-09,80,32.65
2011-09-16,78,33.93
2011-09-23,72,30.4
2011-09-30,70,28.58
2011-10-07,70,30.44
2011-10-14,70,37.47
2011-10-21,69,43
2011-10-28,73,44.78
2011-11-04,67,43.2
2011-11-11,70,42.1
2011-11-18,68,39.34
2011-11-25,71,36.72
2011-12-02,68,41.38
2011-12-09,73,40.75
2011-12-16,69,35.08
2011-12-23,64,37.59
2011-12-30,59,38.04
2012-01-06,65,39.52
2012-01-13,69,40.39
2012-01-20,69,43.85
2012-01-27,69,43.6
2012-02-03,69,44.71
2012-02-10,69,49.85
2012-02-17,68,51.11
2012-02-24,69,49.95
2012-03-02,68,48.8
2012-03-09,69,48.03
2012-03-16,69,48.18
2012-03-23,69,47.16
2012-03-30,67,46.81
2012-04-13,68,44.68
2012-04-20,68,45.95
2012-04-27,70,47.26
2012-05-04,67,45.52
2012-05-11,67,42.82
2012-05-18,65,38.91
2012-05-25,65,40.59
2012-06-01,68,38.01
2012-06-08,66,40.09
2012-06-15,65,37.23
2012-06-22,62,37.36
2012-06-29,60,39.6
2012-07-06,58,39.35
2012-07-13,57,38.03
2012-07-20,58,39.45
2012-07-27,58,40.89
2012-08-03,61,40.35
2012-08-10,64,45.68
2012-08-17,65,46.54
2012-08-24,70,45.45
2012-08-31,68,46.03
2012-09-07,71,48.04
2012-09-14,71,49.38
2012-09-21,71,48.79
2012-09-28,72,46.16
2012-10-05,71,46.27
2012-10-12,66,42.81
2012-10-19,67,43.78
2012-10-26,69,42.14
2012-11-02,66,42.31
2012-11-09,71,39.06
2012-11-16,69,37.35
2012-11-23,70,38.89
2012-11-30,68,39.56
2012-12-07,72,40.75
2012-12-14,70,42.08
2012-12-21,68,43.85
2012-12-28,62,43.32
2013-01-04,68,46.23
2013-01-11,69,49.9
2013-01-18,70,49.62
2013-01-25,73,50.25
2013-02-01,72,45.29
2013-02-08,72,45.59
2013-02-15,70,44.19
2013-02-22,77,43.46
2013-03-01,76,42.5
2013-03-08,81,43.96
2013-03-15,79,45.72
2013-03-22,80,44.36
2013-04-05,80,42.07
2013-04-12,77,44.91
2013-04-19,75,41.38
2013-04-26,75,44.64
2013-05-03,75,48.44
2013-05-10,71,49.58
2013-05-17,71,52.05
2013-05-24,74,51.62
2013-05-31,72,53.1
2013-06-07,69,52.99
2013-06-14,65,51.64
2013-06-21,64,49.6
2013-06-28,64,54.2
2013-07-05,64,54.48
2013-07-12,61,55.25
2013-07-19,64,56.06
2013-07-26,63,58.72
2013-08-02,67,60.67
2013-08-09,66,68.79
2013-08-16,71,67.11
2013-08-23,69,68.42
2013-08-30,70,64.02
2013-09-06,71,64.59
2013-09-13,73,66.46
2013-09-20,75,65.16
2013-09-27,73,66.2
2013-10-04,76,69.39
2013-10-11,80,67.79
2013-10-18,85,71.76
2013-10-25,92,72.63
2013-11-01,88,81.96
2013-11-08,88,77.78
2013-11-15,86,81.13
2013-11-22,82,81.35
2013-11-29,82,81.04
2013-12-06,85,81.28
2013-12-13,86,78.97
2013-12-20,83,83.39
2013-12-27,75,83.36
2014-01-03,79,80.7
2014-01-10,82,88.28
2014-01-17,79,90.48
2014-01-24,81,89.38
2014-01-31,82,103.43
2014-02-07,82,102.93
2014-02-14,79,104.79
2014-02-21,82,104.55
2014-02-28,84,104.73
2014-03-07,82,109.09
2014-03-14,79,104.53
2014-03-21,78,109.35
2014-03-28,79,105.44
2014-04-04,80,104.27
2014-04-11,79,102.09
2014-04-25,78,109
