"Date","buy.ATI","Price"
2005-11-11,57,30.38
2005-11-18,34,30.87
2005-11-25,49,32.66
2005-12-02,48,33.88
2005-12-09,49,33.66
2005-12-16,49,34.1
2005-12-23,49,35.48
2005-12-30,59,36.08
2006-01-06,49,40.48
2006-01-13,49,40.2
2006-01-20,37,40.88
2006-01-27,37,51.74
2006-02-03,57,50.98
2006-02-10,49,47.88
2006-02-17,27,50.49
2006-02-24,34,53.3
2006-03-03,44,55.62
2006-03-10,32,54.6
2006-03-17,23,56.19
2006-03-24,41,58
2006-03-31,41,61.18
2006-04-07,43,65.74
2006-04-21,29,72.27
2006-04-28,32,69.34
2006-05-05,35,75.05
2006-05-12,30,78.45
2006-05-19,53,65.37
2006-05-26,37,67.19
2006-06-02,30,67.02
2006-06-09,43,61.23
2006-06-16,28,64.82
2006-06-23,30,65.28
2006-06-30,37,69.24
2006-07-07,39,66.8
2006-07-14,30,58.73
2006-07-21,34,55.83
2006-07-28,73,62.9
2006-08-04,46,62.84
2006-08-11,40,58.4
2006-08-18,39,60.39
2006-08-25,30,57.97
2006-09-01,54,59.97
2006-09-08,37,59.05
2006-09-15,33,62.99
2006-09-22,38,60.79
2006-09-29,45,62.19
2006-10-06,37,65.48
2006-10-13,28,74.26
2006-10-20,28,76.62
2006-10-27,29,80.09
2006-11-03,41,75.32
2006-11-10,59,76.37
2006-11-17,48,78.65
2006-11-24,57,82.77
2006-12-01,30,88.06
2006-12-08,38,98.2
2006-12-15,39,88.47
2006-12-22,45,89.13
2006-12-29,53,90.68
2007-01-05,50,85.97
2007-01-12,36,90.64
2007-01-19,30,91.56
2007-01-26,38,100.51
2007-02-02,30,102.3
2007-02-09,36,97.14
2007-02-16,36,102.59
2007-02-23,39,107.81
2007-03-02,32,97.06
2007-03-09,34,102.81
2007-03-16,34,102.3
2007-03-23,29,108.01
2007-03-30,35,106.69
2007-04-13,26,113.76
2007-04-20,29,117.04
2007-04-27,24,114
2007-05-04,45,108.68
2007-05-11,27,115.18
2007-05-18,35,114.28
2007-05-25,30,111.06
2007-06-01,39,116.54
2007-06-08,20,111.66
2007-06-15,27,110.2
2007-06-22,29,106.77
2007-06-29,32,104.88
2007-07-06,28,107.72
2007-07-13,33,114.97
2007-07-20,34,113.06
2007-07-27,17,102.41
2007-08-03,35,102.4
2007-08-10,27,99.67
2007-08-17,24,92.2
2007-08-24,25,98.15
2007-08-31,30,99.39
2007-09-07,31,94.66
2007-09-14,33,95.12
2007-09-21,36,106.83
2007-09-28,39,109.95
2007-10-05,30,110.61
2007-10-12,23,100.04
2007-10-19,25,93.74
2007-10-26,25,101.9
2007-11-02,28,100.47
2007-11-09,28,95.74
2007-11-16,46,93.84
2007-11-23,46,93.28
2007-11-30,43,97.75
2007-12-07,29,95.79
2007-12-14,34,89.7
2007-12-21,38,87.11
2007-12-28,60,87.68
2008-01-04,46,82.81
2008-01-11,33,77.32
2008-01-18,39,67.56
2008-01-25,27,66
2008-02-01,42,74.02
2008-02-08,23,76.6
2008-02-15,26,82.46
2008-02-22,34,83.64
2008-02-29,23,77.35
2008-03-07,27,70.07
2008-03-14,24,73.51
2008-03-28,24,71.4
2008-04-04,18,84
2008-04-11,34,78.45
2008-04-18,16,74.35
2008-04-25,20,72.61
2008-05-02,25,72.52
2008-05-09,16,75.16
2008-05-16,20,81.65
2008-05-23,17,74.4
2008-05-30,23,75
2008-06-06,21,66.19
2008-06-13,19,65.88
2008-06-20,37,62.64
2008-06-27,39,60.4
2008-07-11,25,50.35
2008-07-18,27,54
2008-07-25,28,45.46
2008-08-01,37,45.97
2008-08-08,32,48.17
2008-08-15,29,49.07
2008-08-22,30,48.66
2008-08-29,28,49
2008-09-05,21,44.83
2008-09-12,27,41.53
2008-09-19,32,45
2008-09-26,25,32.87
2008-10-03,26,25.42
2008-10-10,22,23.69
2008-10-17,27,24.32
2008-10-24,32,21.29
2008-10-31,27,26.54
2008-11-07,26,24.28
2008-11-14,33,21.2
2008-11-21,33,16.94
2008-11-28,31,22.95
2008-12-05,25,21.55
2008-12-12,29,24.05
2008-12-19,33,24.52
2008-12-26,35,23.77
2009-01-02,41,27.05
2009-01-09,30,28.45
2009-01-16,38,26.34
2009-01-23,32,22.51
2009-01-30,27,22.09
2009-02-06,31,25.51
2009-02-13,25,24.91
2009-02-20,35,21.77
2009-02-27,22,19.67
2009-03-06,29,17.49
2009-03-13,25,21.02
2009-03-20,27,20.58
2009-03-27,23,23.54
2009-04-03,28,26.12
2009-04-17,30,29.5
2009-04-24,23,32.55
2009-05-01,19,33.4
2009-05-08,22,38.26
2009-05-15,20,32.58
2009-05-22,26,34.35
2009-05-29,25,35.41
2009-06-05,31,40.91
2009-06-12,25,41.88
2009-06-19,23,38.2
2009-06-26,29,34.55
2009-07-10,22,30.72
2009-07-17,32,33.34
2009-07-24,16,28.2
2009-07-31,27,27.08
2009-08-07,30,30.71
2009-08-14,28,28.23
2009-08-21,21,29.25
2009-08-28,32,32.01
2009-09-04,32,29.78
2009-09-11,30,33.49
2009-09-18,27,34.86
2009-09-25,42,34.42
2009-10-02,34,33.67
2009-10-09,24,36.14
2009-10-16,30,36.87
2009-10-23,39,34
2009-10-30,38,30.86
2009-11-06,31,32.58
2009-11-13,34,32.52
2009-11-20,45,34.01
2009-11-27,48,34.19
2009-12-04,33,35.18
2009-12-11,32,36.38
2009-12-18,35,40.95
2010-01-08,40,50.82
2010-01-15,39,45.71
2010-01-22,38,42.28
2010-01-29,37,40.85
2010-02-05,40,40.99
2010-02-12,33,42.41
2010-02-19,32,46.09
2010-02-26,33,43.66
2010-03-05,30,48.69
2010-03-12,24,50.79
2010-03-19,23,51.17
2010-03-26,27,53.22
2010-04-09,28,55.69
2010-04-16,27,52.19
2010-04-23,25,56.56
2010-04-30,30,53.47
2010-05-07,25,50.8
2010-05-14,29,53.7
2010-05-21,23,50
2010-05-28,26,54.68
2010-06-04,26,48.22
2010-06-11,20,51.95
2010-06-18,24,52.07
2010-06-25,24,50.21
2010-07-02,38,44.08
2010-07-09,32,48.77
2010-07-16,31,44.73
2010-07-23,29,52.3
2010-07-30,39,47.61
2010-08-06,34,48.41
2010-08-13,28,44.2
2010-08-20,35,43.7
2010-08-27,35,41.75
2010-09-03,28,44.92
2010-09-10,22,45.58
2010-09-17,31,45.31
2010-09-24,25,45.83
2010-10-01,27,46.95
2010-10-08,26,48.93
2010-10-15,20,47.91
2010-10-22,31,46.83
2010-10-29,25,52.69
2010-11-05,27,55.92
2010-11-12,29,51.29
2010-11-19,32,50.01
2010-11-26,35,50.74
2010-12-03,28,54.36
2010-12-10,31,53.39
2010-12-17,36,57.62
2010-12-31,35,55.18
2011-01-07,28,55.16
2011-01-14,32,57.84
2011-01-21,26,58.29
2011-01-28,21,63.67
2011-02-04,27,66.89
2011-02-11,28,67.47
2011-02-18,22,68.52
2011-02-25,26,66.36
2011-03-04,22,65.43
2011-03-11,23,64.17
2011-03-18,20,60.88
2011-03-25,23,65.07
2011-04-01,24,67.32
2011-04-08,18,63.6
2011-04-15,19,67.41
2011-04-29,19,72
2011-05-06,20,70
2011-05-13,15,68.81
2011-05-20,22,63.78
2011-05-27,19,66.43
2011-06-03,19,63.15
2011-06-10,19,61.75
2011-06-17,23,58.62
2011-06-24,20,60.01
2011-07-01,15,62.93
2011-07-08,19,61.61
2011-07-15,19,66.3
2011-07-22,17,65.6
2011-07-29,18,58.19
2011-08-05,17,48.5
2011-08-12,22,48.42
2011-08-19,17,42.8
2011-08-26,19,46.26
2011-09-02,18,46.5
2011-09-09,14,44.75
2011-09-16,17,47.42
2011-09-23,14,37.44
2011-09-30,15,36.99
2011-10-07,16,37.23
2011-10-14,16,40.59
2011-10-21,12,40.56
2011-10-28,16,50.21
2011-11-04,16,49.62
2011-11-11,13,49.99
2011-11-18,20,47.24
2011-11-25,17,43.33
2011-12-02,16,49.94
2011-12-09,18,48.88
2011-12-16,15,44.71
2011-12-23,22,48.12
2011-12-30,26,47.8
2012-01-06,15,47.98
2012-01-13,19,49
2012-01-20,15,51.1
2012-01-27,12,46.7
2012-02-03,13,48.28
2012-02-10,13,45.58
2012-02-17,14,45.39
2012-02-24,11,44.21
2012-03-02,11,43.8
2012-03-09,11,41.3
2012-03-16,10,43.49
2012-03-23,12,42
2012-03-30,12,41.17
2012-04-13,14,39.98
2012-04-20,9,40.45
2012-04-27,10,42.3
2012-05-04,11,41.34
2012-05-11,11,39.59
2012-05-18,17,33.18
2012-05-25,14,34.11
2012-06-01,10,30.33
2012-06-08,12,30.3
2012-06-15,12,29.49
2012-06-22,13,28.67
2012-06-29,9,31.89
2012-07-06,9,31.86
2012-07-13,12,31.61
2012-07-20,14,30.84
2012-07-27,8,30.19
2012-08-03,11,30.18
2012-08-10,14,32.52
2012-08-17,10,32.41
2012-08-24,14,30.77
2012-08-31,12,29.64
2012-09-07,10,32.22
2012-09-14,9,36.75
2012-09-21,9,33.32
2012-09-28,11,31.9
2012-10-05,9,31.08
2012-10-12,10,31.42
2012-10-19,8,32.81
2012-10-26,8,26.71
2012-11-02,9,27.36
2012-11-09,7,26.77
2012-11-16,7,25.99
2012-11-23,8,26.86
2012-11-30,9,26.18
2012-12-07,7,26.68
2012-12-14,11,28.44
2012-12-21,9,30.19
2012-12-28,15,29.17
2013-01-04,12,32.23
2013-01-11,10,30.58
2013-01-18,9,29.89
2013-01-25,8,30.29
2013-02-01,11,33.11
2013-02-08,6,33.27
2013-02-15,10,33.81
2013-02-22,9,30.96
2013-03-01,7,30.29
2013-03-08,8,32.83
2013-03-15,9,32.23
2013-03-22,9,31.28
2013-04-05,11,29.49
2013-04-12,10,29.73
2013-04-19,7,27.45
2013-04-26,6,26.46
2013-05-03,6,27.57
2013-05-10,7,29.16
2013-05-17,7,29.77
2013-05-24,5,28.26
2013-05-31,8,27.57
2013-06-07,6,27.57
2013-06-14,8,27.65
2013-06-21,5,27.56
2013-06-28,6,26.31
2013-07-05,6,26.28
2013-07-12,6,27.35
2013-07-19,5,26.98
2013-07-26,4,27.92
2013-08-02,7,27.79
2013-08-09,5,28.99
2013-08-16,6,27.19
2013-08-23,6,27.53
2013-08-30,5,26.71
2013-09-06,6,27.52
2013-09-13,5,28.63
2013-09-20,4,30.99
2013-09-27,5,30.24
2013-10-04,8,30.87
2013-10-11,7,30.92
2013-10-18,4,31.52
2013-10-25,5,33.75
2013-11-01,5,33.36
2013-11-08,9,33.82
2013-11-15,6,33.75
2013-11-22,7,33.93
2013-11-29,10,33.22
2013-12-06,9,32.77
2013-12-13,7,32.77
2013-12-20,6,33.1
2013-12-27,8,35.64
2014-01-03,8,35.47
2014-01-10,6,35.27
2014-01-17,4,36.3
2014-01-24,5,31.93
2014-01-31,7,31.44
2014-02-07,5,31.17
2014-02-14,4,32.03
2014-02-21,5,31.6
2014-02-28,5,31.78
2014-03-07,7,33.97
2014-03-14,6,34.26
2014-03-21,5,37.29
2014-03-28,4,37.49
2014-04-04,5,38.78
2014-04-11,4,39.12
2014-04-25,4,40.48
