"Date","SWN","Price"
2008-10-03,66,29.33
2008-10-10,81,20.81
2008-10-17,69,29.1
2008-10-24,61,27.11
2008-10-31,78,35.62
2008-11-07,64,34.42
2008-11-14,92,30.26
2008-11-21,82,26.7
2008-11-28,66,34.37
2008-12-05,68,26.13
2008-12-12,60,28.78
2008-12-19,70,28.23
2008-12-26,63,27.88
2009-01-02,69,31.09
2009-01-09,65,30.23
2009-01-16,66,28.6
2009-01-23,60,31.74
2009-01-30,66,31.65
2009-02-06,62,32.73
2009-02-13,56,32.33
2009-02-20,55,27.63
2009-02-27,71,28.77
2009-03-06,75,28.72
2009-03-13,52,27.43
2009-03-20,73,30.85
2009-03-27,65,31.97
2009-04-03,68,32.32
2009-04-17,61,33.71
2009-04-24,60,34.43
2009-05-01,70,38.49
2009-05-08,67,41.32
2009-05-15,63,39.05
2009-05-22,48,40.11
2009-05-29,61,43.47
2009-06-05,55,42.38
2009-06-12,67,44.53
2009-06-19,52,40.96
2009-06-26,63,38.94
2009-07-10,73,36.78
2009-07-17,61,40.6
2009-07-24,66,42.46
2009-07-31,73,41.43
2009-08-07,77,39.62
2009-08-14,54,38.11
2009-08-21,66,41.48
2009-08-28,71,38.43
2009-09-04,67,37.21
2009-09-11,70,41.59
2009-09-18,64,44.03
2009-09-25,58,41
2009-10-02,82,40.77
2009-10-09,85,45.34
2009-10-16,79,49.12
2009-10-23,91,47.22
2009-10-30,81,43.58
2009-11-06,71,44.74
2009-11-13,67,42.29
2009-11-20,63,41.49
2009-11-27,58,43.86
2009-12-04,76,42.95
2009-12-11,60,41.45
2009-12-18,62,47.45
2010-01-08,62,51.47
2010-01-15,66,48.65
2010-01-22,73,45.44
2010-01-29,70,42.88
2010-02-05,72,42.1
2010-02-12,57,44.27
2010-02-19,54,45.3
2010-02-26,66,42.55
2010-03-05,62,42.59
2010-03-12,59,44.36
2010-03-19,61,39.6
2010-03-26,67,37.7
2010-04-09,60,41.3
2010-04-16,69,40.48
2010-04-23,59,43.09
2010-04-30,68,39.68
2010-05-07,77,37.16
2010-05-14,45,39.06
2010-05-21,64,37.27
2010-05-28,56,37.61
2010-06-04,63,41.7
2010-06-11,69,43.91
2010-06-18,59,44.08
2010-06-25,70,41.55
2010-07-02,70,37.75
2010-07-09,71,38.41
2010-07-16,67,37.41
2010-07-23,59,37.75
2010-07-30,62,36.45
2010-08-06,68,37.45
2010-08-13,59,34.47
2010-08-20,63,33.71
2010-08-27,70,33.35
2010-09-03,60,34.07
2010-09-10,65,33.37
2010-09-17,58,31.44
2010-09-24,60,33.05
2010-10-01,60,33.46
2010-10-08,70,33.87
2010-10-15,65,34.62
2010-10-22,70,33.91
2010-10-29,66,33.84
2010-11-05,60,36.09
2010-11-12,60,37.89
2010-11-19,57,38.42
2010-11-26,68,36.31
2010-12-03,67,37.91
2010-12-10,69,35.65
2010-12-17,72,35.77
2010-12-31,79,37.43
2011-01-07,70,38.15
2011-01-14,71,39.38
2011-01-21,69,38.17
2011-01-28,67,38.79
2011-02-04,69,39.34
2011-02-11,58,36.91
2011-02-18,69,36.45
2011-02-25,75,38.87
2011-03-04,71,37.85
2011-03-11,61,36.9
2011-03-18,58,41.12
2011-03-25,62,43.49
2011-04-01,66,42.87
2011-04-08,62,40.55
2011-04-15,62,39.96
2011-04-29,61,43.86
2011-05-06,68,41.91
2011-05-13,58,41.2
2011-05-20,58,42.87
2011-05-27,51,43.37
2011-06-03,60,43.73
2011-06-10,60,42.22
2011-06-17,56,41.16
2011-06-24,59,40.84
2011-07-01,55,43.8
2011-07-08,58,43.91
2011-07-15,59,47.53
2011-07-22,68,49
2011-07-29,66,44.56
2011-08-05,66,37.7
2011-08-12,64,38.17
2011-08-19,62,36.21
2011-08-26,61,36.96
2011-09-02,62,36.69
2011-09-09,60,35.91
2011-09-16,62,38.98
2011-09-23,69,33.91
2011-09-30,59,33.33
2011-10-07,66,34.38
2011-10-14,69,39.02
2011-10-21,100,40.25
2011-10-28,78,44.21
2011-11-04,68,42.66
2011-11-11,69,42.37
2011-11-18,55,38.62
2011-11-25,63,35.03
2011-12-02,66,37.69
2011-12-09,63,36.79
2011-12-16,56,33.49
2011-12-23,56,32.89
2011-12-30,60,31.94
2012-01-06,56,33.2
2012-01-13,66,29.42
2012-01-20,63,29.43
2012-01-27,66,32.04
2012-02-03,58,31.29
2012-02-10,60,33.59
2012-02-17,60,35.54
2012-02-24,52,35.21
2012-03-02,74,33.38
2012-03-09,64,33.52
2012-03-16,52,34.54
2012-03-23,58,32.38
2012-03-30,59,30.6
2012-04-13,52,28.4
2012-04-20,57,27.85
2012-04-27,57,30.51
2012-05-04,53,28.73
2012-05-11,53,30.4
2012-05-18,50,29.11
2012-05-25,53,28.77
2012-06-01,54,27.43
2012-06-08,59,27.09
2012-06-15,49,27.38
2012-06-22,57,29.02
2012-06-29,52,31.93
2012-07-06,51,31.9
2012-07-13,57,31.66
2012-07-20,59,31.97
2012-07-27,58,33.01
2012-08-03,58,30.6
2012-08-10,63,32.04
2012-08-17,60,32.2
2012-08-24,55,31.55
2012-08-31,63,31.13
2012-09-07,63,32.63
2012-09-14,58,35.64
2012-09-21,66,33.99
2012-09-28,64,34.78
2012-10-05,62,35.51
2012-10-12,60,36.11
2012-10-19,78,35.25
2012-10-26,57,34.14
2012-11-02,56,35.91
2012-11-09,54,34.2
2012-11-16,48,35.64
2012-11-23,52,36.6
2012-11-30,58,34.71
2012-12-07,58,34.38
2012-12-14,54,32.93
2012-12-21,54,34.45
2012-12-28,47,32.78
2013-01-04,56,34.34
2013-01-11,57,32.51
2013-01-18,53,33.69
2013-01-25,54,34.63
2013-02-01,56,34.09
2013-02-08,50,34.5
2013-02-15,50,33.04
2013-02-22,52,33.35
2013-03-01,53,35.26
2013-03-08,48,37.6
2013-03-15,52,38.59
2013-03-22,51,37.67
2013-04-05,48,37.41
2013-04-12,48,37.95
2013-04-19,56,35.38
2013-04-26,52,35.48
2013-05-03,61,37.04
2013-05-10,52,36.8
2013-05-17,49,38.86
2013-05-24,51,38.08
2013-05-31,50,37.69
2013-06-07,54,38.29
2013-06-14,51,36.54
2013-06-21,49,36.12
2013-06-28,52,36.53
2013-07-05,52,37.91
2013-07-12,50,38.74
2013-07-19,55,39.15
2013-07-26,46,39.32
2013-08-02,53,38.65
2013-08-09,52,37.48
2013-08-16,52,36.95
2013-08-23,42,38.16
2013-08-30,52,38.2
2013-09-06,50,37.63
2013-09-13,50,37.93
2013-09-20,49,37.06
2013-09-27,46,36.44
2013-10-04,47,35.89
2013-10-11,52,35.9
2013-10-18,88,36.47
2013-10-25,54,37.13
2013-11-01,47,38.2
2013-11-08,49,36.15
2013-11-15,45,36.47
2013-11-22,47,39.14
2013-11-29,56,38.66
2013-12-06,55,38.68
2013-12-13,50,38.58
2013-12-20,52,39.32
2013-12-27,40,39.73
2014-01-03,45,38.75
2014-01-10,52,38.51
2014-01-17,49,39.33
2014-01-24,51,41.66
2014-01-31,53,40.69
2014-02-07,43,41.47
2014-02-14,46,41.64
2014-02-21,52,42.81
2014-02-28,56,41.34
2014-03-07,47,41.94
2014-03-14,44,44.07
2014-03-21,47,46.57
2014-03-28,48,45.81
2014-04-04,48,46.77
2014-04-11,48,46.63
2014-04-25,41,47.79
