"Date","buy.WAT","Price"
2011-03-25,50,85.5
2011-04-01,60,87.93
2011-04-08,58,87.65
2011-04-15,49,87.81
2011-04-29,63,98
2011-05-06,60,96.87
2011-05-13,58,97.7
2011-05-20,60,98.73
2011-05-27,72,97.8
2011-06-03,52,94.01
2011-06-10,61,92.25
2011-06-17,55,92.09
2011-06-24,62,91.48
2011-07-01,69,97.63
2011-07-08,67,98.55
2011-07-15,54,93.69
2011-07-22,58,98.06
2011-07-29,53,87.89
2011-08-05,55,78.01
2011-08-12,65,78.89
2011-08-19,91,72.38
2011-08-26,48,78.34
2011-09-02,84,75.84
2011-09-09,58,74.62
2011-09-16,61,82.43
2011-09-23,73,75.09
2011-09-30,62,75.49
2011-10-07,51,72.78
2011-10-14,71,77.25
2011-10-21,60,80.59
2011-10-28,45,82.22
2011-11-04,62,78.55
2011-11-11,77,80.03
2011-11-18,48,74.77
2011-11-25,88,72.55
2011-12-02,67,79.88
2011-12-09,54,74.82
2011-12-16,78,71.61
2011-12-23,78,74.59
2011-12-30,71,74.05
2012-01-06,71,74.15
2012-01-13,73,76.06
2012-01-20,83,77.99
2012-01-27,72,86.82
2012-02-03,69,89.49
2012-02-10,71,87.8
2012-02-17,71,88.63
2012-02-24,63,88.56
2012-03-02,55,89.34
2012-03-09,61,90.98
2012-03-16,36,92.96
2012-03-23,45,90.89
2012-03-30,64,92.66
2012-04-13,53,87.56
2012-04-20,72,88.75
2012-04-27,66,83.82
2012-05-04,63,83.51
2012-05-11,45,84.82
2012-05-18,68,80.81
2012-05-25,81,82.1
2012-06-01,67,77.07
2012-06-08,43,78.78
2012-06-15,67,80.56
2012-06-22,71,81.09
2012-06-29,63,79.47
2012-07-06,67,77.31
2012-07-13,48,76.63
2012-07-20,70,76.48
2012-07-27,76,79.06
2012-08-03,56,77.11
2012-08-10,71,78.65
2012-08-17,70,75.26
2012-08-24,83,77.72
2012-08-31,63,80.19
2012-09-07,69,83.18
2012-09-14,55,85.04
2012-09-21,43,84.69
2012-09-28,81,83.33
2012-10-05,74,84.35
2012-10-12,50,80.38
2012-10-19,56,79.88
2012-10-26,59,81.56
2012-11-02,74,83.49
2012-11-09,58,82.97
2012-11-16,77,81.21
2012-11-23,73,83.64
2012-11-30,66,84.55
2012-12-07,72,85.5
2012-12-14,63,87.35
2012-12-21,79,88.42
2012-12-28,62,86.25
2013-01-04,76,86.82
2013-01-11,63,90.61
2013-01-18,58,91.89
2013-01-25,78,92.61
2013-02-01,66,93.09
2013-02-08,85,92.53
2013-02-15,64,92.61
2013-02-22,75,92.65
2013-03-01,66,93.77
2013-03-08,67,94.48
2013-03-15,57,94.82
2013-03-22,61,93.26
2013-04-05,77,92.39
2013-04-12,68,94.33
2013-04-19,56,88.45
2013-04-26,55,92.3
2013-05-03,66,93
2013-05-10,72,96.91
2013-05-17,73,98
2013-05-24,69,97.79
2013-05-31,75,96.71
2013-06-07,63,98.38
2013-06-14,67,98.6
2013-06-21,68,99.26
2013-06-28,62,100.05
2013-07-05,67,102.01
2013-07-12,69,104.53
2013-07-19,68,104.74
2013-07-26,75,100.16
2013-08-02,63,102.09
2013-08-09,71,103.41
2013-08-16,92,98.47
2013-08-23,73,99.63
2013-08-30,62,98.85
2013-09-06,56,101.62
2013-09-13,48,104.19
2013-09-20,67,106.54
2013-09-27,83,107.28
2013-10-04,56,105
2013-10-11,53,104.48
2013-10-18,58,106.48
2013-10-25,56,101.99
2013-11-01,63,100.58
2013-11-08,73,100.12
2013-11-15,61,102.12
2013-11-22,56,101.09
2013-11-29,72,99.53
2013-12-06,64,98.21
2013-12-13,78,96.03
2013-12-20,70,99.58
2013-12-27,72,99.36
2014-01-03,69,98.04
2014-01-10,75,101.46
2014-01-17,65,104.4
2014-01-24,74,103.02
2014-01-31,57,108.27
2014-02-07,54,108.72
2014-02-14,69,112.48
2014-02-21,54,113.31
2014-02-28,60,111.4
2014-03-07,54,112.72
2014-03-14,59,113.04
2014-03-21,51,110.74
2014-03-28,60,107.68
2014-04-04,40,111.03
2014-04-11,52,108
2014-04-25,64,108.7
