"Date","MKC","Price"
2007-02-23,31,39.36
2007-03-02,29,37.48
2007-03-09,17,37.53
2007-03-16,43,37.64
2007-03-23,36,39.18
2007-03-30,33,38.52
2007-04-13,25,38.46
2007-04-20,28,38.1
2007-04-27,41,37.3
2007-05-04,31,37.27
2007-05-11,30,36.97
2007-05-18,20,37.41
2007-05-25,28,37.32
2007-06-01,25,37.32
2007-06-08,27,37.36
2007-06-15,27,37.62
2007-06-22,25,36.93
2007-06-29,27,38.18
2007-07-06,20,37.44
2007-07-13,21,37.2
2007-07-20,25,36.63
2007-07-27,26,34.84
2007-08-03,24,34.85
2007-08-10,30,35.91
2007-08-17,29,37.51
2007-08-24,29,36.93
2007-08-31,26,35.84
2007-09-07,31,34.99
2007-09-14,26,35.4
2007-09-21,29,36.71
2007-09-28,24,35.97
2007-10-05,19,35.49
2007-10-12,24,35.52
2007-10-19,30,35.57
2007-10-26,24,34.88
2007-11-02,26,34.41
2007-11-09,25,34.9
2007-11-16,33,38.03
2007-11-23,28,37.88
2007-11-30,29,38.21
2007-12-07,27,38.36
2007-12-14,20,37.06
2007-12-21,31,38.9
2007-12-28,19,38.21
2008-01-04,26,36.65
2008-01-11,31,36.98
2008-01-18,32,35.98
2008-01-25,26,34.02
2008-02-01,35,34.46
2008-02-08,28,33.55
2008-02-15,28,35.22
2008-02-22,40,35.61
2008-02-29,37,34.45
2008-03-07,28,34.58
2008-03-14,36,34.77
2008-03-28,28,36.87
2008-04-04,31,37.79
2008-04-11,26,36.96
2008-04-18,35,38
2008-04-25,33,38
2008-05-02,24,37.2
2008-05-09,25,36.9
2008-05-16,24,37.21
2008-05-23,27,36.31
2008-05-30,28,37.58
2008-06-06,28,37.76
2008-06-13,24,37.99
2008-06-20,31,37.12
2008-06-27,17,35.88
2008-07-11,24,36.53
2008-07-18,23,38.82
2008-07-25,31,39.32
2008-08-01,28,39.83
2008-08-08,30,41.55
2008-08-15,23,41.53
2008-08-22,36,40.61
2008-08-29,29,40.45
2008-09-05,24,40.05
2008-09-12,34,41.57
2008-09-19,24,39.98
2008-09-26,31,38.87
2008-10-03,28,38.5
2008-10-10,28,34.26
2008-10-17,22,34.46
2008-10-24,32,31.52
2008-10-31,22,33.66
2008-11-07,29,31.15
2008-11-14,33,30.79
2008-11-21,26,30.27
2008-11-28,27,29.77
2008-12-05,24,29.73
2008-12-12,31,29.43
2008-12-19,29,31.5
2008-12-26,28,31.49
2009-01-02,22,32.23
2009-01-09,34,30.86
2009-01-16,26,31.01
2009-01-23,23,30.44
2009-01-30,31,32.04
2009-02-06,32,33.11
2009-02-13,26,31.97
2009-02-20,29,30.15
2009-02-27,30,31.35
2009-03-06,25,30.32
2009-03-13,34,31.81
2009-03-20,32,32.48
2009-03-27,25,29.34
2009-04-03,29,29.28
2009-04-17,36,29.06
2009-04-24,33,28.92
2009-05-01,29,29.5
2009-05-08,25,30.89
2009-05-15,33,31.17
2009-05-22,22,30.88
2009-05-29,28,30.52
2009-06-05,25,30.84
2009-06-12,22,31.97
2009-06-19,27,32.2
2009-06-26,32,32.55
2009-07-10,26,32.46
2009-07-17,23,32.76
2009-07-24,20,32.99
2009-07-31,28,32.22
2009-08-07,28,31.67
2009-08-14,21,31.79
2009-08-21,24,32.54
2009-08-28,27,32.33
2009-09-04,23,32.8
2009-09-11,27,33.49
2009-09-18,29,35.04
2009-09-25,26,33.69
2009-10-02,20,33.4
2009-10-09,21,33.67
2009-10-16,33,34.54
2009-10-23,26,34.38
2009-10-30,26,35.01
2009-11-06,21,35.06
2009-11-13,24,35.93
2009-11-20,24,35.96
2009-11-27,22,35.78
2009-12-04,30,36.51
2009-12-11,25,36.19
2009-12-18,25,35.93
2010-01-08,25,36.72
2010-01-15,27,37.59
2010-01-22,28,36.77
2010-01-29,24,36.3
2010-02-05,28,35.77
2010-02-12,27,36.08
2010-02-19,33,37.76
2010-02-26,25,37.11
2010-03-05,28,38
2010-03-12,24,38.31
2010-03-19,27,39.11
2010-03-26,30,37.63
2010-04-09,17,38.43
2010-04-16,21,38.64
2010-04-23,22,39.49
2010-04-30,22,39.57
2010-05-07,24,37.95
2010-05-14,26,39.28
2010-05-21,23,38.75
2010-05-28,26,38.57
2010-06-04,25,38.71
2010-06-11,22,39.68
2010-06-18,25,40.54
2010-06-25,21,38.97
2010-07-02,26,37.53
2010-07-09,22,38.29
2010-07-16,21,38.42
2010-07-23,24,38.98
2010-07-30,28,39.33
2010-08-06,18,39.32
2010-08-13,28,39.75
2010-08-20,27,40.9
2010-08-27,18,40.1
2010-09-03,21,40.55
2010-09-10,32,40.87
2010-09-17,21,41.24
2010-09-24,22,41.72
2010-10-01,21,41.66
2010-10-08,23,41.69
2010-10-15,19,42.92
2010-10-22,19,43.4
2010-10-29,27,44.2
2010-11-05,25,44.7
2010-11-12,26,43.66
2010-11-19,29,44.12
2010-11-26,24,44.27
2010-12-03,24,46.26
2010-12-10,24,46.51
2010-12-17,27,47.71
2010-12-31,23,46.53
2011-01-07,29,45.19
2011-01-14,22,45.95
2011-01-21,26,46.47
2011-01-28,25,44.51
2011-02-04,28,44.95
2011-02-11,28,45.1
2011-02-18,27,46.06
2011-02-25,27,47.34
2011-03-04,26,48.16
2011-03-11,30,48.86
2011-03-18,23,48.86
2011-03-25,22,49.61
2011-04-01,23,47.91
2011-04-08,24,46.96
2011-04-15,26,48.01
2011-04-29,23,49.12
2011-05-06,22,48.77
2011-05-13,24,49.69
2011-05-20,23,50.31
2011-05-27,22,49.8
2011-06-03,23,48.19
2011-06-10,23,48.25
2011-06-17,25,49.75
2011-06-24,25,50
2011-07-01,26,49.88
2011-07-08,27,49.1
2011-07-15,24,49.23
2011-07-22,20,50.25
2011-07-29,24,48.65
2011-08-05,22,46.6
2011-08-12,23,45.8
2011-08-19,18,44.29
2011-08-26,23,45.73
2011-09-02,23,46.62
2011-09-09,22,45.51
2011-09-16,23,46.95
2011-09-23,28,46.65
2011-09-30,23,46.16
2011-10-07,26,46.68
2011-10-14,25,47.49
2011-10-21,20,49.81
2011-10-28,21,49.62
2011-11-04,19,49.73
2011-11-11,21,49.55
2011-11-18,22,48.17
2011-11-25,24,47.44
2011-12-02,23,48.77
2011-12-09,23,49.79
2011-12-16,21,48.76
2011-12-23,22,50.34
2011-12-30,20,50.42
2012-01-06,19,50.38
2012-01-13,21,51.21
2012-01-20,18,51.51
2012-01-27,23,50.41
2012-02-03,20,51.24
2012-02-10,21,50.45
2012-02-17,23,50.78
2012-02-24,21,50.28
2012-03-02,22,50.8
2012-03-09,25,50.98
2012-03-16,23,51.73
2012-03-23,24,52.15
2012-03-30,24,54.43
2012-04-13,22,53.7
2012-04-20,23,55.41
2012-04-27,22,55.98
2012-05-04,21,55.79
2012-05-11,26,56.6
2012-05-18,24,56.43
2012-05-25,22,56.87
2012-06-01,17,55.2
2012-06-08,22,55.8
2012-06-15,22,57.76
2012-06-22,23,57.87
2012-06-29,19,60.65
2012-07-06,18,60.93
2012-07-13,20,60.9
2012-07-20,20,60.88
2012-07-27,18,61.27
2012-08-03,18,59.99
2012-08-10,16,60.16
2012-08-17,16,60.12
2012-08-24,20,61.1
2012-08-31,20,61.44
2012-09-07,22,63
2012-09-14,21,62.99
2012-09-21,16,63.16
2012-09-28,21,62.04
2012-10-05,22,62.64
2012-10-12,18,61.76
2012-10-19,15,61.64
2012-10-26,16,61.51
2012-11-02,17,61.48
2012-11-09,18,62
2012-11-16,22,63.55
2012-11-23,17,66.37
2012-11-30,20,64.56
2012-12-07,22,64.2
2012-12-14,18,64.42
2012-12-21,21,64.07
2012-12-28,22,62.64
2013-01-04,21,65.25
2013-01-11,25,65.07
2013-01-18,100,66.65
2013-01-25,52,61.87
2013-02-01,48,63.38
2013-02-08,38,63.63
2013-02-15,28,64.69
2013-02-22,34,66.2
2013-03-01,31,68.39
2013-03-08,24,70.2
2013-03-15,25,70.75
2013-03-22,29,72.19
2013-04-05,34,70.9
2013-04-12,27,71.72
2013-04-19,25,72.3
2013-04-26,25,71.2
2013-05-03,25,72.68
2013-05-10,26,73.08
2013-05-17,28,74.68
2013-05-24,23,73.83
2013-05-31,23,69.08
2013-06-07,30,70.92
2013-06-14,26,72.25
2013-06-21,28,71.44
2013-06-28,26,70.36
2013-07-05,22,69.68
2013-07-12,28,71.63
2013-07-19,24,73.07
2013-07-26,28,71.95
2013-08-02,25,72.74
2013-08-09,26,72.8
2013-08-16,25,70.69
2013-08-23,22,70.16
2013-08-30,29,67.65
2013-09-06,29,67.42
2013-09-13,27,67.79
2013-09-20,23,68.91
2013-09-27,27,65.4
2013-10-04,22,64.66
2013-10-11,26,66.28
2013-10-18,28,67.92
2013-10-25,26,69.15
2013-11-01,31,68.71
2013-11-08,27,69.1
2013-11-15,82,70.09
2013-11-22,56,69.36
2013-11-29,45,69
2013-12-06,41,69.37
2013-12-13,40,67.66
2013-12-20,44,68.61
2013-12-27,33,68.76
2014-01-03,33,68.55
2014-01-10,39,69.45
2014-01-17,39,68.95
2014-01-24,43,68.99
2014-01-31,51,64.18
2014-02-07,37,63.04
2014-02-14,36,65.5
2014-02-21,42,65.97
2014-02-28,38,66.4
2014-03-07,40,66.99
2014-03-14,38,67.65
2014-03-21,41,67.54
2014-03-28,41,71.32
2014-04-04,36,70.29
2014-04-11,44,70
2014-04-25,45,71.15
