"Date","BBBY","Price"
2011-05-06,9,55.68
2011-05-13,9,55.65
2011-05-20,8,53.83
2011-05-27,6,53.46
2011-06-03,9,51.61
2011-06-10,5,52.91
2011-06-17,6,51.99
2011-06-24,11,56.59
2011-07-01,8,59.39
2011-07-08,8,60.14
2011-07-15,9,58.66
2011-07-22,5,59.7
2011-07-29,6,58.49
2011-08-05,10,52.9
2011-08-12,7,54.43
2011-08-19,5,50.64
2011-08-26,6,54.9
2011-09-02,5,56.44
2011-09-09,6,56.29
2011-09-16,6,59.94
2011-09-23,14,57.22
2011-09-30,8,57.31
2011-10-07,5,57.13
2011-10-14,5,61.17
2011-10-21,6,61.81
2011-10-28,5,61.15
2011-11-04,5,62.03
2011-11-11,7,61.92
2011-11-18,6,59.99
2011-11-25,7,57.9
2011-12-02,8,60.81
2011-12-09,4,63.22
2011-12-16,5,61.22
2011-12-23,13,57.46
2011-12-30,7,57.97
2012-01-06,8,59.94
2012-01-13,6,59.02
2012-01-20,7,61.72
2012-01-27,7,62.54
2012-02-03,7,63.15
2012-02-10,7,58.98
2012-02-17,11,59.47
2012-02-24,6,60.35
2012-03-02,9,60.84
2012-03-09,9,62.66
2012-03-16,6,66.03
2012-03-23,7,66.11
2012-03-30,6,65.77
2012-04-13,10,69.41
2012-04-20,6,68.56
2012-04-27,5,71.18
2012-05-04,10,68.05
2012-05-11,9,71.55
2012-05-18,5,68.84
2012-05-25,9,72.4
2012-06-01,9,70.78
2012-06-08,7,70.81
2012-06-15,6,72.67
2012-06-22,27,61.2
2012-06-29,12,61.8
2012-07-06,9,61.85
2012-07-13,9,60.94
2012-07-20,9,61.38
2012-07-27,10,63.62
2012-08-03,7,62.44
2012-08-10,6,62.78
2012-08-17,9,66.56
2012-08-24,8,66.4
2012-08-31,11,67.17
2012-09-07,9,69.17
2012-09-14,9,71.6
2012-09-21,22,61.57
2012-09-28,12,63
2012-10-05,10,61.6
2012-10-12,8,61.45
2012-10-19,9,60.24
2012-10-26,8,57.45
2012-11-02,6,57.1
2012-11-09,7,57.08
2012-11-16,9,56.4
2012-11-23,9,60.16
2012-11-30,10,58.72
2012-12-07,6,58.21
2012-12-14,8,58.22
2012-12-21,21,55.72
2012-12-28,9,54.91
2013-01-04,8,56.9
2013-01-11,7,56.27
2013-01-18,7,55.4
2013-01-25,8,59.78
2013-02-01,11,59.22
2013-02-08,10,59.44
2013-02-15,13,57.69
2013-02-22,8,57.6
2013-03-01,7,56.93
2013-03-08,11,59.37
2013-03-15,9,60.93
2013-03-22,8,64.59
2013-04-05,8,63.76
2013-04-12,20,66.76
2013-04-19,9,66.77
2013-04-26,11,67.09
2013-05-03,7,68.57
2013-05-10,12,69.83
2013-05-17,9,69.11
2013-05-24,7,68.72
2013-05-31,6,68.25
2013-06-07,8,69.36
2013-06-14,7,71.07
2013-06-21,9,69.99
2013-06-28,13,70.95
2013-07-05,11,72.76
2013-07-12,10,76.74
2013-07-19,8,76.18
2013-07-26,5,75.3
2013-08-02,8,77.51
2013-08-09,7,76.03
2013-08-16,9,73.45
2013-08-23,8,74.41
2013-08-30,7,73.74
2013-09-06,7,71.84
2013-09-13,6,73.63
2013-09-20,7,75.47
2013-09-27,18,77.23
2013-10-04,7,77.97
2013-10-11,5,77.33
2013-10-18,5,76.35
2013-10-25,6,76.75
2013-11-01,6,76.91
2013-11-08,6,75.76
2013-11-15,6,78.16
2013-11-22,7,77.46
2013-11-29,6,78.03
2013-12-06,8,78.13
2013-12-13,7,76.52
2013-12-20,7,77.41
2013-12-27,6,79.32
2014-01-03,9,80.48
2014-01-10,23,69.94
2014-01-17,14,66.05
2014-01-24,13,64.59
2014-01-31,11,63.85
2014-02-07,8,64.11
2014-02-14,8,65.96
2014-02-21,9,64.99
2014-02-28,10,67.82
2014-03-07,8,69.16
2014-03-14,8,68.3
2014-03-21,6,67.55
2014-03-28,8,68.43
2014-04-04,5,69.22
2014-04-11,17,63.72
2014-04-25,6,62.48
