"Date","buy.DFS","Price"
2011-09-02,27,24.22
2011-09-09,24,23.92
2011-09-16,31,26.47
2011-09-23,31,25.35
2011-09-30,26,22.94
2011-10-07,25,23.41
2011-10-14,25,24.13
2011-10-21,26,23.15
2011-10-28,44,24.48
2011-11-04,39,24.5
2011-11-11,32,24.77
2011-11-18,27,23.03
2011-11-25,23,22.96
2011-12-02,52,24.21
2011-12-09,27,24.74
2011-12-16,34,24.23
2011-12-23,40,24.49
2011-12-30,67,24
2012-01-06,50,24.3
2012-01-13,26,26.51
2012-01-20,32,27.39
2012-01-27,23,27.14
2012-02-03,34,28.22
2012-02-10,23,28.18
2012-02-17,37,29.54
2012-02-24,25,30.19
2012-03-02,38,30.53
2012-03-09,31,30.61
2012-03-16,31,32.05
2012-03-23,35,33.83
2012-03-30,31,33.34
2012-04-13,32,32.89
2012-04-20,33,32.93
2012-04-27,35,34.09
2012-05-04,29,33.52
2012-05-11,22,34.12
2012-05-18,25,31.52
2012-05-25,39,32.73
2012-06-01,24,30.72
2012-06-08,24,32.82
2012-06-15,26,32.99
2012-06-22,29,33.61
2012-06-29,37,34.58
2012-07-06,29,35.31
2012-07-13,33,34.96
2012-07-20,51,34.91
2012-07-27,32,36.41
2012-08-03,23,36.49
2012-08-10,29,36.84
2012-08-17,46,37.77
2012-08-24,36,38.6
2012-08-31,34,38.73
2012-09-07,26,38.47
2012-09-14,25,39.31
2012-09-21,37,38.62
2012-09-28,39,39.73
2012-10-05,31,40.39
2012-10-12,37,38.79
2012-10-19,22,39.62
2012-10-26,39,40.25
2012-11-02,35,40.98
2012-11-09,26,41.08
2012-11-16,24,39.46
2012-11-23,35,41.46
2012-11-30,22,41.61
2012-12-07,39,41.15
2012-12-14,36,39.54
2012-12-21,34,38.5
2012-12-28,34,37.99
2013-01-04,50,40.04
2013-01-11,40,40.39
2013-01-18,41,38.55
2013-01-25,19,39.09
2013-02-01,36,38.8
2013-02-08,27,39.88
2013-02-15,19,39.15
2013-02-22,16,38.89
2013-03-01,20,39.08
2013-03-08,28,41.37
2013-03-15,42,44.14
2013-03-22,39,45
2013-04-05,37,43.07
2013-04-12,28,43.31
2013-04-19,25,43.34
2013-04-26,26,43.92
2013-05-03,32,45.93
2013-05-10,43,45.59
2013-05-17,25,47.7
2013-05-24,20,47.68
2013-05-31,36,47.41
2013-06-07,20,48.66
2013-06-14,25,47.34
2013-06-21,33,46.39
2013-06-28,33,47.64
2013-07-05,27,49.99
2013-07-12,19,50.89
2013-07-19,21,50.62
2013-07-26,27,49.45
2013-08-02,45,51.13
2013-08-09,23,50.18
2013-08-16,29,49.78
2013-08-23,25,49.54
2013-08-30,33,47.25
2013-09-06,26,48.59
2013-09-13,39,50.98
2013-09-20,28,52.12
2013-09-27,40,51.29
2013-10-04,39,50.57
2013-10-11,28,51.78
2013-10-18,47,53.95
2013-10-25,42,51
2013-11-01,26,52
2013-11-08,34,52.26
2013-11-15,31,52.39
2013-11-22,29,52.4
2013-11-29,32,53.3
2013-12-06,22,52.77
2013-12-13,26,53.02
2013-12-20,24,54
2013-12-27,55,54.5
2014-01-03,54,55.07
2014-01-10,41,55.41
2014-01-17,50,53.41
2014-01-24,35,53.88
2014-01-31,37,53.65
2014-02-07,48,55.25
2014-02-14,29,56.92
2014-02-21,42,56.71
2014-02-28,40,57.38
2014-03-07,33,59.28
2014-03-14,19,57.17
2014-03-21,34,57.76
2014-03-28,30,57.51
2014-04-04,40,58.39
2014-04-11,32,55.15
2014-04-25,37,55.53
