"Date","buy.APC","Price"
2011-06-17,28,70.45
2011-06-24,33,72.46
2011-07-01,41,77.91
2011-07-08,26,79.34
2011-07-15,44,80.19
2011-07-22,41,83.3
2011-07-29,49,82.56
2011-08-05,36,71.51
2011-08-12,33,71.71
2011-08-19,61,66.09
2011-08-26,44,69.27
2011-09-02,48,69.71
2011-09-09,28,69.88
2011-09-16,35,74.77
2011-09-23,28,66.58
2011-09-30,39,63.05
2011-10-07,30,65.12
2011-10-14,27,70.57
2011-10-21,43,79.04
2011-10-28,48,83.74
2011-11-04,47,82.46
2011-11-11,36,80.72
2011-11-18,31,76.7
2011-11-25,34,71.84
2011-12-02,53,80.48
2011-12-09,46,80.25
2011-12-16,46,72.94
2011-12-23,39,76.67
2011-12-30,34,76.33
2012-01-06,39,80.27
2012-01-13,41,78.01
2012-01-20,31,79.02
2012-01-27,35,79.32
2012-02-03,41,84.34
2012-02-10,44,87.04
2012-02-17,35,88.05
2012-02-24,30,87.3
2012-03-02,51,82.55
2012-03-09,33,85.25
2012-03-16,34,84.68
2012-03-23,36,79.41
2012-03-30,22,78.34
2012-04-13,21,74.96
2012-04-20,24,71.73
2012-04-27,56,73.79
2012-05-04,33,69.01
2012-05-11,49,68.31
2012-05-18,38,62.88
2012-05-25,50,63.08
2012-06-01,58,58.13
2012-06-08,36,63.84
2012-06-15,41,65.37
2012-06-22,40,61.93
2012-06-29,42,66.2
2012-07-06,28,65.51
2012-07-13,44,68.81
2012-07-20,44,72.06
2012-07-27,34,71.41
2012-08-03,49,68.41
2012-08-10,51,69.68
2012-08-17,43,70.34
2012-08-24,55,69.57
2012-08-31,55,69.27
2012-09-07,45,72.29
2012-09-14,63,75.59
2012-09-21,42,71.93
2012-09-28,38,69.92
2012-10-05,40,69.05
2012-10-12,51,69.18
2012-10-19,36,70.34
2012-10-26,44,66.49
2012-11-02,38,70.26
2012-11-09,34,70.65
2012-11-16,43,70.09
2012-11-23,43,74.55
2012-11-30,36,73.19
2012-12-07,24,76.32
2012-12-14,43,74.59
2012-12-21,36,75.8
2012-12-28,31,72.31
2013-01-04,49,78.27
2013-01-11,24,77.84
2013-01-18,35,77.55
2013-01-25,33,81
2013-02-01,31,81.18
2013-02-08,36,84.45
2013-02-15,30,82.08
2013-02-22,16,81.75
2013-03-01,38,79.82
2013-03-08,37,83.09
2013-03-15,40,85.35
2013-03-22,28,86.58
2013-04-05,32,85.03
2013-04-12,31,85.29
2013-04-19,21,79.99
2013-04-26,21,83.84
2013-05-03,25,86.6
2013-05-10,36,86.45
2013-05-17,38,90.03
2013-05-24,40,89.34
2013-05-31,35,87.47
2013-06-07,38,87.98
2013-06-14,34,86.11
2013-06-21,21,83.44
2013-06-28,32,85.93
2013-07-05,41,88.38
2013-07-12,39,90.7
2013-07-19,73,92.85
2013-07-26,46,88.51
2013-08-02,45,90.46
2013-08-09,39,89.8
2013-08-16,41,91.52
2013-08-23,23,89.8
2013-08-30,40,91.42
2013-09-06,48,93.01
2013-09-13,43,94.7
2013-09-20,32,93.69
2013-09-27,41,94.53
2013-10-04,23,93.9
2013-10-11,47,95.46
2013-10-18,42,97.42
2013-10-25,34,96.15
2013-11-01,29,94.39
2013-11-08,34,90.97
2013-11-15,25,90.93
2013-11-22,38,92.04
2013-11-29,45,88.82
2013-12-06,35,86.65
2013-12-13,30,78.3
2013-12-20,35,78.77
2013-12-27,37,79.4
2014-01-03,41,78.31
2014-01-10,46,79.83
2014-01-17,38,80.06
2014-01-24,31,81.09
2014-01-31,42,80.69
2014-02-07,49,80.17
2014-02-14,46,81.54
2014-02-21,41,82.31
2014-02-28,35,84.16
2014-03-07,55,85.26
2014-03-14,21,82
2014-03-21,31,83.59
2014-03-28,46,84.94
2014-04-04,35,101.05
2014-04-11,33,96.48
2014-04-25,37,99.5
