"Date","buy.MSI","Price"
2011-01-07,22,38.9
2011-01-14,25,38.28
2011-01-21,20,37.15
2011-01-28,19,37.96
2011-02-04,23,39.31
2011-02-11,20,39.34
2011-02-18,20,39.01
2011-02-25,16,38.14
2011-03-04,33,40.15
2011-03-11,20,41.24
2011-03-18,24,41.63
2011-03-25,22,43.95
2011-04-01,15,44.4
2011-04-08,24,43.86
2011-04-15,14,43.81
2011-04-29,15,45.88
2011-05-06,14,46.02
2011-05-13,21,46.65
2011-05-20,17,46.78
2011-05-27,14,47.58
2011-06-03,15,46.47
2011-06-10,13,45.3
2011-06-17,25,45.48
2011-06-24,15,45.4
2011-07-01,16,46.5
2011-07-08,15,45.08
2011-07-15,21,43.96
2011-07-22,23,44.77
2011-07-29,17,44.89
2011-08-05,17,42.13
2011-08-12,19,40
2011-08-19,21,38.72
2011-08-26,18,40.43
2011-09-02,24,40.4
2011-09-09,15,40.34
2011-09-16,16,44.81
2011-09-23,16,41.69
2011-09-30,15,41.9
2011-10-07,14,43.64
2011-10-14,13,45.02
2011-10-21,20,45.99
2011-10-28,18,47.41
2011-11-04,19,45.95
2011-11-11,17,46.24
2011-11-18,15,45.57
2011-11-25,18,43.7
2011-12-02,19,46.8
2011-12-09,14,47.02
2011-12-16,16,46.16
2011-12-23,23,47.12
2011-12-30,15,46.29
2012-01-06,21,46.55
2012-01-13,19,46.48
2012-01-20,15,47.59
2012-01-27,21,45.8
2012-02-03,16,47.13
2012-02-10,16,47.4
2012-02-17,15,50.63
2012-02-24,20,49.43
2012-03-02,17,50.84
2012-03-09,16,50.74
2012-03-16,15,50.53
2012-03-23,14,50.67
2012-03-30,12,50.83
2012-04-13,12,48.4
2012-04-20,14,49.01
2012-04-27,18,50.75
2012-05-04,18,50.61
2012-05-11,20,49.83
2012-05-18,18,46.97
2012-05-25,15,48.02
2012-06-01,16,46.96
2012-06-08,15,48.6
2012-06-15,11,48.7
2012-06-22,13,47.88
2012-06-29,17,48.11
2012-07-06,15,46.97
2012-07-13,17,45.95
2012-07-20,17,46.5
2012-07-27,13,47.76
2012-08-03,12,47.06
2012-08-10,14,48.1
2012-08-17,20,47.85
2012-08-24,19,47.63
2012-08-31,19,47.66
2012-09-07,15,49.3
2012-09-14,18,50.54
2012-09-21,15,51.79
2012-09-28,14,50.55
2012-10-05,18,51.32
2012-10-12,14,50.09
2012-10-19,15,50.23
2012-10-26,18,51.62
2012-11-02,15,52.9
2012-11-09,16,53.11
2012-11-16,13,52.89
2012-11-23,22,54.76
2012-11-30,17,54.45
2012-12-07,20,54.6
2012-12-14,14,54.05
2012-12-21,20,54.58
2012-12-28,18,54.08
2013-01-04,17,56.28
2013-01-11,16,57.5
2013-01-18,13,59.01
2013-01-25,15,58.6
2013-02-01,16,58.87
2013-02-08,12,60.3
2013-02-15,14,61.43
2013-02-22,13,61.9
2013-03-01,13,62.03
2013-03-08,11,62.75
2013-03-15,16,62.07
2013-03-22,13,63.61
2013-04-05,17,62.67
2013-04-12,15,63.87
2013-04-19,14,61.72
2013-04-26,14,56.8
2013-05-03,13,57.29
2013-05-10,15,56.48
2013-05-17,13,57.84
2013-05-24,13,57.81
2013-05-31,13,57.96
2013-06-07,17,56.94
2013-06-14,19,56.93
2013-06-21,17,55.82
2013-06-28,17,57.73
2013-07-05,23,57.93
2013-07-12,18,59.54
2013-07-19,20,59.85
2013-07-26,21,54.26
2013-08-02,20,56.02
2013-08-09,24,57.36
2013-08-16,18,57.15
2013-08-23,24,56.74
2013-08-30,15,56.01
2013-09-06,15,56.47
2013-09-13,15,57.46
2013-09-20,18,60.39
2013-09-27,16,59.75
2013-10-04,20,61.14
2013-10-11,14,60.52
2013-10-18,19,60.81
2013-10-25,15,62.99
2013-11-01,19,62.39
2013-11-08,22,63.12
2013-11-15,22,65.57
2013-11-22,20,65.88
2013-11-29,26,65.88
2013-12-06,23,66.18
2013-12-13,23,65.05
2013-12-20,21,65.61
2013-12-27,20,67.33
2014-01-03,23,66.2
2014-01-10,19,66.15
2014-01-17,21,66.1
2014-01-24,21,64.42
2014-01-31,21,63.8
2014-02-07,18,64.6
2014-02-14,17,65.61
2014-02-21,18,65.02
2014-02-28,17,66.2
2014-03-07,19,66.64
2014-03-14,21,63.67
2014-03-21,19,66.81
2014-03-28,19,64.3
2014-04-04,21,64.26
2014-04-11,21,63.39
2014-04-25,16,62.5
