"Date","Amgen.Inc","Price"
2011-10-07,19,56.27
2011-10-14,19,57.49
2011-10-21,18,58.59
2011-10-28,18,57.24
2011-11-04,19,55.17
2011-11-11,19,57.86
2011-11-18,20,55.57
2011-11-25,21,54.65
2011-12-02,21,58.1
2011-12-09,19,58.59
2011-12-16,20,60.05
2011-12-23,20,63.69
2011-12-30,21,64.21
2012-01-06,22,64.76
2012-01-13,23,67.6
2012-01-20,23,69.57
2012-01-27,24,68.34
2012-02-03,29,69.28
2012-02-10,24,67.36
2012-02-17,24,67.78
2012-02-24,16,67.73
2012-03-02,24,67.73
2012-03-09,17,68.01
2012-03-16,17,67.38
2012-03-23,17,66.66
2012-03-30,19,67.97
2012-04-13,16,65.59
2012-04-20,16,68.47
2012-04-27,17,71.64
2012-05-04,19,69.77
2012-05-11,20,70.78
2012-05-18,16,69.15
2012-05-25,16,69.05
2012-06-01,16,67.75
2012-06-08,19,68.87
2012-06-15,17,71.29
2012-06-22,19,72.46
2012-06-29,20,72.91
2012-07-06,22,73.85
2012-07-13,23,76.96
2012-07-20,16,77.77
2012-09-07,15,83.96
2012-09-14,17,81.36
2012-09-21,18,82.03
2012-09-28,19,84.29
2012-11-09,16,85.17
2012-11-16,18,84.54
2012-11-23,19,87.6
2012-11-30,19,88.8
2012-12-07,19,88.32
2012-12-14,15,89.2
2012-12-21,15,87.16
2012-12-28,15,85.24
2013-01-04,15,88.98
2013-01-11,15,86.96
2013-01-18,20,82.08
2013-01-25,25,83.42
2013-02-01,14,86.3
2013-02-08,15,86.77
2013-02-15,15,83.61
2013-02-22,16,86.82
2013-03-01,16,92.58
2013-03-08,17,93
2013-03-15,17,91.81
2013-03-22,17,96.56
2013-04-05,18,104.04
2013-04-12,23,111.57
2013-04-19,20,111.38
2013-04-26,20,108.38
2013-05-03,15,106.48
2013-05-10,15,106.72
2013-05-17,21,105.63
2013-05-24,13,105.91
2013-05-31,14,100.53
2013-06-07,15,98.81
2013-06-14,14,97.42
2013-06-21,14,98.28
2013-06-28,14,98.66
2013-07-05,14,97.64
2013-07-12,14,104.27
2013-07-19,17,109.39
2013-07-26,19,109.6
2013-08-02,16,109.06
2013-08-09,16,109.63
2013-08-16,17,104.91
2013-08-23,19,105.6
2013-08-30,20,108.94
2013-09-06,13,111.01
2013-09-13,15,115.06
2013-09-20,17,116.85
2013-09-27,20,113.19
2013-10-04,15,112.91
2013-10-11,16,110.89
2013-10-18,14,114.92
2013-10-25,14,116.32
2013-11-01,13,118.69
2013-11-08,17,113.21
2013-11-15,21,114.98
2013-11-22,25,113.03
2013-11-29,17,114.08
2013-12-06,17,114.12
2013-12-13,17,112.16
2013-12-20,17,114.03
2013-12-27,17,115.12
2014-01-03,17,114.47
2014-01-10,17,117.99
2014-01-17,15,119.15
2014-01-24,12,119.29
2014-01-31,20,118.95
2014-02-07,22,118.9
2014-02-14,15,123.84
2014-02-21,19,123.85
2014-02-28,22,124.02
2014-03-07,19,122.26
2014-03-14,23,122.54
2014-03-21,22,122.93
2014-03-28,22,120.55
2014-04-04,20,119.11
2014-04-11,15,111.94
2014-04-25,16,111.41
