Date,BA,Price
2008-08-22,56,65.55
2008-08-29,58,65.56
2008-09-05,58,62.89
2008-09-12,56,63.30
2008-09-19,55,59.76
2008-09-26,56,58.32
2008-10-03,56,53.83
2008-10-10,62,41.80
2008-10-17,53,44.55
2008-10-24,56,45.24
2008-10-31,52,52.42
2008-11-07,52,46.58
2008-11-14,52,41.04
2008-11-21,52,39.58
2008-11-28,53,42.63
2008-12-05,52,39.53
2008-12-12,51,39.20
2008-12-19,52,41.24
2008-12-26,49,40.53
2009-01-02,55,45.25
2009-01-09,61,44.45
2009-01-16,60,42.46
2009-01-23,58,41.98
2009-01-30,57,42.31
2009-02-06,60,42.92
2009-02-13,58,40.48
2009-02-20,58,36.31
2009-02-27,57,31.44
2009-03-06,62,30.10
2009-03-13,60,33.40
2009-03-20,62,32.55
2009-03-27,59,37.53
2009-04-03,59,37.69
2009-04-10,56,
2009-04-17,59,38.32
2009-04-24,57,38.72
2009-05-01,57,41.21
2009-05-08,60,45.83
2009-05-15,60,43.00
2009-05-22,60,42.94
2009-05-29,61,44.85
2009-06-05,60,52.65
2009-06-12,60,51.44
2009-06-19,63,48.44
2009-06-26,60,41.88
2009-07-03,62,
2009-07-10,65,39.65
2009-07-17,66,41.36
2009-07-24,66,42.37
2009-07-31,64,42.91
2009-08-07,64,46.69
2009-08-14,63,44.87
2009-08-21,64,45.87
2009-08-28,66,51.04
2009-09-04,64,49.15
2009-09-11,62,51.35
2009-09-18,63,53.02
2009-09-25,63,51.52
2009-10-02,62,51.40
2009-10-09,63,52.69
2009-10-16,60,53.19
2009-10-23,59,49.89
2009-10-30,61,47.80
2009-11-06,63,49.68
2009-11-13,66,50.68
2009-11-20,69,51.70
2009-11-27,70,52.45
2009-12-04,66,54.68
2009-12-11,66,55.60
2009-12-18,80,53.44
2009-12-25,75,
2010-01-01,72,
2010-01-08,81,61.60
2010-01-15,80,60.82
2010-01-22,78,57.77
2010-01-29,78,60.60
2010-02-05,77,58.40
2010-02-12,74,59.65
2010-02-19,69,63.59
2010-02-26,86,63.16
2010-03-05,82,67.93
2010-03-12,88,69.83
2010-03-19,96,70.72
2010-03-26,94,72.59
2010-04-02,91,
2010-04-09,91,72.42
2010-04-16,92,70.79
2010-04-23,94,75.13
2010-04-30,88,72.43
2010-05-07,84,66.72
2010-05-14,94,69.82
2010-05-21,90,64.56
2010-05-28,86,64.18
2010-06-04,84,61.15
2010-06-11,71,65.38
2010-06-18,68,67.96
2010-06-25,68,68.77
2010-07-02,70,61.94
2010-07-09,73,64.66
2010-07-16,74,61.90
2010-07-23,71,67.93
2010-07-30,71,68.14
2010-08-06,70,68.70
2010-08-13,69,64.84
2010-08-20,75,64.60
2010-08-27,71,63.16
2010-09-03,68,64.64
2010-09-10,68,63.84
2010-09-17,68,62.95
2010-09-24,70,64.60
2010-10-01,71,66.83
2010-10-08,76,69.23
2010-10-15,70,70.11
2010-10-22,69,71.26
2010-10-29,70,70.64
2010-11-05,70,71.27
2010-11-12,70,63.09
2010-11-19,69,63.59
2010-11-26,70,64.80
2010-12-03,72,66.54
2010-12-10,70,64.16
2010-12-17,70,65.03
2010-12-24,76,
2010-12-31,70,65.26
2011-01-07,76,69.38
2011-01-14,76,70.07
2011-01-21,73,71.68
2011-01-28,74,69.23
2011-02-04,67,71.38
2011-02-11,75,72.14
2011-02-18,76,73.04
2011-02-25,74,72.30
2011-03-04,72,71.80
2011-03-11,69,71.64
2011-03-18,73,69.10
2011-03-25,72,73.34
2011-04-01,71,74.01
2011-04-08,74,73.47
2011-04-15,72,72.60
2011-04-22,70,
2011-04-29,71,79.78
2011-05-06,71,79.31
2011-05-13,72,79.03
2011-05-20,75,77.52
2011-05-27,76,76.99
2011-06-03,79,74.84
2011-06-10,74,72.69
2011-06-17,77,74.16
2011-06-24,75,71.26
2011-07-01,80,74.27
2011-07-08,78,75.07
2011-07-15,83,71.28
2011-07-22,81,72.67
2011-07-29,81,70.47
2011-08-05,82,62.75
2011-08-12,84,61.75
2011-08-19,82,57.54
2011-08-26,79,62.80
2011-09-02,76,64.03
2011-09-09,75,61.79
2011-09-16,79,65.38
2011-09-23,81,59.51
2011-09-30,81,60.51
2011-10-07,81,61.81
2011-10-14,79,63.89
2011-10-21,85,64.59
2011-10-28,80,68.17
2011-11-04,85,65.80
2011-11-11,83,66.92
2011-11-18,79,67.46
2011-11-25,80,62.78
2011-12-02,80,71.30
2011-12-09,77,71.93
2011-12-16,76,71.01
2011-12-23,75,73.97
2011-12-30,77,73.35
2012-01-06,83,73.98
2012-01-13,81,74.60
2012-01-20,82,75.52
2012-01-27,81,74.55
2012-02-03,83,76.34
2012-02-10,87,74.95
2012-02-17,81,75.35
2012-02-24,76,76.06
2012-03-02,84,74.90
2012-03-09,85,73.29
2012-03-16,87,75.20
2012-03-23,83,73.97
2012-03-30,83,74.37
2012-04-06,80,
2012-04-13,81,72.92
2012-04-20,81,73.55
2012-04-27,81,77.27
2012-05-04,79,75.84
2012-05-11,79,73.56
2012-05-18,82,69.15
2012-05-25,82,70.00
2012-06-01,82,67.24
2012-06-08,86,69.94
2012-06-15,88,71.99
2012-06-22,86,71.96
2012-06-29,85,74.30
2012-07-06,93,73.69
2012-07-13,88,73.51
2012-07-20,88,73.89
2012-07-27,86,75.51
2012-08-03,83,72.81
2012-08-10,89,74.21
2012-08-17,91,73.91
2012-08-24,86,71.09
2012-08-31,83,71.40
2012-09-07,82,72.89
2012-09-14,79,71.28
2012-09-21,80,69.97
2012-09-28,80,69.60
2012-10-05,80,70.89
2012-10-12,83,71.85
2012-10-19,77,74.01
2012-10-26,78,71.11
2012-11-02,75,70.05
2012-11-09,76,73.25
2012-11-16,73,70.77
2012-11-23,74,73.74
2012-11-30,72,74.28
2012-12-07,72,74.64
2012-12-14,76,74.02
2012-12-21,75,76.17
2012-12-28,75,74.69
2013-01-04,98,77.69
2013-01-11,85,75.16
2013-01-18,79,75.04
2013-01-25,82,75.03
2013-02-01,78,74.87
2013-02-08,74,76.56
2013-02-15,66,75.03
2013-02-22,78,76.66
2013-03-01,81,77.28
2013-03-08,80,81.23
2013-03-15,81,86.43
2013-03-22,80,84.82
2013-03-29,78,
2013-04-05,84,86.17
2013-04-12,79,88.89
2013-04-19,81,87.96
2013-04-26,81,92.85
2013-05-03,81,93.74
2013-05-10,80,94.24
2013-05-17,81,98.92
2013-05-24,78,100.00
2013-05-31,79,99.02
2013-06-07,77,102.49
2013-06-14,81,101.83
2013-06-21,81,99.98
2013-06-28,89,102.44
2013-07-05,90,104.20
2013-07-12,89,101.87
2013-07-19,88,106.96
2013-07-26,88,105.60
2013-08-02,93,107.90
2013-08-09,100,105.33
2013-08-16,100,103.47
2013-08-23,93,105.48
2013-08-30,90,103.92
2013-09-06,90,106.07
2013-09-13,85,111.33
2013-09-20,82,116.63
2013-09-27,87,118.74
2013-10-04,81,117.20
2013-10-11,81,117.98
2013-10-18,81,122.52
2013-10-25,76,131.19
2013-11-01,78,133.03
2013-11-08,77,133.49
2013-11-15,78,136.08
2013-11-22,77,135.97
2013-11-29,76,134.25
2013-12-06,73,135.18
2013-12-13,76,133.83
2013-12-20,74,136.67
2013-12-27,73,136.90
2014-01-03,76,137.62
2014-01-10,81,141.90
2014-01-17,76,140.46
2014-01-24,75,136.65
2014-01-31,74,125.26
2014-02-07,78,127.02
2014-02-14,81,130.16
2014-02-21,83,128.28
2014-02-28,82,128.92
2014-03-07,81,128.54
2014-03-14,84,123.11
2014-03-21,81,122.58
2014-03-28,82,124.46
2014-04-04,79,127.38
2014-04-11,84,122.07
2014-04-18,83,
2014-04-25,80,128.66
2014-05-02, ,
