Date,buy IBM,Price
2011-06-03,8,165.05
2011-06-10,7,163.18
2011-06-17,8,164.44
2011-06-24,6,165.07
2011-07-01,9,174.54
2011-07-08,5,176.49
2011-07-15,9,175.54
2011-07-22,6,185.18
2011-07-29,9,181.85
2011-08-05,7,172.98
2011-08-12,9,168.20
2011-08-19,12,157.54
2011-08-26,9,169.14
2011-09-02,7,166.98
2011-09-09,5,161.37
2011-09-16,6,172.99
2011-09-23,6,169.34
2011-09-30,9,174.87
2011-10-07,7,182.39
2011-10-14,6,190.53
2011-10-21,7,181.63
2011-10-28,7,187.45
2011-11-04,7,186.38
2011-11-11,6,187.38
2011-11-18,7,185.24
2011-11-25,7,177.06
2011-12-02,9,189.66
2011-12-09,7,194.56
2011-12-16,5,183.57
2011-12-23,7,184.75
2011-12-30,5,183.88
2012-01-06,6,182.54
2012-01-13,8,179.16
2012-01-20,6,188.52
2012-01-27,5,190.46
2012-02-03,7,193.64
2012-02-10,7,192.42
2012-02-17,6,193.42
2012-02-24,8,197.76
2012-03-02,8,198.81
2012-03-09,5,200.62
2012-03-16,7,206.01
2012-03-23,5,205.48
2012-03-30,6,208.65
2012-04-06,6,
2012-04-13,6,202.80
2012-04-20,7,199.60
2012-04-27,6,206.81
2012-05-04,7,204.99
2012-05-11,5,201.17
2012-05-18,6,195.88
2012-05-25,6,194.30
2012-06-01,6,189.08
2012-06-08,3,195.14
2012-06-15,5,199.10
2012-06-22,5,193.70
2012-06-29,4,195.58
2012-07-06,6,191.41
2012-07-13,7,186.01
2012-07-20,7,192.45
2012-07-27,5,196.39
2012-08-03,5,198.52
2012-08-10,6,199.29
2012-08-17,8,201.22
2012-08-24,5,197.77
2012-08-31,7,194.85
2012-09-07,6,199.50
2012-09-14,5,206.81
2012-09-21,6,205.98
2012-09-28,5,207.45
2012-10-05,6,210.59
2012-10-12,6,207.80
2012-10-19,6,193.36
2012-10-26,5,193.27
2012-11-02,6,193.43
2012-11-09,6,189.64
2012-11-16,6,186.94
2012-11-23,7,193.49
2012-11-30,7,190.07
2012-12-07,6,191.95
2012-12-14,6,191.76
2012-12-21,6,193.42
2012-12-28,5,189.83
2013-01-04,5,193.99
2013-01-11,5,194.45
2013-01-18,6,194.47
2013-01-25,6,204.97
2013-02-01,5,205.18
2013-02-08,6,201.68
2013-02-15,6,200.98
2013-02-22,5,201.09
2013-03-01,6,202.91
2013-03-08,6,210.38
2013-03-15,7,214.92
2013-03-22,5,212.08
2013-03-29,4,
2013-04-05,5,209.41
2013-04-12,6,211.38
2013-04-19,6,190.00
2013-04-26,8,194.31
2013-05-03,7,204.51
2013-05-10,6,204.47
2013-05-17,4,208.44
2013-05-24,5,205.72
2013-05-31,5,208.02
2013-06-07,6,206.35
2013-06-14,5,202.20
2013-06-21,6,195.46
2013-06-28,5,191.11
2013-07-05,4,194.93
2013-07-12,5,192.07
2013-07-19,6,193.54
2013-07-26,5,197.35
2013-08-02,5,195.16
2013-08-09,5,187.82
2013-08-16,5,185.34
2013-08-23,6,185.42
2013-08-30,5,182.27
2013-09-06,5,183.03
2013-09-13,6,192.17
2013-09-20,6,190.02
2013-09-27,5,186.92
2013-10-04,5,184.10
2013-10-11,5,186.16
2013-10-18,7,173.78
2013-10-25,6,176.85
2013-11-01,6,179.23
2013-11-08,6,179.99
2013-11-15,5,183.19
2013-11-22,5,181.30
2013-11-29,7,179.68
2013-12-06,5,177.67
2013-12-13,6,172.80
2013-12-20,6,180.02
2013-12-27,4,185.08
2014-01-03,4,186.64
2014-01-10,5,187.26
2014-01-17,5,190.09
2014-01-24,11,179.64
2014-01-31,7,176.68
2014-02-07,6,177.25
2014-02-14,6,183.69
2014-02-21,5,182.79
2014-02-28,6,185.17
2014-03-07,6,187.68
2014-03-14,5,182.21
2014-03-21,5,186.67
2014-03-28,6,190.45
2014-04-04,7,191.77
2014-04-11,4,195.19
2014-04-18,6,
2014-04-25,4,189.63
2014-05-02, ,
