Date,CAT,Price
2009-01-16,64,39.55
2009-01-23,62,35.66
2009-01-30,63,30.85
2009-02-06,62,33.28
2009-02-13,58,30.94
2009-02-20,63,26.66
2009-02-27,64,24.61
2009-03-06,65,23.23
2009-03-13,63,26.78
2009-03-20,61,27.07
2009-03-27,60,30.35
2009-04-03,59,32.15
2009-04-10,58,
2009-04-17,57,32.29
2009-04-24,57,33.63
2009-05-01,57,37.26
2009-05-08,58,39.64
2009-05-15,59,35.74
2009-05-22,59,34.31
2009-05-29,60,35.46
2009-06-05,62,38.47
2009-06-12,62,37.73
2009-06-19,61,33.65
2009-06-26,58,34.56
2009-07-03,58,
2009-07-10,59,30.53
2009-07-17,62,33.99
2009-07-24,63,42.00
2009-07-31,64,44.06
2009-08-07,65,47.78
2009-08-14,63,46.00
2009-08-21,63,47.30
2009-08-28,64,46.71
2009-09-04,62,46.11
2009-09-11,63,48.53
2009-09-18,63,53.42
2009-09-25,62,51.20
2009-10-02,61,48.83
2009-10-09,61,53.64
2009-10-16,61,54.57
2009-10-23,63,57.60
2009-10-30,68,55.06
2009-11-06,61,57.60
2009-11-13,63,58.78
2009-11-20,62,57.95
2009-11-27,63,57.45
2009-12-04,64,58.30
2009-12-11,63,57.51
2009-12-18,60,57.19
2009-12-25,61,
2010-01-01,66,
2010-01-08,63,60.34
2010-01-15,62,60.12
2010-01-22,62,54.25
2010-01-29,60,52.24
2010-02-05,59,51.75
2010-02-12,58,56.20
2010-02-19,60,58.25
2010-02-26,63,57.05
2010-03-05,66,59.23
2010-03-12,60,60.36
2010-03-19,59,59.37
2010-03-26,60,62.44
2010-04-02,59,
2010-04-09,58,65.27
2010-04-16,59,66.88
2010-04-23,59,68.78
2010-04-30,58,68.09
2010-05-07,59,62.10
2010-05-14,60,64.88
2010-05-21,60,60.09
2010-05-28,58,60.76
2010-06-04,58,57.76
2010-06-11,58,60.23
2010-06-18,57,65.85
2010-06-25,55,64.71
2010-07-02,57,59.18
2010-07-09,59,64.72
2010-07-16,60,63.94
2010-07-23,65,69.31
2010-07-30,64,69.75
2010-08-06,64,71.56
2010-08-13,63,68.01
2010-08-20,63,68.86
2010-08-27,71,65.90
2010-09-03,61,70.08
2010-09-10,63,71.26
2010-09-17,62,73.18
2010-09-24,63,79.73
2010-10-01,63,78.22
2010-10-08,62,80.37
2010-10-15,62,79.75
2010-10-22,64,78.33
2010-10-29,68,78.60
2010-11-05,64,83.54
2010-11-12,61,81.04
2010-11-19,67,83.97
2010-11-26,62,84.13
2010-12-03,65,89.38
2010-12-10,67,89.94
2010-12-17,62,92.59
2010-12-24,62,
2010-12-31,62,93.66
2011-01-07,65,93.73
2011-01-14,67,94.01
2011-01-21,62,92.75
2011-01-28,63,95.68
2011-02-04,63,99.59
2011-02-11,64,103.54
2011-02-18,65,105.86
2011-02-25,63,102.00
2011-03-04,64,103.04
2011-03-11,64,100.02
2011-03-18,59,105.06
2011-03-25,63,109.09
2011-04-01,62,113.12
2011-04-08,65,109.82
2011-04-15,65,107.21
2011-04-22,67,
2011-04-29,68,115.41
2011-05-06,68,110.34
2011-05-13,68,106.33
2011-05-20,66,104.33
2011-05-27,69,104.60
2011-06-03,72,101.10
2011-06-10,69,96.79
2011-06-17,71,95.95
2011-06-24,73,100.01
2011-07-01,70,108.62
2011-07-08,68,110.41
2011-07-15,70,109.36
2011-07-22,68,105.15
2011-07-29,70,98.79
2011-08-05,70,90.99
2011-08-12,71,89.81
2011-08-19,71,79.97
2011-08-26,67,85.16
2011-09-02,66,85.38
2011-09-09,67,83.96
2011-09-16,71,85.90
2011-09-23,68,73.86
2011-09-30,74,73.84
2011-10-07,71,75.52
2011-10-14,71,84.09
2011-10-21,73,87.39
2011-10-28,79,96.85
2011-11-04,77,95.74
2011-11-11,74,96.13
2011-11-18,72,93.93
2011-11-25,72,86.72
2011-12-02,70,96.29
2011-12-09,73,95.97
2011-12-16,74,87.20
2011-12-23,74,92.25
2011-12-30,73,90.60
2012-01-06,72,95.76
2012-01-13,75,102.48
2012-01-20,71,105.64
2012-01-27,74,111.28
2012-02-03,75,113.94
2012-02-10,74,111.75
2012-02-17,72,113.95
2012-02-24,73,116.00
2012-03-02,76,112.49
2012-03-09,72,110.22
2012-03-16,70,113.58
2012-03-23,70,107.83
2012-03-30,69,106.52
2012-04-06,71,
2012-04-13,70,105.89
2012-04-20,70,107.73
2012-04-27,73,104.56
2012-05-04,77,98.44
2012-05-11,73,95.50
2012-05-18,71,88.68
2012-05-25,70,89.94
2012-06-01,68,85.52
2012-06-08,73,87.60
2012-06-15,69,86.93
2012-06-22,72,84.96
2012-06-29,71,84.91
2012-07-06,70,84.61
2012-07-13,71,82.07
2012-07-20,71,80.95
2012-07-27,73,86.16
2012-08-03,73,85.02
2012-08-10,74,88.94
2012-08-17,73,90.01
2012-08-24,75,87.47
2012-08-31,75,85.33
2012-09-07,75,88.10
2012-09-14,74,93.17
2012-09-21,75,91.72
2012-09-28,76,86.04
2012-10-05,74,85.43
2012-10-12,75,82.82
2012-10-19,76,83.86
2012-10-26,81,84.25
2012-11-02,80,85.79
2012-11-09,73,84.95
2012-11-16,75,81.93
2012-11-23,74,84.16
2012-11-30,82,85.24
2012-12-07,82,86.99
2012-12-14,85,89.00
2012-12-21,82,87.90
2012-12-28,85,86.81
2013-01-04,84,94.92
2013-01-11,84,95.19
2013-01-18,78,97.62
2013-01-25,80,95.58
2013-02-01,80,99.49
2013-02-08,80,96.85
2013-02-15,78,95.61
2013-02-22,78,91.54
2013-03-01,83,91.36
2013-03-08,80,90.51
2013-03-15,79,88.83
2013-03-22,77,87.48
2013-03-29,82,
2013-04-05,78,84.60
2013-04-12,77,85.05
2013-04-19,79,80.43
2013-04-26,78,84.68
2013-05-03,76,86.98
2013-05-10,74,88.62
2013-05-17,78,87.67
2013-05-24,78,86.21
2013-05-31,80,85.80
2013-06-07,79,84.65
2013-06-14,83,83.87
2013-06-21,80,83.12
2013-06-28,80,82.49
2013-07-05,80,82.14
2013-07-12,79,87.17
2013-07-19,80,85.65
2013-07-26,83,82.06
2013-08-02,82,84.30
2013-08-09,86,84.51
2013-08-16,86,85.16
2013-08-23,80,83.89
2013-08-30,82,82.54
2013-09-06,78,83.39
2013-09-13,78,87.01
2013-09-20,78,84.75
2013-09-27,78,83.80
2013-10-04,78,84.20
2013-10-11,80,85.61
2013-10-18,85,87.34
2013-10-25,86,84.77
2013-11-01,100,83.59
2013-11-08,83,84.24
2013-11-15,87,83.74
2013-11-22,84,82.88
2013-11-29,85,84.60
2013-12-06,82,85.50
2013-12-13,84,86.05
2013-12-20,83,88.93
2013-12-27,86,90.87
2014-01-03,86,89.82
2014-01-10,83,90.51
2014-01-17,86,91.44
2014-01-24,83,86.17
2014-01-31,80,93.91
2014-02-07,78,94.87
2014-02-14,80,96.55
2014-02-21,85,97.50
2014-02-28,86,96.97
2014-03-07,82,97.05
2014-03-14,81,95.39
2014-03-21,80,97.39
2014-03-28,80,99.39
2014-04-04,79,102.17
2014-04-11,78,101.45
2014-04-18,81,
2014-04-25,82,104.69
2014-05-02, ,
