Date,KO,Price
2008-01-25,28,58.41
2008-02-01,27,59.26
2008-02-08,29,59.25
2008-02-15,27,58.76
2008-02-22,28,58.26
2008-02-29,27,58.46
2008-03-07,27,58.85
2008-03-14,28,57.53
2008-03-21,28,
2008-03-28,27,60.94
2008-04-04,27,60.25
2008-04-11,27,60.29
2008-04-18,28,60.11
2008-04-25,28,59.33
2008-05-02,28,58.77
2008-05-09,28,56.15
2008-05-16,30,57.07
2008-05-23,30,58.63
2008-05-30,31,57.26
2008-06-06,32,55.80
2008-06-13,32,55.42
2008-06-20,31,53.66
2008-06-27,32,51.84
2008-07-04,32,
2008-07-11,32,50.27
2008-07-18,33,50.03
2008-07-25,33,52.06
2008-08-01,34,53.14
2008-08-08,36,55.41
2008-08-15,33,55.06
2008-08-22,34,54.37
2008-08-29,34,52.07
2008-09-05,34,51.93
2008-09-12,32,54.50
2008-09-19,32,52.72
2008-09-26,32,52.48
2008-10-03,33,52.57
2008-10-10,33,41.50
2008-10-17,33,44.20
2008-10-24,33,41.61
2008-10-31,32,44.06
2008-11-07,32,46.25
2008-11-14,33,45.02
2008-11-21,33,44.00
2008-11-28,33,46.87
2008-12-05,33,45.98
2008-12-12,35,44.57
2008-12-19,34,44.43
2008-12-26,36,44.58
2009-01-02,36,45.90
2009-01-09,33,44.60
2009-01-16,34,43.84
2009-01-23,35,42.20
2009-01-30,35,42.72
2009-02-06,35,43.55
2009-02-13,35,43.85
2009-02-20,35,42.84
2009-02-27,37,40.85
2009-03-06,36,39.10
2009-03-13,35,41.22
2009-03-20,36,42.64
2009-03-27,36,45.10
2009-04-03,37,44.97
2009-04-10,37,
2009-04-17,36,45.02
2009-04-24,36,42.79
2009-05-01,35,42.47
2009-05-08,39,42.92
2009-05-15,38,44.96
2009-05-22,38,47.30
2009-05-29,40,49.16
2009-06-05,40,49.44
2009-06-12,40,48.89
2009-06-19,40,48.81
2009-06-26,39,48.13
2009-07-03,38,
2009-07-10,39,48.31
2009-07-17,42,50.32
2009-07-24,40,49.36
2009-07-31,39,49.84
2009-08-07,42,49.34
2009-08-14,41,48.47
2009-08-21,41,49.91
2009-08-28,42,49.06
2009-09-04,41,49.95
2009-09-11,40,51.51
2009-09-18,39,53.76
2009-09-25,38,52.97
2009-10-02,37,53.87
2009-10-09,39,54.65
2009-10-16,38,55.01
2009-10-23,37,53.24
2009-10-30,37,53.31
2009-11-06,38,54.49
2009-11-13,40,56.46
2009-11-20,40,57.48
2009-11-27,40,57.18
2009-12-04,38,57.49
2009-12-11,40,59.11
2009-12-18,39,56.92
2009-12-25,46,
2010-01-01,44,
2010-01-08,41,55.15
2010-01-15,41,56.29
2010-01-22,41,54.24
2010-01-29,41,54.25
2010-02-05,42,53.09
2010-02-12,39,53.98
2010-02-19,39,55.72
2010-02-26,39,52.72
2010-03-05,41,54.70
2010-03-12,42,53.35
2010-03-19,42,54.75
2010-03-26,44,54.65
2010-04-02,43,
2010-04-09,43,54.59
2010-04-16,40,54.97
2010-04-23,40,53.88
2010-04-30,40,53.45
2010-05-07,40,52.67
2010-05-14,42,53.34
2010-05-21,43,51.59
2010-05-28,41,51.40
2010-06-04,41,51.27
2010-06-11,42,51.65
2010-06-18,44,52.31
2010-06-25,45,50.26
2010-07-02,44,50.05
2010-07-09,46,52.40
2010-07-16,46,52.37
2010-07-23,46,54.75
2010-07-30,46,55.11
2010-08-06,49,56.75
2010-08-13,48,55.73
2010-08-20,49,55.30
2010-08-27,47,56.16
2010-09-03,47,57.56
2010-09-10,47,58.52
2010-09-17,48,57.56
2010-09-24,46,58.62
2010-10-01,46,59.12
2010-10-08,45,59.41
2010-10-15,46,59.94
2010-10-22,46,61.61
2010-10-29,47,61.32
2010-11-05,46,62.58
2010-11-12,47,62.92
2010-11-19,49,64.32
2010-11-26,48,64.11
2010-12-03,48,64.50
2010-12-10,49,64.65
2010-12-17,48,65.70
2010-12-24,52,
2010-12-31,55,65.77
2011-01-07,51,62.92
2011-01-14,50,63.13
2011-01-21,51,62.77
2011-01-28,51,62.21
2011-02-04,46,62.56
2011-02-11,51,63.57
2011-02-18,50,64.55
2011-02-25,51,64.31
2011-03-04,49,65.21
2011-03-11,51,64.81
2011-03-18,48,62.70
2011-03-25,51,65.22
2011-04-01,50,67.22
2011-04-08,52,67.27
2011-04-15,53,68.01
2011-04-22,60,
2011-04-29,67,67.46
2011-05-06,62,66.90
2011-05-13,63,68.18
2011-05-20,59,68.30
2011-05-27,61,66.51
2011-06-03,62,65.53
2011-06-10,60,65.39
2011-06-17,61,65.62
2011-06-24,61,64.93
2011-07-01,61,68.09
2011-07-08,64,68.68
2011-07-15,67,67.53
2011-07-22,63,69.73
2011-07-29,66,68.01
2011-08-05,66,66.77
2011-08-12,65,67.14
2011-08-19,66,67.10
2011-08-26,62,68.50
2011-09-02,64,69.74
2011-09-09,64,69.37
2011-09-16,64,71.23
2011-09-23,69,67.42
2011-09-30,65,67.56
2011-10-07,64,65.90
2011-10-14,68,67.85
2011-10-21,66,68.19
2011-10-28,65,68.93
2011-11-04,68,67.78
2011-11-11,69,68.12
2011-11-18,69,67.39
2011-11-25,70,64.74
2011-12-02,69,66.38
2011-12-09,68,67.57
2011-12-16,71,67.44
2011-12-23,71,69.94
2011-12-30,73,69.97
2012-01-06,72,68.93
2012-01-13,69,66.99
2012-01-20,70,68.09
2012-01-27,72,67.44
2012-02-03,81,68.08
2012-02-10,78,67.94
2012-02-17,80,69.05
2012-02-24,81,69.00
2012-03-02,78,69.18
2012-03-09,79,69.51
2012-03-16,80,70.16
2012-03-23,79,71.49
2012-03-30,82,74.01
2012-04-06,82,
2012-04-13,79,71.94
2012-04-20,75,74.13
2012-04-27,75,76.63
2012-05-04,77,77.00
2012-05-11,81,77.47
2012-05-18,83,74.05
2012-05-25,85,75.23
2012-06-01,87,73.09
2012-06-08,88,75.24
2012-06-15,82,76.09
2012-06-22,80,74.94
2012-06-29,81,78.19
2012-07-06,88,78.15
2012-07-13,92,77.28
2012-07-20,93,77.03
2012-07-27,99,80.01
2012-08-03,96,80.83
2012-08-10,96,78.79
2012-08-17,100,39.53
2012-08-24,92,38.47
2012-08-31,90,37.40
2012-09-07,86,37.90
2012-09-14,84,38.12
2012-09-21,90,38.03
2012-09-28,90,37.93
2012-10-05,91,38.58
2012-10-12,87,38.23
2012-10-19,82,37.40
2012-10-26,79,37.04
2012-11-02,76,37.08
2012-11-09,79,36.29
2012-11-16,76,36.56
2012-11-23,78,37.93
2012-11-30,82,37.92
2012-12-07,73,37.71
2012-12-14,79,37.66
2012-12-21,70,36.89
2012-12-28,77,35.97
2013-01-04,73,37.66
2013-01-11,67,36.91
2013-01-18,69,37.70
2013-01-25,69,37.05
2013-02-01,66,37.54
2013-02-08,66,38.77
2013-02-15,65,37.42
2013-02-22,67,38.52
2013-03-01,66,38.70
2013-03-08,68,39.22
2013-03-15,67,38.83
2013-03-22,70,40.04
2013-03-29,70,
2013-04-05,70,40.08
2013-04-12,68,41.08
2013-04-19,70,42.66
2013-04-26,68,42.10
2013-05-03,70,42.24
2013-05-10,69,42.15
2013-05-17,67,42.97
2013-05-24,69,42.24
2013-05-31,70,39.99
2013-06-07,69,41.41
2013-06-14,71,40.34
2013-06-21,72,39.76
2013-06-28,71,40.11
2013-07-05,74,40.52
2013-07-12,75,41.03
2013-07-19,74,41.09
2013-07-26,73,40.64
2013-08-02,74,40.22
2013-08-09,74,40.16
2013-08-16,78,39.05
2013-08-23,75,38.52
2013-08-30,77,38.18
2013-09-06,75,38.35
2013-09-13,73,38.69
2013-09-20,73,39.40
2013-09-27,76,38.40
2013-10-04,78,37.20
2013-10-11,81,37.77
2013-10-18,84,38.78
2013-10-25,83,39.03
2013-11-01,82,39.61
2013-11-08,77,40.05
2013-11-15,80,40.22
2013-11-22,81,40.43
2013-11-29,83,40.19
2013-12-06,81,40.46
2013-12-13,83,39.23
2013-12-20,87,40.04
2013-12-27,91,40.66
2014-01-03,86,40.46
2014-01-10,82,40.13
2014-01-17,86,39.28
2014-01-24,85,38.84
2014-01-31,82,37.82
2014-02-07,82,37.95
2014-02-14,87,38.93
2014-02-21,87,37.18
2014-02-28,89,38.20
2014-03-07,87,38.55
2014-03-14,88,38.17
2014-03-21,89,38.44
2014-03-28,90,38.95
2014-04-04,88,38.22
2014-04-11,91,38.63
2014-04-18,95,
2014-04-25,95,41.01
2014-05-02, ,
