Date,INTC,Price
2005-11-11,40,25.13
2005-11-18,35,25.30
2005-11-25,37,26.81
2005-12-02,43,27.43
2005-12-09,45,26.08
2005-12-16,30,26.38
2005-12-23,30,25.97
2005-12-30,33,24.96
2006-01-06,43,26.31
2006-01-13,44,25.79
2006-01-20,83,21.76
2006-01-27,64,21.67
2006-02-03,66,20.74
2006-02-10,59,21.29
2006-02-17,72,20.61
2006-02-24,68,20.36
2006-03-03,83,20.32
2006-03-10,70,19.85
2006-03-17,70,19.54
2006-03-24,60,19.60
2006-03-31,66,19.46
2006-04-07,73,19.24
2006-04-14,72,
2006-04-21,87,19.06
2006-04-28,65,19.98
2006-05-05,59,19.51
2006-05-12,66,19.04
2006-05-19,63,18.36
2006-05-26,53,18.22
2006-06-02,51,18.23
2006-06-09,53,17.16
2006-06-16,68,18.30
2006-06-23,63,18.00
2006-06-30,54,19.00
2006-07-07,57,18.56
2006-07-14,58,17.88
2006-07-21,97,17.15
2006-07-28,80,18.18
2006-08-04,63,17.49
2006-08-11,58,17.41
2006-08-18,66,18.40
2006-08-25,55,18.90
2006-09-01,71,19.88
2006-09-08,79,19.45
2006-09-15,47,19.51
2006-09-22,46,19.07
2006-09-29,66,20.57
2006-10-06,52,20.63
2006-10-13,64,21.60
2006-10-20,80,21.33
2006-10-27,59,21.10
2006-11-03,50,20.51
2006-11-10,47,20.58
2006-11-17,62,22.10
2006-11-24,48,21.59
2006-12-01,48,20.93
2006-12-08,40,20.68
2006-12-15,43,20.96
2006-12-22,43,20.08
2006-12-29,35,20.25
2007-01-05,48,21.10
2007-01-12,53,22.13
2007-01-19,100,20.82
2007-01-26,55,20.53
2007-02-02,52,21.23
2007-02-09,44,21.03
2007-02-16,43,21.23
2007-02-23,34,20.76
2007-03-02,50,19.22
2007-03-09,39,19.10
2007-03-16,37,19.15
2007-03-23,39,19.27
2007-03-30,41,19.13
2007-04-06,40,
2007-04-13,44,20.46
2007-04-20,76,22.16
2007-04-27,59,21.87
2007-05-04,51,21.90
2007-05-11,47,22.28
2007-05-18,49,22.70
2007-05-25,48,22.16
2007-06-01,30,22.36
2007-06-08,42,21.83
2007-06-15,41,24.24
2007-06-22,49,23.70
2007-06-29,40,23.74
2007-07-06,40,24.68
2007-07-13,58,25.97
2007-07-20,95,24.55
2007-07-27,52,23.54
2007-08-03,34,23.91
2007-08-10,39,23.98
2007-08-17,40,23.70
2007-08-24,34,24.79
2007-08-31,39,25.75
2007-09-07,36,25.47
2007-09-14,38,24.93
2007-09-21,42,25.87
2007-09-28,35,25.86
2007-10-05,37,25.54
2007-10-12,39,25.55
2007-10-19,74,26.30
2007-10-26,46,25.94
2007-11-02,44,26.80
2007-11-09,42,25.15
2007-11-16,36,25.51
2007-11-23,24,25.07
2007-11-30,29,26.08
2007-12-07,43,27.73
2007-12-14,38,26.29
2007-12-21,39,26.96
2007-12-28,29,26.76
2008-01-04,51,22.67
2008-01-11,44,21.99
2008-01-18,91,19.00
2008-01-25,59,20.00
2008-02-01,44,21.77
2008-02-08,47,20.27
2008-02-15,39,20.11
2008-02-22,26,19.82
2008-02-29,31,19.97
2008-03-07,31,20.07
2008-03-14,31,20.66
2008-03-21,31,
2008-03-28,31,20.79
2008-04-04,34,21.87
2008-04-11,36,21.24
2008-04-18,60,22.55
2008-04-25,35,22.56
2008-05-02,33,23.58
2008-05-09,32,23.37
2008-05-16,32,25.00
2008-05-23,27,23.41
2008-05-30,25,23.18
2008-06-06,29,22.90
2008-06-13,27,22.66
2008-06-20,24,22.37
2008-06-27,22,21.49
2008-07-04,21,
2008-07-11,26,20.64
2008-07-18,45,22.09
2008-07-25,27,22.01
2008-08-01,26,22.35
2008-08-08,26,24.23
2008-08-15,27,24.26
2008-08-22,24,23.49
2008-08-29,24,22.87
2008-09-05,21,20.61
2008-09-12,23,20.16
2008-09-19,33,19.23
2008-09-26,27,19.20
2008-10-03,40,17.31
2008-10-10,46,15.19
2008-10-17,57,15.50
2008-10-24,38,14.28
2008-10-31,37,16.03
2008-11-07,30,14.63
2008-11-14,37,13.32
2008-11-21,34,13.11
2008-11-28,24,13.80
2008-12-05,27,13.29
2008-12-12,26,14.75
2008-12-19,25,14.44
2008-12-26,19,14.18
2009-01-02,22,15.20
2009-01-09,24,14.15
2009-01-16,29,13.74
2009-01-23,23,13.12
2009-01-30,19,12.90
2009-02-06,18,14.73
2009-02-13,21,13.88
2009-02-20,18,12.78
2009-02-27,21,12.74
2009-03-06,21,12.41
2009-03-13,24,14.70
2009-03-20,23,14.65
2009-03-27,24,15.42
2009-04-03,23,15.95
2009-04-10,20,
2009-04-17,47,15.60
2009-04-24,32,15.62
2009-05-01,20,15.81
2009-05-08,27,15.29
2009-05-15,32,15.19
2009-05-22,16,15.05
2009-05-29,16,15.72
2009-06-05,17,15.92
2009-06-12,13,16.31
2009-06-19,15,16.01
2009-06-26,14,16.29
2009-07-03,13,
2009-07-10,18,16.04
2009-07-17,46,18.79
2009-07-24,25,19.36
2009-07-31,26,19.25
2009-08-07,20,18.50
2009-08-14,17,18.77
2009-08-21,16,18.89
2009-08-28,21,20.25
2009-09-04,19,19.64
2009-09-11,17,19.51
2009-09-18,16,19.56
2009-09-25,16,19.37
2009-10-02,15,18.97
2009-10-09,14,20.17
2009-10-16,48,20.18
2009-10-23,22,19.78
2009-10-30,19,19.11
2009-11-06,15,18.93
2009-11-13,20,19.82
2009-11-20,17,19.24
2009-11-27,13,19.11
2009-12-04,18,20.46
2009-12-11,17,19.90
2009-12-18,15,19.63
2009-12-25,12,
2010-01-01,14,
2010-01-08,17,20.83
2010-01-15,43,20.80
2010-01-22,20,19.91
2010-01-29,20,19.40
2010-02-05,16,19.47
2010-02-12,15,20.43
2010-02-19,12,20.82
2010-02-26,14,20.53
2010-03-05,14,20.79
2010-03-12,14,21.27
2010-03-19,17,21.99
2010-03-26,16,22.24
2010-04-02,13,
2010-04-09,13,22.55
2010-04-16,43,23.92
2010-04-23,25,24.04
2010-04-30,22,22.84
2010-05-07,20,21.31
2010-05-14,23,21.89
2010-05-21,17,20.91
2010-05-28,18,21.42
2010-06-04,11,20.95
2010-06-11,16,20.64
2010-06-18,12,21.40
2010-06-25,14,20.03
2010-07-02,13,19.20
2010-07-09,13,20.24
2010-07-16,40,21.02
2010-07-23,17,21.69
2010-07-30,16,20.60
2010-08-06,15,20.65
2010-08-13,19,19.15
2010-08-20,21,18.91
2010-08-27,21,18.37
2010-09-03,19,18.43
2010-09-10,16,17.97
2010-09-17,17,18.81
2010-09-24,15,19.42
2010-10-01,12,19.32
2010-10-08,14,19.52
2010-10-15,35,19.32
2010-10-22,17,19.84
2010-10-29,16,20.05
2010-11-05,15,21.24
2010-11-12,21,21.53
2010-11-19,17,21.14
2010-11-26,12,21.34
2010-12-03,12,21.69
2010-12-10,12,21.91
2010-12-17,12,21.46
2010-12-24,13,
2010-12-31,14,21.03
2011-01-07,15,20.66
2011-01-14,28,21.08
2011-01-21,16,20.82
2011-01-28,20,21.46
2011-02-04,20,21.68
2011-02-11,15,21.76
2011-02-18,15,22.14
2011-02-25,15,21.86
2011-03-04,14,21.56
2011-03-11,12,20.87
2011-03-18,14,19.93
2011-03-25,12,20.37
2011-04-01,14,19.72
2011-04-08,16,20.02
2011-04-15,17,19.75
2011-04-22,34,
2011-04-29,25,23.15
2011-05-06,32,23.25
2011-05-13,24,23.41
2011-05-20,21,23.22
2011-05-27,15,22.21
2011-06-03,13,21.73
2011-06-10,12,21.38
2011-06-17,12,21.19
2011-06-24,9,21.20
2011-07-01,12,22.53
2011-07-08,11,23.09
2011-07-15,13,22.37
2011-07-22,25,23.13
2011-07-29,16,22.33
2011-08-05,19,20.79
2011-08-12,25,20.65
2011-08-19,15,19.19
2011-08-26,16,19.77
2011-09-02,14,19.64
2011-09-09,11,19.70
2011-09-16,15,21.97
2011-09-23,17,22.16
2011-09-30,16,21.34
2011-10-07,15,22.29
2011-10-14,16,23.50
2011-10-21,30,24.03
2011-10-28,25,24.98
2011-11-04,18,23.74
2011-11-11,14,24.85
2011-11-18,16,24.29
2011-11-25,10,22.73
2011-12-02,15,24.64
2011-12-09,16,25.01
2011-12-16,16,23.23
2011-12-23,13,24.40
2011-12-30,11,24.25
2012-01-06,14,25.25
2012-01-13,17,25.14
2012-01-20,22,26.38
2012-01-27,21,26.73
2012-02-03,17,26.74
2012-02-10,12,26.70
2012-02-17,15,27.37
2012-02-24,15,26.70
2012-03-02,17,26.92
2012-03-09,12,27.07
2012-03-16,17,27.73
2012-03-23,15,27.88
2012-03-30,15,28.12
2012-04-06,15,
2012-04-13,16,28.09
2012-04-20,24,27.60
2012-04-27,17,28.38
2012-05-04,18,27.90
2012-05-11,19,27.63
2012-05-18,13,26.07
2012-05-25,15,25.74
2012-06-01,12,25.14
2012-06-08,14,26.41
2012-06-15,11,27.34
2012-06-22,14,26.94
2012-06-29,12,26.65
2012-07-06,12,26.16
2012-07-13,15,25.25
2012-07-20,21,25.52
2012-07-27,14,26.02
2012-08-03,12,26.23
2012-08-10,12,26.88
2012-08-17,12,26.33
2012-08-24,13,24.91
2012-08-31,14,24.83
2012-09-07,15,24.19
2012-09-14,19,23.37
2012-09-21,15,23.13
2012-09-28,15,22.66
2012-10-05,14,22.68
2012-10-12,16,21.48
2012-10-19,26,21.27
2012-10-26,16,21.95
2012-11-02,13,22.06
2012-11-09,16,20.80
2012-11-16,13,20.19
2012-11-23,17,19.72
2012-11-30,14,19.57
2012-12-07,16,20.16
2012-12-14,15,20.53
2012-12-21,15,20.77
2012-12-28,11,20.23
2013-01-04,17,21.16
2013-01-11,16,22.00
2013-01-18,30,21.25
2013-01-25,19,20.96
2013-02-01,17,21.36
2013-02-08,15,21.00
2013-02-15,16,21.12
2013-02-22,15,20.42
2013-03-01,16,21.03
2013-03-08,20,21.58
2013-03-15,16,21.38
2013-03-22,15,21.33
2013-03-29,18,
2013-04-05,18,20.94
2013-04-12,22,21.68
2013-04-19,30,22.44
2013-04-26,25,23.40
2013-05-03,27,23.96
2013-05-10,24,24.50
2013-05-17,20,24.04
2013-05-24,19,23.92
2013-05-31,19,24.28
2013-06-07,28,24.59
2013-06-14,18,24.92
2013-06-21,21,24.20
2013-06-28,19,24.23
2013-07-05,15,24.06
2013-07-12,21,23.90
2013-07-19,27,23.04
2013-07-26,18,23.26
2013-08-02,16,23.22
2013-08-09,15,22.51
2013-08-16,15,21.91
2013-08-23,18,22.44
2013-08-30,15,21.98
2013-09-06,13,22.67
2013-09-13,16,23.44
2013-09-20,18,23.77
2013-09-27,15,22.98
2013-10-04,12,22.81
2013-10-11,13,23.26
2013-10-18,22,23.88
2013-10-25,16,24.24
2013-11-01,17,24.33
2013-11-08,14,24.09
2013-11-15,13,24.52
2013-11-22,19,23.87
2013-11-29,15,23.84
2013-12-06,14,24.82
2013-12-13,14,24.29
2013-12-20,14,25.06
2013-12-27,13,25.60
2014-01-03,14,25.78
2014-01-10,18,25.53
2014-01-17,35,25.85
2014-01-24,18,24.81
2014-01-31,14,24.54
2014-02-07,15,24.21
2014-02-14,12,24.76
2014-02-21,13,24.42
2014-02-28,13,24.76
2014-03-07,13,24.64
2014-03-14,11,24.50
2014-03-21,12,25.17
2014-03-28,13,25.62
2014-04-04,15,26.16
2014-04-11,18,26.18
2014-04-18,22,
2014-04-25,16,26.26
2014-05-02, ,
