Date,buy CAT,Price
2005-12-02,62,58.81
2005-12-09,59,58.09
2005-12-16,50,59.64
2005-12-23,55,58.51
2005-12-30,65,57.77
2006-01-06,55,60.45
2006-01-13,44,62.33
2006-01-20,57,60.78
2006-01-27,58,67.53
2006-02-03,55,68.13
2006-02-10,42,68.75
2006-02-17,32,72.05
2006-02-24,37,72.70
2006-03-03,63,74.61
2006-03-10,48,70.95
2006-03-17,41,76.23
2006-03-24,41,75.50
2006-03-31,43,71.81
2006-04-07,44,74.92
2006-04-14,54,
2006-04-21,43,77.87
2006-04-28,48,75.74
2006-05-05,47,79.98
2006-05-12,39,77.81
2006-05-19,38,72.78
2006-05-26,38,74.42
2006-06-02,43,72.81
2006-06-09,44,67.52
2006-06-16,42,70.55
2006-06-23,45,72.14
2006-06-30,37,74.48
2006-07-07,46,72.58
2006-07-14,56,69.19
2006-07-21,35,68.35
2006-07-28,40,71.21
2006-08-04,39,73.10
2006-08-11,54,67.03
2006-08-18,42,68.31
2006-08-25,56,65.99
2006-09-01,47,67.27
2006-09-08,47,67.32
2006-09-15,42,65.43
2006-09-22,46,62.77
2006-09-29,46,65.80
2006-10-06,56,68.05
2006-10-13,48,69.08
2006-10-20,42,59.00
2006-10-27,56,61.27
2006-11-03,42,60.43
2006-11-10,49,59.60
2006-11-17,56,60.94
2006-11-24,54,62.87
2006-12-01,54,61.19
2006-12-08,51,63.40
2006-12-15,50,61.82
2006-12-22,52,60.59
2006-12-29,37,61.33
2007-01-05,45,60.22
2007-01-12,52,59.74
2007-01-19,46,59.37
2007-01-26,58,61.09
2007-02-02,57,65.25
2007-02-09,49,64.80
2007-02-16,48,67.67
2007-02-23,44,67.26
2007-03-02,38,63.04
2007-03-09,43,64.40
2007-03-16,48,63.16
2007-03-23,52,66.88
2007-03-30,46,67.03
2007-04-06,51,
2007-04-13,45,66.79
2007-04-20,50,71.82
2007-04-27,49,73.76
2007-05-04,53,73.10
2007-05-11,39,74.88
2007-05-18,52,74.77
2007-05-25,47,75.71
2007-06-01,40,78.14
2007-06-08,54,78.52
2007-06-15,38,81.11
2007-06-22,42,80.90
2007-06-29,57,78.30
2007-07-06,52,78.81
2007-07-13,48,85.13
2007-07-20,65,83.20
2007-07-27,61,76.02
2007-08-03,52,78.96
2007-08-10,51,77.55
2007-08-17,51,72.64
2007-08-24,61,76.32
2007-08-31,52,75.77
2007-09-07,53,73.44
2007-09-14,47,73.16
2007-09-21,58,78.16
2007-09-28,51,78.43
2007-10-05,46,80.33
2007-10-12,54,80.30
2007-10-19,62,73.57
2007-10-26,48,75.04
2007-11-02,52,74.76
2007-11-09,51,70.41
2007-11-16,64,69.44
2007-11-23,65,68.63
2007-11-30,50,71.90
2007-12-07,65,74.20
2007-12-14,53,73.39
2007-12-21,53,72.73
2007-12-28,69,73.16
2008-01-04,58,68.53
2008-01-11,56,66.01
2008-01-18,52,62.81
2008-01-25,53,65.93
2008-02-01,57,71.76
2008-02-08,56,68.01
2008-02-15,47,69.95
2008-02-22,62,71.18
2008-02-29,54,72.33
2008-03-07,62,69.84
2008-03-14,50,74.79
2008-03-21,52,
2008-03-28,50,77.09
2008-04-04,48,77.83
2008-04-11,47,74.80
2008-04-18,47,85.28
2008-04-25,42,82.25
2008-05-02,52,82.80
2008-05-09,43,81.76
2008-05-16,65,83.70
2008-05-23,51,81.55
2008-05-30,59,82.64
2008-06-06,45,79.99
2008-06-13,50,81.50
2008-06-20,55,79.08
2008-06-27,46,73.75
2008-07-04,54,
2008-07-11,54,69.81
2008-07-18,59,70.89
2008-07-25,54,70.48
2008-08-01,68,68.14
2008-08-08,57,70.90
2008-08-15,51,70.35
2008-08-22,57,70.27
2008-08-29,51,70.73
2008-09-05,53,64.07
2008-09-12,48,65.46
2008-09-19,60,66.49
2008-09-26,64,64.13
2008-10-03,69,51.21
2008-10-10,46,43.13
2008-10-17,62,39.32
2008-10-24,67,33.30
2008-10-31,60,38.20
2008-11-07,54,38.45
2008-11-14,54,36.96
2008-11-21,59,34.67
2008-11-28,61,40.99
2008-12-05,57,38.26
2008-12-12,81,42.08
2008-12-19,67,42.69
2008-12-26,76,42.72
2009-01-02,62,46.91
2009-01-09,62,43.20
2009-01-16,66,39.55
2009-01-23,54,35.66
2009-01-30,61,30.85
2009-02-06,59,33.28
2009-02-13,48,30.94
2009-02-20,60,26.66
2009-02-27,63,24.61
2009-03-06,71,23.23
2009-03-13,49,26.78
2009-03-20,59,27.07
2009-03-27,62,30.35
2009-04-03,62,32.15
2009-04-10,53,
2009-04-17,50,32.29
2009-04-24,47,33.63
2009-05-01,56,37.26
2009-05-08,55,39.64
2009-05-15,68,35.74
2009-05-22,50,34.31
2009-05-29,55,35.46
2009-06-05,56,38.47
2009-06-12,48,37.73
2009-06-19,62,33.65
2009-06-26,55,34.56
2009-07-03,50,
2009-07-10,52,30.53
2009-07-17,53,33.99
2009-07-24,58,42.00
2009-07-31,60,44.06
2009-08-07,64,47.78
2009-08-14,62,46.00
2009-08-21,58,47.30
2009-08-28,65,46.71
2009-09-04,66,46.11
2009-09-11,70,48.53
2009-09-18,57,53.42
2009-09-25,67,51.20
2009-10-02,64,48.83
2009-10-09,67,53.64
2009-10-16,66,54.57
2009-10-23,64,57.60
2009-10-30,67,55.06
2009-11-06,53,57.60
2009-11-13,62,58.78
2009-11-20,69,57.95
2009-11-27,65,57.45
2009-12-04,64,58.30
2009-12-11,70,57.51
2009-12-18,63,57.19
2009-12-25,71,
2010-01-01,76,
2010-01-08,58,60.34
2010-01-15,64,60.12
2010-01-22,54,54.25
2010-01-29,66,52.24
2010-02-05,49,51.75
2010-02-12,55,56.20
2010-02-19,63,58.25
2010-02-26,57,57.05
2010-03-05,57,59.23
2010-03-12,54,60.36
2010-03-19,54,59.37
2010-03-26,54,62.44
2010-04-02,60,
2010-04-09,57,65.27
2010-04-16,63,66.88
2010-04-23,64,68.78
2010-04-30,61,68.09
2010-05-07,66,62.10
2010-05-14,65,64.88
2010-05-21,58,60.09
2010-05-28,57,60.76
2010-06-04,51,57.76
2010-06-11,53,60.23
2010-06-18,59,65.85
2010-06-25,61,64.71
2010-07-02,51,59.18
2010-07-09,63,64.72
2010-07-16,58,63.94
2010-07-23,62,69.31
2010-07-30,66,69.75
2010-08-06,68,71.56
2010-08-13,60,68.01
2010-08-20,67,68.86
2010-08-27,67,65.90
2010-09-03,57,70.08
2010-09-10,55,71.26
2010-09-17,69,73.18
2010-09-24,64,79.73
2010-10-01,58,78.22
2010-10-08,60,80.37
2010-10-15,66,79.75
2010-10-22,59,78.33
2010-10-29,72,78.60
2010-11-05,57,83.54
2010-11-12,71,81.04
2010-11-19,71,83.97
2010-11-26,57,84.13
2010-12-03,73,89.38
2010-12-10,65,89.94
2010-12-17,71,92.59
2010-12-24,65,
2010-12-31,66,93.66
2011-01-07,65,93.73
2011-01-14,65,94.01
2011-01-21,54,92.75
2011-01-28,59,95.68
2011-02-04,65,99.59
2011-02-11,61,103.54
2011-02-18,59,105.86
2011-02-25,58,102.00
2011-03-04,59,103.04
2011-03-11,54,100.02
2011-03-18,57,105.06
2011-03-25,61,109.09
2011-04-01,62,113.12
2011-04-08,61,109.82
2011-04-15,67,107.21
2011-04-22,66,
2011-04-29,60,115.41
2011-05-06,57,110.34
2011-05-13,67,106.33
2011-05-20,62,104.33
2011-05-27,62,104.60
2011-06-03,63,101.10
2011-06-10,67,96.79
2011-06-17,68,95.95
2011-06-24,60,100.01
2011-07-01,64,108.62
2011-07-08,64,110.41
2011-07-15,67,109.36
2011-07-22,63,105.15
2011-07-29,62,98.79
2011-08-05,64,90.99
2011-08-12,69,89.81
2011-08-19,69,79.97
2011-08-26,56,85.16
2011-09-02,62,85.38
2011-09-09,64,83.96
2011-09-16,64,85.90
2011-09-23,67,73.86
2011-09-30,65,73.84
2011-10-07,73,75.52
2011-10-14,67,84.09
2011-10-21,65,87.39
2011-10-28,70,96.85
2011-11-04,63,95.74
2011-11-11,69,96.13
2011-11-18,58,93.93
2011-11-25,70,86.72
2011-12-02,68,96.29
2011-12-09,69,95.97
2011-12-16,68,87.20
2011-12-23,72,92.25
2011-12-30,71,90.60
2012-01-06,73,95.76
2012-01-13,55,102.48
2012-01-20,57,105.64
2012-01-27,62,111.28
2012-02-03,70,113.94
2012-02-10,71,111.75
2012-02-17,67,113.95
2012-02-24,68,116.00
2012-03-02,68,112.49
2012-03-09,70,110.22
2012-03-16,65,113.58
2012-03-23,64,107.83
2012-03-30,58,106.52
2012-04-06,67,
2012-04-13,63,105.89
2012-04-20,58,107.73
2012-04-27,60,104.56
2012-05-04,64,98.44
2012-05-11,63,95.50
2012-05-18,63,88.68
2012-05-25,62,89.94
2012-06-01,61,85.52
2012-06-08,62,87.60
2012-06-15,65,86.93
2012-06-22,66,84.96
2012-06-29,64,84.91
2012-07-06,66,84.61
2012-07-13,70,82.07
2012-07-20,70,80.95
2012-07-27,61,86.16
2012-08-03,71,85.02
2012-08-10,70,88.94
2012-08-17,75,90.01
2012-08-24,73,87.47
2012-08-31,79,85.33
2012-09-07,76,88.10
2012-09-14,72,93.17
2012-09-21,74,91.72
2012-09-28,74,86.04
2012-10-05,70,85.43
2012-10-12,68,82.82
2012-10-19,70,83.86
2012-10-26,79,84.25
2012-11-02,69,85.79
2012-11-09,77,84.95
2012-11-16,76,81.93
2012-11-23,76,84.16
2012-11-30,85,85.24
2012-12-07,78,86.99
2012-12-14,92,89.00
2012-12-21,86,87.90
2012-12-28,89,86.81
2013-01-04,82,94.92
2013-01-11,76,95.19
2013-01-18,78,97.62
2013-01-25,71,95.58
2013-02-01,69,99.49
2013-02-08,69,96.85
2013-02-15,69,95.61
2013-02-22,75,91.54
2013-03-01,71,91.36
2013-03-08,83,90.51
2013-03-15,79,88.83
2013-03-22,70,87.48
2013-03-29,69,
2013-04-05,70,84.60
2013-04-12,71,85.05
2013-04-19,73,80.43
2013-04-26,68,84.68
2013-05-03,76,86.98
2013-05-10,69,88.62
2013-05-17,64,87.67
2013-05-24,61,86.21
2013-05-31,70,85.80
2013-06-07,63,84.65
2013-06-14,72,83.87
2013-06-21,64,83.12
2013-06-28,68,82.49
2013-07-05,80,82.14
2013-07-12,66,87.17
2013-07-19,70,85.65
2013-07-26,75,82.06
2013-08-02,77,84.30
2013-08-09,76,84.51
2013-08-16,79,85.16
2013-08-23,77,83.89
2013-08-30,73,82.54
2013-09-06,81,83.39
2013-09-13,68,87.01
2013-09-20,71,84.75
2013-09-27,75,83.80
2013-10-04,73,84.20
2013-10-11,73,85.61
2013-10-18,74,87.34
2013-10-25,79,84.77
2013-11-01,78,83.59
2013-11-08,66,84.24
2013-11-15,76,83.74
2013-11-22,77,82.88
2013-11-29,81,84.60
2013-12-06,76,85.50
2013-12-13,77,86.05
2013-12-20,87,88.93
2013-12-27,85,90.87
2014-01-03,73,89.82
2014-01-10,73,90.51
2014-01-17,78,91.44
2014-01-24,73,86.17
2014-01-31,71,93.91
2014-02-07,74,94.87
2014-02-14,79,96.55
2014-02-21,79,97.50
2014-02-28,72,96.97
2014-03-07,78,97.05
2014-03-14,70,95.39
2014-03-21,71,97.39
2014-03-28,69,99.39
2014-04-04,62,102.17
2014-04-11,67,101.45
2014-04-18,69,
2014-04-25,72,104.69
2014-05-02, ,
