Date,"The Goldman Sachs Group, Inc.",Price
2005-12-23,56,128.11
2005-12-30,54,127.71
2006-01-06,65,128.84
2006-01-13,70,133.26
2006-01-20,67,131.44
2006-01-27,69,138.94
2006-02-03,70,142.74
2006-02-10,69,140.81
2006-02-17,65,145.54
2006-02-24,66,144.16
2006-03-03,67,146.00
2006-03-10,66,141.53
2006-03-17,65,150.36
2006-03-24,64,152.17
2006-03-31,65,156.96
2006-04-07,64,161.02
2006-04-14,64,
2006-04-21,65,165.89
2006-04-28,63,160.29
2006-05-05,65,164.39
2006-05-12,64,156.11
2006-05-19,60,149.41
2006-05-26,59,152.94
2006-06-02,57,154.09
2006-06-09,63,149.89
2006-06-16,63,144.00
2006-06-23,61,147.92
2006-06-30,61,150.43
2006-07-07,53,148.51
2006-07-14,64,140.10
2006-07-21,67,142.04
2006-07-28,65,151.72
2006-08-04,61,152.99
2006-08-11,61,151.11
2006-08-18,64,154.68
2006-08-25,60,150.07
2006-09-01,58,149.14
2006-09-08,53,149.80
2006-09-15,58,162.71
2006-09-22,58,167.52
2006-09-29,60,169.17
2006-10-06,56,175.65
2006-10-13,56,183.85
2006-10-20,58,180.40
2006-10-27,56,188.67
2006-11-03,56,187.13
2006-11-10,54,187.06
2006-11-17,56,195.04
2006-11-24,43,201.60
2006-12-01,53,194.50
2006-12-08,53,205.10
2006-12-15,52,199.84
2006-12-22,49,198.09
2006-12-29,41,199.35
2007-01-05,52,199.05
2007-01-12,56,213.99
2007-01-19,55,210.29
2007-01-26,58,213.50
2007-02-02,57,213.43
2007-02-09,56,213.28
2007-02-16,53,216.92
2007-02-23,55,216.50
2007-03-02,54,195.67
2007-03-09,55,201.70
2007-03-16,53,199.00
2007-03-23,53,211.89
2007-03-30,53,206.63
2007-04-06,53,
2007-04-13,53,206.50
2007-04-20,53,220.00
2007-04-27,55,224.28
2007-05-04,53,227.34
2007-05-11,52,227.50
2007-05-18,52,230.34
2007-05-25,51,225.53
2007-06-01,49,230.71
2007-06-08,54,225.06
2007-06-15,51,226.19
2007-06-22,52,222.40
2007-06-29,53,216.75
2007-07-06,45,223.64
2007-07-13,55,222.18
2007-07-20,55,205.94
2007-07-27,53,192.65
2007-08-03,53,179.68
2007-08-10,54,180.50
2007-08-17,53,175.00
2007-08-24,53,179.73
2007-08-31,51,176.01
2007-09-07,45,178.98
2007-09-14,51,190.59
2007-09-21,50,209.98
2007-09-28,49,216.74
2007-10-05,48,228.50
2007-10-12,47,233.56
2007-10-19,49,217.69
2007-10-26,47,235.92
2007-11-02,47,229.60
2007-11-09,45,211.33
2007-11-16,46,225.25
2007-11-23,36,216.48
2007-11-30,45,226.64
2007-12-07,43,217.89
2007-12-14,41,210.67
2007-12-21,41,209.60
2007-12-28,31,211.94
2008-01-04,39,199.93
2008-01-11,45,198.74
2008-01-18,45,187.21
2008-01-25,44,191.37
2008-02-01,45,207.78
2008-02-08,45,187.07
2008-02-15,45,178.41
2008-02-22,43,177.71
2008-02-29,44,169.63
2008-03-07,43,160.07
2008-03-14,42,156.86
2008-03-21,43,
2008-03-28,44,164.45
2008-04-04,45,175.40
2008-04-11,43,167.30
2008-04-18,44,179.93
2008-04-25,43,192.00
2008-05-02,42,200.27
2008-05-09,43,188.09
2008-05-16,41,187.14
2008-05-23,41,172.64
2008-05-30,39,176.41
2008-06-06,41,169.44
2008-06-13,40,178.29
2008-06-20,41,183.77
2008-06-27,42,174.56
2008-07-04,36,
2008-07-11,43,162.48
2008-07-18,44,182.84
2008-07-25,43,178.66
2008-08-01,42,182.00
2008-08-08,40,175.95
2008-08-15,43,163.18
2008-08-22,41,159.81
2008-08-29,38,163.97
2008-09-05,33,163.24
2008-09-12,37,154.21
2008-09-19,37,129.80
2008-09-26,38,137.99
2008-10-03,35,128.00
2008-10-10,37,88.80
2008-10-17,33,114.30
2008-10-24,36,100.40
2008-10-31,35,92.50
2008-11-07,33,77.78
2008-11-14,35,66.73
2008-11-21,34,53.31
2008-11-28,27,78.99
2008-12-05,34,70.72
2008-12-12,33,67.74
2008-12-19,30,80.73
2008-12-26,22,75.97
2009-01-02,26,86.76
2009-01-09,35,83.92
2009-01-16,35,73.05
2009-01-23,32,74.91
2009-01-30,35,80.73
2009-02-06,34,96.57
2009-02-13,34,96.45
2009-02-20,34,84.59
2009-02-27,35,91.08
2009-03-06,34,75.65
2009-03-13,33,98.80
2009-03-20,33,97.32
2009-03-27,33,108.08
2009-04-03,36,119.40
2009-04-10,35,
2009-04-17,35,120.60
2009-04-24,35,121.30
2009-05-01,34,127.08
2009-05-08,34,139.59
2009-05-15,33,134.40
2009-05-22,32,136.35
2009-05-29,31,144.57
2009-06-05,35,149.01
2009-06-12,34,145.64
2009-06-19,34,143.13
2009-06-26,33,146.74
2009-07-03,30,
2009-07-10,33,141.87
2009-07-17,35,156.84
2009-07-24,34,164.72
2009-07-31,34,163.30
2009-08-07,33,163.65
2009-08-14,34,162.73
2009-08-21,33,163.51
2009-08-28,33,164.42
2009-09-04,31,162.97
2009-09-11,29,174.70
2009-09-18,32,183.18
2009-09-25,33,179.50
2009-10-02,31,179.61
2009-10-09,31,189.30
2009-10-16,31,184.37
2009-10-23,32,180.36
2009-10-30,31,170.17
2009-11-06,30,171.78
2009-11-13,30,176.76
2009-11-20,30,170.01
2009-11-27,24,164.16
2009-12-04,30,167.24
2009-12-11,29,166.00
2009-12-18,27,163.19
2009-12-25,21,
2010-01-01,22,
2010-01-08,28,174.31
2010-01-15,26,165.21
2010-01-22,25,154.12
2010-01-29,26,148.72
2010-02-05,26,154.16
2010-02-12,25,153.93
2010-02-19,25,156.18
2010-02-26,25,156.35
2010-03-05,26,167.18
2010-03-12,26,174.96
2010-03-19,25,177.90
2010-03-26,26,172.87
2010-04-02,24,
2010-04-09,25,179.12
2010-04-16,25,160.70
2010-04-23,25,157.40
2010-04-30,25,145.20
2010-05-07,24,142.99
2010-05-14,25,143.23
2010-05-21,24,140.62
2010-05-28,23,144.26
2010-06-04,22,142.25
2010-06-11,23,135.64
2010-06-18,23,138.18
2010-06-25,23,139.66
2010-07-02,22,131.08
2010-07-09,21,138.06
2010-07-16,24,146.17
2010-07-23,24,147.38
2010-07-30,23,150.82
2010-08-06,23,155.18
2010-08-13,22,148.08
2010-08-20,23,148.24
2010-08-27,22,139.75
2010-09-03,22,147.29
2010-09-10,19,150.39
2010-09-17,22,150.98
2010-09-24,21,147.28
2010-10-01,21,147.70
2010-10-08,21,152.66
2010-10-15,20,150.69
2010-10-22,21,157.76
2010-10-29,20,161.13
2010-11-05,20,171.07
2010-11-12,20,165.83
2010-11-19,20,166.67
2010-11-26,15,158.22
2010-12-03,19,162.31
2010-12-10,19,168.47
2010-12-17,18,164.04
2010-12-24,15,
2010-12-31,14,168.16
2011-01-07,19,170.69
2011-01-14,19,175.00
2011-01-21,20,166.20
2011-01-28,20,161.77
2011-02-04,19,164.83
2011-02-11,20,166.66
2011-02-18,20,168.04
2011-02-25,18,165.12
2011-03-04,18,161.00
2011-03-11,19,160.68
2011-03-18,18,159.96
2011-03-25,20,157.97
2011-04-01,20,160.23
2011-04-08,20,160.96
2011-04-15,19,155.13
2011-04-22,19,
2011-04-29,19,151.01
2011-05-06,19,150.10
2011-05-13,19,141.46
2011-05-20,18,134.99
2011-05-27,18,138.66
2011-06-03,17,135.33
2011-06-10,18,135.92
2011-06-17,18,137.23
2011-06-24,18,130.91
2011-07-01,18,136.65
2011-07-08,16,134.08
2011-07-15,19,130.16
2011-07-22,19,135.49
2011-07-29,18,134.97
2011-08-05,18,125.18
2011-08-12,18,116.47
2011-08-19,18,111.76
2011-08-26,17,111.75
2011-09-02,16,107.06
2011-09-09,15,102.25
2011-09-16,17,107.49
2011-09-23,17,95.18
2011-09-30,17,94.55
2011-10-07,16,92.69
2011-10-14,16,96.73
2011-10-21,16,102.09
2011-10-28,17,115.86
2011-11-04,16,105.04
2011-11-11,16,101.66
2011-11-18,16,91.91
2011-11-25,12,88.75
2011-12-02,15,97.25
2011-12-09,15,101.45
2011-12-16,15,90.10
2011-12-23,12,93.79
2011-12-30,10,90.43
2012-01-06,14,93.42
2012-01-13,15,98.96
2012-01-20,15,108.74
2012-01-27,15,111.77
2012-02-03,16,117.53
2012-02-10,15,114.12
2012-02-17,16,115.91
2012-02-24,15,115.87
2012-03-02,15,119.96
2012-03-09,16,117.29
2012-03-16,15,122.93
2012-03-23,15,126.18
2012-03-30,15,124.37
2012-04-06,14,
2012-04-13,14,115.09
2012-04-20,14,112.44
2012-04-27,15,114.41
2012-05-04,14,108.99
2012-05-11,14,102.13
2012-05-18,15,95.49
2012-05-25,15,96.70
2012-06-01,14,92.64
2012-06-08,15,94.54
2012-06-15,15,95.66
2012-06-22,15,93.63
2012-06-29,15,95.86
2012-07-06,13,95.47
2012-07-13,15,97.43
2012-07-20,15,94.16
2012-07-27,15,101.64
2012-08-03,15,100.98
2012-08-10,15,103.02
2012-08-17,15,103.60
2012-08-24,15,104.96
2012-08-31,14,105.72
2012-09-07,13,116.33
2012-09-14,14,121.36
2012-09-21,14,116.72
2012-09-28,14,113.68
2012-10-05,14,119.31
2012-10-12,13,120.20
2012-10-19,14,123.62
2012-10-26,14,119.44
2012-11-02,12,123.25
2012-11-09,13,116.15
2012-11-16,13,115.84
2012-11-23,10,120.31
2012-11-30,13,117.79
2012-12-07,13,116.57
2012-12-14,12,119.36
2012-12-21,11,128.44
2012-12-28,8,125.52
2013-01-04,10,134.51
2013-01-11,13,137.13
2013-01-18,13,144.45
2013-01-25,14,144.46
2013-02-01,14,149.90
2013-02-08,13,151.60
2013-02-15,13,154.99
2013-02-22,13,154.09
2013-03-01,13,150.53
2013-03-08,13,152.98
2013-03-15,13,154.84
2013-03-22,12,146.60
2013-03-29,12,
2013-04-05,12,143.69
2013-04-12,13,149.12
2013-04-19,13,138.72
2013-04-26,12,144.11
2013-05-03,12,145.37
2013-05-10,12,149.10
2013-05-17,12,158.18
2013-05-24,11,158.72
2013-05-31,11,162.08
2013-06-07,12,166.01
2013-06-14,12,162.92
2013-06-21,12,154.25
2013-06-28,12,151.25
2013-07-05,10,153.24
2013-07-12,12,160.11
2013-07-19,12,164.36
2013-07-26,12,165.26
2013-08-02,12,167.62
2013-08-09,12,162.13
2013-08-16,12,160.66
2013-08-23,11,158.65
2013-08-30,11,152.13
2013-09-06,10,156.66
2013-09-13,12,164.00
2013-09-20,11,169.75
2013-09-27,12,159.85
2013-10-04,11,156.55
2013-10-11,12,160.00
2013-10-18,12,158.69
2013-10-25,12,162.09
2013-11-01,12,162.05
2013-11-08,12,163.17
2013-11-15,12,164.40
2013-11-22,11,168.10
2013-11-29,9,168.94
2013-12-06,11,167.21
2013-12-13,11,168.39
2013-12-20,10,175.16
2013-12-27,7,176.35
2014-01-03,8,178.15
2014-01-10,11,178.39
2014-01-17,12,176.28
2014-01-24,11,167.64
2014-01-31,11,164.12
2014-02-07,11,161.93
2014-02-14,12,163.72
2014-02-21,11,164.50
2014-02-28,12,166.45
2014-03-07,12,174.26
2014-03-14,12,165.35
2014-03-21,11,166.95
2014-03-28,12,162.30
2014-04-04,11,163.24
2014-04-11,11,152.72
2014-04-18,11,
2014-04-25,12,158.24
2014-05-02, ,
