Date,UNH,Price
2005-08-19,69,51.18
2005-08-26,64,50.45
2005-09-02,94,52.53
2005-09-09,72,54.51
2005-09-16,80,54.05
2005-09-23,77,55.00
2005-09-30,76,56.20
2005-10-07,67,56.37
2005-10-14,92,56.43
2005-10-21,83,57.14
2005-10-28,91,56.73
2005-11-04,84,58.02
2005-11-11,86,59.65
2005-11-18,67,60.96
2005-11-25,83,60.16
2005-12-02,100,61.97
2005-12-09,82,63.67
2005-12-16,79,63.14
2005-12-23,69,63.65
2005-12-30,64,62.14
2006-01-06,77,62.90
2006-01-13,85,60.94
2006-01-20,66,59.48
2006-01-27,83,58.54
2006-02-03,95,59.62
2006-02-10,64,58.60
2006-02-17,69,58.00
2006-02-24,80,58.89
2006-03-03,73,56.60
2006-03-10,77,56.17
2006-03-17,65,56.69
2006-03-24,79,55.78
2006-03-31,77,55.86
2006-04-07,72,53.69
2006-04-14,74,
2006-04-21,80,49.57
2006-04-28,77,49.74
2006-05-05,87,46.39
2006-05-12,83,45.84
2006-05-19,78,44.42
2006-05-26,61,43.12
2006-06-02,54,46.98
2006-06-09,53,45.77
2006-06-16,48,44.29
2006-06-23,47,45.23
2006-06-30,55,44.78
2006-07-07,45,45.39
2006-07-14,48,47.55
2006-07-21,60,50.00
2006-07-28,57,47.85
2006-08-04,53,48.56
2006-08-11,57,47.57
2006-08-18,62,49.50
2006-08-25,74,50.88
2006-09-01,78,51.80
2006-09-08,86,50.90
2006-09-15,99,52.21
2006-09-22,81,48.97
2006-09-29,88,49.20
2006-10-06,85,51.50
2006-10-13,82,48.75
2006-10-20,94,50.70
2006-10-27,80,49.41
2006-11-03,92,47.83
2006-11-10,81,46.11
2006-11-17,66,47.25
2006-11-24,64,46.71
2006-12-01,97,48.83
2006-12-08,66,49.91
2006-12-15,59,50.09
2006-12-22,65,53.45
2006-12-29,49,53.73
2007-01-05,74,52.55
2007-01-12,65,55.10
2007-01-19,65,53.20
2007-01-26,77,51.54
2007-02-02,84,52.91
2007-02-09,69,50.88
2007-02-16,74,53.95
2007-02-23,67,53.03
2007-03-02,65,54.18
2007-03-09,80,53.00
2007-03-16,63,53.13
2007-03-23,70,56.51
2007-03-30,71,52.97
2007-04-06,64,
2007-04-13,67,52.95
2007-04-20,58,53.20
2007-04-27,71,53.15
2007-05-04,68,53.57
2007-05-11,57,53.59
2007-05-18,58,53.47
2007-05-25,51,54.41
2007-06-01,41,55.21
2007-06-08,43,53.67
2007-06-15,45,52.90
2007-06-22,35,51.30
2007-06-29,45,51.14
2007-07-06,39,53.02
2007-07-13,50,52.98
2007-07-20,50,51.32
2007-07-27,49,49.13
2007-08-03,43,47.50
2007-08-10,46,47.48
2007-08-17,55,49.80
2007-08-24,50,49.61
2007-08-31,62,50.01
2007-09-07,86,49.19
2007-09-14,79,49.91
2007-09-21,63,49.91
2007-09-28,62,48.43
2007-10-05,69,47.70
2007-10-12,65,49.69
2007-10-19,59,47.45
2007-10-26,63,47.99
2007-11-02,65,48.94
2007-11-09,66,51.67
2007-11-16,63,53.42
2007-11-23,50,54.07
2007-11-30,68,55.00
2007-12-07,73,56.65
2007-12-14,62,56.73
2007-12-21,56,58.99
2007-12-28,40,58.28
2008-01-04,55,56.00
2008-01-11,50,55.91
2008-01-18,56,54.40
2008-01-25,59,50.00
2008-02-01,61,50.10
2008-02-08,63,48.20
2008-02-15,58,47.74
2008-02-22,61,47.36
2008-02-29,67,46.48
2008-03-07,62,45.21
2008-03-14,64,37.19
2008-03-21,62,
2008-03-28,69,34.40
2008-04-04,65,36.50
2008-04-11,59,35.87
2008-04-18,60,37.25
2008-04-25,54,33.99
2008-05-02,55,33.47
2008-05-09,57,32.94
2008-05-16,52,32.32
2008-05-23,44,34.75
2008-05-30,41,34.21
2008-06-06,38,33.03
2008-06-13,35,30.74
2008-06-20,44,27.12
2008-06-27,42,26.01
2008-07-04,39,
2008-07-11,45,22.16
2008-07-18,43,23.90
2008-07-25,45,27.45
2008-08-01,42,28.13
2008-08-08,47,31.00
2008-08-15,49,33.01
2008-08-22,47,30.61
2008-08-29,57,30.45
2008-09-05,67,27.71
2008-09-12,64,29.61
2008-09-19,65,26.79
2008-09-26,68,25.81
2008-10-03,68,24.11
2008-10-10,66,17.35
2008-10-17,61,24.39
2008-10-24,62,22.91
2008-10-31,67,23.73
2008-11-07,59,22.43
2008-11-14,56,20.02
2008-11-21,57,17.15
2008-11-28,48,21.01
2008-12-05,62,21.41
2008-12-12,72,23.54
2008-12-19,57,26.49
2008-12-26,36,26.30
2009-01-02,44,27.59
2009-01-09,52,26.45
2009-01-16,60,25.50
2009-01-23,57,28.04
2009-01-30,64,28.33
2009-02-06,56,28.94
2009-02-13,52,28.96
2009-02-20,58,27.98
2009-02-27,67,19.65
2009-03-06,59,17.90
2009-03-13,59,21.36
2009-03-20,53,20.63
2009-03-27,62,21.08
2009-04-03,89,20.54
2009-04-10,53,
2009-04-17,60,24.14
2009-04-24,52,23.06
2009-05-01,51,22.97
2009-05-08,48,28.87
2009-05-15,44,27.51
2009-05-22,43,26.30
2009-05-29,38,26.60
2009-06-05,34,27.10
2009-06-12,38,24.21
2009-06-19,40,25.43
2009-06-26,36,24.77
2009-07-03,32,
2009-07-10,38,24.67
2009-07-17,41,25.09
2009-07-24,45,27.32
2009-07-31,41,28.06
2009-08-07,42,26.51
2009-08-14,45,28.06
2009-08-21,45,28.92
2009-08-28,57,28.18
2009-09-04,67,28.88
2009-09-11,61,29.07
2009-09-18,58,28.58
2009-09-25,60,25.34
2009-10-02,53,24.28
2009-10-09,58,24.67
2009-10-16,54,24.45
2009-10-23,61,25.85
2009-10-30,51,25.95
2009-11-06,55,28.67
2009-11-13,53,29.08
2009-11-20,56,28.56
2009-11-27,47,29.44
2009-12-04,60,27.46
2009-12-11,61,30.48
2009-12-18,49,31.54
2009-12-25,45,
2010-01-01,39,
2010-01-08,49,32.70
2010-01-15,42,33.75
2010-01-22,46,33.16
2010-01-29,54,33.00
2010-02-05,53,32.54
2010-02-12,48,32.18
2010-02-19,52,31.94
2010-02-26,48,33.86
2010-03-05,54,33.74
2010-03-12,50,32.91
2010-03-19,44,34.39
2010-03-26,60,32.63
2010-04-02,59,
2010-04-09,51,32.26
2010-04-16,58,30.73
2010-04-23,49,30.95
2010-04-30,47,30.31
2010-05-07,48,29.02
2010-05-14,43,30.39
2010-05-21,46,28.70
2010-05-28,37,29.07
2010-06-04,31,30.34
2010-06-11,35,30.67
2010-06-18,32,31.33
2010-06-25,33,29.88
2010-07-02,33,28.30
2010-07-09,29,29.97
2010-07-16,37,30.34
2010-07-23,37,30.92
2010-07-30,38,30.45
2010-08-06,41,33.45
2010-08-13,40,32.03
2010-08-20,48,31.61
2010-08-27,55,32.37
2010-09-03,62,33.91
2010-09-10,60,34.49
2010-09-17,55,34.13
2010-09-24,60,35.73
2010-10-01,57,35.43
2010-10-08,59,34.35
2010-10-15,58,35.98
2010-10-22,62,37.26
2010-10-29,57,36.05
2010-11-05,55,36.86
2010-11-12,57,36.67
2010-11-19,63,36.00
2010-11-26,44,35.88
2010-12-03,57,37.82
2010-12-10,65,36.67
2010-12-17,62,35.05
2010-12-24,40,
2010-12-31,38,36.11
2011-01-07,50,38.45
2011-01-14,45,40.77
2011-01-21,51,40.41
2011-01-28,61,40.93
2011-02-04,56,42.49
2011-02-11,59,42.38
2011-02-18,55,42.84
2011-02-25,51,42.52
2011-03-04,56,44.45
2011-03-11,55,43.59
2011-03-18,46,42.60
2011-03-25,66,43.75
2011-04-01,78,45.61
2011-04-08,54,44.38
2011-04-15,53,44.98
2011-04-22,50,
2011-04-29,50,49.23
2011-05-06,50,50.12
2011-05-13,46,49.95
2011-05-20,48,49.74
2011-05-27,35,48.30
2011-06-03,31,48.85
2011-06-10,33,49.41
2011-06-17,31,49.96
2011-06-24,33,50.46
2011-07-01,31,53.13
2011-07-08,31,52.08
2011-07-15,34,51.97
2011-07-22,37,52.75
2011-07-29,33,49.63
2011-08-05,36,45.56
2011-08-12,36,44.81
2011-08-19,38,43.32
2011-08-26,53,45.72
2011-09-02,63,45.73
2011-09-09,55,45.52
2011-09-16,57,50.76
2011-09-23,53,47.60
2011-09-30,60,46.12
2011-10-07,57,44.89
2011-10-14,58,47.22
2011-10-21,60,47.92
2011-10-28,64,48.85
2011-11-04,58,45.58
2011-11-11,74,47.13
2011-11-18,61,44.55
2011-11-25,43,43.67
2011-12-02,61,48.23
2011-12-09,55,48.91
2011-12-16,53,49.00
2011-12-23,36,51.35
2011-12-30,35,50.68
2012-01-06,40,52.78
2012-01-13,50,52.70
2012-01-20,51,52.27
2012-01-27,62,51.02
2012-02-03,55,51.31
2012-02-10,50,53.32
2012-02-17,48,54.68
2012-02-24,54,55.65
2012-03-02,52,55.84
2012-03-09,52,55.78
2012-03-16,44,55.59
2012-03-23,48,53.66
2012-03-30,50,58.94
2012-04-06,50,
2012-04-13,49,58.05
2012-04-20,48,59.51
2012-04-27,47,57.91
2012-05-04,54,54.72
2012-05-11,47,55.20
2012-05-18,44,53.99
2012-05-25,35,56.12
2012-06-01,30,55.04
2012-06-08,30,58.00
2012-06-15,27,58.90
2012-06-22,32,59.07
2012-06-29,34,58.50
2012-07-06,30,55.82
2012-07-13,33,55.20
2012-07-20,34,55.41
2012-07-27,33,53.34
2012-08-03,36,51.61
2012-08-10,35,51.90
2012-08-17,39,53.13
2012-08-24,51,54.16
2012-08-31,73,54.30
2012-09-07,61,54.88
2012-09-14,58,54.25
2012-09-21,56,56.18
2012-09-28,58,55.41
2012-10-05,58,57.13
2012-10-12,73,57.07
2012-10-19,94,55.66
2012-10-26,69,55.78
2012-11-02,58,56.05
2012-11-09,55,52.90
2012-11-16,60,51.90
2012-11-23,43,53.92
2012-11-30,60,54.39
2012-12-07,59,53.87
2012-12-14,52,54.05
2012-12-21,38,55.03
2012-12-28,31,53.86
2013-01-04,37,52.09
2013-01-11,45,52.82
2013-01-18,48,54.56
2013-01-25,61,56.04
2013-02-01,53,55.77
2013-02-08,51,57.74
2013-02-15,48,57.32
2013-02-22,53,54.47
2013-03-01,51,53.52
2013-03-08,57,53.81
2013-03-15,39,54.73
2013-03-22,53,54.46
2013-03-29,67,
2013-04-05,55,62.10
2013-04-12,64,63.03
2013-04-19,49,60.04
2013-04-26,50,59.48
2013-05-03,57,58.92
2013-05-10,44,62.91
2013-05-17,43,62.84
2013-05-24,39,62.06
2013-05-31,31,62.63
2013-06-07,31,62.57
2013-06-14,29,63.80
2013-06-21,29,63.90
2013-06-28,29,65.48
2013-07-05,26,66.17
2013-07-12,37,68.00
2013-07-19,33,71.45
2013-07-26,34,72.21
2013-08-02,34,72.26
2013-08-09,37,72.93
2013-08-16,38,71.43
2013-08-23,45,72.54
2013-08-30,68,71.74
2013-09-06,66,74.06
2013-09-13,67,74.48
2013-09-20,56,70.57
2013-09-27,55,71.99
2013-10-04,55,72.99
2013-10-11,57,74.27
2013-10-18,57,68.76
2013-10-25,55,67.62
2013-11-01,58,68.63
2013-11-08,55,70.50
2013-11-15,58,71.87
2013-11-22,56,73.74
2013-11-29,48,74.48
2013-12-06,75,73.50
2013-12-13,60,70.48
2013-12-20,62,73.35
2013-12-27,30,74.69
2014-01-03,34,75.10
2014-01-10,41,74.70
2014-01-17,46,72.52
2014-01-24,59,71.60
2014-01-31,57,72.28
2014-02-07,52,71.36
2014-02-14,51,73.52
2014-02-21,54,73.81
2014-02-28,50,77.27
2014-03-07,52,77.40
2014-03-14,40,75.70
2014-03-21,60,81.34
2014-03-28,60,81.62
2014-04-04,54,81.53
2014-04-11,50,78.95
2014-04-18,53,
2014-04-25,53,75.66
2014-05-02, ,
