Date,"The Travelers Companies, Inc.",Price
2005-12-23,56,45.33
2005-12-30,54,44.67
2006-01-06,65,47.21
2006-01-13,70,47.25
2006-01-20,67,45.01
2006-01-27,69,46.54
2006-02-03,70,44.79
2006-02-10,69,43.63
2006-02-17,65,43.03
2006-02-24,66,42.55
2006-03-03,67,42.87
2006-03-10,66,42.32
2006-03-17,65,41.55
2006-03-24,64,41.46
2006-03-31,65,41.79
2006-04-07,64,41.29
2006-04-14,64,
2006-04-21,65,42.71
2006-04-28,63,44.03
2006-05-05,65,45.76
2006-05-12,64,44.72
2006-05-19,60,44.65
2006-05-26,59,43.81
2006-06-02,57,43.80
2006-06-09,63,43.10
2006-06-16,63,43.88
2006-06-23,61,44.15
2006-06-30,61,44.58
2006-07-07,53,44.10
2006-07-14,64,43.56
2006-07-21,67,44.22
2006-07-28,65,46.14
2006-08-04,61,44.49
2006-08-11,61,42.62
2006-08-18,64,44.50
2006-08-25,60,43.66
2006-09-01,58,44.30
2006-09-08,53,45.05
2006-09-15,58,45.96
2006-09-22,58,46.20
2006-09-29,60,46.89
2006-10-06,56,47.64
2006-10-13,56,49.09
2006-10-20,58,48.39
2006-10-27,56,49.92
2006-11-03,56,51.14
2006-11-10,54,52.91
2006-11-17,56,52.12
2006-11-24,43,51.13
2006-12-01,53,51.25
2006-12-08,53,52.32
2006-12-15,52,53.56
2006-12-22,49,53.55
2006-12-29,41,53.69
2007-01-05,52,52.41
2007-01-12,56,51.06
2007-01-19,55,51.37
2007-01-26,58,50.66
2007-02-02,57,52.43
2007-02-09,56,52.49
2007-02-16,53,52.73
2007-02-23,55,53.00
2007-03-02,54,50.58
2007-03-09,55,51.68
2007-03-16,53,50.35
2007-03-23,53,52.49
2007-03-30,53,51.77
2007-04-06,53,
2007-04-13,53,53.19
2007-04-20,53,53.96
2007-04-27,55,53.67
2007-05-04,53,54.70
2007-05-11,52,56.76
2007-05-18,52,56.29
2007-05-25,51,54.57
2007-06-01,49,54.58
2007-06-08,54,54.60
2007-06-15,51,53.92
2007-06-22,52,52.38
2007-06-29,53,53.50
2007-07-06,45,54.52
2007-07-13,55,53.58
2007-07-20,55,51.73
2007-07-27,53,50.65
2007-08-03,53,48.92
2007-08-10,54,50.63
2007-08-17,53,52.93
2007-08-24,53,52.51
2007-08-31,51,50.54
2007-09-07,45,49.85
2007-09-14,51,49.69
2007-09-21,50,51.01
2007-09-28,49,50.34
2007-10-05,48,53.81
2007-10-12,47,54.17
2007-10-19,49,51.21
2007-10-26,47,53.21
2007-11-02,47,52.42
2007-11-09,45,51.40
2007-11-16,46,52.72
2007-11-23,36,51.61
2007-11-30,45,53.11
2007-12-07,43,54.16
2007-12-14,41,52.69
2007-12-21,41,53.71
2007-12-28,31,54.14
2008-01-04,39,51.39
2008-01-11,45,51.46
2008-01-18,45,46.19
2008-01-25,44,45.43
2008-02-01,45,49.63
2008-02-08,45,46.56
2008-02-15,45,47.87
2008-02-22,43,47.90
2008-02-29,44,46.41
2008-03-07,43,46.63
2008-03-14,42,44.92
2008-03-21,43,
2008-03-28,44,47.42
2008-04-04,45,49.30
2008-04-11,43,49.30
2008-04-18,44,50.31
2008-04-25,43,50.21
2008-05-02,42,52.06
2008-05-09,43,50.18
2008-05-16,41,50.82
2008-05-23,41,48.31
2008-05-30,39,49.81
2008-06-06,41,47.25
2008-06-13,40,47.84
2008-06-20,41,45.63
2008-06-27,42,44.30
2008-07-04,36,
2008-07-11,43,44.12
2008-07-18,44,43.95
2008-07-25,43,42.33
2008-08-01,42,44.06
2008-08-08,40,44.39
2008-08-15,43,44.46
2008-08-22,41,44.31
2008-08-29,38,44.16
2008-09-05,33,43.28
2008-09-12,37,45.05
2008-09-19,37,50.76
2008-09-26,38,44.00
2008-10-03,35,38.80
2008-10-10,37,30.50
2008-10-17,33,34.03
2008-10-24,36,41.74
2008-10-31,35,42.55
2008-11-07,33,39.61
2008-11-14,35,41.88
2008-11-21,34,38.77
2008-11-28,27,43.65
2008-12-05,34,43.41
2008-12-12,33,40.58
2008-12-19,30,42.84
2008-12-26,22,42.47
2009-01-02,26,45.20
2009-01-09,35,41.98
2009-01-16,35,41.05
2009-01-23,32,37.92
2009-01-30,35,38.64
2009-02-06,34,39.72
2009-02-13,34,40.37
2009-02-20,34,38.34
2009-02-27,35,36.15
2009-03-06,34,34.44
2009-03-13,33,38.34
2009-03-20,33,38.81
2009-03-27,33,39.35
2009-04-03,36,42.61
2009-04-10,35,
2009-04-17,35,42.53
2009-04-24,35,39.50
2009-05-01,34,41.21
2009-05-08,34,38.82
2009-05-15,33,39.76
2009-05-22,32,40.26
2009-05-29,31,40.66
2009-06-05,35,43.75
2009-06-12,34,43.20
2009-06-19,34,42.08
2009-06-26,33,40.88
2009-07-03,30,
2009-07-10,33,39.00
2009-07-17,35,40.42
2009-07-24,34,43.22
2009-07-31,34,43.07
2009-08-07,33,47.46
2009-08-14,34,47.25
2009-08-21,33,48.20
2009-08-28,33,49.61
2009-09-04,31,50.12
2009-09-11,29,48.41
2009-09-18,32,47.37
2009-09-25,33,47.75
2009-10-02,31,49.04
2009-10-09,31,48.81
2009-10-16,31,48.67
2009-10-23,32,51.30
2009-10-30,31,49.79
2009-11-06,30,51.90
2009-11-13,30,53.28
2009-11-20,30,52.38
2009-11-27,24,51.65
2009-12-04,30,51.04
2009-12-11,29,50.70
2009-12-18,27,48.14
2009-12-25,21,
2010-01-01,22,
2010-01-08,28,48.56
2010-01-15,26,48.79
2010-01-22,25,48.31
2010-01-29,26,50.67
2010-02-05,26,50.28
2010-02-12,25,50.45
2010-02-19,25,52.88
2010-02-26,25,52.59
2010-03-05,26,53.94
2010-03-12,26,53.16
2010-03-19,25,53.46
2010-03-26,26,54.35
2010-04-02,24,
2010-04-09,25,52.40
2010-04-16,25,52.14
2010-04-23,25,53.38
2010-04-30,25,50.74
2010-05-07,24,49.26
2010-05-14,25,50.12
2010-05-21,24,49.23
2010-05-28,23,49.47
2010-06-04,22,48.61
2010-06-11,23,50.41
2010-06-18,23,51.35
2010-06-25,23,51.12
2010-07-02,22,48.54
2010-07-09,21,51.15
2010-07-16,24,49.62
2010-07-23,24,50.14
2010-07-30,23,50.45
2010-08-06,23,50.27
2010-08-13,22,50.14
2010-08-20,23,50.09
2010-08-27,22,49.87
2010-09-03,22,51.03
2010-09-10,19,50.06
2010-09-17,22,52.67
2010-09-24,21,53.12
2010-10-01,21,52.12
2010-10-08,21,52.81
2010-10-15,20,53.63
2010-10-22,21,55.10
2010-10-29,20,55.20
2010-11-05,20,57.44
2010-11-12,20,56.31
2010-11-19,20,55.49
2010-11-26,15,54.37
2010-12-03,19,54.86
2010-12-10,19,54.78
2010-12-17,18,55.18
2010-12-24,15,
2010-12-31,14,55.71
2011-01-07,19,53.33
2011-01-14,19,54.63
2011-01-21,20,55.00
2011-01-28,20,55.81
2011-02-04,19,57.41
2011-02-11,20,58.99
2011-02-18,20,60.92
2011-02-25,18,59.60
2011-03-04,18,59.18
2011-03-11,19,58.88
2011-03-18,18,58.06
2011-03-25,20,58.98
2011-04-01,20,59.71
2011-04-08,20,59.58
2011-04-15,19,59.80
2011-04-22,19,
2011-04-29,19,63.28
2011-05-06,19,63.43
2011-05-13,19,62.33
2011-05-20,18,62.25
2011-05-27,18,61.52
2011-06-03,17,61.18
2011-06-10,18,59.21
2011-06-17,18,57.92
2011-06-24,18,56.68
2011-07-01,18,59.11
2011-07-08,16,58.66
2011-07-15,19,57.90
2011-07-22,19,57.58
2011-07-29,18,55.13
2011-08-05,18,52.57
2011-08-12,18,51.13
2011-08-19,18,49.46
2011-08-26,17,48.30
2011-09-02,16,48.87
2011-09-09,15,48.14
2011-09-16,17,50.61
2011-09-23,17,47.12
2011-09-30,17,48.73
2011-10-07,16,49.00
2011-10-14,16,51.27
2011-10-21,16,57.35
2011-10-28,17,59.48
2011-11-04,16,58.14
2011-11-11,16,58.43
2011-11-18,16,56.22
2011-11-25,12,53.41
2011-12-02,15,54.24
2011-12-09,15,56.02
2011-12-16,15,57.28
2011-12-23,12,59.35
2011-12-30,10,59.17
2012-01-06,14,59.35
2012-01-13,15,59.37
2012-01-20,15,61.59
2012-01-27,15,58.05
2012-02-03,16,60.12
2012-02-10,15,59.38
2012-02-17,16,59.85
2012-02-24,15,58.60
2012-03-02,15,58.01
2012-03-09,16,57.61
2012-03-16,15,59.20
2012-03-23,15,58.20
2012-03-30,15,59.20
2012-04-06,14,
2012-04-13,14,58.12
2012-04-20,14,62.75
2012-04-27,15,64.01
2012-05-04,14,64.50
2012-05-11,14,64.62
2012-05-18,15,62.18
2012-05-25,15,62.60
2012-06-01,14,60.58
2012-06-08,15,62.14
2012-06-15,15,63.41
2012-06-22,15,63.35
2012-06-29,15,63.84
2012-07-06,13,63.26
2012-07-13,15,63.13
2012-07-20,15,62.71
2012-07-27,15,62.72
2012-08-03,15,63.71
2012-08-10,15,63.98
2012-08-17,15,65.13
2012-08-24,15,65.40
2012-08-31,14,64.74
2012-09-07,13,65.21
2012-09-14,14,68.58
2012-09-21,14,68.61
2012-09-28,14,68.26
2012-10-05,14,69.56
2012-10-12,13,68.72
2012-10-19,14,73.51
2012-10-26,14,71.56
2012-11-02,12,69.62
2012-11-09,13,68.98
2012-11-16,13,68.65
2012-11-23,10,71.27
2012-11-30,13,70.82
2012-12-07,13,73.39
2012-12-14,12,73.37
2012-12-21,11,72.82
2012-12-28,8,71.24
2013-01-04,10,74.06
2013-01-11,13,74.85
2013-01-18,13,76.31
2013-01-25,14,78.35
2013-02-01,14,79.89
2013-02-08,13,78.86
2013-02-15,13,80.39
2013-02-22,13,81.01
2013-03-01,13,80.69
2013-03-08,13,81.65
2013-03-15,13,82.28
2013-03-22,12,83.69
2013-03-29,12,
2013-04-05,12,84.41
2013-04-12,13,86.26
2013-04-19,13,84.81
2013-04-26,12,85.15
2013-05-03,12,85.41
2013-05-10,12,86.49
2013-05-17,12,86.50
2013-05-24,11,83.60
2013-05-31,11,83.72
2013-06-07,12,83.44
2013-06-14,12,82.15
2013-06-21,12,79.07
2013-06-28,12,79.92
2013-07-05,10,81.34
2013-07-12,12,84.18
2013-07-19,12,84.66
2013-07-26,12,83.60
2013-08-02,12,84.00
2013-08-09,12,82.10
2013-08-16,12,81.10
2013-08-23,11,80.19
2013-08-30,11,79.90
2013-09-06,10,80.49
2013-09-13,12,83.56
2013-09-20,11,86.06
2013-09-27,12,85.41
2013-10-04,11,84.68
2013-10-11,12,84.66
2013-10-18,12,86.58
2013-10-25,12,86.63
2013-11-01,12,86.40
2013-11-08,12,87.80
2013-11-15,12,88.67
2013-11-22,11,90.52
2013-11-29,9,90.74
2013-12-06,11,89.01
2013-12-13,11,86.49
2013-12-20,10,89.18
2013-12-27,7,89.85
2014-01-03,8,89.16
2014-01-10,11,87.49
2014-01-17,12,86.47
2014-01-24,11,81.61
2014-01-31,11,81.28
2014-02-07,11,80.88
2014-02-14,12,84.02
2014-02-21,11,83.79
2014-02-28,12,83.84
2014-03-07,12,83.93
2014-03-14,12,82.66
2014-03-21,11,83.78
2014-03-28,12,83.99
2014-04-04,11,85.20
2014-04-11,11,85.30
2014-04-18,11,
2014-04-25,12,88.31
2014-05-02, ,
