Date,GS,Price
2006-04-07,43,161.02
2006-04-14,46,
2006-04-21,52,165.89
2006-04-28,48,160.29
2006-05-05,48,164.39
2006-05-12,47,156.11
2006-05-19,67,149.41
2006-05-26,49,152.94
2006-06-02,48,154.09
2006-06-09,47,149.89
2006-06-16,43,144.00
2006-06-23,45,147.92
2006-06-30,46,150.43
2006-07-07,46,148.51
2006-07-14,46,140.10
2006-07-21,46,142.04
2006-07-28,49,151.72
2006-08-04,49,152.99
2006-08-11,47,151.11
2006-08-18,47,154.68
2006-08-25,50,150.07
2006-09-01,48,149.14
2006-09-08,51,149.80
2006-09-15,51,162.71
2006-09-22,51,167.52
2006-09-29,49,169.17
2006-10-06,49,175.65
2006-10-13,49,183.85
2006-10-20,49,180.40
2006-10-27,48,188.67
2006-11-03,51,187.13
2006-11-10,49,187.06
2006-11-17,47,195.04
2006-11-24,51,201.60
2006-12-01,53,194.50
2006-12-08,56,205.10
2006-12-15,49,199.84
2006-12-22,50,198.09
2006-12-29,54,199.35
2007-01-05,49,199.05
2007-01-12,48,213.99
2007-01-19,50,210.29
2007-01-26,52,213.50
2007-02-02,50,213.43
2007-02-09,49,213.28
2007-02-16,52,216.92
2007-02-23,50,216.50
2007-03-02,51,195.67
2007-03-09,53,201.70
2007-03-16,50,199.00
2007-03-23,51,211.89
2007-03-30,46,206.63
2007-04-06,49,
2007-04-13,47,206.50
2007-04-20,49,220.00
2007-04-27,50,224.28
2007-05-04,54,227.34
2007-05-11,51,227.50
2007-05-18,59,230.34
2007-05-25,54,225.53
2007-06-01,53,230.71
2007-06-08,56,225.06
2007-06-15,57,226.19
2007-06-22,65,222.40
2007-06-29,66,216.75
2007-07-06,61,223.64
2007-07-13,62,222.18
2007-07-20,61,205.94
2007-07-27,57,192.65
2007-08-03,60,179.68
2007-08-10,58,180.50
2007-08-17,69,175.00
2007-08-24,61,179.73
2007-08-31,69,176.01
2007-09-07,59,178.98
2007-09-14,55,190.59
2007-09-21,63,209.98
2007-09-28,65,216.74
2007-10-05,70,228.50
2007-10-12,58,233.56
2007-10-19,53,217.69
2007-10-26,55,235.92
2007-11-02,60,229.60
2007-11-09,65,211.33
2007-11-16,58,225.25
2007-11-23,57,216.48
2007-11-30,64,226.64
2007-12-07,68,217.89
2007-12-14,67,210.67
2007-12-21,66,209.60
2007-12-28,66,211.94
2008-01-04,64,199.93
2008-01-11,62,198.74
2008-01-18,65,187.21
2008-01-25,64,191.37
2008-02-01,69,207.78
2008-02-08,75,187.07
2008-02-15,69,178.41
2008-02-22,72,177.71
2008-02-29,83,169.63
2008-03-07,69,160.07
2008-03-14,62,156.86
2008-03-21,67,
2008-03-28,63,164.45
2008-04-04,66,175.40
2008-04-11,67,167.30
2008-04-18,64,179.93
2008-04-25,71,192.00
2008-05-02,98,200.27
2008-05-09,100,188.09
2008-05-16,90,187.14
2008-05-23,71,172.64
2008-05-30,68,176.41
2008-06-06,70,169.44
2008-06-13,69,178.29
2008-06-20,66,183.77
2008-06-27,64,174.56
2008-07-04,71,
2008-07-11,71,162.48
2008-07-18,76,182.84
2008-07-25,77,178.66
2008-08-01,75,182.00
2008-08-08,78,175.95
2008-08-15,78,163.18
2008-08-22,74,159.81
2008-08-29,93,163.97
2008-09-05,73,163.24
2008-09-12,67,154.21
2008-09-19,80,129.80
2008-09-26,78,137.99
2008-10-03,80,128.00
2008-10-10,72,88.80
2008-10-17,65,114.30
2008-10-24,80,100.40
2008-10-31,71,92.50
2008-11-07,76,77.78
2008-11-14,93,66.73
2008-11-21,72,53.31
2008-11-28,73,78.99
2008-12-05,70,70.72
2008-12-12,68,67.74
2008-12-19,70,80.73
2008-12-26,84,75.97
2009-01-02,67,86.76
2009-01-09,65,83.92
2009-01-16,65,73.05
2009-01-23,64,74.91
2009-01-30,63,80.73
2009-02-06,68,96.57
2009-02-13,64,96.45
2009-02-20,61,84.59
2009-02-27,96,91.08
2009-03-06,71,75.65
2009-03-13,80,98.80
2009-03-20,84,97.32
2009-03-27,64,108.08
2009-04-03,58,119.40
2009-04-10,70,
2009-04-17,88,120.60
2009-04-24,64,121.30
2009-05-01,60,127.08
2009-05-08,57,139.59
2009-05-15,58,134.40
2009-05-22,59,136.35
2009-05-29,63,144.57
2009-06-05,67,149.01
2009-06-12,70,145.64
2009-06-19,67,143.13
2009-06-26,71,146.74
2009-07-03,70,
2009-07-10,70,141.87
2009-07-17,69,156.84
2009-07-24,74,164.72
2009-07-31,87,163.30
2009-08-07,81,163.65
2009-08-14,69,162.73
2009-08-21,76,163.51
2009-08-28,77,164.42
2009-09-04,70,162.97
2009-09-11,70,174.70
2009-09-18,77,183.18
2009-09-25,62,179.50
2009-10-02,62,179.61
2009-10-09,58,189.30
2009-10-16,54,184.37
2009-10-23,71,180.36
2009-10-30,81,170.17
2009-11-06,63,171.78
2009-11-13,54,176.76
2009-11-20,54,170.01
2009-11-27,56,164.16
2009-12-04,55,167.24
2009-12-11,56,166.00
2009-12-18,54,163.19
2009-12-25,56,
2010-01-01,54,
2010-01-08,55,174.31
2010-01-15,57,165.21
2010-01-22,64,154.12
2010-01-29,67,148.72
2010-02-05,62,154.16
2010-02-12,54,153.93
2010-02-19,66,156.18
2010-02-26,68,156.35
2010-03-05,57,167.18
2010-03-12,56,174.96
2010-03-19,57,177.90
2010-03-26,64,172.87
2010-04-02,75,
2010-04-09,55,179.12
2010-04-16,60,160.70
2010-04-23,57,157.40
2010-04-30,58,145.20
2010-05-07,55,142.99
2010-05-14,55,143.23
2010-05-21,60,140.62
2010-05-28,55,144.26
2010-06-04,53,142.25
2010-06-11,55,135.64
2010-06-18,53,138.18
2010-06-25,54,139.66
2010-07-02,53,131.08
2010-07-09,59,138.06
2010-07-16,66,146.17
2010-07-23,75,147.38
2010-07-30,66,150.82
2010-08-06,67,155.18
2010-08-13,60,148.08
2010-08-20,66,148.24
2010-08-27,70,139.75
2010-09-03,69,147.29
2010-09-10,53,150.39
2010-09-17,57,150.98
2010-09-24,50,147.28
2010-10-01,55,147.70
2010-10-08,48,152.66
2010-10-15,48,150.69
2010-10-22,63,157.76
2010-10-29,65,161.13
2010-11-05,51,171.07
2010-11-12,52,165.83
2010-11-19,49,166.67
2010-11-26,49,158.22
2010-12-03,55,162.31
2010-12-10,50,168.47
2010-12-17,48,164.04
2010-12-24,54,
2010-12-31,54,168.16
2011-01-07,61,170.69
2011-01-14,70,175.00
2011-01-21,62,166.20
2011-01-28,56,161.77
2011-02-04,51,164.83
2011-02-11,53,166.66
2011-02-18,48,168.04
2011-02-25,47,165.12
2011-03-04,49,161.00
2011-03-11,47,160.68
2011-03-18,76,159.96
2011-03-25,53,157.97
2011-04-01,47,160.23
2011-04-08,48,160.96
2011-04-15,50,155.13
2011-04-22,49,
2011-04-29,47,151.01
2011-05-06,45,150.10
2011-05-13,50,141.46
2011-05-20,54,134.99
2011-05-27,60,138.66
2011-06-03,53,135.33
2011-06-10,54,135.92
2011-06-17,58,137.23
2011-06-24,52,130.91
2011-07-01,54,136.65
2011-07-08,54,134.08
2011-07-15,49,130.16
2011-07-22,58,135.49
2011-07-29,61,134.97
2011-08-05,50,125.18
2011-08-12,53,116.47
2011-08-19,58,111.76
2011-08-26,58,111.75
2011-09-02,50,107.06
2011-09-09,51,102.25
2011-09-16,49,107.49
2011-09-23,50,95.18
2011-09-30,47,94.55
2011-10-07,47,92.69
2011-10-14,44,96.73
2011-10-21,48,102.09
2011-10-28,47,115.86
2011-11-04,46,105.04
2011-11-11,47,101.66
2011-11-18,43,91.91
2011-11-25,49,88.75
2011-12-02,45,97.25
2011-12-09,70,101.45
2011-12-16,54,90.10
2011-12-23,47,93.79
2011-12-30,47,90.43
2012-01-06,53,93.42
2012-01-13,53,98.96
2012-01-20,49,108.74
2012-01-27,55,111.77
2012-02-03,54,117.53
2012-02-10,52,114.12
2012-02-17,50,115.91
2012-02-24,48,115.87
2012-03-02,58,119.96
2012-03-09,54,117.29
2012-03-16,71,122.93
2012-03-23,58,126.18
2012-03-30,54,124.37
2012-04-06,48,
2012-04-13,53,115.09
2012-04-20,61,112.44
2012-04-27,70,114.41
2012-05-04,58,108.99
2012-05-11,82,102.13
2012-05-18,76,95.49
2012-05-25,52,96.70
2012-06-01,50,92.64
2012-06-08,49,94.54
2012-06-15,49,95.66
2012-06-22,48,93.63
2012-06-29,48,95.86
2012-07-06,48,95.47
2012-07-13,65,97.43
2012-07-20,62,94.16
2012-07-27,55,101.64
2012-08-03,58,100.98
2012-08-10,63,103.02
2012-08-17,65,103.60
2012-08-24,55,104.96
2012-08-31,64,105.72
2012-09-07,59,116.33
2012-09-14,50,121.36
2012-09-21,63,116.72
2012-09-28,52,113.68
2012-10-05,55,119.31
2012-10-12,48,120.20
2012-10-19,45,123.62
2012-10-26,48,119.44
2012-11-02,44,123.25
2012-11-09,55,116.15
2012-11-16,47,115.84
2012-11-23,56,120.31
2012-11-30,49,117.79
2012-12-07,58,116.57
2012-12-14,51,119.36
2012-12-21,71,128.44
2012-12-28,50,125.52
2013-01-04,46,134.51
2013-01-11,52,137.13
2013-01-18,53,144.45
2013-01-25,63,144.46
2013-02-01,67,149.90
2013-02-08,51,151.60
2013-02-15,58,154.99
2013-02-22,67,154.09
2013-03-01,57,150.53
2013-03-08,51,152.98
2013-03-15,65,154.84
2013-03-22,52,146.60
2013-03-29,49,
2013-04-05,78,143.69
2013-04-12,68,149.12
2013-04-19,53,138.72
2013-04-26,49,144.11
2013-05-03,53,145.37
2013-05-10,65,149.10
2013-05-17,68,158.18
2013-05-24,53,158.72
2013-05-31,50,162.08
2013-06-07,47,166.01
2013-06-14,47,162.92
2013-06-21,45,154.25
2013-06-28,44,151.25
2013-07-05,45,153.24
2013-07-12,46,160.11
2013-07-19,49,164.36
2013-07-26,50,165.26
2013-08-02,49,167.62
2013-08-09,50,162.13
2013-08-16,56,160.66
2013-08-23,50,158.65
2013-08-30,53,152.13
2013-09-06,47,156.66
2013-09-13,49,164.00
2013-09-20,57,169.75
2013-09-27,67,159.85
2013-10-04,59,156.55
2013-10-11,44,160.00
2013-10-18,43,158.69
2013-10-25,56,162.09
2013-11-01,49,162.05
2013-11-08,48,163.17
2013-11-15,57,164.40
2013-11-22,43,168.10
2013-11-29,53,168.94
2013-12-06,47,167.21
2013-12-13,61,168.39
2013-12-20,49,175.16
2013-12-27,50,176.35
2014-01-03,45,178.15
2014-01-10,50,178.39
2014-01-17,50,176.28
2014-01-24,47,167.64
2014-01-31,49,164.12
2014-02-07,59,161.93
2014-02-14,47,163.72
2014-02-21,57,164.50
2014-02-28,69,166.45
2014-03-07,49,174.26
2014-03-14,49,165.35
2014-03-21,51,166.95
2014-03-28,46,162.30
2014-04-04,45,163.24
2014-04-11,63,152.72
2014-04-18,51,
2014-04-25,44,158.24
2014-05-02, ,
