Date,AXP,Price
2009-04-17,76,21.81
2009-04-24,84,25.30
2009-05-01,77,24.29
2009-05-08,69,28.40
2009-05-15,60,24.23
2009-05-22,60,23.40
2009-05-29,35,24.85
2009-06-05,61,24.95
2009-06-12,48,25.16
2009-06-19,41,24.64
2009-06-26,42,23.76
2009-07-03,38,
2009-07-10,40,23.22
2009-07-17,50,28.03
2009-07-24,50,29.51
2009-07-31,36,28.33
2009-08-07,44,32.69
2009-08-14,38,31.72
2009-08-21,33,32.85
2009-08-28,39,34.24
2009-09-04,45,32.84
2009-09-11,32,34.17
2009-09-18,39,34.77
2009-09-25,31,33.07
2009-10-02,31,32.49
2009-10-09,38,34.94
2009-10-16,25,34.95
2009-10-23,44,34.58
2009-10-30,31,34.84
2009-11-06,42,37.21
2009-11-13,36,40.35
2009-11-20,39,40.93
2009-11-27,32,40.84
2009-12-04,34,39.30
2009-12-11,34,40.73
2009-12-18,36,40.51
2009-12-25,31,
2010-01-01,26,
2010-01-08,30,41.95
2010-01-15,40,42.39
2010-01-22,41,38.59
2010-01-29,32,37.66
2010-02-05,32,37.85
2010-02-12,41,38.42
2010-02-19,32,39.06
2010-02-26,30,38.19
2010-03-05,24,40.20
2010-03-12,28,40.76
2010-03-19,27,40.33
2010-03-26,32,41.12
2010-04-02,18,
2010-04-09,28,43.88
2010-04-16,31,45.10
2010-04-23,42,48.05
2010-04-30,31,46.12
2010-05-07,29,40.60
2010-05-14,31,40.64
2010-05-21,30,39.82
2010-05-28,31,39.87
2010-06-04,26,38.41
2010-06-11,31,40.13
2010-06-18,28,42.03
2010-06-25,28,42.67
2010-07-02,28,39.42
2010-07-09,23,42.58
2010-07-16,28,41.38
2010-07-23,32,44.79
2010-07-30,28,44.64
2010-08-06,30,43.50
2010-08-13,35,41.73
2010-08-20,21,40.76
2010-08-27,23,40.91
2010-09-03,26,41.80
2010-09-10,27,40.19
2010-09-17,25,41.37
2010-09-24,27,43.13
2010-10-01,22,41.78
2010-10-08,41,37.99
2010-10-15,38,39.09
2010-10-22,46,39.03
2010-10-29,37,41.46
2010-11-05,31,44.07
2010-11-12,32,42.70
2010-11-19,45,42.75
2010-11-26,28,42.27
2010-12-03,23,44.88
2010-12-10,29,46.26
2010-12-17,31,44.01
2010-12-24,31,
2010-12-31,24,42.92
2011-01-07,36,44.36
2011-01-14,28,46.25
2011-01-21,25,46.00
2011-01-28,30,43.86
2011-02-04,25,43.82
2011-02-11,25,46.75
2011-02-18,32,45.53
2011-02-25,27,43.53
2011-03-04,24,43.72
2011-03-11,27,44.28
2011-03-18,20,44.17
2011-03-25,34,45.59
2011-04-01,26,45.36
2011-04-08,26,46.28
2011-04-15,28,46.25
2011-04-22,26,
2011-04-29,24,49.08
2011-05-06,21,50.20
2011-05-13,21,49.49
2011-05-20,23,51.19
2011-05-27,25,51.13
2011-06-03,21,49.28
2011-06-10,15,47.74
2011-06-17,20,48.50
2011-06-24,21,48.34
2011-07-01,24,52.34
2011-07-08,24,53.07
2011-07-15,19,51.81
2011-07-22,26,52.24
2011-07-29,21,50.04
2011-08-05,26,47.21
2011-08-12,25,44.89
2011-08-19,23,44.47
2011-08-26,23,48.48
2011-09-02,21,48.51
2011-09-09,19,47.28
2011-09-16,21,50.12
2011-09-23,24,46.45
2011-09-30,21,44.90
2011-10-07,18,43.43
2011-10-14,22,46.10
2011-10-21,24,48.46
2011-10-28,18,52.10
2011-11-04,20,51.18
2011-11-11,23,50.37
2011-11-18,22,46.88
2011-11-25,17,45.00
2011-12-02,20,48.23
2011-12-09,18,48.80
2011-12-16,19,46.88
2011-12-23,19,47.95
2011-12-30,14,47.17
2012-01-06,21,48.27
2012-01-13,22,49.76
2012-01-20,25,50.04
2012-01-27,22,49.85
2012-02-03,22,52.25
2012-02-10,20,51.81
2012-02-17,24,52.86
2012-02-24,16,53.33
2012-03-02,26,52.99
2012-03-09,18,53.20
2012-03-16,20,56.55
2012-03-23,20,57.25
2012-03-30,25,57.86
2012-04-06,26,
2012-04-13,19,57.28
2012-04-20,21,57.45
2012-04-27,24,60.17
2012-05-04,22,60.10
2012-05-11,19,59.64
2012-05-18,16,55.40
2012-05-25,17,55.81
2012-06-01,17,53.43
2012-06-08,19,55.86
2012-06-15,19,56.28
2012-06-22,15,56.79
2012-06-29,19,58.21
2012-07-06,15,58.63
2012-07-13,21,57.93
2012-07-20,23,55.81
2012-07-27,17,58.53
2012-08-03,15,57.61
2012-08-10,20,55.85
2012-08-17,20,57.59
2012-08-24,18,57.49
2012-08-31,17,58.30
2012-09-07,22,57.73
2012-09-14,20,59.27
2012-09-21,18,57.86
2012-09-28,15,56.86
2012-10-05,21,58.56
2012-10-12,21,57.89
2012-10-19,20,56.86
2012-10-26,19,55.75
2012-11-02,15,56.71
2012-11-09,16,55.83
2012-11-16,17,54.30
2012-11-23,15,56.51
2012-11-30,22,55.90
2012-12-07,18,56.61
2012-12-14,17,56.65
2012-12-21,17,57.65
2012-12-28,16,56.67
2013-01-04,17,59.61
2013-01-11,21,61.24
2013-01-18,21,59.78
2013-01-25,19,59.50
2013-02-01,22,59.91
2013-02-08,23,61.80
2013-02-15,21,61.69
2013-02-22,18,62.57
2013-03-01,20,62.37
2013-03-08,23,64.70
2013-03-15,21,66.09
2013-03-22,17,66.22
2013-03-29,18,
2013-04-05,18,65.30
2013-04-12,20,65.68
2013-04-19,21,67.24
2013-04-26,19,67.75
2013-05-03,21,70.23
2013-05-10,18,70.08
2013-05-17,20,73.32
2013-05-24,15,75.27
2013-05-31,16,75.71
2013-06-07,20,78.04
2013-06-14,19,72.97
2013-06-21,19,73.31
2013-06-28,17,74.76
2013-07-05,16,76.31
2013-07-12,18,78.33
2013-07-19,26,74.06
2013-07-26,15,75.34
2013-08-02,22,75.69
2013-08-09,16,75.50
2013-08-16,18,75.17
2013-08-23,18,73.65
2013-08-30,18,71.91
2013-09-06,16,73.35
2013-09-13,20,75.30
2013-09-20,18,77.32
2013-09-27,20,75.89
2013-10-04,17,74.31
2013-10-11,19,75.40
2013-10-18,27,80.52
2013-10-25,21,82.61
2013-11-01,20,82.16
2013-11-08,19,81.78
2013-11-15,20,82.80
2013-11-22,22,83.85
2013-11-29,17,85.80
2013-12-06,18,85.93
2013-12-13,18,83.68
2013-12-20,14,87.57
2013-12-27,19,89.19
2014-01-03,17,89.74
2014-01-10,17,88.55
2014-01-17,30,90.97
2014-01-24,23,86.95
2014-01-31,20,85.02
2014-02-07,20,87.00
2014-02-14,21,89.00
2014-02-21,17,88.75
2014-02-28,23,91.28
2014-03-07,22,93.86
2014-03-14,24,90.17
2014-03-21,17,91.52
2014-03-28,19,90.46
2014-04-04,19,89.17
2014-04-11,19,84.54
2014-04-18,27,
2014-04-25,19,87.03
2014-05-02, ,
