Date,JNJ,Price
2005-07-08,35,64.28
2005-07-15,33,65.03
2005-07-22,60,64.32
2005-07-29,50,63.96
2005-08-05,49,63.54
2005-08-12,71,63.56
2005-08-19,43,63.57
2005-08-26,67,61.94
2005-09-02,52,62.90
2005-09-09,60,64.73
2005-09-16,65,65.18
2005-09-23,64,63.99
2005-09-30,41,63.28
2005-10-07,61,61.34
2005-10-14,66,63.70
2005-10-21,54,64.07
2005-10-28,65,62.95
2005-11-04,62,60.88
2005-11-11,72,60.92
2005-11-18,69,62.55
2005-11-25,50,62.15
2005-12-02,59,61.21
2005-12-09,67,60.10
2005-12-16,64,60.86
2005-12-23,43,61.11
2005-12-30,34,60.10
2006-01-06,50,62.60
2006-01-13,62,61.82
2006-01-20,68,60.80
2006-01-27,81,58.71
2006-02-03,64,57.38
2006-02-10,79,58.39
2006-02-17,68,59.07
2006-02-24,59,57.76
2006-03-03,77,57.47
2006-03-10,62,59.04
2006-03-17,71,60.34
2006-03-24,81,60.39
2006-03-31,61,59.22
2006-04-07,45,57.83
2006-04-14,45,
2006-04-21,72,58.37
2006-04-28,81,58.61
2006-05-05,51,58.70
2006-05-12,65,58.83
2006-05-19,73,59.90
2006-05-26,83,60.69
2006-06-02,50,60.74
2006-06-09,66,61.38
2006-06-16,83,61.68
2006-06-23,63,61.32
2006-06-30,73,59.92
2006-07-07,60,60.62
2006-07-14,63,60.46
2006-07-21,60,61.73
2006-07-28,72,62.92
2006-08-04,65,63.53
2006-08-11,67,63.47
2006-08-18,72,64.42
2006-08-25,81,64.67
2006-09-01,71,64.72
2006-09-08,72,63.59
2006-09-15,63,63.79
2006-09-22,72,63.96
2006-09-29,75,64.94
2006-10-06,56,65.06
2006-10-13,58,64.58
2006-10-20,80,68.62
2006-10-27,81,68.17
2006-11-03,66,67.81
2006-11-10,69,66.29
2006-11-17,66,67.24
2006-11-24,53,65.85
2006-12-01,68,65.97
2006-12-08,62,65.95
2006-12-15,63,66.29
2006-12-22,55,65.65
2006-12-29,49,66.02
2007-01-05,46,66.62
2007-01-12,59,66.64
2007-01-19,55,67.76
2007-01-26,72,66.07
2007-02-02,49,66.58
2007-02-09,47,65.60
2007-02-16,66,65.51
2007-02-23,51,64.15
2007-03-02,70,61.95
2007-03-09,77,62.14
2007-03-16,77,60.51
2007-03-23,64,60.51
2007-03-30,67,60.26
2007-04-06,64,
2007-04-13,74,62.35
2007-04-20,77,65.12
2007-04-27,72,64.17
2007-05-04,83,64.48
2007-05-11,66,62.27
2007-05-18,71,63.42
2007-05-25,62,63.19
2007-06-01,53,63.41
2007-06-08,58,62.13
2007-06-15,50,62.77
2007-06-22,57,60.73
2007-06-29,52,61.62
2007-07-06,44,62.13
2007-07-13,67,63.43
2007-07-20,69,61.79
2007-07-27,60,59.77
2007-08-03,74,60.55
2007-08-10,62,61.15
2007-08-17,45,62.02
2007-08-24,50,61.88
2007-08-31,45,61.79
2007-09-07,40,61.68
2007-09-14,53,63.20
2007-09-21,57,65.12
2007-09-28,59,65.70
2007-10-05,64,66.25
2007-10-12,59,65.94
2007-10-19,61,64.23
2007-10-26,47,64.30
2007-11-02,53,64.78
2007-11-09,50,65.16
2007-11-16,56,67.75
2007-11-23,54,66.88
2007-11-30,54,67.74
2007-12-07,51,67.68
2007-12-14,42,67.59
2007-12-21,50,68.03
2007-12-28,43,67.38
2008-01-04,42,65.84
2008-01-11,51,67.88
2008-01-18,51,66.29
2008-01-25,65,62.46
2008-02-01,57,63.36
2008-02-08,47,62.03
2008-02-15,43,62.90
2008-02-22,36,63.18
2008-02-29,46,61.96
2008-03-07,47,61.51
2008-03-14,44,62.65
2008-03-21,46,
2008-03-28,49,64.18
2008-04-04,45,65.73
2008-04-11,41,66.00
2008-04-18,65,66.51
2008-04-25,55,67.31
2008-05-02,58,68.26
2008-05-09,33,66.55
2008-05-16,40,66.68
2008-05-23,41,64.92
2008-05-30,42,66.74
2008-06-06,42,65.76
2008-06-13,43,66.27
2008-06-20,35,64.06
2008-06-27,41,63.57
2008-07-04,39,
2008-07-11,45,66.26
2008-07-18,57,67.82
2008-07-25,52,69.03
2008-08-01,46,68.10
2008-08-08,49,71.55
2008-08-15,50,71.33
2008-08-22,44,71.42
2008-08-29,42,70.43
2008-09-05,40,70.67
2008-09-12,40,70.59
2008-09-19,51,69.99
2008-09-26,52,69.40
2008-10-03,59,66.16
2008-10-10,90,55.85
2008-10-17,100,62.65
2008-10-24,67,60.79
2008-10-31,70,61.34
2008-11-07,59,60.22
2008-11-14,62,60.05
2008-11-21,71,58.35
2008-11-28,51,58.58
2008-12-05,60,58.23
2008-12-12,55,57.25
2008-12-19,50,58.84
2008-12-26,36,58.56
2009-01-02,38,60.65
2009-01-09,65,59.05
2009-01-16,46,57.44
2009-01-23,59,55.97
2009-01-30,58,57.69
2009-02-06,47,58.51
2009-02-13,49,57.10
2009-02-20,49,54.65
2009-02-27,57,50.00
2009-03-06,62,47.97
2009-03-13,74,50.64
2009-03-20,64,51.67
2009-03-27,65,52.83
2009-04-03,52,52.15
2009-04-10,56,
2009-04-17,70,53.05
2009-04-24,56,50.92
2009-05-01,56,52.59
2009-05-08,47,54.98
2009-05-15,47,55.41
2009-05-22,49,54.77
2009-05-29,46,55.16
2009-06-05,52,55.93
2009-06-12,48,56.06
2009-06-19,38,56.09
2009-06-26,43,56.60
2009-07-03,39,
2009-07-10,42,56.93
2009-07-17,65,59.23
2009-07-24,52,61.51
2009-07-31,46,60.89
2009-08-07,46,59.90
2009-08-14,42,60.08
2009-08-21,42,61.03
2009-08-28,45,60.29
2009-09-04,36,60.32
2009-09-11,39,60.42
2009-09-18,49,60.78
2009-09-25,42,60.62
2009-10-02,45,59.73
2009-10-09,50,61.74
2009-10-16,63,60.46
2009-10-23,42,60.54
2009-10-30,41,59.05
2009-11-06,60,60.30
2009-11-13,48,61.43
2009-11-20,42,62.31
2009-11-27,43,62.89
2009-12-04,49,64.36
2009-12-11,49,64.85
2009-12-18,41,64.37
2009-12-25,28,
2010-01-01,34,
2010-01-08,43,64.21
2010-01-15,48,64.56
2010-01-22,50,63.20
2010-01-29,44,62.86
2010-02-05,47,62.64
2010-02-12,39,62.72
2010-02-19,38,63.81
2010-02-26,44,63.00
2010-03-05,45,64.04
2010-03-12,38,64.18
2010-03-19,45,65.11
2010-03-26,40,64.38
2010-04-02,37,
2010-04-09,41,65.14
2010-04-16,42,65.02
2010-04-23,48,65.04
2010-04-30,40,64.30
2010-05-07,60,63.31
2010-05-14,48,63.97
2010-05-21,41,60.88
2010-05-28,46,58.30
2010-06-04,37,58.01
2010-06-11,36,58.46
2010-06-18,42,59.18
2010-06-25,34,58.70
2010-07-02,30,59.08
2010-07-09,39,60.54
2010-07-16,38,59.44
2010-07-23,40,57.63
2010-07-30,43,58.09
2010-08-06,45,59.96
2010-08-13,42,58.15
2010-08-20,57,58.74
2010-08-27,50,57.60
2010-09-03,40,58.93
2010-09-10,41,59.98
2010-09-17,42,61.57
2010-09-24,43,62.14
2010-10-01,50,61.75
2010-10-08,47,63.23
2010-10-15,37,63.57
2010-10-22,52,63.81
2010-10-29,42,63.74
2010-11-05,46,64.65
2010-11-12,38,63.67
2010-11-19,42,63.83
2010-11-26,39,62.30
2010-12-03,42,62.56
2010-12-10,39,61.91
2010-12-17,38,62.54
2010-12-24,34,
2010-12-31,32,61.85
2011-01-07,50,62.60
2011-01-14,47,62.55
2011-01-21,42,62.66
2011-01-28,58,60.01
2011-02-04,39,60.84
2011-02-11,42,60.70
2011-02-18,48,61.11
2011-02-25,46,59.64
2011-03-04,44,61.06
2011-03-11,41,59.69
2011-03-18,45,58.57
2011-03-25,45,58.98
2011-04-01,38,59.49
2011-04-08,45,59.46
2011-04-15,46,60.56
2011-04-22,62,
2011-04-29,69,65.72
2011-05-06,52,65.27
2011-05-13,52,66.62
2011-05-20,47,65.69
2011-05-27,45,66.77
2011-06-03,38,66.09
2011-06-10,46,66.09
2011-06-17,46,66.29
2011-06-24,45,65.06
2011-07-01,38,67.30
2011-07-08,46,67.57
2011-07-15,44,67.45
2011-07-22,44,66.72
2011-07-29,41,64.79
2011-08-05,51,62.71
2011-08-12,61,63.36
2011-08-19,48,63.14
2011-08-26,47,64.28
2011-09-02,41,64.07
2011-09-09,43,63.64
2011-09-16,45,64.59
2011-09-23,45,61.59
2011-09-30,42,63.69
2011-10-07,43,63.13
2011-10-14,40,64.72
2011-10-21,45,63.78
2011-10-28,49,65.60
2011-11-04,43,64.12
2011-11-11,43,65.25
2011-11-18,44,63.85
2011-11-25,31,61.27
2011-12-02,48,63.47
2011-12-09,48,64.53
2011-12-16,45,64.30
2011-12-23,36,65.98
2011-12-30,35,65.58
2012-01-06,45,64.83
2012-01-13,46,65.26
2012-01-20,40,65.27
2012-01-27,48,65.56
2012-02-03,49,65.64
2012-02-10,47,64.60
2012-02-17,41,64.99
2012-02-24,47,64.46
2012-03-02,46,64.77
2012-03-09,43,64.74
2012-03-16,43,65.12
2012-03-23,42,64.55
2012-03-30,42,65.96
2012-04-06,38,
2012-04-13,48,63.54
2012-04-20,46,63.71
2012-04-27,46,64.84
2012-05-04,39,64.74
2012-05-11,34,64.34
2012-05-18,35,63.35
2012-05-25,39,62.51
2012-06-01,39,61.78
2012-06-08,37,62.98
2012-06-15,41,66.01
2012-06-22,49,66.63
2012-06-29,37,67.56
2012-07-06,39,67.64
2012-07-13,44,68.61
2012-07-20,51,68.63
2012-07-27,40,69.52
2012-08-03,40,69.12
2012-08-10,39,68.64
2012-08-17,42,67.80
2012-08-24,40,67.60
2012-08-31,37,67.43
2012-09-07,41,67.88
2012-09-14,39,68.47
2012-09-21,39,69.06
2012-09-28,40,68.91
2012-10-05,42,69.65
2012-10-12,38,67.97
2012-10-19,49,71.86
2012-10-26,41,70.90
2012-11-02,39,70.90
2012-11-09,44,69.87
2012-11-16,38,69.19
2012-11-23,35,69.56
2012-11-30,37,69.73
2012-12-07,40,70.45
2012-12-14,40,70.69
2012-12-21,36,70.27
2012-12-28,34,69.48
2013-01-04,41,71.55
2013-01-11,41,72.35
2013-01-18,40,73.23
2013-01-25,46,73.92
2013-02-01,52,74.18
2013-02-08,42,75.48
2013-02-15,42,76.16
2013-02-22,46,76.25
2013-03-01,44,76.70
2013-03-08,49,78.19
2013-03-15,42,79.19
2013-03-22,43,79.74
2013-03-29,48,
2013-04-05,53,82.04
2013-04-12,49,82.74
2013-04-19,57,84.49
2013-04-26,57,85.12
2013-05-03,55,85.75
2013-05-10,48,85.76
2013-05-17,48,88.09
2013-05-24,49,86.82
2013-05-31,46,84.18
2013-06-07,47,84.91
2013-06-14,40,84.91
2013-06-21,47,83.20
2013-06-28,39,85.86
2013-07-05,38,87.87
2013-07-12,43,89.99
2013-07-19,57,92.23
2013-07-26,51,92.83
2013-08-02,53,94.39
2013-08-09,42,92.36
2013-08-16,46,89.37
2013-08-23,49,88.41
2013-08-30,45,86.41
2013-09-06,40,87.16
2013-09-13,46,88.57
2013-09-20,43,89.68
2013-09-27,48,86.73
2013-10-04,43,87.31
2013-10-11,44,89.45
2013-10-18,55,91.63
2013-10-25,44,92.09
2013-11-01,43,93.37
2013-11-08,55,94.05
2013-11-15,49,94.39
2013-11-22,49,95.25
2013-11-29,40,94.66
2013-12-06,41,94.44
2013-12-13,44,91.35
2013-12-20,46,92.09
2013-12-27,36,92.35
2014-01-03,40,91.85
2014-01-10,43,94.74
2014-01-17,50,95.06
2014-01-24,51,90.61
2014-01-31,46,88.47
2014-02-07,47,90.04
2014-02-14,49,92.76
2014-02-21,44,91.52
2014-02-28,48,92.12
2014-03-07,45,93.32
2014-03-14,44,92.81
2014-03-21,43,95.93
2014-03-28,46,97.44
2014-04-04,49,98.42
2014-04-11,49,96.87
2014-04-18,53,
2014-04-25,53,99.79
2014-05-02, ,
