Date,Intel Corporation,Price
2005-10-21,74,23.15
2005-10-28,79,23.33
2005-11-04,77,23.99
2005-11-11,57,25.13
2005-11-18,76,25.30
2005-11-25,56,26.81
2005-12-02,83,27.43
2005-12-09,59,26.08
2005-12-16,38,26.38
2005-12-23,67,25.97
2005-12-30,80,24.96
2006-01-06,73,26.31
2006-01-13,80,25.79
2006-01-20,75,21.76
2006-01-27,51,21.67
2006-02-03,62,20.74
2006-02-10,68,21.29
2006-02-17,45,20.61
2006-02-24,94,20.36
2006-03-03,84,20.32
2006-03-10,37,19.85
2006-03-17,65,19.54
2006-03-24,54,19.60
2006-03-31,57,19.46
2006-04-07,59,19.24
2006-04-14,82,
2006-04-21,51,19.06
2006-04-28,53,19.98
2006-05-05,64,19.51
2006-05-12,60,19.04
2006-05-19,56,18.36
2006-05-26,48,18.22
2006-06-02,74,18.23
2006-06-09,61,17.16
2006-06-16,69,18.30
2006-06-23,47,18.00
2006-06-30,58,19.00
2006-07-07,59,18.56
2006-07-14,51,17.88
2006-07-21,46,17.15
2006-07-28,43,18.18
2006-08-04,46,17.49
2006-08-11,40,17.41
2006-08-18,61,18.40
2006-08-25,73,18.90
2006-09-01,51,19.88
2006-09-08,48,19.45
2006-09-15,67,19.51
2006-09-22,71,19.07
2006-09-29,50,20.57
2006-10-06,58,20.63
2006-10-13,63,21.60
2006-10-20,68,21.33
2006-10-27,71,21.10
2006-11-03,63,20.51
2006-11-10,66,20.58
2006-11-17,61,22.10
2006-11-24,61,21.59
2006-12-01,61,20.93
2006-12-08,70,20.68
2006-12-15,54,20.96
2006-12-22,60,20.08
2006-12-29,87,20.25
2007-01-05,72,21.10
2007-01-12,44,22.13
2007-01-19,54,20.82
2007-01-26,71,20.53
2007-02-02,62,21.23
2007-02-09,44,21.03
2007-02-16,48,21.23
2007-02-23,55,20.76
2007-03-02,53,19.22
2007-03-09,52,19.10
2007-03-16,70,19.15
2007-03-23,64,19.27
2007-03-30,69,19.13
2007-04-06,53,
2007-04-13,67,20.46
2007-04-20,77,22.16
2007-04-27,52,21.87
2007-05-04,55,21.90
2007-05-11,58,22.28
2007-05-18,57,22.70
2007-05-25,45,22.16
2007-06-01,55,22.36
2007-06-08,50,21.83
2007-06-15,59,24.24
2007-06-22,61,23.70
2007-06-29,69,23.74
2007-07-06,66,24.68
2007-07-13,50,25.97
2007-07-20,62,24.55
2007-07-27,55,23.54
2007-08-03,50,23.91
2007-08-10,66,23.98
2007-08-17,52,23.70
2007-08-24,56,24.79
2007-08-31,59,25.75
2007-09-07,60,25.47
2007-09-14,68,24.93
2007-09-21,79,25.87
2007-09-28,63,25.86
2007-10-05,58,25.54
2007-10-12,70,25.55
2007-10-19,73,26.30
2007-10-26,62,25.94
2007-11-02,74,26.80
2007-11-09,55,25.15
2007-11-16,70,25.51
2007-11-23,53,25.07
2007-11-30,81,26.08
2007-12-07,65,27.73
2007-12-14,59,26.29
2007-12-21,43,26.96
2007-12-28,70,26.76
2008-01-04,67,22.67
2008-01-11,64,21.99
2008-01-18,71,19.00
2008-01-25,61,20.00
2008-02-01,66,21.77
2008-02-08,62,20.27
2008-02-15,68,20.11
2008-02-22,66,19.82
2008-02-29,62,19.97
2008-03-07,71,20.07
2008-03-14,66,20.66
2008-03-21,64,
2008-03-28,49,20.79
2008-04-04,83,21.87
2008-04-11,50,21.24
2008-04-18,69,22.55
2008-04-25,64,22.56
2008-05-02,49,23.58
2008-05-09,47,23.37
2008-05-16,67,25.00
2008-05-23,65,23.41
2008-05-30,53,23.18
2008-06-06,45,22.90
2008-06-13,67,22.66
2008-06-20,50,22.37
2008-06-27,72,21.49
2008-07-04,59,
2008-07-11,58,20.64
2008-07-18,57,22.09
2008-07-25,59,22.01
2008-08-01,54,22.35
2008-08-08,73,24.23
2008-08-15,57,24.26
2008-08-22,65,23.49
2008-08-29,60,22.87
2008-09-05,48,20.61
2008-09-12,51,20.16
2008-09-19,66,19.23
2008-09-26,70,19.20
2008-10-03,58,17.31
2008-10-10,67,15.19
2008-10-17,68,15.50
2008-10-24,55,14.28
2008-10-31,54,16.03
2008-11-07,64,14.63
2008-11-14,55,13.32
2008-11-21,62,13.11
2008-11-28,53,13.80
2008-12-05,59,13.29
2008-12-12,67,14.75
2008-12-19,47,14.44
2008-12-26,65,14.18
2009-01-02,59,15.20
2009-01-09,56,14.15
2009-01-16,70,13.74
2009-01-23,76,13.12
2009-01-30,57,12.90
2009-02-06,56,14.73
2009-02-13,56,13.88
2009-02-20,65,12.78
2009-02-27,55,12.74
2009-03-06,53,12.41
2009-03-13,62,14.70
2009-03-20,63,14.65
2009-03-27,43,15.42
2009-04-03,53,15.95
2009-04-10,52,
2009-04-17,68,15.60
2009-04-24,59,15.62
2009-05-01,56,15.81
2009-05-08,53,15.29
2009-05-15,61,15.19
2009-05-22,54,15.05
2009-05-29,47,15.72
2009-06-05,47,15.92
2009-06-12,52,16.31
2009-06-19,64,16.01
2009-06-26,48,16.29
2009-07-03,52,
2009-07-10,57,16.04
2009-07-17,49,18.79
2009-07-24,49,19.36
2009-07-31,58,19.25
2009-08-07,64,18.50
2009-08-14,59,18.77
2009-08-21,60,18.89
2009-08-28,56,20.25
2009-09-04,54,19.64
2009-09-11,45,19.51
2009-09-18,58,19.56
2009-09-25,54,19.37
2009-10-02,62,18.97
2009-10-09,54,20.17
2009-10-16,55,20.18
2009-10-23,47,19.78
2009-10-30,64,19.11
2009-11-06,56,18.93
2009-11-13,57,19.82
2009-11-20,49,19.24
2009-11-27,46,19.11
2009-12-04,62,20.46
2009-12-11,55,19.90
2009-12-18,49,19.63
2009-12-25,40,
2010-01-01,50,
2010-01-08,47,20.83
2010-01-15,57,20.80
2010-01-22,57,19.91
2010-01-29,45,19.40
2010-02-05,54,19.47
2010-02-12,48,20.43
2010-02-19,56,20.82
2010-02-26,51,20.53
2010-03-05,56,20.79
2010-03-12,54,21.27
2010-03-19,55,21.99
2010-03-26,52,22.24
2010-04-02,52,
2010-04-09,54,22.55
2010-04-16,47,23.92
2010-04-23,48,24.04
2010-04-30,44,22.84
2010-05-07,48,21.31
2010-05-14,42,21.89
2010-05-21,43,20.91
2010-05-28,37,21.42
2010-06-04,45,20.95
2010-06-11,40,20.64
2010-06-18,39,21.40
2010-06-25,47,20.03
2010-07-02,43,19.20
2010-07-09,39,20.24
2010-07-16,50,21.02
2010-07-23,40,21.69
2010-07-30,42,20.60
2010-08-06,39,20.65
2010-08-13,41,19.15
2010-08-20,40,18.91
2010-08-27,43,18.37
2010-09-03,46,18.43
2010-09-10,41,17.97
2010-09-17,47,18.81
2010-09-24,47,19.42
2010-10-01,35,19.32
2010-10-08,47,19.52
2010-10-15,49,19.32
2010-10-22,51,19.84
2010-10-29,46,20.05
2010-11-05,46,21.24
2010-11-12,44,21.53
2010-11-19,39,21.14
2010-11-26,42,21.34
2010-12-03,50,21.69
2010-12-10,45,21.91
2010-12-17,34,21.46
2010-12-24,35,
2010-12-31,45,21.03
2011-01-07,52,20.66
2011-01-14,41,21.08
2011-01-21,47,20.82
2011-01-28,40,21.46
2011-02-04,52,21.68
2011-02-11,44,21.76
2011-02-18,43,22.14
2011-02-25,46,21.86
2011-03-04,36,21.56
2011-03-11,36,20.87
2011-03-18,35,19.93
2011-03-25,39,20.37
2011-04-01,43,19.72
2011-04-08,44,20.02
2011-04-15,39,19.75
2011-04-22,40,
2011-04-29,45,23.15
2011-05-06,38,23.25
2011-05-13,42,23.41
2011-05-20,44,23.22
2011-05-27,38,22.21
2011-06-03,38,21.73
2011-06-10,36,21.38
2011-06-17,38,21.19
2011-06-24,39,21.20
2011-07-01,38,22.53
2011-07-08,38,23.09
2011-07-15,41,22.37
2011-07-22,38,23.13
2011-07-29,37,22.33
2011-08-05,37,20.79
2011-08-12,41,20.65
2011-08-19,31,19.19
2011-08-26,35,19.77
2011-09-02,34,19.64
2011-09-09,41,19.70
2011-09-16,39,21.97
2011-09-23,38,22.16
2011-09-30,43,21.34
2011-10-07,43,22.29
2011-10-14,39,23.50
2011-10-21,43,24.03
2011-10-28,43,24.98
2011-11-04,42,23.74
2011-11-11,37,24.85
2011-11-18,38,24.29
2011-11-25,33,22.73
2011-12-02,38,24.64
2011-12-09,37,25.01
2011-12-16,37,23.23
2011-12-23,35,24.40
2011-12-30,38,24.25
2012-01-06,35,25.25
2012-01-13,45,25.14
2012-01-20,37,26.38
2012-01-27,39,26.73
2012-02-03,40,26.74
2012-02-10,36,26.70
2012-02-17,28,27.37
2012-02-24,31,26.70
2012-03-02,37,26.92
2012-03-09,37,27.07
2012-03-16,33,27.73
2012-03-23,31,27.88
2012-03-30,38,28.12
2012-04-06,24,
2012-04-13,34,28.09
2012-04-20,30,27.60
2012-04-27,32,28.38
2012-05-04,36,27.90
2012-05-11,36,27.63
2012-05-18,45,26.07
2012-05-25,37,25.74
2012-06-01,27,25.14
2012-06-08,32,26.41
2012-06-15,35,27.34
2012-06-22,31,26.94
2012-06-29,32,26.65
2012-07-06,27,26.16
2012-07-13,38,25.25
2012-07-20,37,25.52
2012-07-27,36,26.02
2012-08-03,29,26.23
2012-08-10,33,26.88
2012-08-17,43,26.33
2012-08-24,41,24.91
2012-08-31,41,24.83
2012-09-07,41,24.19
2012-09-14,41,23.37
2012-09-21,38,23.13
2012-09-28,37,22.66
2012-10-05,47,22.68
2012-10-12,41,21.48
2012-10-19,44,21.27
2012-10-26,33,21.95
2012-11-02,30,22.06
2012-11-09,31,20.80
2012-11-16,32,20.19
2012-11-23,32,19.72
2012-11-30,33,19.57
2012-12-07,28,20.16
2012-12-14,33,20.53
2012-12-21,30,20.77
2012-12-28,28,20.23
2013-01-04,25,21.16
2013-01-11,26,22.00
2013-01-18,28,21.25
2013-01-25,30,20.96
2013-02-01,29,21.36
2013-02-08,37,21.00
2013-02-15,38,21.12
2013-02-22,37,20.42
2013-03-01,30,21.03
2013-03-08,37,21.58
2013-03-15,31,21.38
2013-03-22,33,21.33
2013-03-29,29,
2013-04-05,29,20.94
2013-04-12,30,21.68
2013-04-19,32,22.44
2013-04-26,31,23.40
2013-05-03,31,23.96
2013-05-10,28,24.50
2013-05-17,28,24.04
2013-05-24,25,23.92
2013-05-31,30,24.28
2013-06-07,24,24.59
2013-06-14,25,24.92
2013-06-21,31,24.20
2013-06-28,29,24.23
2013-07-05,25,24.06
2013-07-12,28,23.90
2013-07-19,26,23.04
2013-07-26,37,23.26
2013-08-02,25,23.22
2013-08-09,31,22.51
2013-08-16,31,21.91
2013-08-23,31,22.44
2013-08-30,38,21.98
2013-09-06,32,22.67
2013-09-13,31,23.44
2013-09-20,35,23.77
2013-09-27,33,22.98
2013-10-04,37,22.81
2013-10-11,35,23.26
2013-10-18,37,23.88
2013-10-25,33,24.24
2013-11-01,38,24.33
2013-11-08,30,24.09
2013-11-15,31,24.52
2013-11-22,40,23.87
2013-11-29,37,23.84
2013-12-06,37,24.82
2013-12-13,34,24.29
2013-12-20,35,25.06
2013-12-27,31,25.60
2014-01-03,30,25.78
2014-01-10,26,25.53
2014-01-17,32,25.85
2014-01-24,35,24.81
2014-01-31,35,24.54
2014-02-07,32,24.21
2014-02-14,32,24.76
2014-02-21,37,24.42
2014-02-28,35,24.76
2014-03-07,36,24.64
2014-03-14,35,24.50
2014-03-21,35,25.17
2014-03-28,36,25.62
2014-04-04,34,26.16
2014-04-11,34,26.18
2014-04-18,35,
2014-04-25,39,26.26
2014-05-02, ,
