Date,JPM,Price
2010-04-16,49,45.55
2010-04-23,35,44.94
2010-04-30,37,42.58
2010-05-07,38,40.76
2010-05-14,39,39.89
2010-05-21,37,40.05
2010-05-28,37,39.58
2010-06-04,33,37.62
2010-06-11,33,38.09
2010-06-18,37,39.18
2010-06-25,36,39.44
2010-07-02,38,35.83
2010-07-09,32,38.85
2010-07-16,48,39.00
2010-07-23,38,39.83
2010-07-30,35,40.28
2010-08-06,36,40.44
2010-08-13,32,37.50
2010-08-20,33,37.14
2010-08-27,30,36.60
2010-09-03,32,39.17
2010-09-10,35,39.76
2010-09-17,29,40.06
2010-09-24,31,39.75
2010-10-01,32,38.81
2010-10-08,37,39.31
2010-10-15,51,37.15
2010-10-22,43,37.70
2010-10-29,36,37.63
2010-11-05,39,40.94
2010-11-12,35,39.61
2010-11-19,31,39.41
2010-11-26,31,37.50
2010-12-03,33,39.61
2010-12-10,38,41.43
2010-12-17,33,39.67
2010-12-24,33,
2010-12-31,27,42.42
2011-01-07,40,43.64
2011-01-14,50,44.91
2011-01-21,34,45.29
2011-01-28,36,44.54
2011-02-04,34,44.59
2011-02-11,37,46.57
2011-02-18,36,48.00
2011-02-25,35,46.68
2011-03-04,30,45.52
2011-03-11,36,45.74
2011-03-18,34,45.74
2011-03-25,36,45.86
2011-04-01,32,46.35
2011-04-08,36,46.84
2011-04-15,46,44.89
2011-04-22,35,
2011-04-29,33,45.63
2011-05-06,32,45.04
2011-05-13,29,43.15
2011-05-20,33,43.13
2011-05-27,30,42.79
2011-06-03,29,41.57
2011-06-10,28,41.05
2011-06-17,36,40.80
2011-06-24,33,39.49
2011-07-01,31,41.58
2011-07-08,30,40.74
2011-07-15,38,39.98
2011-07-22,33,42.19
2011-07-29,27,40.45
2011-08-05,35,37.60
2011-08-12,44,35.91
2011-08-19,30,34.35
2011-08-26,41,36.21
2011-09-02,31,34.63
2011-09-09,37,32.08
2011-09-16,35,33.43
2011-09-23,39,29.59
2011-09-30,39,30.12
2011-10-07,40,30.70
2011-10-14,46,31.89
2011-10-21,35,33.42
2011-10-28,32,36.69
2011-11-04,33,33.97
2011-11-11,33,33.28
2011-11-18,32,30.62
2011-11-25,31,28.48
2011-12-02,34,32.33
2011-12-09,33,33.18
2011-12-16,31,31.89
2011-12-23,31,33.57
2011-12-30,27,33.25
2012-01-06,33,35.36
2012-01-13,42,35.92
2012-01-20,33,37.36
2012-01-27,31,37.21
2012-02-03,31,38.28
2012-02-10,32,37.61
2012-02-17,29,38.47
2012-02-24,30,38.28
2012-03-02,34,40.63
2012-03-09,32,41.03
2012-03-16,37,44.57
2012-03-23,34,45.16
2012-03-30,30,45.98
2012-04-06,30,
2012-04-13,38,43.21
2012-04-20,32,42.72
2012-04-27,30,43.34
2012-05-04,27,41.75
2012-05-11,80,36.96
2012-05-18,87,33.49
2012-05-25,54,33.50
2012-06-01,44,31.93
2012-06-08,41,33.68
2012-06-15,46,35.03
2012-06-22,40,35.99
2012-06-29,42,35.73
2012-07-06,36,33.90
2012-07-13,72,36.07
2012-07-20,39,33.90
2012-07-27,35,36.89
2012-08-03,31,36.09
2012-08-10,31,36.97
2012-08-17,27,36.98
2012-08-24,30,37.17
2012-08-31,28,37.14
2012-09-07,32,39.30
2012-09-14,35,41.57
2012-09-21,33,40.88
2012-09-28,33,40.48
2012-10-05,31,41.71
2012-10-12,40,41.62
2012-10-19,33,42.32
2012-10-26,27,41.16
2012-11-02,26,42.42
2012-11-09,30,40.62
2012-11-16,28,39.53
2012-11-23,28,41.09
2012-11-30,28,41.08
2012-12-07,37,42.56
2012-12-14,39,42.81
2012-12-21,32,44.00
2012-12-28,25,43.24
2013-01-04,38,45.36
2013-01-11,36,46.14
2013-01-18,43,46.46
2013-01-25,46,47.16
2013-02-01,33,47.85
2013-02-08,34,48.63
2013-02-15,29,48.88
2013-02-22,41,48.91
2013-03-01,34,48.91
2013-03-08,36,50.20
2013-03-15,42,50.02
2013-03-22,35,48.78
2013-03-29,30,
2013-04-05,34,47.91
2013-04-12,43,49.01
2013-04-19,34,47.23
2013-04-26,32,48.88
2013-05-03,34,47.57
2013-05-10,36,48.96
2013-05-17,38,52.30
2013-05-24,40,53.66
2013-05-31,34,54.59
2013-06-07,35,54.27
2013-06-14,36,53.13
2013-06-21,33,51.96
2013-06-28,33,52.79
2013-07-05,32,53.99
2013-07-12,45,54.97
2013-07-19,36,56.16
2013-07-26,36,56.05
2013-08-02,36,56.49
2013-08-09,34,54.52
2013-08-16,35,53.29
2013-08-23,33,52.32
2013-08-30,31,50.53
2013-09-06,28,52.56
2013-09-13,33,52.59
2013-09-20,38,52.80
2013-09-27,38,52.24
2013-10-04,31,52.67
2013-10-11,41,52.51
2013-10-18,38,54.30
2013-10-25,42,52.77
2013-11-01,34,52.51
2013-11-08,31,53.96
2013-11-15,35,54.87
2013-11-22,40,57.46
2013-11-29,34,57.22
2013-12-06,33,56.06
2013-12-13,30,56.17
2013-12-20,31,57.70
2013-12-27,28,58.14
2014-01-03,28,58.66
2014-01-10,40,58.49
2014-01-17,48,58.11
2014-01-24,37,55.09
2014-01-31,39,55.36
2014-02-07,36,56.62
2014-02-14,32,58.15
2014-02-21,35,57.61
2014-02-28,35,56.82
2014-03-07,33,59.40
2014-03-14,31,56.80
2014-03-21,34,60.17
2014-03-28,32,60.04
2014-04-04,32,59.81
2014-04-11,39,55.30
2014-04-18,34,
2014-04-25,30,55.70
2014-05-02, ,
