Date,MCD,Price
2009-05-22,23,57.08
2009-05-29,24,58.99
2009-06-05,25,59.87
2009-06-12,30,58.36
2009-06-19,33,58.17
2009-06-26,37,57.00
2009-07-03,40,
2009-07-10,24,57.05
2009-07-17,24,57.84
2009-07-24,21,56.08
2009-07-31,24,55.06
2009-08-07,23,55.20
2009-08-14,22,55.27
2009-08-21,22,56.27
2009-08-28,23,56.07
2009-09-04,23,56.14
2009-09-11,23,54.39
2009-09-18,25,57.00
2009-09-25,23,56.95
2009-10-02,23,56.71
2009-10-09,27,56.70
2009-10-16,31,58.78
2009-10-23,35,59.43
2009-10-30,35,58.61
2009-11-06,28,61.72
2009-11-13,23,63.58
2009-11-20,22,63.97
2009-11-27,23,63.60
2009-12-04,23,61.59
2009-12-11,24,61.66
2009-12-18,25,62.17
2009-12-25,26,
2010-01-01,25,
2010-01-08,24,61.84
2010-01-15,25,62.28
2010-01-22,24,63.39
2010-01-29,23,62.43
2010-02-05,23,63.37
2010-02-12,23,63.59
2010-02-19,22,64.74
2010-02-26,25,63.85
2010-03-05,23,63.67
2010-03-12,24,65.53
2010-03-19,27,66.53
2010-03-26,25,67.26
2010-04-02,24,
2010-04-09,25,68.68
2010-04-16,25,69.03
2010-04-23,25,71.15
2010-04-30,25,70.59
2010-05-07,25,68.01
2010-05-14,25,69.59
2010-05-21,26,67.86
2010-05-28,24,66.87
2010-06-04,27,66.70
2010-06-11,29,69.54
2010-06-18,32,69.88
2010-06-25,31,67.42
2010-07-02,32,66.14
2010-07-09,24,69.22
2010-07-16,23,69.94
2010-07-23,25,69.90
2010-07-30,25,69.73
2010-08-06,22,71.74
2010-08-13,23,71.89
2010-08-20,23,73.08
2010-08-27,25,73.99
2010-09-03,23,75.09
2010-09-10,23,75.01
2010-09-17,23,74.32
2010-09-24,23,75.10
2010-10-01,23,74.92
2010-10-08,25,76.10
2010-10-15,26,77.48
2010-10-22,27,78.55
2010-10-29,26,77.77
2010-11-05,23,79.30
2010-11-12,23,78.85
2010-11-19,23,79.64
2010-11-26,22,78.54
2010-12-03,22,79.76
2010-12-10,25,77.56
2010-12-17,24,76.81
2010-12-24,23,
2010-12-31,21,76.76
2011-01-07,24,74.37
2011-01-14,23,74.06
2011-01-21,22,75.01
2011-01-28,23,73.28
2011-02-04,23,74.05
2011-02-11,24,76.14
2011-02-18,22,76.13
2011-02-25,21,74.44
2011-03-04,22,76.03
2011-03-11,22,76.73
2011-03-18,23,72.99
2011-03-25,24,75.25
2011-04-01,26,75.99
2011-04-08,24,76.04
2011-04-15,23,77.38
2011-04-22,23,
2011-04-29,25,78.31
2011-05-06,24,78.70
2011-05-13,27,80.74
2011-05-20,28,82.33
2011-05-27,27,81.62
2011-06-03,27,80.54
2011-06-10,28,80.36
2011-06-17,28,82.52
2011-06-24,31,81.84
2011-07-01,34,85.65
2011-07-08,25,85.60
2011-07-15,25,85.48
2011-07-22,26,88.56
2011-07-29,24,86.48
2011-08-05,28,85.08
2011-08-12,24,86.50
2011-08-19,23,87.23
2011-08-26,34,89.93
2011-09-02,36,89.09
2011-09-09,32,85.03
2011-09-16,30,88.29
2011-09-23,36,87.37
2011-09-30,32,87.82
2011-10-07,31,87.20
2011-10-14,29,89.94
2011-10-21,32,92.32
2011-10-28,26,93.29
2011-11-04,25,93.81
2011-11-11,26,94.76
2011-11-18,26,92.74
2011-11-25,25,92.10
2011-12-02,23,95.70
2011-12-09,25,98.03
2011-12-16,24,97.49
2011-12-23,23,100.15
2011-12-30,24,100.33
2012-01-06,22,100.60
2012-01-13,23,100.35
2012-01-20,24,101.74
2012-01-27,24,98.69
2012-02-03,23,100.01
2012-02-10,23,99.47
2012-02-17,24,99.99
2012-02-24,23,100.32
2012-03-02,24,99.50
2012-03-09,27,96.84
2012-03-16,26,97.66
2012-03-23,27,95.55
2012-03-30,33,98.10
2012-04-06,28,
2012-04-13,30,96.97
2012-04-20,100,95.94
2012-04-27,25,97.38
2012-05-04,26,95.87
2012-05-11,26,91.90
2012-05-18,27,89.85
2012-05-25,27,91.05
2012-06-01,27,86.71
2012-06-08,29,87.75
2012-06-15,29,90.50
2012-06-22,31,88.35
2012-06-29,31,88.53
2012-07-06,25,89.66
2012-07-13,26,92.29
2012-07-20,23,91.58
2012-07-27,23,89.19
2012-08-03,21,89.59
2012-08-10,25,88.20
2012-08-17,23,87.36
2012-08-24,24,88.92
2012-08-31,25,89.49
2012-09-07,27,91.02
2012-09-14,24,91.70
2012-09-21,24,93.71
2012-09-28,26,91.75
2012-10-05,28,91.00
2012-10-12,27,92.51
2012-10-19,27,88.72
2012-10-26,24,86.71
2012-11-02,23,86.86
2012-11-09,25,84.74
2012-11-16,24,84.12
2012-11-23,27,87.05
2012-11-30,23,87.04
2012-12-07,21,88.48
2012-12-14,23,88.88
2012-12-21,24,90.18
2012-12-28,22,87.58
2013-01-04,22,89.85
2013-01-11,23,91.73
2013-01-18,23,92.26
2013-01-25,23,93.72
2013-02-01,22,95.95
2013-02-08,21,94.87
2013-02-15,21,93.90
2013-02-22,22,95.25
2013-03-01,23,95.68
2013-03-08,23,98.71
2013-03-15,22,99.67
2013-03-22,23,99.27
2013-03-29,23,
2013-04-05,25,101.42
2013-04-12,28,103.59
2013-04-19,28,99.92
2013-04-26,28,100.89
2013-05-03,27,102.92
2013-05-10,27,100.20
2013-05-17,26,101.54
2013-05-24,25,100.29
2013-05-31,27,96.57
2013-06-07,28,98.28
2013-06-14,29,98.42
2013-06-21,33,97.23
2013-06-28,42,99.00
2013-07-05,30,99.86
2013-07-12,28,101.58
2013-07-19,32,100.27
2013-07-26,32,98.03
2013-08-02,28,99.20
2013-08-09,25,97.62
2013-08-16,24,95.03
2013-08-23,22,95.13
2013-08-30,24,94.36
2013-09-06,23,96.26
2013-09-13,22,97.35
2013-09-20,23,96.90
2013-09-27,25,97.12
2013-10-04,24,94.70
2013-10-11,24,94.74
2013-10-18,23,95.20
2013-10-25,23,94.78
2013-11-01,21,97.24
2013-11-08,23,97.01
2013-11-15,24,96.92
2013-11-22,23,98.27
2013-11-29,24,97.37
2013-12-06,24,96.80
2013-12-13,24,94.44
2013-12-20,25,96.51
2013-12-27,22,96.91
2014-01-03,22,96.54
2014-01-10,23,95.80
2014-01-17,23,94.93
2014-01-24,24,94.43
2014-01-31,24,94.17
2014-02-07,22,95.92
2014-02-14,23,95.78
2014-02-21,22,96.45
2014-02-28,23,95.15
2014-03-07,23,95.50
2014-03-14,25,97.58
2014-03-21,24,95.47
2014-03-28,24,97.24
2014-04-04,24,97.87
2014-04-11,25,99.29
2014-04-18,24,
2014-04-25,25,100.73
2014-05-02, ,
