"Date","EMN","Price"
2007-02-02,54,58.85
2007-02-09,41,58.6
2007-02-16,59,59.53
2007-02-23,57,60.62
2007-03-02,41,58.54
2007-03-09,48,60.48
2007-03-16,36,60.36
2007-03-23,49,64.09
2007-03-30,62,63.33
2007-04-13,64,64.97
2007-04-20,51,66.12
2007-04-27,58,69.42
2007-05-04,65,66.19
2007-05-11,51,65.9
2007-05-18,50,66.3
2007-05-25,57,66.09
2007-06-01,53,66.34
2007-06-08,57,63.89
2007-06-15,56,64.65
2007-06-22,54,64.94
2007-06-29,67,64.33
2007-07-06,65,67.94
2007-07-13,49,68.11
2007-07-20,58,69.05
2007-07-27,58,66.06
2007-08-03,48,68.45
2007-08-10,46,67.7
2007-08-17,51,64.14
2007-08-24,59,68.14
2007-08-31,63,66.76
2007-09-07,54,63.96
2007-09-14,61,64.25
2007-09-21,65,67.61
2007-09-28,57,66.73
2007-10-05,55,68.54
2007-10-12,61,68.02
2007-10-19,42,64.88
2007-10-26,62,66.43
2007-11-02,76,65.98
2007-11-09,65,64.49
2007-11-16,66,61.4
2007-11-23,67,60.41
2007-11-30,61,64.21
2007-12-07,84,65.29
2007-12-14,56,62.74
2007-12-21,59,63.09
2007-12-28,69,61.36
2008-01-04,55,58.85
2008-01-11,64,62.14
2008-01-18,71,59.85
2008-01-25,64,64.31
2008-02-01,73,66.87
2008-02-08,78,65.85
2008-02-15,72,65.85
2008-02-22,62,66.21
2008-02-29,55,65.81
2008-03-07,66,63.3
2008-03-14,67,65.55
2008-03-28,57,62.07
2008-04-04,56,66.33
2008-04-11,70,68.83
2008-04-18,60,72.3
2008-04-25,66,75.06
2008-05-02,72,73.91
2008-05-09,52,72.13
2008-05-16,71,77.09
2008-05-23,62,74.79
2008-05-30,69,76.61
2008-06-06,66,74.99
2008-06-13,59,75.63
2008-06-20,71,72.09
2008-06-27,66,68.71
2008-07-11,64,66.76
2008-07-18,67,68.49
2008-07-25,63,60.14
2008-08-01,65,59.55
2008-08-08,51,60.27
2008-08-15,62,60.86
2008-08-22,50,60.76
2008-08-29,56,60.32
2008-09-05,70,57.86
2008-09-12,62,59.08
2008-09-19,70,61.18
2008-09-26,78,57.98
2008-10-03,75,50.71
2008-10-10,71,41.33
2008-10-17,85,41.36
2008-10-24,62,36.49
2008-10-31,72,40.39
2008-11-07,73,40.34
2008-11-14,77,35.09
2008-11-21,64,27.35
2008-11-28,88,32.9
2008-12-05,60,28.82
2008-12-12,85,29.54
2008-12-19,61,29.54
2008-12-26,71,29.25
2009-01-02,70,33.04
2009-01-09,80,32.22
2009-01-16,85,30.2
2009-01-23,66,28.31
2009-01-30,65,25.95
2009-02-06,72,26.35
2009-02-13,60,24.79
2009-02-20,69,22.89
2009-02-27,75,20.54
2009-03-06,74,18.26
2009-03-13,67,23.36
2009-03-20,84,24.16
2009-03-27,82,27.31
2009-04-03,70,30.07
2009-04-17,75,32.35
2009-04-24,66,40.02
2009-05-01,73,39.8
2009-05-08,72,42.82
2009-05-15,82,38.02
2009-05-22,82,40.72
2009-05-29,56,41.44
2009-06-05,64,43.04
2009-06-12,66,40.65
2009-06-19,71,38.33
2009-06-26,79,37.41
2009-07-10,65,35.68
2009-07-17,79,40.15
2009-07-24,65,48.06
2009-07-31,64,49.66
2009-08-07,59,52.73
2009-08-14,84,54.12
2009-08-21,63,55.02
2009-08-28,62,53.51
2009-09-04,81,50.26
2009-09-11,63,52.91
2009-09-18,73,54.51
2009-09-25,72,52.99
2009-10-02,62,50.21
2009-10-09,74,53.61
2009-10-16,76,55.65
2009-10-23,60,55.14
2009-10-30,64,52.51
2009-11-06,68,56.49
2009-11-13,67,58.76
2009-11-20,68,58.76
2009-11-27,73,59.49
2009-12-04,66,59.73
2009-12-11,74,59.26
2009-12-18,79,58.72
2010-01-08,78,60.86
2010-01-15,66,60.42
2010-01-22,56,57.41
2010-01-29,62,56.53
2010-02-05,65,57.64
2010-02-12,52,57.99
2010-02-19,60,60.02
2010-02-26,60,59.55
2010-03-05,51,61.75
2010-03-12,58,61.93
2010-03-19,59,61.21
2010-03-26,65,63.37
2010-04-09,65,66.9
2010-04-16,73,65.3
2010-04-23,70,71.12
2010-04-30,58,66.92
2010-05-07,58,61.65
2010-05-14,58,62.78
2010-05-21,83,59.56
2010-05-28,61,60.39
2010-06-04,71,57.18
2010-06-11,65,60.71
2010-06-18,58,62.67
2010-06-25,54,57.98
2010-07-02,54,52.06
2010-07-09,56,56.32
2010-07-16,57,54.21
2010-07-23,69,58.97
2010-07-30,73,62.64
2010-08-06,68,63.68
2010-08-13,55,60.13
2010-08-20,58,60.94
2010-08-27,56,61.12
2010-09-03,62,65.92
2010-09-10,65,65.15
2010-09-17,74,70.07
2010-09-24,60,72.74
2010-10-01,73,74.57
2010-10-08,71,77.91
2010-10-15,68,78.5
2010-10-22,58,78.6
2010-10-29,71,78.57
2010-11-05,64,79.72
2010-11-12,58,77.39
2010-11-19,65,79.1
2010-11-26,61,79.51
2010-12-03,64,82.06
2010-12-10,66,81.17
2010-12-17,58,80.25
2010-12-31,61,84.08
2011-01-07,58,87.23
2011-01-14,50,92.76
2011-01-21,51,90.57
2011-01-28,60,91.85
2011-02-04,64,91.71
2011-02-11,53,93.32
2011-02-18,62,95.41
2011-02-25,52,91.35
2011-03-04,50,96.36
2011-03-11,64,94.14
2011-03-18,61,93.8
2011-03-25,51,98.12
2011-04-01,62,100.39
2011-04-08,54,99.99
2011-04-15,63,98.66
2011-04-29,60,107.25
2011-05-06,58,103.46
2011-05-13,66,104.55
2011-05-20,57,103.36
2011-05-27,71,104.46
2011-06-03,61,100.68
2011-06-10,61,99.72
2011-06-17,61,95.02
2011-06-24,62,98.58
2011-07-01,62,103.99
2011-07-08,56,104.66
2011-07-15,55,100.83
2011-07-22,50,104.44
2011-07-29,57,96.59
2011-08-05,53,86
2011-08-12,55,84.95
2011-08-19,48,76
2011-08-26,56,79.05
2011-09-02,58,78.22
2011-09-09,58,72.5
2011-09-16,53,76.24
2011-09-23,60,66.95
2011-09-30,72,68.53
2011-10-07,58,35.48
2011-10-14,72,38.19
2011-10-21,64,37.46
2011-10-28,61,41.92
2011-11-04,61,39.82
2011-11-11,61,40.59
2011-11-18,60,37.8
2011-11-25,66,35.47
2011-12-02,69,38.42
2011-12-09,60,38.5
2011-12-16,60,36.74
2011-12-23,50,39.44
2011-12-30,58,39.06
2012-01-06,53,41.32
2012-01-13,63,45.2
2012-01-20,62,45.99
2012-01-27,64,50.41
2012-02-03,59,53.67
2012-02-10,59,53.76
2012-02-17,51,54.61
2012-02-24,61,53.8
2012-03-02,59,53.55
2012-03-09,64,52.08
2012-03-16,58,52.03
2012-03-23,61,51.22
2012-03-30,64,51.69
2012-04-13,48,52.14
2012-04-20,58,52.76
2012-04-27,62,54.05
2012-05-04,60,50.71
2012-05-11,45,49.68
2012-05-18,50,44.24
2012-05-25,62,47.62
2012-06-01,60,43.61
2012-06-08,57,47.72
2012-06-15,54,47.36
2012-06-22,63,46.99
2012-06-29,52,50.37
2012-07-06,49,50.15
2012-07-13,50,48.79
2012-07-20,42,49.19
2012-07-27,54,51.74
2012-08-03,45,53.17
2012-08-10,52,54.54
2012-08-17,42,55.71
2012-08-24,46,55.27
2012-08-31,46,55.26
2012-09-07,53,57.37
2012-09-14,59,58.64
2012-09-21,55,57.18
2012-09-28,58,57.01
2012-10-05,58,59.13
2012-10-12,53,54.25
2012-10-19,53,56.08
2012-10-26,60,60.19
2012-11-02,49,59.3
2012-11-09,54,57.53
2012-11-16,54,55.69
2012-11-23,48,60.05
2012-11-30,56,60.85
2012-12-07,58,61.85
2012-12-14,46,64.68
2012-12-21,57,66
2012-12-28,40,66.05
2013-01-04,46,70.16
2013-01-11,53,70.52
2013-01-18,44,71.22
2013-01-25,51,71.9
2013-02-01,49,73.5
2013-02-08,47,73.31
2013-02-15,56,73.46
2013-02-22,45,71.69
2013-03-01,48,69.71
2013-03-08,47,72.23
2013-03-15,47,72.6
2013-03-22,51,70.11
2013-04-05,50,68.14
2013-04-12,46,68
2013-04-19,52,69.8
2013-04-26,49,68.97
2013-05-03,56,67.89
2013-05-10,51,67.24
2013-05-17,49,73.95
2013-05-24,48,71.9
2013-05-31,48,71.72
2013-06-07,45,70.42
2013-06-14,49,71.02
2013-06-21,46,70.79
2013-06-28,48,70.01
2013-07-05,46,72.01
2013-07-12,39,73.96
2013-07-19,49,75.71
2013-07-26,47,74.16
2013-08-02,45,82.41
2013-08-09,35,80.07
2013-08-16,49,77.85
2013-08-23,43,79.67
2013-08-30,49,76
2013-09-06,48,76.88
2013-09-13,46,76.5
2013-09-20,41,78.53
2013-09-27,49,77.7
2013-10-04,43,80.01
2013-10-11,50,77.98
2013-10-18,49,81.61
2013-10-25,43,77.94
2013-11-01,45,78.22
2013-11-08,53,79.11
2013-11-15,51,78.71
2013-11-22,49,76.43
2013-11-29,47,77.03
2013-12-06,44,76.21
2013-12-13,45,72.67
2013-12-20,43,75.93
2013-12-27,36,79.06
2014-01-03,40,80.17
2014-01-10,42,79.43
2014-01-17,40,79.88
2014-01-24,42,74.63
2014-01-31,46,77.96
2014-02-07,40,79.16
2014-02-14,47,82.84
2014-02-21,45,84.34
2014-02-28,41,87.43
2014-03-07,41,87.54
2014-03-14,44,83.7
2014-03-21,49,86.08
2014-03-28,45,85.6
2014-04-04,49,86.51
2014-04-11,41,84.66
2014-04-25,41,84.36
