"Date","FMC","Price"
2008-06-13,72,76.78
2008-06-20,82,78.51
2008-06-27,72,76.76
2008-07-11,79,69.45
2008-07-18,69,71.18
2008-07-25,70,65.56
2008-08-01,71,74.19
2008-08-08,72,71.15
2008-08-15,75,73.64
2008-08-22,72,73.6
2008-08-29,74,73.54
2008-09-05,71,67.5
2008-09-12,67,68.42
2008-09-19,71,63.63
2008-09-26,73,57.75
2008-10-03,73,45.5
2008-10-10,67,32.87
2008-10-17,71,36.3
2008-10-24,67,30.75
2008-10-31,66,43.54
2008-11-07,66,44.15
2008-11-14,61,37
2008-11-21,62,34.51
2008-11-28,68,43.7
2008-12-05,73,39.22
2008-12-12,65,44.47
2008-12-19,67,42.64
2008-12-26,51,42.36
2009-01-02,51,45.42
2009-01-09,71,45.17
2009-01-16,73,45.13
2009-01-23,67,45.65
2009-01-30,64,44.62
2009-02-06,75,51.18
2009-02-13,72,47.56
2009-02-20,69,43.72
2009-02-27,68,40.43
2009-03-06,72,35.93
2009-03-13,74,39.26
2009-03-20,72,40.16
2009-03-27,68,42.99
2009-04-03,95,48.18
2009-04-17,60,46.14
2009-04-24,68,46.12
2009-05-01,64,49.1
2009-05-08,71,49.91
2009-05-15,65,48.47
2009-05-22,59,51.3
2009-05-29,61,54.35
2009-06-05,64,52.94
2009-06-12,64,52.45
2009-06-19,62,48.8
2009-06-26,63,47.37
2009-07-10,68,41.19
2009-07-17,66,43.84
2009-07-24,68,45.75
2009-07-31,65,48.64
2009-08-07,70,50.45
2009-08-14,69,50.96
2009-08-21,62,50.16
2009-08-28,61,49.4
2009-09-04,65,49.17
2009-09-11,66,53.86
2009-09-18,67,57.99
2009-09-25,64,55.43
2009-10-02,60,52.7
2009-10-09,62,54.99
2009-10-16,63,55.6
2009-10-23,62,54.88
2009-10-30,59,51.1
2009-11-06,66,52.15
2009-11-13,62,54.99
2009-11-20,56,56.33
2009-11-27,51,55.32
2009-12-04,63,56.43
2009-12-11,60,56.16
2009-12-18,48,55.85
2010-01-08,62,55.97
2010-01-15,61,53.21
2010-01-22,66,52.71
2010-01-29,64,50.94
2010-02-05,63,53.11
2010-02-12,64,55.68
2010-02-19,59,57.39
2010-02-26,62,57.17
2010-03-05,65,59.81
2010-03-12,60,60.3
2010-03-19,59,59.99
2010-03-26,57,60.3
2010-04-09,57,64.26
2010-04-16,57,63.99
2010-04-23,60,65.15
2010-04-30,59,63.64
2010-05-07,62,62.8
2010-05-14,62,62.35
2010-05-21,65,59.62
2010-05-28,61,60.55
2010-06-04,59,58.23
2010-06-11,60,61.91
2010-06-18,57,62.44
2010-06-25,64,60.31
2010-07-02,55,56.55
2010-07-09,58,59.44
2010-07-16,59,58.03
2010-07-23,54,60.41
2010-07-30,60,62.49
2010-08-06,62,64.21
2010-08-13,56,60.72
2010-08-20,64,61.84
2010-08-27,61,63.06
2010-09-03,59,65.26
2010-09-10,60,64.21
2010-09-17,61,67.36
2010-09-24,61,68.1
2010-10-01,62,67.83
2010-10-08,58,69.33
2010-10-15,54,70.53
2010-10-22,56,70.18
2010-10-29,64,73.1
2010-11-05,60,76.88
2010-11-12,63,75.21
2010-11-19,58,77.23
2010-11-26,54,79.09
2010-12-03,58,80.22
2010-12-10,54,81.4
2010-12-17,54,79.75
2010-12-31,42,79.89
2011-01-07,55,76.81
2011-01-14,59,77.75
2011-01-21,60,76.1
2011-01-28,60,75.01
2011-02-04,61,80.21
2011-02-11,60,81.59
2011-02-18,61,81.15
2011-02-25,59,76.04
2011-03-04,60,77.98
2011-03-11,56,75.87
2011-03-18,51,76.92
2011-03-25,55,83.47
2011-04-01,59,86.12
2011-04-08,60,85.22
2011-04-15,57,85.35
2011-04-29,54,88.28
2011-05-06,51,84.71
2011-05-13,60,83.71
2011-05-20,55,83.93
2011-05-27,58,83.43
2011-06-03,56,79.68
2011-06-10,59,78.31
2011-06-17,56,79.24
2011-06-24,57,83.1
2011-07-01,62,87.53
2011-07-08,55,88.71
2011-07-15,56,87.42
2011-07-22,56,91.68
2011-07-29,57,87.57
2011-08-05,59,77.65
2011-08-12,57,75.1
2011-08-19,53,67.09
2011-08-26,56,72.53
2011-09-02,57,72.55
2011-09-09,61,71.13
2011-09-16,60,77.19
2011-09-23,61,68.83
2011-09-30,60,69.16
2011-10-07,52,71.02
2011-10-14,51,76.97
2011-10-21,53,75.9
2011-10-28,55,82.42
2011-11-04,55,83.5
2011-11-11,56,83.44
2011-11-18,55,80.22
2011-11-25,54,76.79
2011-12-02,56,82.56
2011-12-09,52,84.77
2011-12-16,53,84.49
2011-12-23,45,87.37
2011-12-30,42,86.04
2012-01-06,49,87.97
2012-01-13,54,90.13
2012-01-20,56,91.53
2012-01-27,52,92.96
2012-02-03,63,95
2012-02-10,53,91.18
2012-02-17,57,96.62
2012-02-24,58,98.56
2012-03-02,68,100
2012-03-09,57,99.12
2012-03-16,55,99.9
2012-03-23,60,99.46
2012-03-30,60,105.86
2012-04-13,55,104.78
2012-04-20,58,107.14
2012-04-27,59,112.05
2012-05-04,60,106.07
2012-05-11,57,105.99
2012-05-18,55,96.24
2012-05-25,58,51.39
2012-06-01,57,49.02
2012-06-08,59,51.93
2012-06-15,55,50.31
2012-06-22,58,50.38
2012-06-29,56,53.48
2012-07-06,52,52.57
2012-07-13,57,53.66
2012-07-20,55,54.53
2012-07-27,53,55.26
2012-08-03,57,53.97
2012-08-10,57,54.61
2012-08-17,54,54.93
2012-08-24,61,54.21
2012-08-31,55,54.32
2012-09-07,55,55.95
2012-09-14,57,58.55
2012-09-21,57,57.68
2012-09-28,55,55.38
2012-10-05,56,56.21
2012-10-12,52,53.63
2012-10-19,56,55.13
2012-10-26,56,54.28
2012-11-02,50,54.12
2012-11-09,58,53.22
2012-11-16,53,51.64
2012-11-23,48,54.8
2012-11-30,57,55.46
2012-12-07,53,53.08
2012-12-14,50,56.79
2012-12-21,49,58.01
2012-12-28,39,57.27
2013-01-04,43,59.13
2013-01-11,56,61.4
2013-01-18,55,60.61
2013-01-25,56,61.87
2013-02-01,59,62.42
2013-02-08,56,59.82
2013-02-15,55,59.47
2013-02-22,53,58.71
2013-03-01,56,59.9
2013-03-08,57,61.12
2013-03-15,54,60
2013-03-22,58,57.45
2013-04-05,50,55.45
2013-04-12,53,58.43
2013-04-19,52,57.88
2013-04-26,56,59.89
2013-05-03,53,59.57
2013-05-10,49,61.95
2013-05-17,50,63.35
2013-05-24,52,63.51
2013-05-31,48,62.71
2013-06-07,50,62.87
2013-06-14,50,62.57
2013-06-21,49,62.58
2013-06-28,50,61.06
2013-07-05,47,62.32
2013-07-12,51,62.12
2013-07-19,52,63.48
2013-07-26,51,63.44
2013-08-02,53,67.26
2013-08-09,48,65.68
2013-08-16,52,65.44
2013-08-23,53,66.57
2013-08-30,51,66.61
2013-09-06,53,67.8
2013-09-13,50,70.17
2013-09-20,51,71.36
2013-09-27,51,71.52
2013-10-04,52,72.12
2013-10-11,50,72.24
2013-10-18,48,73.41
2013-10-25,53,74.34
2013-11-01,50,72.82
2013-11-08,53,73.42
2013-11-15,50,75.1
2013-11-22,48,72.92
2013-11-29,45,72.86
2013-12-06,50,74.4
2013-12-13,50,73.31
2013-12-20,48,73.04
2013-12-27,39,75.46
2014-01-03,37,74.27
2014-01-10,53,74.22
2014-01-17,55,75.52
2014-01-24,56,71.62
2014-01-31,55,70.63
2014-02-07,51,71.52
2014-02-14,54,72.93
2014-02-21,56,72.7
2014-02-28,54,77.18
2014-03-07,52,77.87
2014-03-14,57,78.99
2014-03-21,56,78.9
2014-03-28,54,76.45
2014-04-04,54,76.73
2014-04-11,51,74.3
2014-04-25,51,75.6
