Date,L,Price
2008-12-26,81,26.76
2009-01-02,87,29.77
2009-01-09,83,27.50
2009-01-16,89,25.09
2009-01-23,91,24.53
2009-01-30,90,24.40
2009-02-06,90,24.98
2009-02-13,88,22.82
2009-02-20,87,20.15
2009-02-27,91,19.85
2009-03-06,90,18.13
2009-03-13,90,20.32
2009-03-20,88,22.70
2009-03-27,86,22.34
2009-04-03,86,23.49
2009-04-10,87,
2009-04-17,81,25.18
2009-04-24,86,25.02
2009-05-01,84,25.19
2009-05-08,83,29.01
2009-05-15,88,25.21
2009-05-22,84,25.76
2009-05-29,85,27.05
2009-06-05,84,27.69
2009-06-12,82,28.13
2009-06-19,84,27.43
2009-06-26,82,27.17
2009-07-03,79,
2009-07-10,82,25.75
2009-07-17,79,27.39
2009-07-24,81,29.34
2009-07-31,80,30.02
2009-08-07,80,31.71
2009-08-14,80,32.01
2009-08-21,80,33.15
2009-08-28,82,34.13
2009-09-04,84,32.82
2009-09-11,84,33.78
2009-09-18,86,34.79
2009-09-25,85,33.52
2009-10-02,84,33.52
2009-10-09,84,34.81
2009-10-16,82,35.89
2009-10-23,84,35.88
2009-10-30,81,33.10
2009-11-06,82,34.60
2009-11-13,82,35.48
2009-11-20,84,35.50
2009-11-27,85,35.00
2009-12-04,83,35.45
2009-12-11,83,35.58
2009-12-18,79,36.12
2009-12-25,77,
2010-01-01,80,
2010-01-08,80,37.89
2010-01-15,82,37.21
2010-01-22,83,35.73
2010-01-29,84,35.77
2010-02-05,84,35.37
2010-02-12,86,35.17
2010-02-19,83,36.55
2010-02-26,79,36.46
2010-03-05,85,37.50
2010-03-12,85,37.56
2010-03-19,83,37.17
2010-03-26,83,37.24
2010-04-02,82,
2010-04-09,83,38.44
2010-04-16,83,37.80
2010-04-23,84,38.37
2010-04-30,85,37.24
2010-05-07,85,33.60
2010-05-14,84,34.10
2010-05-21,83,31.97
2010-05-28,82,32.51
2010-06-04,84,31.60
2010-06-11,85,32.55
2010-06-18,89,33.90
2010-06-25,91,33.88
2010-07-02,84,33.57
2010-07-09,82,35.70
2010-07-16,83,35.56
2010-07-23,83,37.17
2010-07-30,83,37.15
2010-08-06,81,37.98
2010-08-13,83,37.05
2010-08-20,83,36.29
2010-08-27,86,35.96
2010-09-03,86,36.90
2010-09-10,88,36.51
2010-09-17,88,37.23
2010-09-24,86,37.62
2010-10-01,88,38.02
2010-10-08,85,38.91
2010-10-15,86,39.66
2010-10-22,88,39.70
2010-10-29,87,39.49
2010-11-05,87,40.08
2010-11-12,89,39.23
2010-11-19,89,38.30
2010-11-26,91,37.54
2010-12-03,91,38.13
2010-12-10,88,38.77
2010-12-17,86,38.65
2010-12-24,84,
2010-12-31,86,38.91
2011-01-07,92,39.98
2011-01-14,89,40.35
2011-01-21,92,40.23
2011-01-28,91,39.96
2011-02-04,88,41.40
2011-02-11,92,43.03
2011-02-18,90,43.19
2011-02-25,92,42.91
2011-03-04,83,42.77
2011-03-11,87,41.97
2011-03-18,88,42.14
2011-03-25,88,43.04
2011-04-01,89,43.51
2011-04-08,88,43.00
2011-04-15,88,42.48
2011-04-22,85,
2011-04-29,88,44.26
2011-05-06,89,41.72
2011-05-13,91,41.65
2011-05-20,90,41.74
2011-05-27,90,41.84
2011-06-03,91,41.31
2011-06-10,88,40.70
2011-06-17,88,40.56
2011-06-24,91,40.79
2011-07-01,90,42.12
2011-07-08,86,42.36
2011-07-15,86,40.77
2011-07-22,86,40.90
2011-07-29,88,39.87
2011-08-05,87,37.58
2011-08-12,85,36.26
2011-08-19,89,35.25
2011-08-26,90,35.88
2011-09-02,93,36.07
2011-09-09,91,35.96
2011-09-16,93,37.57
2011-09-23,96,34.40
2011-09-30,97,34.55
2011-10-07,94,34.67
2011-10-14,92,36.56
2011-10-21,94,38.66
2011-10-28,93,41.28
2011-11-04,95,39.28
2011-11-11,94,39.50
2011-11-18,97,38.18
2011-11-25,97,35.85
2011-12-02,99,38.25
2011-12-09,97,38.58
2011-12-16,96,36.96
2011-12-23,91,38.22
2011-12-30,93,37.65
2012-01-06,93,37.72
2012-01-13,96,38.23
2012-01-20,97,38.56
2012-01-27,98,37.63
2012-02-03,97,38.61
2012-02-10,97,38.10
2012-02-17,98,38.30
2012-02-24,98,39.14
2012-03-02,96,38.87
2012-03-09,100,38.65
2012-03-16,98,39.48
2012-03-23,96,39.19
2012-03-30,94,39.87
2012-04-06,93,
2012-04-13,93,38.91
2012-04-20,97,39.84
2012-04-27,94,41.01
2012-05-04,96,40.77
2012-05-11,96,40.64
2012-05-18,94,38.32
2012-05-25,95,39.22
2012-06-01,93,38.36
2012-06-08,94,39.87
2012-06-15,95,40.46
2012-06-22,93,40.07
2012-06-29,87,40.91
2012-07-06,91,40.50
2012-07-13,87,40.90
2012-07-20,87,40.55
2012-07-27,88,41.70
2012-08-03,87,40.35
2012-08-10,91,40.51
2012-08-17,87,40.48
2012-08-24,91,40.23
2012-08-31,89,40.65
2012-09-07,87,41.18
2012-09-14,89,42.69
2012-09-21,90,41.43
2012-09-28,90,41.26
2012-10-05,87,41.96
2012-10-12,84,41.48
2012-10-19,86,42.51
2012-10-26,92,42.39
2012-11-02,84,42.16
2012-11-09,86,41.13
2012-11-16,86,40.72
2012-11-23,85,41.30
2012-11-30,84,40.88
2012-12-07,83,41.28
2012-12-14,82,40.65
2012-12-21,83,40.90
2012-12-28,79,40.18
2013-01-04,86,42.06
2013-01-11,82,42.65
2013-01-18,87,42.82
2013-01-25,88,43.47
2013-02-01,85,44.08
2013-02-08,87,43.85
2013-02-15,89,43.91
2013-02-22,85,43.68
2013-03-01,88,43.18
2013-03-08,86,43.58
2013-03-15,89,44.60
2013-03-22,89,43.98
2013-03-29,89,
2013-04-05,90,43.80
2013-04-12,91,43.99
2013-04-19,91,43.18
2013-04-26,89,44.44
2013-05-03,90,45.42
2013-05-10,89,45.45
2013-05-17,92,46.44
2013-05-24,90,45.95
2013-05-31,92,45.82
2013-06-07,89,45.74
2013-06-14,92,44.58
2013-06-21,89,43.58
2013-06-28,88,44.40
2013-07-05,88,44.87
2013-07-12,87,45.68
2013-07-19,88,46.51
2013-07-26,88,46.05
2013-08-02,87,46.29
2013-08-09,86,46.18
2013-08-16,87,46.41
2013-08-23,89,45.95
2013-08-30,90,44.46
2013-09-06,91,44.69
2013-09-13,92,46.23
2013-09-20,92,47.44
2013-09-27,92,46.95
2013-10-04,92,47.06
2013-10-11,94,48.33
2013-10-18,92,49.07
2013-10-25,91,48.81
2013-11-01,91,48.34
2013-11-08,89,48.57
2013-11-15,93,48.07
2013-11-22,92,48.24
2013-11-29,89,47.35
2013-12-06,89,47.29
2013-12-13,90,46.56
2013-12-20,88,47.62
2013-12-27,84,47.67
2014-01-03,87,47.26
2014-01-10,93,46.86
2014-01-17,92,47.33
2014-01-24,94,44.65
2014-01-31,92,44.59
2014-02-07,92,45.18
2014-02-14,96,44.03
2014-02-21,92,43.50
2014-02-28,91,43.48
2014-03-07,90,45.05
2014-03-14,92,43.97
2014-03-21,94,44.23
2014-03-28,93,43.42
2014-04-04,92,44.70
2014-04-11,90,43.44
2014-04-18,91,
2014-04-25,92,44.14
2014-05-02,91,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
