Date,Bed Bath & Beyond,Price
2006-06-02,57,36.19
2006-06-09,58,35.31
2006-06-16,61,36.47
2006-06-23,60,34.23
2006-06-30,64,33.17
2006-07-07,64,32.35
2006-07-14,73,31.74
2006-07-21,76,32.62
2006-07-28,76,33.78
2006-08-04,75,34.82
2006-08-11,76,34.74
2006-08-18,73,35.64
2006-08-25,69,33.01
2006-09-01,64,34.25
2006-09-08,60,34.11
2006-09-15,55,37.31
2006-09-22,51,38.40
2006-09-29,52,38.26
2006-10-06,52,39.53
2006-10-13,52,38.35
2006-10-20,50,38.90
2006-10-27,50,39.70
2006-11-03,55,38.56
2006-11-10,58,39.99
2006-11-17,63,40.53
2006-11-24,72,39.25
2006-12-01,79,38.95
2006-12-08,86,39.91
2006-12-15,94,40.68
2006-12-22,100,38.04
2006-12-29,82,38.10
2007-01-05,65,38.87
2007-01-12,53,41.59
2007-01-19,53,41.93
2007-01-26,52,40.70
2007-02-02,51,41.82
2007-02-09,47,41.86
2007-02-16,49,42.60
2007-02-23,53,42.57
2007-03-02,49,39.55
2007-03-09,51,40.09
2007-03-16,54,39.08
2007-03-23,54,41.20
2007-03-30,52,40.17
2007-04-06,55,
2007-04-13,56,40.73
2007-04-20,56,41.65
2007-04-27,59,41.33
2007-05-04,60,40.54
2007-05-11,59,41.15
2007-05-18,58,40.57
2007-05-25,55,40.66
2007-06-01,61,40.50
2007-06-08,63,37.62
2007-06-15,61,37.96
2007-06-22,57,37.14
2007-06-29,64,35.99
2007-07-06,67,36.72
2007-07-13,70,36.26
2007-07-20,78,36.83
2007-07-27,71,34.69
2007-08-03,75,34.23
2007-08-10,73,35.36
2007-08-17,67,34.25
2007-08-24,66,35.26
2007-08-31,59,34.64
2007-09-07,56,32.77
2007-09-14,54,33.43
2007-09-21,51,33.43
2007-09-28,51,34.12
2007-10-05,52,36.06
2007-10-12,50,35.06
2007-10-19,47,33.16
2007-10-26,48,33.52
2007-11-02,52,32.58
2007-11-09,57,30.64
2007-11-16,60,31.41
2007-11-23,89,30.62
2007-11-30,90,31.45
2007-12-07,89,32.34
2007-12-14,87,29.51
2007-12-21,96,29.15
2007-12-28,83,29.11
2008-01-04,72,26.19
2008-01-11,57,26.14
2008-01-18,51,27.05
2008-01-25,51,29.36
2008-02-01,48,32.38
2008-02-08,46,29.88
2008-02-15,48,29.25
2008-02-22,49,28.95
2008-02-29,49,28.34
2008-03-07,50,27.06
2008-03-14,53,28.86
2008-03-21,54,
2008-03-28,53,29.11
2008-04-04,54,31.60
2008-04-11,53,30.23
2008-04-18,51,32.39
2008-04-25,59,33.43
2008-05-02,63,33.10
2008-05-09,66,32.19
2008-05-16,58,33.78
2008-05-23,57,30.85
2008-05-30,56,31.86
2008-06-06,60,30.47
2008-06-13,58,30.03
2008-06-20,56,28.81
2008-06-27,60,29.06
2008-07-04,58,
2008-07-11,66,27.25
2008-07-18,75,29.26
2008-07-25,70,28.01
2008-08-01,69,27.57
2008-08-08,69,29.42
2008-08-15,63,29.97
2008-08-22,64,30.36
2008-08-29,56,30.66
2008-09-05,54,31.12
2008-09-12,48,32.06
2008-09-19,48,32.76
2008-09-26,49,32.24
2008-10-03,46,29.34
2008-10-10,44,26.19
2008-10-17,44,25.14
2008-10-24,46,23.41
2008-10-31,46,25.77
2008-11-07,51,22.98
2008-11-14,56,20.60
2008-11-21,58,17.54
2008-11-28,73,20.29
2008-12-05,73,24.59
2008-12-12,78,24.56
2008-12-19,82,26.01
2008-12-26,84,24.99
2009-01-02,72,26.49
2009-01-09,51,25.93
2009-01-16,47,25.94
2009-01-23,45,25.53
2009-01-30,44,23.23
2009-02-06,42,24.00
2009-02-13,41,22.01
2009-02-20,44,21.11
2009-02-27,45,21.30
2009-03-06,45,19.52
2009-03-13,47,22.93
2009-03-20,47,23.18
2009-03-27,46,25.00
2009-04-03,46,27.62
2009-04-10,49,
2009-04-17,47,31.37
2009-04-24,51,30.36
2009-05-01,48,29.30
2009-05-08,50,28.50
2009-05-15,45,27.83
2009-05-22,44,27.11
2009-05-29,43,28.11
2009-06-05,44,29.20
2009-06-12,45,28.36
2009-06-19,51,28.53
2009-06-26,48,31.03
2009-07-03,46,
2009-07-10,60,29.81
2009-07-17,66,32.65
2009-07-24,65,34.75
2009-07-31,66,34.75
2009-08-07,62,36.94
2009-08-14,60,34.88
2009-08-21,61,35.81
2009-08-28,56,37.14
2009-09-04,51,36.67
2009-09-11,52,36.71
2009-09-18,48,39.28
2009-09-25,49,36.80
2009-10-02,46,36.65
2009-10-09,46,37.39
2009-10-16,46,36.34
2009-10-23,44,36.17
2009-10-30,46,35.21
2009-11-06,49,37.14
2009-11-13,52,37.10
2009-11-20,54,37.24
2009-11-27,76,36.99
2009-12-04,76,39.15
2009-12-11,82,38.19
2009-12-18,88,37.49
2009-12-25,85,
2010-01-01,74,
2010-01-08,54,42.03
2010-01-15,49,40.67
2010-01-22,47,39.07
2010-01-29,44,38.70
2010-02-05,46,38.50
2010-02-12,44,39.78
2010-02-19,45,41.41
2010-02-26,44,41.61
2010-03-05,46,41.65
2010-03-12,50,42.28
2010-03-19,47,43.89
2010-03-26,47,44.00
2010-04-02,47,
2010-04-09,46,45.51
2010-04-16,46,45.33
2010-04-23,53,47.84
2010-04-30,55,45.96
2010-05-07,56,42.91
2010-05-14,50,44.46
2010-05-21,50,44.27
2010-05-28,43,44.87
2010-06-04,47,43.19
2010-06-11,43,44.44
2010-06-18,45,42.49
2010-06-25,44,39.34
2010-07-02,45,36.19
2010-07-09,50,37.45
2010-07-16,58,36.04
2010-07-23,59,38.72
2010-07-30,54,37.88
2010-08-06,55,38.83
2010-08-13,54,37.08
2010-08-20,56,38.34
2010-08-27,50,37.00
2010-09-03,46,39.02
2010-09-10,46,40.35
2010-09-17,47,41.10
2010-09-24,45,43.72
2010-10-01,44,43.40
2010-10-08,41,42.87
2010-10-15,38,43.64
2010-10-22,40,44.02
2010-10-29,43,43.90
2010-11-05,46,45.13
2010-11-12,50,44.11
2010-11-19,55,43.09
2010-11-26,77,44.00
2010-12-03,77,45.95
2010-12-10,76,46.76
2010-12-17,81,47.72
2010-12-24,85,
2010-12-31,69,49.15
2011-01-07,54,48.63
2011-01-14,47,49.51
2011-01-21,46,48.11
2011-01-28,42,48.60
2011-02-04,44,48.34
2011-02-11,42,50.04
2011-02-18,41,50.82
2011-02-25,42,47.85
2011-03-04,43,48.34
2011-03-11,44,45.82
2011-03-18,42,45.58
2011-03-25,46,47.28
2011-04-01,46,48.71
2011-04-08,45,53.82
2011-04-15,44,55.84
2011-04-22,47,
2011-04-29,48,56.13
2011-05-06,50,55.68
2011-05-13,46,55.65
2011-05-20,48,53.83
2011-05-27,47,53.46
2011-06-03,52,51.61
2011-06-10,48,52.91
2011-06-17,51,51.99
2011-06-24,52,56.59
2011-07-01,48,59.39
2011-07-08,51,60.14
2011-07-15,61,58.66
2011-07-22,59,59.70
2011-07-29,59,58.49
2011-08-05,60,52.90
2011-08-12,59,54.43
2011-08-19,57,50.64
2011-08-26,52,54.90
2011-09-02,48,56.44
2011-09-09,50,56.29
2011-09-16,46,59.94
2011-09-23,47,57.22
2011-09-30,44,57.31
2011-10-07,43,57.13
2011-10-14,39,61.17
2011-10-21,41,61.81
2011-10-28,45,61.15
2011-11-04,44,62.03
2011-11-11,52,61.92
2011-11-18,53,59.99
2011-11-25,76,57.90
2011-12-02,74,60.81
2011-12-09,75,63.22
2011-12-16,80,61.22
2011-12-23,89,57.46
2011-12-30,69,57.97
2012-01-06,53,59.94
2012-01-13,50,59.02
2012-01-20,47,61.72
2012-01-27,44,62.54
2012-02-03,43,63.15
2012-02-10,43,58.98
2012-02-17,43,59.47
2012-02-24,45,60.35
2012-03-02,46,60.84
2012-03-09,48,62.66
2012-03-16,45,66.03
2012-03-23,43,66.11
2012-03-30,45,65.77
2012-04-06,43,
2012-04-13,43,69.41
2012-04-20,44,68.56
2012-04-27,49,71.18
2012-05-04,50,68.05
2012-05-11,50,71.55
2012-05-18,45,68.84
2012-05-25,47,72.40
2012-06-01,50,70.78
2012-06-08,50,70.81
2012-06-15,50,72.67
2012-06-22,50,61.20
2012-06-29,50,61.80
2012-07-06,52,61.85
2012-07-13,58,60.94
2012-07-20,59,61.38
2012-07-27,57,63.62
2012-08-03,57,62.44
2012-08-10,58,62.78
2012-08-17,57,66.56
2012-08-24,55,66.40
2012-08-31,50,67.17
2012-09-07,51,69.17
2012-09-14,47,71.60
2012-09-21,45,61.57
2012-09-28,42,63.00
2012-10-05,41,61.60
2012-10-12,41,61.45
2012-10-19,40,60.24
2012-10-26,41,57.45
2012-11-02,41,57.10
2012-11-09,46,57.08
2012-11-16,53,56.40
2012-11-23,75,60.16
2012-11-30,71,58.72
2012-12-07,70,58.21
2012-12-14,75,58.22
2012-12-21,85,55.72
2012-12-28,71,54.91
2013-01-04,62,56.90
2013-01-11,48,56.27
2013-01-18,45,55.40
2013-01-25,45,59.78
2013-02-01,41,59.22
2013-02-08,40,59.44
2013-02-15,41,57.69
2013-02-22,43,57.60
2013-03-01,43,56.93
2013-03-08,44,59.37
2013-03-15,46,60.93
2013-03-22,45,64.59
2013-03-29,45,
2013-04-05,44,63.76
2013-04-12,42,66.76
2013-04-19,42,66.77
2013-04-26,47,67.09
2013-05-03,47,68.57
2013-05-10,47,69.83
2013-05-17,44,69.11
2013-05-24,45,68.72
2013-05-31,49,68.25
2013-06-07,48,69.36
2013-06-14,49,71.07
2013-06-21,46,69.99
2013-06-28,48,70.95
2013-07-05,50,72.76
2013-07-12,54,76.74
2013-07-19,59,76.18
2013-07-26,56,75.30
2013-08-02,56,77.51
2013-08-09,56,76.03
2013-08-16,55,73.45
2013-08-23,55,74.41
2013-08-30,50,73.74
2013-09-06,50,71.84
2013-09-13,45,73.63
2013-09-20,43,75.47
2013-09-27,41,77.23
2013-10-04,39,77.97
2013-10-11,40,77.33
2013-10-18,41,76.35
2013-10-25,41,76.75
2013-11-01,43,76.91
2013-11-08,44,75.76
2013-11-15,50,78.16
2013-11-22,56,77.46
2013-11-29,77,78.03
2013-12-06,73,78.13
2013-12-13,73,76.52
2013-12-20,82,77.41
2013-12-27,79,79.32
2014-01-03,62,80.48
2014-01-10,47,69.94
2014-01-17,44,66.05
2014-01-24,44,64.59
2014-01-31,41,63.85
2014-02-07,38,64.11
2014-02-14,42,65.96
2014-02-21,42,64.99
2014-02-28,43,67.82
2014-03-07,42,69.16
2014-03-14,44,68.30
2014-03-21,43,67.55
2014-03-28,45,68.43
2014-04-04,44,69.22
2014-04-11,42,63.72
2014-04-18,42,
2014-04-25,45,62.48
2014-05-02,53,
