Date,Wells Fargo,Price
2006-02-10,25,61.73
2006-02-17,26,63.61
2006-02-24,24,64.57
2006-03-03,27,63.82
2006-03-10,26,64.25
2006-03-17,25,65.06
2006-03-24,25,64.98
2006-03-31,25,63.87
2006-04-07,27,64.37
2006-04-14,28,
2006-04-21,26,65.03
2006-04-28,26,68.69
2006-05-05,28,68.87
2006-05-12,26,67.16
2006-05-19,27,66.06
2006-05-26,26,67.25
2006-06-02,26,68.14
2006-06-09,27,69.12
2006-06-16,29,66.65
2006-06-23,27,65.51
2006-06-30,30,67.08
2006-07-07,28,68.11
2006-07-14,30,67.77
2006-07-21,29,71.19
2006-07-28,30,72.41
2006-08-04,32,73.00
2006-08-11,30,69.59
2006-08-18,31,35.14
2006-08-25,29,34.90
2006-09-01,30,34.82
2006-09-08,28,34.98
2006-09-15,28,35.87
2006-09-22,25,36.01
2006-09-29,28,36.18
2006-10-06,28,36.34
2006-10-13,28,36.33
2006-10-20,27,36.63
2006-10-27,25,36.32
2006-11-03,27,36.00
2006-11-10,27,36.67
2006-11-17,27,36.27
2006-11-24,22,35.57
2006-12-01,28,35.23
2006-12-08,27,35.43
2006-12-15,29,35.65
2006-12-22,28,35.84
2006-12-29,28,35.56
2007-01-05,31,35.60
2007-01-12,28,35.51
2007-01-19,27,36.04
2007-01-26,29,36.03
2007-02-02,30,35.86
2007-02-09,29,35.36
2007-02-16,29,35.76
2007-02-23,28,35.63
2007-03-02,30,34.44
2007-03-09,29,34.50
2007-03-16,29,33.95
2007-03-23,28,34.96
2007-03-30,29,34.43
2007-04-06,32,
2007-04-13,30,34.63
2007-04-20,29,36.30
2007-04-27,27,35.94
2007-05-04,30,35.92
2007-05-11,27,35.52
2007-05-18,27,36.42
2007-05-25,27,36.13
2007-06-01,26,36.40
2007-06-08,29,35.34
2007-06-15,29,35.97
2007-06-22,27,35.02
2007-06-29,27,35.17
2007-07-06,28,35.33
2007-07-13,31,35.54
2007-07-20,30,34.72
2007-07-27,29,33.56
2007-08-03,31,32.81
2007-08-10,29,34.40
2007-08-17,31,37.24
2007-08-24,33,36.57
2007-08-31,28,36.54
2007-09-07,26,35.20
2007-09-14,29,35.66
2007-09-21,29,36.24
2007-09-28,27,35.62
2007-10-05,28,37.47
2007-10-12,26,36.04
2007-10-19,27,32.86
2007-10-26,24,34.55
2007-11-02,28,32.31
2007-11-09,26,31.66
2007-11-16,27,31.14
2007-11-23,21,30.84
2007-11-30,27,32.43
2007-12-07,27,31.71
2007-12-14,28,30.07
2007-12-21,29,30.37
2007-12-28,28,30.09
2008-01-04,31,27.49
2008-01-11,29,28.20
2008-01-18,29,25.48
2008-01-25,31,30.66
2008-02-01,33,33.65
2008-02-08,31,29.48
2008-02-15,31,29.69
2008-02-22,29,31.44
2008-02-29,31,29.23
2008-03-07,30,28.11
2008-03-14,29,28.45
2008-03-21,31,
2008-03-28,29,29.35
2008-04-04,31,30.93
2008-04-11,30,27.97
2008-04-18,30,30.40
2008-04-25,29,30.59
2008-05-02,33,31.14
2008-05-09,32,29.33
2008-05-16,31,28.95
2008-05-23,28,27.68
2008-05-30,28,27.57
2008-06-06,31,25.42
2008-06-13,31,26.08
2008-06-20,30,24.50
2008-06-27,31,24.03
2008-07-04,30,
2008-07-11,33,23.00
2008-07-18,38,27.86
2008-07-25,33,29.09
2008-08-01,35,30.50
2008-08-08,34,30.17
2008-08-15,34,29.76
2008-08-22,31,29.36
2008-08-29,33,30.27
2008-09-05,34,31.20
2008-09-12,34,34.29
2008-09-19,39,39.80
2008-09-26,36,37.31
2008-10-03,45,34.56
2008-10-10,42,28.31
2008-10-17,39,32.06
2008-10-24,35,30.91
2008-10-31,35,34.05
2008-11-07,33,29.50
2008-11-14,33,28.73
2008-11-21,33,21.76
2008-11-28,29,28.89
2008-12-05,39,29.94
2008-12-12,37,26.72
2008-12-19,40,29.36
2008-12-26,36,27.51
2009-01-02,43,30.00
2009-01-09,41,25.14
2009-01-16,42,18.68
2009-01-23,38,15.87
2009-01-30,39,18.90
2009-02-06,40,19.14
2009-02-13,39,15.76
2009-02-20,39,10.91
2009-02-27,39,12.10
2009-03-06,38,8.61
2009-03-13,37,13.94
2009-03-20,39,13.99
2009-03-27,38,15.59
2009-04-03,40,16.34
2009-04-10,41,
2009-04-17,40,20.26
2009-04-24,34,21.40
2009-05-01,35,19.61
2009-05-08,34,28.18
2009-05-15,34,24.87
2009-05-22,31,24.31
2009-05-29,28,25.50
2009-06-05,29,24.72
2009-06-12,29,25.48
2009-06-19,30,24.19
2009-06-26,29,23.87
2009-07-03,30,
2009-07-10,32,22.87
2009-07-17,33,25.00
2009-07-24,32,23.47
2009-07-31,33,24.46
2009-08-07,33,28.76
2009-08-14,32,27.73
2009-08-21,32,27.94
2009-08-28,31,27.30
2009-09-04,31,26.91
2009-09-11,28,27.43
2009-09-18,31,28.49
2009-09-25,29,28.19
2009-10-02,30,26.28
2009-10-09,30,29.21
2009-10-16,29,30.02
2009-10-23,28,29.32
2009-10-30,26,27.52
2009-11-06,29,27.12
2009-11-13,27,27.68
2009-11-20,28,27.87
2009-11-27,24,27.14
2009-12-04,29,26.96
2009-12-11,29,25.41
2009-12-18,30,26.78
2009-12-25,27,
2010-01-01,31,
2010-01-08,32,28.86
2010-01-15,30,28.08
2010-01-22,29,27.26
2010-01-29,29,28.43
2010-02-05,30,27.42
2010-02-12,29,26.88
2010-02-19,29,27.37
2010-02-26,29,27.34
2010-03-05,30,29.15
2010-03-12,28,29.63
2010-03-19,28,30.38
2010-03-26,28,31.22
2010-04-02,32,
2010-04-09,31,32.30
2010-04-16,32,32.56
2010-04-23,30,33.48
2010-04-30,30,33.11
2010-05-07,30,30.82
2010-05-14,31,32.04
2010-05-21,29,30.11
2010-05-28,29,28.69
2010-06-04,30,27.78
2010-06-11,30,27.84
2010-06-18,30,28.07
2010-06-25,29,27.05
2010-07-02,34,24.88
2010-07-09,35,27.00
2010-07-16,36,26.24
2010-07-23,36,27.42
2010-07-30,37,27.73
2010-08-06,38,27.75
2010-08-13,39,25.84
2010-08-20,39,24.60
2010-08-27,37,24.00
2010-09-03,37,25.84
2010-09-10,36,25.75
2010-09-17,39,26.01
2010-09-24,38,25.59
2010-10-01,39,25.56
2010-10-08,39,25.95
2010-10-15,38,23.58
2010-10-22,38,26.11
2010-10-29,40,26.06
2010-11-05,43,29.22
2010-11-12,42,27.54
2010-11-19,41,27.49
2010-11-26,34,26.65
2010-12-03,43,29.05
2010-12-10,42,30.27
2010-12-17,43,29.96
2010-12-24,42,
2010-12-31,45,30.99
2011-01-07,47,31.50
2011-01-14,42,32.75
2011-01-21,42,32.51
2011-01-28,42,31.84
2011-02-04,44,32.76
2011-02-11,45,33.76
2011-02-18,47,32.64
2011-02-25,45,32.40
2011-03-04,47,31.91
2011-03-11,45,32.38
2011-03-18,42,31.83
2011-03-25,42,31.94
2011-04-01,48,32.06
2011-04-08,50,31.62
2011-04-15,48,29.89
2011-04-22,48,
2011-04-29,48,29.11
2011-05-06,50,28.25
2011-05-13,48,27.93
2011-05-20,47,28.00
2011-05-27,47,28.14
2011-06-03,50,26.86
2011-06-10,48,26.28
2011-06-17,51,27.33
2011-06-24,51,27.26
2011-07-01,55,28.67
2011-07-08,52,28.30
2011-07-15,59,27.18
2011-07-22,59,29.14
2011-07-29,60,27.94
2011-08-05,66,25.21
2011-08-12,66,24.13
2011-08-19,66,23.36
2011-08-26,62,24.59
2011-09-02,65,24.20
2011-09-09,60,23.52
2011-09-16,62,24.95
2011-09-23,61,23.69
2011-09-30,66,24.12
2011-10-07,67,24.54
2011-10-14,62,26.67
2011-10-21,64,26.31
2011-10-28,65,27.08
2011-11-04,66,25.40
2011-11-11,64,25.65
2011-11-18,67,24.69
2011-11-25,57,23.51
2011-12-02,69,26.07
2011-12-09,67,26.91
2011-12-16,68,25.98
2011-12-23,70,27.79
2011-12-30,72,27.56
2012-01-06,72,28.94
2012-01-13,71,29.61
2012-01-20,72,30.54
2012-01-27,72,29.60
2012-02-03,79,30.63
2012-02-10,74,30.26
2012-02-17,76,31.09
2012-02-24,73,30.18
2012-03-02,73,31.28
2012-03-09,74,31.66
2012-03-16,73,33.89
2012-03-23,72,33.53
2012-03-30,72,34.14
2012-04-06,76,
2012-04-13,74,32.84
2012-04-20,74,33.00
2012-04-27,69,33.77
2012-05-04,81,33.03
2012-05-11,73,33.31
2012-05-18,73,30.94
2012-05-25,72,31.86
2012-06-01,74,30.16
2012-06-08,75,31.43
2012-06-15,74,32.45
2012-06-22,74,32.81
2012-06-29,77,33.44
2012-07-06,80,33.05
2012-07-13,79,33.91
2012-07-20,78,33.81
2012-07-27,77,34.15
2012-08-03,85,34.34
2012-08-10,79,33.83
2012-08-17,83,34.03
2012-08-24,77,34.04
2012-08-31,79,34.03
2012-09-07,77,35.00
2012-09-14,78,36.13
2012-09-21,77,34.97
2012-09-28,90,34.53
2012-10-05,86,35.84
2012-10-12,81,34.25
2012-10-19,77,34.34
2012-10-26,74,33.97
2012-11-02,78,33.74
2012-11-09,76,32.35
2012-11-16,79,31.94
2012-11-23,69,33.20
2012-11-30,81,33.01
2012-12-07,81,33.23
2012-12-14,78,33.15
2012-12-21,100,34.48
2012-12-28,77,33.91
2013-01-04,88,34.94
2013-01-11,79,35.10
2013-01-18,78,34.93
2013-01-25,77,35.14
2013-02-01,80,35.13
2013-02-08,81,34.88
2013-02-15,81,35.16
2013-02-22,79,35.82
2013-03-01,83,35.39
2013-03-08,82,36.50
2013-03-15,79,38.20
2013-03-22,77,37.20
2013-03-29,84,
2013-04-05,86,37.15
2013-04-12,79,37.21
2013-04-19,79,36.69
2013-04-26,75,37.88
2013-05-03,85,37.74
2013-05-10,77,38.03
2013-05-17,75,39.88
2013-05-24,73,40.24
2013-05-31,74,40.55
2013-06-07,78,41.25
2013-06-14,80,40.16
2013-06-21,78,40.96
2013-06-28,78,41.27
2013-07-05,81,42.07
2013-07-12,82,42.63
2013-07-19,86,44.45
2013-07-26,79,43.51
2013-08-02,87,44.49
2013-08-09,81,43.23
2013-08-16,83,42.75
2013-08-23,79,42.76
2013-08-30,79,41.08
2013-09-06,76,41.43
2013-09-13,75,42.19
2013-09-20,74,42.85
2013-09-27,72,41.59
2013-10-04,78,41.30
2013-10-11,72,41.43
2013-10-18,74,42.68
2013-10-25,69,42.86
2013-11-01,72,42.67
2013-11-08,73,42.71
2013-11-15,73,43.54
2013-11-22,68,44.36
2013-11-29,65,44.02
2013-12-06,76,44.11
2013-12-13,74,43.73
2013-12-20,78,44.96
2013-12-27,72,45.50
2014-01-03,81,45.34
2014-01-10,73,45.94
2014-01-17,75,46.39
2014-01-24,69,45.48
2014-01-31,73,45.34
2014-02-07,70,45.37
2014-02-14,75,46.13
2014-02-21,72,45.60
2014-02-28,74,46.42
2014-03-07,74,47.95
2014-03-14,72,47.40
2014-03-21,70,49.12
2014-03-28,70,49.29
2014-04-04,75,49.56
2014-04-11,71,48.08
2014-04-18,75,
2014-04-25,67,49.05
2014-05-02,64,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
