Date,buy MAC,Price
2007-03-09,36,93.14
2007-03-16,41,90.67
2007-03-23,40,93.43
2007-03-30,40,92.36
2007-04-06,43,
2007-04-13,37,94.28
2007-04-20,46,95.79
2007-04-27,43,96.05
2007-05-04,43,93.76
2007-05-11,42,93.03
2007-05-18,42,85.65
2007-05-25,39,84.08
2007-06-01,38,89.39
2007-06-08,44,87.31
2007-06-15,41,85.94
2007-06-22,38,83.10
2007-06-29,39,82.42
2007-07-06,49,85.61
2007-07-13,36,84.71
2007-07-20,41,80.33
2007-07-27,40,73.14
2007-08-03,41,74.78
2007-08-10,48,78.94
2007-08-17,52,81.11
2007-08-24,50,81.16
2007-08-31,47,81.22
2007-09-07,51,79.87
2007-09-14,47,82.77
2007-09-21,47,84.43
2007-09-28,48,87.58
2007-10-05,38,91.78
2007-10-12,49,90.88
2007-10-19,50,85.15
2007-10-26,50,85.31
2007-11-02,50,82.08
2007-11-09,52,78.54
2007-11-16,49,78.96
2007-11-23,75,75.80
2007-11-30,65,77.65
2007-12-07,61,80.10
2007-12-14,51,74.61
2007-12-21,58,73.86
2007-12-28,71,70.63
2008-01-04,69,64.86
2008-01-11,61,61.52
2008-01-18,66,58.91
2008-01-25,59,66.03
2008-02-01,56,72.13
2008-02-08,59,64.07
2008-02-15,56,65.56
2008-02-22,61,64.15
2008-02-29,45,64.00
2008-03-07,48,61.17
2008-03-14,49,61.60
2008-03-21,50,
2008-03-28,50,68.57
2008-04-04,48,72.85
2008-04-11,48,69.85
2008-04-18,49,73.27
2008-04-25,46,74.75
2008-05-02,54,75.15
2008-05-09,43,73.15
2008-05-16,49,73.74
2008-05-23,45,69.97
2008-05-30,47,71.53
2008-06-06,55,69.45
2008-06-13,52,67.25
2008-06-20,52,66.18
2008-06-27,53,62.10
2008-07-04,54,
2008-07-11,53,57.49
2008-07-18,60,56.62
2008-07-25,57,55.69
2008-08-01,58,55.42
2008-08-08,61,60.93
2008-08-15,66,62.60
2008-08-22,61,58.58
2008-08-29,60,61.93
2008-09-05,60,64.11
2008-09-12,69,65.39
2008-09-19,66,67.81
2008-09-26,66,65.10
2008-10-03,53,48.12
2008-10-10,54,43.00
2008-10-17,61,33.70
2008-10-24,56,22.09
2008-10-31,58,29.42
2008-11-07,60,29.26
2008-11-14,58,17.11
2008-11-21,61,10.75
2008-11-28,67,13.46
2008-12-05,66,10.93
2008-12-12,62,14.29
2008-12-19,67,20.84
2008-12-26,78,20.27
2009-01-02,83,18.41
2009-01-09,65,17.26
2009-01-16,60,16.77
2009-01-23,64,16.07
2009-01-30,63,14.74
2009-02-06,57,15.09
2009-02-13,49,13.54
2009-02-20,58,11.20
2009-02-27,56,11.42
2009-03-06,63,7.17
2009-03-13,60,8.54
2009-03-20,57,6.19
2009-03-27,52,5.80
2009-04-03,56,9.84
2009-04-10,56,
2009-04-17,59,15.36
2009-04-24,55,16.28
2009-05-01,59,16.67
2009-05-08,56,19.30
2009-05-15,54,15.02
2009-05-22,63,15.96
2009-05-29,58,16.88
2009-06-05,62,20.71
2009-06-12,70,19.62
2009-06-19,61,18.44
2009-06-26,52,17.61
2009-07-03,57,
2009-07-10,61,14.96
2009-07-17,61,17.13
2009-07-24,61,18.93
2009-07-31,64,19.67
2009-08-07,68,27.40
2009-08-14,65,26.33
2009-08-21,69,25.72
2009-08-28,79,30.04
2009-09-04,70,26.18
2009-09-11,71,29.45
2009-09-18,66,33.69
2009-09-25,69,30.52
2009-10-02,57,27.88
2009-10-09,65,29.99
2009-10-16,63,29.16
2009-10-23,71,31.02
2009-10-30,65,29.80
2009-11-06,63,29.99
2009-11-13,71,32.50
2009-11-20,71,30.02
2009-11-27,95,28.44
2009-12-04,76,30.34
2009-12-11,70,31.21
2009-12-18,75,32.89
2009-12-25,87,
2010-01-01,93,
2010-01-08,76,32.84
2010-01-15,64,32.78
2010-01-22,64,31.55
2010-01-29,72,30.85
2010-02-05,67,31.31
2010-02-12,72,30.85
2010-02-19,67,33.64
2010-02-26,66,35.64
2010-03-05,62,38.58
2010-03-12,57,39.19
2010-03-19,58,39.40
2010-03-26,57,39.28
2010-04-02,65,
2010-04-09,66,41.99
2010-04-16,68,39.83
2010-04-23,67,45.00
2010-04-30,63,44.71
2010-05-07,61,40.75
2010-05-14,66,43.31
2010-05-21,62,40.33
2010-05-28,66,41.36
2010-06-04,63,37.81
2010-06-11,66,40.96
2010-06-18,66,42.91
2010-06-25,67,40.27
2010-07-02,67,36.59
2010-07-09,65,39.58
2010-07-16,64,37.51
2010-07-23,70,40.12
2010-07-30,79,41.45
2010-08-06,74,41.73
2010-08-13,72,39.29
2010-08-20,71,39.79
2010-08-27,70,40.81
2010-09-03,72,44.00
2010-09-10,78,42.21
2010-09-17,70,43.34
2010-09-24,67,43.27
2010-10-01,65,43.87
2010-10-08,65,43.64
2010-10-15,63,43.45
2010-10-22,72,44.63
2010-10-29,71,44.58
2010-11-05,69,49.40
2010-11-12,76,45.73
2010-11-19,76,45.20
2010-11-26,91,46.32
2010-12-03,85,48.24
2010-12-10,77,44.94
2010-12-17,78,45.10
2010-12-24,92,
2010-12-31,100,47.37
2011-01-07,82,46.43
2011-01-14,75,47.14
2011-01-21,71,46.31
2011-01-28,72,47.91
2011-02-04,71,48.39
2011-02-11,69,49.37
2011-02-18,68,49.27
2011-02-25,77,48.62
2011-03-04,72,48.36
2011-03-11,72,48.24
2011-03-18,66,47.87
2011-03-25,70,48.01
2011-04-01,74,49.11
2011-04-08,65,47.67
2011-04-15,65,49.88
2011-04-22,69,
2011-04-29,68,52.82
2011-05-06,66,49.97
2011-05-13,72,50.66
2011-05-20,71,52.15
2011-05-27,71,52.89
2011-06-03,70,52.84
2011-06-10,72,49.91
2011-06-17,74,50.54
2011-06-24,72,51.49
2011-07-01,67,54.18
2011-07-08,70,56.20
2011-07-15,71,53.92
2011-07-22,90,54.86
2011-07-29,87,53.13
2011-08-05,86,45.94
2011-08-12,79,49.00
2011-08-19,83,45.28
2011-08-26,82,46.04
2011-09-02,78,45.67
2011-09-09,71,45.06
2011-09-16,73,48.05
2011-09-23,70,44.08
2011-09-30,67,42.63
2011-10-07,69,41.51
2011-10-14,70,44.53
2011-10-21,72,47.26
2011-10-28,69,50.00
2011-11-04,68,50.24
2011-11-11,73,50.45
2011-11-18,73,49.04
2011-11-25,94,46.04
2011-12-02,77,48.86
2011-12-09,73,49.96
2011-12-16,79,49.20
2011-12-23,79,51.18
2011-12-30,99,50.60
2012-01-06,76,51.68
2012-01-13,70,52.00
2012-01-20,67,54.50
2012-01-27,69,55.01
2012-02-03,73,55.12
2012-02-10,72,55.02
2012-02-17,72,55.47
2012-02-24,72,54.34
2012-03-02,69,54.90
2012-03-09,72,54.43
2012-03-16,66,56.01
2012-03-23,65,55.63
2012-03-30,61,57.75
2012-04-06,67,
2012-04-13,62,57.86
2012-04-20,64,59.54
2012-04-27,59,61.90
2012-05-04,62,61.96
2012-05-11,59,60.80
2012-05-18,66,55.86
2012-05-25,67,57.96
2012-06-01,63,55.38
2012-06-08,61,57.27
2012-06-15,74,56.17
2012-06-22,70,56.92
2012-06-29,68,59.05
2012-07-06,68,59.68
2012-07-13,71,58.82
2012-07-20,70,57.11
2012-07-27,74,58.36
2012-08-03,76,58.71
2012-08-10,74,57.27
2012-08-17,78,57.72
2012-08-24,78,59.65
2012-08-31,75,59.57
2012-09-07,73,60.82
2012-09-14,73,61.34
2012-09-21,73,58.92
2012-09-28,71,57.23
2012-10-05,68,58.43
2012-10-12,66,59.03
2012-10-19,65,58.91
2012-10-26,72,57.06
2012-11-02,60,57.54
2012-11-09,66,56.00
2012-11-16,69,55.38
2012-11-23,90,56.97
2012-11-30,69,56.50
2012-12-07,69,57.90
2012-12-14,75,57.85
2012-12-21,75,58.48
2012-12-28,85,57.60
2013-01-04,72,59.00
2013-01-11,68,57.94
2013-01-18,61,58.61
2013-01-25,67,59.34
2013-02-01,65,60.46
2013-02-08,62,61.64
2013-02-15,61,61.53
2013-02-22,61,60.50
2013-03-01,62,60.11
2013-03-08,63,62.01
2013-03-15,61,62.61
2013-03-22,61,62.87
2013-03-29,61,
2013-04-05,58,65.06
2013-04-12,56,67.54
2013-04-19,56,67.18
2013-04-26,57,68.80
2013-05-03,55,70.42
2013-05-10,53,70.24
2013-05-17,51,70.41
2013-05-24,51,66.86
2013-05-31,54,64.91
2013-06-07,55,62.75
2013-06-14,64,62.25
2013-06-21,60,58.45
2013-06-28,57,60.97
2013-07-05,60,61.40
2013-07-12,59,63.78
2013-07-19,59,65.35
2013-07-26,63,63.63
2013-08-02,68,61.85
2013-08-09,64,61.81
2013-08-16,70,56.72
2013-08-23,68,56.72
2013-08-30,65,56.28
2013-09-06,66,56.61
2013-09-13,63,57.20
2013-09-20,64,58.12
2013-09-27,61,57.26
2013-10-04,57,55.68
2013-10-11,57,56.25
2013-10-18,55,59.09
2013-10-25,63,59.76
2013-11-01,62,59.93
2013-11-08,59,56.56
2013-11-15,59,58.89
2013-11-22,60,57.67
2013-11-29,81,56.94
2013-12-06,67,60.49
2013-12-13,61,58.51
2013-12-20,68,58.96
2013-12-27,79,59.17
2014-01-03,66,58.69
2014-01-10,61,58.91
2014-01-17,60,58.04
2014-01-24,60,57.10
2014-01-31,59,56.60
2014-02-07,56,59.23
2014-02-14,57,60.90
2014-02-21,54,60.67
2014-02-28,57,60.13
2014-03-07,52,60.25
2014-03-14,51,59.97
2014-03-21,50,60.56
2014-03-28,55,61.69
2014-04-04,52,62.67
2014-04-11,50,63.09
2014-04-18,53,
2014-04-25,53,63.92
2014-05-02,51,
