Date,AVB,Price
2009-09-18,8,75.74
2009-09-25,7,71.86
2009-10-02,7,67.99
2009-10-09,7,73.56
2009-10-16,7,72.05
2009-10-23,7,73.14
2009-10-30,8,68.78
2009-11-06,7,67.53
2009-11-13,8,73.49
2009-11-20,7,71.99
2009-11-27,7,69.12
2009-12-04,7,76.94
2009-12-11,6,76.74
2009-12-18,7,79.82
2009-12-25,7,
2010-01-01,5,
2010-01-08,7,79.39
2010-01-15,7,79.43
2010-01-22,6,75.44
2010-01-29,7,76.61
2010-02-05,8,75.59
2010-02-12,6,75.49
2010-02-19,6,78.82
2010-02-26,7,81.42
2010-03-05,6,83.20
2010-03-12,7,86.24
2010-03-19,7,87.97
2010-03-26,7,87.78
2010-04-02,7,
2010-04-09,7,92.88
2010-04-16,6,90.98
2010-04-23,8,101.27
2010-04-30,7,104.04
2010-05-07,7,97.74
2010-05-14,6,100.40
2010-05-21,6,94.31
2010-05-28,8,98.06
2010-06-04,7,92.07
2010-06-11,7,103.23
2010-06-18,8,104.00
2010-06-25,6,100.72
2010-07-02,7,91.30
2010-07-09,6,98.98
2010-07-16,6,96.43
2010-07-23,5,104.25
2010-07-30,6,105.09
2010-08-06,7,101.34
2010-08-13,7,102.18
2010-08-20,6,104.45
2010-08-27,7,103.85
2010-09-03,8,110.39
2010-09-10,7,107.09
2010-09-17,7,109.66
2010-09-24,7,106.90
2010-10-01,8,105.13
2010-10-08,7,105.76
2010-10-15,7,110.05
2010-10-22,7,110.08
2010-10-29,8,106.31
2010-11-05,7,113.33
2010-11-12,7,108.83
2010-11-19,7,109.06
2010-11-26,8,109.90
2010-12-03,7,114.44
2010-12-10,7,113.12
2010-12-17,7,108.95
2010-12-24,5,
2010-12-31,5,112.55
2011-01-07,7,109.51
2011-01-14,7,112.50
2011-01-21,6,112.83
2011-01-28,7,113.78
2011-02-04,8,113.80
2011-02-11,8,116.00
2011-02-18,6,116.07
2011-02-25,7,118.11
2011-03-04,6,115.03
2011-03-11,6,117.65
2011-03-18,8,117.45
2011-03-25,7,117.40
2011-04-01,8,120.86
2011-04-08,6,118.01
2011-04-15,7,121.10
2011-04-22,6,
2011-04-29,6,126.61
2011-05-06,6,126.09
2011-05-13,7,126.93
2011-05-20,6,127.10
2011-05-27,8,130.00
2011-06-03,6,131.24
2011-06-10,7,130.00
2011-06-17,6,129.08
2011-06-24,9,127.50
2011-07-01,7,132.56
2011-07-08,6,137.33
2011-07-15,6,132.71
2011-07-22,7,139.51
2011-07-29,8,134.19
2011-08-05,7,121.46
2011-08-12,7,129.30
2011-08-19,7,125.50
2011-08-26,8,130.59
2011-09-02,7,134.36
2011-09-09,7,132.32
2011-09-16,7,130.18
2011-09-23,8,117.35
2011-09-30,8,114.05
2011-10-07,8,115.97
2011-10-14,7,121.83
2011-10-21,7,124.45
2011-10-28,8,133.09
2011-11-04,7,130.32
2011-11-11,8,129.32
2011-11-18,7,123.24
2011-11-25,12,118.10
2011-12-02,10,124.01
2011-12-09,11,125.64
2011-12-16,10,128.96
2011-12-23,9,131.95
2011-12-30,8,130.60
2012-01-06,10,128.20
2012-01-13,8,126.49
2012-01-20,7,127.82
2012-01-27,9,135.42
2012-02-03,9,139.82
2012-02-10,11,134.45
2012-02-17,14,134.03
2012-02-24,20,133.00
2012-03-02,15,132.22
2012-03-09,60,137.80
2012-03-16,10,138.48
2012-03-23,9,137.09
2012-03-30,9,141.35
2012-04-06,7,
2012-04-13,8,140.15
2012-04-20,8,144.83
2012-04-27,9,146.06
2012-05-04,8,145.43
2012-05-11,8,146.90
2012-05-18,19,136.92
2012-05-25,19,139.84
2012-06-01,8,137.01
2012-06-08,8,141.66
2012-06-15,11,140.70
2012-06-22,11,137.36
2012-06-29,14,141.48
2012-07-06,27,144.59
2012-07-13,14,149.05
2012-07-20,10,148.07
2012-07-27,8,145.51
2012-08-03,7,144.72
2012-08-10,7,140.34
2012-08-17,10,141.76
2012-08-24,11,144.18
2012-08-31,11,141.52
2012-09-07,11,144.36
2012-09-14,9,141.33
2012-09-21,11,138.81
2012-09-28,12,135.99
2012-10-05,12,136.21
2012-10-12,8,132.29
2012-10-19,11,136.91
2012-10-26,9,133.07
2012-11-02,9,137.72
2012-11-09,8,131.93
2012-11-16,10,128.87
2012-11-23,11,128.54
2012-11-30,9,131.79
2012-12-07,9,133.68
2012-12-14,8,132.60
2012-12-21,7,136.65
2012-12-28,7,133.98
2013-01-04,9,136.37
2013-01-11,9,136.16
2013-01-18,8,138.56
2013-01-25,10,138.42
2013-02-01,9,126.11
2013-02-08,8,128.84
2013-02-15,9,130.26
2013-02-22,9,128.83
2013-03-01,10,126.21
2013-03-08,14,124.08
2013-03-15,11,128.37
2013-03-22,9,126.83
2013-03-29,7,
2013-04-05,7,133.44
2013-04-12,9,135.57
2013-04-19,8,133.07
2013-04-26,9,130.22
2013-05-03,8,129.79
2013-05-10,12,133.29
2013-05-17,10,138.69
2013-05-24,11,138.58
2013-05-31,9,132.66
2013-06-07,7,134.48
2013-06-14,11,134.59
2013-06-21,10,131.69
2013-06-28,8,134.91
2013-07-05,7,135.01
2013-07-12,7,140.45
2013-07-19,8,140.36
2013-07-26,7,138.98
2013-08-02,7,133.95
2013-08-09,8,133.12
2013-08-16,8,122.79
2013-08-23,11,126.23
2013-08-30,10,123.90
2013-09-06,10,125.59
2013-09-13,8,129.19
2013-09-20,8,133.04
2013-09-27,12,129.30
2013-10-04,9,124.91
2013-10-11,8,128.96
2013-10-18,8,132.64
2013-10-25,8,131.47
2013-11-01,9,125.71
2013-11-08,8,121.84
2013-11-15,8,120.22
2013-11-22,8,117.56
2013-11-29,17,118.56
2013-12-06,15,121.70
2013-12-13,9,119.24
2013-12-20,100,118.76
2013-12-27,12,118.91
2014-01-03,9,119.76
2014-01-10,9,121.80
2014-01-17,9,121.88
2014-01-24,10,119.52
2014-01-31,8,123.50
2014-02-07,8,127.81
2014-02-14,8,128.99
2014-02-21,8,128.66
2014-02-28,8,128.97
2014-03-07,7,128.22
2014-03-14,8,129.75
2014-03-21,11,129.84
2014-03-28,8,130.13
2014-04-04,9,133.43
2014-04-11,9,132.25
2014-04-18,8,
2014-04-25,10,135.33
2014-05-02,8,
