Date,Express Scripts,Price
2006-04-21,43,84.26
2006-04-28,49,78.07
2006-05-05,53,75.16
2006-05-12,44,73.49
2006-05-19,40,73.89
2006-05-26,52,73.68
2006-06-02,43,73.72
2006-06-09,47,69.34
2006-06-16,51,68.08
2006-06-23,52,67.27
2006-06-30,44,71.74
2006-07-07,48,70.42
2006-07-14,41,69.85
2006-07-21,49,73.05
2006-07-28,53,76.48
2006-08-04,59,77.00
2006-08-11,55,83.38
2006-08-18,50,82.56
2006-08-25,51,81.75
2006-09-01,47,84.21
2006-09-08,36,81.29
2006-09-15,50,82.68
2006-09-22,47,79.62
2006-09-29,46,75.45
2006-10-06,44,73.92
2006-10-13,45,68.98
2006-10-20,49,72.22
2006-10-27,49,64.97
2006-11-03,62,61.61
2006-11-10,41,62.41
2006-11-17,47,67.66
2006-11-24,30,67.01
2006-12-01,40,68.48
2006-12-08,43,70.74
2006-12-15,39,68.66
2006-12-22,51,72.33
2006-12-29,52,71.60
2007-01-05,60,68.86
2007-01-12,54,64.83
2007-01-19,53,66.77
2007-01-26,55,69.94
2007-02-02,49,70.44
2007-02-09,54,73.31
2007-02-16,47,77.77
2007-02-23,56,78.63
2007-03-02,55,73.43
2007-03-09,45,77.07
2007-03-16,48,82.48
2007-03-23,43,83.70
2007-03-30,48,80.72
2007-04-06,53,
2007-04-13,55,87.34
2007-04-20,47,88.81
2007-04-27,44,95.57
2007-05-04,48,96.00
2007-05-11,44,94.29
2007-05-18,45,98.75
2007-05-25,51,99.19
2007-06-01,43,102.20
2007-06-08,50,97.90
2007-06-15,37,101.16
2007-06-22,42,98.22
2007-06-29,46,50.01
2007-07-06,40,53.33
2007-07-13,48,54.12
2007-07-20,43,53.46
2007-07-27,44,49.66
2007-08-03,42,50.23
2007-08-10,46,50.95
2007-08-17,44,50.04
2007-08-24,44,54.61
2007-08-31,49,54.75
2007-09-07,38,54.06
2007-09-14,45,53.20
2007-09-21,41,53.88
2007-09-28,40,55.82
2007-10-05,43,55.74
2007-10-12,42,58.73
2007-10-19,36,59.65
2007-10-26,44,61.37
2007-11-02,38,65.05
2007-11-09,40,62.22
2007-11-16,44,65.38
2007-11-23,36,64.83
2007-11-30,49,67.75
2007-12-07,45,71.78
2007-12-14,43,70.65
2007-12-21,42,71.09
2007-12-28,36,72.93
2008-01-04,52,73.52
2008-01-11,48,71.35
2008-01-18,48,69.20
2008-01-25,46,62.06
2008-02-01,42,66.30
2008-02-08,47,62.54
2008-02-15,45,63.70
2008-02-22,39,66.31
2008-02-29,42,59.10
2008-03-07,40,58.51
2008-03-14,43,56.43
2008-03-21,42,
2008-03-28,45,63.51
2008-04-04,46,66.96
2008-04-11,41,63.95
2008-04-18,39,68.76
2008-04-25,36,73.71
2008-05-02,45,69.59
2008-05-09,37,70.79
2008-05-16,42,71.11
2008-05-23,37,69.76
2008-05-30,42,72.11
2008-06-06,47,70.17
2008-06-13,35,68.33
2008-06-20,43,63.38
2008-06-27,44,62.54
2008-07-04,34,
2008-07-11,40,63.03
2008-07-18,41,62.82
2008-07-25,43,67.14
2008-08-01,45,70.70
2008-08-08,44,72.65
2008-08-15,42,75.00
2008-08-22,42,73.93
2008-08-29,38,73.41
2008-09-05,41,71.77
2008-09-12,44,75.64
2008-09-19,45,74.36
2008-09-26,41,74.88
2008-10-03,42,69.84
2008-10-10,42,54.57
2008-10-17,44,60.35
2008-10-24,40,53.18
2008-10-31,45,60.61
2008-11-07,50,59.87
2008-11-14,50,58.49
2008-11-21,47,53.72
2008-11-28,29,57.51
2008-12-05,42,58.58
2008-12-12,50,57.48
2008-12-19,45,61.35
2008-12-26,39,59.21
2009-01-02,50,56.69
2009-01-09,51,52.72
2009-01-16,52,53.25
2009-01-23,48,53.26
2009-01-30,49,53.76
2009-02-06,48,58.13
2009-02-13,50,57.88
2009-02-20,46,56.27
2009-02-27,50,50.30
2009-03-06,47,46.19
2009-03-13,42,48.27
2009-03-20,48,46.50
2009-03-27,43,43.89
2009-04-03,45,48.63
2009-04-10,43,
2009-04-17,62,59.75
2009-04-24,45,58.45
2009-05-01,46,63.37
2009-05-08,42,61.29
2009-05-15,41,58.67
2009-05-22,38,59.53
2009-05-29,37,64.05
2009-06-05,40,63.34
2009-06-12,39,62.92
2009-06-19,42,66.39
2009-06-26,37,67.79
2009-07-03,44,
2009-07-10,44,64.72
2009-07-17,46,66.05
2009-07-24,42,70.56
2009-07-31,46,70.04
2009-08-07,44,66.91
2009-08-14,47,67.05
2009-08-21,44,70.86
2009-08-28,46,72.60
2009-09-04,40,74.16
2009-09-11,41,78.44
2009-09-18,42,78.93
2009-09-25,54,77.03
2009-10-02,44,75.92
2009-10-09,42,79.44
2009-10-16,45,81.35
2009-10-23,43,80.70
2009-10-30,48,79.92
2009-11-06,47,85.30
2009-11-13,39,84.95
2009-11-20,44,85.09
2009-11-27,33,85.74
2009-12-04,45,87.02
2009-12-11,43,87.07
2009-12-18,44,84.38
2009-12-25,33,
2010-01-01,47,
2010-01-08,56,91.65
2010-01-15,52,90.04
2010-01-22,52,85.20
2010-01-29,48,83.86
2010-02-05,52,84.82
2010-02-12,47,86.43
2010-02-19,44,90.12
2010-02-26,47,96.01
2010-03-05,46,99.45
2010-03-12,50,98.94
2010-03-19,49,100.73
2010-03-26,49,100.62
2010-04-02,47,
2010-04-09,53,103.31
2010-04-16,43,100.78
2010-04-23,48,104.19
2010-04-30,49,100.13
2010-05-07,48,97.15
2010-05-14,45,101.69
2010-05-21,44,100.59
2010-05-28,41,100.60
2010-06-04,39,99.13
2010-06-11,50,52.67
2010-06-18,45,52.02
2010-06-25,47,49.63
2010-07-02,45,45.60
2010-07-09,42,46.95
2010-07-16,50,46.94
2010-07-23,46,43.07
2010-07-30,48,45.18
2010-08-06,50,46.35
2010-08-13,52,45.93
2010-08-20,49,45.36
2010-08-27,50,44.72
2010-09-03,45,44.08
2010-09-10,45,45.68
2010-09-17,47,46.37
2010-09-24,49,49.60
2010-10-01,47,48.83
2010-10-08,51,48.30
2010-10-15,44,48.37
2010-10-22,45,49.00
2010-10-29,49,48.52
2010-11-05,51,52.77
2010-11-12,45,52.22
2010-11-19,50,53.38
2010-11-26,41,52.51
2010-12-03,45,54.20
2010-12-10,48,54.76
2010-12-17,47,54.91
2010-12-24,44,
2010-12-31,51,54.05
2011-01-07,65,56.25
2011-01-14,56,57.59
2011-01-21,55,58.02
2011-01-28,58,56.16
2011-02-04,50,57.13
2011-02-11,56,58.27
2011-02-18,50,56.77
2011-02-25,50,55.43
2011-03-04,50,56.15
2011-03-11,47,52.50
2011-03-18,45,52.11
2011-03-25,50,54.50
2011-04-01,56,56.17
2011-04-08,53,56.15
2011-04-15,48,55.44
2011-04-22,50,
2011-04-29,47,56.74
2011-05-06,47,57.93
2011-05-13,49,59.92
2011-05-20,46,59.98
2011-05-27,45,58.48
2011-06-03,43,56.73
2011-06-10,43,56.41
2011-06-17,45,55.68
2011-06-24,53,52.94
2011-07-01,48,53.96
2011-07-08,46,54.57
2011-07-15,54,51.96
2011-07-22,86,57.30
2011-07-29,65,54.26
2011-08-05,60,49.57
2011-08-12,54,46.69
2011-08-19,52,44.89
2011-08-26,51,45.39
2011-09-02,53,45.34
2011-09-09,56,43.67
2011-09-16,66,41.29
2011-09-23,63,38.71
2011-09-30,61,37.07
2011-10-07,61,39.46
2011-10-14,59,40.18
2011-10-21,59,39.14
2011-10-28,65,46.70
2011-11-04,63,45.21
2011-11-11,62,47.68
2011-11-18,59,43.97
2011-11-25,53,42.15
2011-12-02,71,46.61
2011-12-09,64,45.99
2011-12-16,66,43.52
2011-12-23,63,45.25
2011-12-30,69,44.69
2012-01-06,87,49.39
2012-01-13,81,49.15
2012-01-20,79,51.90
2012-01-27,71,51.44
2012-02-03,71,52.08
2012-02-10,70,50.17
2012-02-17,60,52.18
2012-02-24,57,52.41
2012-03-02,59,53.65
2012-03-09,55,54.18
2012-03-16,56,54.34
2012-03-23,50,52.71
2012-03-30,58,54.18
2012-04-06,70,
2012-04-13,58,56.98
2012-04-20,55,57.88
2012-04-27,55,56.00
2012-05-04,55,54.23
2012-05-11,51,55.10
2012-05-18,52,50.88
2012-05-25,52,52.63
2012-06-01,50,50.67
2012-06-08,49,53.19
2012-06-15,52,54.34
2012-06-22,48,52.96
2012-06-29,51,55.83
2012-07-06,44,54.06
2012-07-13,53,57.35
2012-07-20,59,57.21
2012-07-27,54,57.95
2012-08-03,53,56.72
2012-08-10,52,61.92
2012-08-17,52,60.86
2012-08-24,52,61.76
2012-08-31,49,62.62
2012-09-07,48,63.30
2012-09-14,54,62.84
2012-09-21,56,63.36
2012-09-28,52,62.63
2012-10-05,56,64.96
2012-10-12,51,63.56
2012-10-19,53,62.56
2012-10-26,53,62.24
2012-11-02,55,62.02
2012-11-09,60,53.35
2012-11-16,59,52.13
2012-11-23,46,52.24
2012-11-30,65,53.85
2012-12-07,58,53.99
2012-12-14,58,54.76
2012-12-21,57,54.22
2012-12-28,53,52.93
2013-01-04,66,55.00
2013-01-11,74,55.60
2013-01-18,69,55.15
2013-01-25,63,54.16
2013-02-01,64,54.81
2013-02-08,63,55.74
2013-02-15,63,55.57
2013-02-22,66,55.63
2013-03-01,63,57.36
2013-03-08,65,58.81
2013-03-15,66,59.77
2013-03-22,68,57.93
2013-03-29,64,
2013-04-05,66,57.00
2013-04-12,70,56.30
2013-04-19,63,55.35
2013-04-26,60,57.91
2013-05-03,68,61.56
2013-05-10,65,61.40
2013-05-17,61,61.87
2013-05-24,59,62.68
2013-05-31,53,62.12
2013-06-07,66,62.50
2013-06-14,63,61.94
2013-06-21,70,61.96
2013-06-28,68,61.74
2013-07-05,56,62.95
2013-07-12,66,65.30
2013-07-19,68,66.50
2013-07-26,75,67.66
2013-08-02,71,65.15
2013-08-09,69,65.18
2013-08-16,66,64.61
2013-08-23,71,64.84
2013-08-30,68,63.88
2013-09-06,63,65.52
2013-09-13,67,65.73
2013-09-20,68,62.05
2013-09-27,63,61.93
2013-10-04,67,62.53
2013-10-11,69,63.06
2013-10-18,71,63.76
2013-10-25,68,60.88
2013-11-01,72,62.37
2013-11-08,75,64.20
2013-11-15,72,65.34
2013-11-22,71,66.39
2013-11-29,57,67.35
2013-12-06,72,66.95
2013-12-13,72,66.62
2013-12-20,72,68.96
2013-12-27,62,70.60
2014-01-03,88,70.00
2014-01-10,100,72.86
2014-01-17,97,73.62
2014-01-24,90,73.32
2014-01-31,88,74.69
2014-02-07,83,74.38
2014-02-14,83,76.75
2014-02-21,82,74.01
2014-02-28,82,75.31
2014-03-07,81,78.30
2014-03-14,80,77.36
2014-03-21,79,76.99
2014-03-28,76,75.52
2014-04-04,79,73.28
2014-04-11,77,72.15
2014-04-18,75,
2014-04-25,80,71.04
2014-05-02,74,
