Date,PH,Price
2013-08-16,72,103.40
2013-08-23,73,103.09
2013-08-30,75,99.95
2013-09-06,78,103.22
2013-09-13,82,104.36
2013-09-20,82,107.54
2013-09-27,84,108.95
2013-10-04,83,107.58
2013-10-11,86,107.78
2013-10-18,87,112.41
2013-10-25,89,116.42
2013-11-01,84,115.99
2013-11-08,85,116.13
2013-11-15,88,117.61
2013-11-22,85,118.62
2013-11-29,78,117.84
2013-12-06,80,121.10
2013-12-13,78,118.97
2013-12-20,73,126.21
2013-12-27,56,128.11
2014-01-03,60,127.25
2014-01-10,75,127.20
2014-01-17,79,127.43
2014-01-24,80,114.63
2014-01-31,82,113.37
2014-02-07,83,118.67
2014-02-14,80,117.85
2014-02-21,83,117.77
2014-02-28,86,120.55
2014-03-07,87,124.38
2014-03-14,87,116.19
2014-03-21,90,119.38
2014-03-28,89,119.24
2014-04-04,89,121.80
2014-04-11,88,119.14
2014-04-18,81,
2014-04-25,86,122.40
2014-05-02,92,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
