Date,WEC,Price
2005-10-28,4,37.75
2005-11-04,4,37.96
2005-11-11,4,37.12
2005-11-18,4,38.31
2005-11-25,4,38.37
2005-12-02,6,38.44
2005-12-09,4,39.22
2005-12-16,5,39.60
2005-12-23,5,38.92
2005-12-30,4,39.06
2006-01-06,6,40.17
2006-01-13,6,40.09
2006-01-20,5,40.40
2006-01-27,5,41.03
2006-02-03,5,41.29
2006-02-10,5,39.83
2006-02-17,5,40.70
2006-02-24,5,40.68
2006-03-03,6,40.27
2006-03-10,4,39.82
2006-03-17,5,40.09
2006-03-24,6,40.00
2006-03-31,6,39.99
2006-04-07,5,39.30
2006-04-14,5,
2006-04-21,4,38.82
2006-04-28,4,39.05
2006-05-05,6,40.88
2006-05-12,6,39.85
2006-05-19,6,39.35
2006-05-26,6,39.64
2006-06-02,5,40.86
2006-06-09,4,40.40
2006-06-16,6,39.89
2006-06-23,4,39.01
2006-06-30,5,40.30
2006-07-07,6,40.38
2006-07-14,4,40.70
2006-07-21,6,41.56
2006-07-28,6,42.45
2006-08-04,6,41.85
2006-08-11,5,40.94
2006-08-18,6,42.20
2006-08-25,5,41.81
2006-09-01,5,43.05
2006-09-08,5,42.25
2006-09-15,5,42.52
2006-09-22,5,42.25
2006-09-29,4,43.14
2006-10-06,6,44.06
2006-10-13,5,44.62
2006-10-20,5,45.59
2006-10-27,4,46.01
2006-11-03,4,45.45
2006-11-10,4,45.72
2006-11-17,4,46.59
2006-11-24,5,46.47
2006-12-01,4,46.95
2006-12-08,4,47.83
2006-12-15,5,48.57
2006-12-22,5,47.47
2006-12-29,4,47.46
2007-01-05,4,46.95
2007-01-12,7,46.65
2007-01-19,7,46.53
2007-01-26,8,45.97
2007-02-02,4,47.09
2007-02-09,6,48.05
2007-02-16,6,48.33
2007-02-23,7,48.95
2007-03-02,7,47.76
2007-03-09,5,47.89
2007-03-16,6,47.80
2007-03-23,9,49.15
2007-03-30,8,48.52
2007-04-06,5,
2007-04-13,6,49.70
2007-04-20,7,49.70
2007-04-27,6,49.37
2007-05-04,9,49.12
2007-05-11,9,48.40
2007-05-18,7,49.43
2007-05-25,7,47.19
2007-06-01,11,48.40
2007-06-08,19,45.37
2007-06-15,10,45.58
2007-06-22,9,44.26
2007-06-29,14,44.23
2007-07-06,11,43.88
2007-07-13,10,44.37
2007-07-20,9,45.08
2007-07-27,9,42.92
2007-08-03,17,43.26
2007-08-10,21,42.59
2007-08-17,12,42.89
2007-08-24,9,44.14
2007-08-31,9,44.31
2007-09-07,20,44.69
2007-09-14,10,44.15
2007-09-21,12,45.41
2007-09-28,8,45.03
2007-10-05,8,46.04
2007-10-12,8,46.11
2007-10-19,8,44.82
2007-10-26,10,46.91
2007-11-02,8,47.80
2007-11-09,10,46.85
2007-11-16,13,47.02
2007-11-23,10,47.65
2007-11-30,9,47.84
2007-12-07,12,49.69
2007-12-14,39,48.86
2007-12-21,15,49.46
2007-12-28,11,49.05
2008-01-04,13,47.49
2008-01-11,10,47.93
2008-01-18,9,46.30
2008-01-25,9,44.01
2008-02-01,12,45.97
2008-02-08,16,45.98
2008-02-15,30,44.85
2008-02-22,17,44.84
2008-02-29,11,43.62
2008-03-07,13,43.40
2008-03-14,12,43.05
2008-03-21,18,
2008-03-28,30,43.60
2008-04-04,18,44.62
2008-04-11,15,45.44
2008-04-18,10,46.61
2008-04-25,16,46.60
2008-05-02,13,47.83
2008-05-09,16,48.01
2008-05-16,14,48.20
2008-05-23,16,47.75
2008-05-30,41,48.04
2008-06-06,100,47.40
2008-06-13,16,47.37
2008-06-20,15,46.84
2008-06-27,13,44.97
2008-07-04,13,
2008-07-11,13,45.92
2008-07-18,14,43.54
2008-07-25,17,43.14
2008-08-01,20,44.40
2008-08-08,33,45.98
2008-08-15,13,46.57
2008-08-22,10,46.44
2008-08-29,12,46.77
2008-09-05,15,45.21
2008-09-12,21,45.79
2008-09-19,12,44.81
2008-09-26,12,45.69
2008-10-03,13,44.62
2008-10-10,13,38.02
2008-10-17,15,38.70
2008-10-24,10,39.45
2008-10-31,14,43.50
2008-11-07,51,42.94
2008-11-14,16,42.17
2008-11-21,14,41.27
2008-11-28,12,43.46
2008-12-05,25,41.88
2008-12-12,13,41.82
2008-12-19,11,41.45
2008-12-26,9,41.70
2009-01-02,16,42.54
2009-01-09,13,42.78
2009-01-16,13,42.81
2009-01-23,20,43.97
2009-01-30,42,44.58
2009-02-06,17,44.87
2009-02-13,13,43.60
2009-02-20,12,42.22
2009-02-27,17,39.82
2009-03-06,30,37.57
2009-03-13,15,38.04
2009-03-20,14,39.94
2009-03-27,16,40.86
2009-04-03,19,41.34
2009-04-10,29,
2009-04-17,13,39.93
2009-04-24,13,39.45
2009-05-01,11,40.26
2009-05-08,12,38.89
2009-05-15,14,37.28
2009-05-22,12,37.13
2009-05-29,18,39.46
2009-06-05,28,40.70
2009-06-12,73,41.10
2009-06-19,16,40.23
2009-06-26,13,40.69
2009-07-03,11,
2009-07-10,12,40.69
2009-07-17,14,41.11
2009-07-24,14,43.30
2009-07-31,15,42.97
2009-08-07,18,44.50
2009-08-14,45,44.84
2009-08-21,12,45.88
2009-08-28,12,45.91
2009-09-04,14,44.86
2009-09-11,13,44.63
2009-09-18,11,45.26
2009-09-25,9,44.49
2009-10-02,10,44.28
2009-10-09,14,44.47
2009-10-16,26,45.03
2009-10-23,10,44.45
2009-10-30,10,43.67
2009-11-06,10,44.61
2009-11-13,11,44.50
2009-11-20,31,45.10
2009-11-27,12,45.02
2009-12-04,10,46.31
2009-12-11,10,48.23
2009-12-18,17,48.58
2009-12-25,27,
2010-01-01,12,
2010-01-08,18,49.77
2010-01-15,42,50.28
2010-01-22,11,49.02
2010-01-29,9,48.94
2010-02-05,10,48.66
2010-02-12,11,47.87
2010-02-19,9,49.80
2010-02-26,10,48.43
2010-03-05,19,49.94
2010-03-12,33,49.99
2010-03-19,9,50.56
2010-03-26,11,49.58
2010-04-02,11,
2010-04-09,13,50.48
2010-04-16,18,50.56
2010-04-23,39,51.98
2010-04-30,98,52.51
2010-05-07,14,50.18
2010-05-14,12,50.87
2010-05-21,12,48.71
2010-05-28,10,49.00
2010-06-04,13,48.09
2010-06-11,11,49.70
2010-06-18,15,51.77
2010-06-25,22,51.30
2010-07-02,10,50.54
2010-07-09,10,53.09
2010-07-16,11,52.86
2010-07-23,9,55.03
2010-07-30,11,54.28
2010-08-06,10,55.84
2010-08-13,12,55.22
2010-08-20,35,55.63
2010-08-27,13,56.52
2010-09-03,12,57.38
2010-09-10,11,57.14
2010-09-17,11,56.65
2010-09-24,13,58.08
2010-10-01,54,58.26
2010-10-08,16,58.22
2010-10-15,9,58.57
2010-10-22,9,59.49
2010-10-29,20,59.54
2010-11-05,15,60.49
2010-11-12,36,59.10
2010-11-19,12,59.85
2010-11-26,10,60.20
2010-12-03,10,60.30
2010-12-10,10,58.88
2010-12-17,55,59.13
2010-12-24,24,
2010-12-31,11,58.86
2011-01-07,12,58.38
2011-01-14,9,59.30
2011-01-21,7,59.66
2011-01-28,7,60.03
2011-02-04,6,58.50
2011-02-11,7,58.57
2011-02-18,6,58.73
2011-02-25,6,58.81
2011-03-04,7,29.81
2011-03-11,6,30.07
2011-03-18,7,29.61
2011-03-25,7,29.96
2011-04-01,8,30.77
2011-04-08,8,30.08
2011-04-15,7,29.90
2011-04-22,6,
2011-04-29,6,31.21
2011-05-06,6,31.13
2011-05-13,6,31.55
2011-05-20,6,31.49
2011-05-27,6,31.11
2011-06-03,6,30.79
2011-06-10,6,30.66
2011-06-17,7,31.21
2011-06-24,7,30.68
2011-07-01,6,31.83
2011-07-08,7,31.63
2011-07-15,6,31.31
2011-07-22,6,31.74
2011-07-29,6,30.65
2011-08-05,5,29.61
2011-08-12,5,29.72
2011-08-19,5,30.16
2011-08-26,5,30.97
2011-09-02,5,31.01
2011-09-09,6,30.46
2011-09-16,6,31.72
2011-09-23,5,31.21
2011-09-30,6,31.29
2011-10-07,6,31.49
2011-10-14,4,31.84
2011-10-21,4,32.90
2011-10-28,4,32.84
2011-11-04,4,32.72
2011-11-11,5,33.15
2011-11-18,6,32.63
2011-11-25,5,31.91
2011-12-02,5,32.96
2011-12-09,4,33.07
2011-12-16,4,33.44
2011-12-23,4,34.76
2011-12-30,5,34.96
2012-01-06,5,34.49
2012-01-13,4,34.21
2012-01-20,6,34.10
2012-01-27,5,34.25
2012-02-03,6,34.66
2012-02-10,5,34.26
2012-02-17,5,34.38
2012-02-24,5,34.37
2012-03-02,5,34.22
2012-03-09,5,34.85
2012-03-16,7,34.53
2012-03-23,6,34.50
2012-03-30,6,35.18
2012-04-06,5,
2012-04-13,5,34.85
2012-04-20,4,35.88
2012-04-27,5,36.59
2012-05-04,11,36.42
2012-05-11,7,37.20
2012-05-18,6,36.71
2012-05-25,4,37.50
2012-06-01,5,37.79
2012-06-08,4,38.60
2012-06-15,6,39.29
2012-06-22,6,38.60
2012-06-29,5,39.57
2012-07-06,5,40.01
2012-07-13,4,40.91
2012-07-20,5,41.16
2012-07-27,5,40.91
2012-08-03,5,40.35
2012-08-10,5,39.26
2012-08-17,5,38.56
2012-08-24,8,38.38
2012-08-31,10,37.96
2012-09-07,5,38.15
2012-09-14,7,37.37
2012-09-21,7,36.73
2012-09-28,8,37.67
2012-10-05,6,38.10
2012-10-12,9,38.16
2012-10-19,10,38.50
2012-10-26,7,37.88
2012-11-02,6,38.20
2012-11-09,4,36.32
2012-11-16,4,36.37
2012-11-23,4,36.19
2012-11-30,5,37.53
2012-12-07,4,37.79
2012-12-14,4,37.05
2012-12-21,4,37.49
2012-12-28,4,36.48
2013-01-04,4,37.69
2013-01-11,5,38.03
2013-01-18,5,38.11
2013-01-25,5,38.77
2013-02-01,5,39.80
2013-02-08,6,40.06
2013-02-15,5,39.78
2013-02-22,4,40.37
2013-03-01,5,41.31
2013-03-08,5,41.39
2013-03-15,12,41.37
2013-03-22,7,41.53
2013-03-29,7,
2013-04-05,5,42.85
2013-04-12,9,43.59
2013-04-19,13,43.61
2013-04-26,6,44.03
2013-05-03,12,44.53
2013-05-10,8,43.12
2013-05-17,6,43.70
2013-05-24,6,41.98
2013-05-31,4,40.81
2013-06-07,5,41.26
2013-06-14,6,41.18
2013-06-21,8,39.71
2013-06-28,8,40.99
2013-07-05,5,40.27
2013-07-12,4,42.48
2013-07-19,5,43.27
2013-07-26,5,43.58
2013-08-02,4,43.99
2013-08-09,4,43.32
2013-08-16,4,41.23
2013-08-23,5,41.29
2013-08-30,8,41.04
2013-09-06,11,39.86
2013-09-13,6,39.84
2013-09-20,7,40.60
2013-09-27,9,40.31
2013-10-04,5,40.18
2013-10-11,5,41.48
2013-10-18,8,41.71
2013-10-25,9,42.74
2013-11-01,5,42.37
2013-11-08,7,41.71
2013-11-15,5,42.29
2013-11-22,4,42.20
2013-11-29,9,41.77
2013-12-06,5,41.99
2013-12-13,5,40.53
2013-12-20,4,41.56
2013-12-27,3,41.29
2014-01-03,4,40.68
2014-01-10,4,41.44
2014-01-17,4,41.14
2014-01-24,5,41.43
2014-01-31,5,42.67
2014-02-07,5,42.10
2014-02-14,5,43.62
2014-02-21,4,43.92
2014-02-28,4,43.96
2014-03-07,5,43.66
2014-03-14,6,45.31
2014-03-21,6,45.11
2014-03-28,7,45.94
2014-04-04,6,46.99
2014-04-11,6,46.91
2014-04-18,14,
2014-04-25,19,48.63
2014-05-02,8,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
