Date,Prudential Financial,Price
2005-08-12,28,65.03
2005-08-19,27,65.03
2005-08-26,45,64.21
2005-09-02,29,65.68
2005-09-09,27,67.41
2005-09-16,38,67.77
2005-09-23,37,65.36
2005-09-30,19,67.56
2005-10-07,36,65.08
2005-10-14,40,64.69
2005-10-21,29,66.99
2005-10-28,34,71.11
2005-11-04,38,73.93
2005-11-11,38,74.62
2005-11-18,26,75.96
2005-11-25,35,77.01
2005-12-02,33,76.77
2005-12-09,30,75.80
2005-12-16,22,74.81
2005-12-23,31,74.31
2005-12-30,20,73.19
2006-01-06,43,75.75
2006-01-13,26,75.51
2006-01-20,33,73.19
2006-01-27,38,76.00
2006-02-03,34,74.62
2006-02-10,31,75.25
2006-02-17,32,75.32
2006-02-24,24,77.42
2006-03-03,35,74.73
2006-03-10,32,76.04
2006-03-17,36,76.54
2006-03-24,46,76.18
2006-03-31,36,75.81
2006-04-07,32,76.19
2006-04-14,44,
2006-04-21,35,76.38
2006-04-28,27,78.13
2006-05-05,34,78.34
2006-05-12,37,76.84
2006-05-19,28,76.73
2006-05-26,34,75.78
2006-06-02,31,77.73
2006-06-09,30,77.03
2006-06-16,24,75.62
2006-06-23,36,75.38
2006-06-30,34,77.70
2006-07-07,32,77.56
2006-07-14,28,76.50
2006-07-21,32,77.74
2006-07-28,32,78.71
2006-08-04,44,72.36
2006-08-11,26,72.50
2006-08-18,28,72.98
2006-08-25,30,72.89
2006-09-01,40,73.15
2006-09-08,32,72.00
2006-09-15,34,73.94
2006-09-22,38,75.15
2006-09-29,39,76.25
2006-10-06,44,77.38
2006-10-13,25,77.79
2006-10-20,32,77.26
2006-10-27,28,77.58
2006-11-03,37,78.51
2006-11-10,32,78.03
2006-11-17,47,81.54
2006-11-24,23,80.29
2006-12-01,29,81.86
2006-12-08,37,86.24
2006-12-15,34,86.05
2006-12-22,36,85.40
2006-12-29,42,85.86
2007-01-05,38,85.69
2007-01-12,39,87.68
2007-01-19,42,88.56
2007-01-26,36,87.95
2007-02-02,41,90.33
2007-02-09,43,91.33
2007-02-16,42,92.51
2007-02-23,34,92.45
2007-03-02,34,89.91
2007-03-09,37,90.31
2007-03-16,35,88.65
2007-03-23,35,91.23
2007-03-30,27,90.26
2007-04-06,40,
2007-04-13,34,92.07
2007-04-20,38,94.23
2007-04-27,31,95.45
2007-05-04,33,100.61
2007-05-11,36,102.28
2007-05-18,39,102.92
2007-05-25,38,100.37
2007-06-01,34,101.63
2007-06-08,38,99.09
2007-06-15,35,101.69
2007-06-22,29,97.25
2007-06-29,37,97.23
2007-07-06,42,97.87
2007-07-13,38,97.05
2007-07-20,31,94.63
2007-07-27,29,89.76
2007-08-03,36,85.18
2007-08-10,39,86.67
2007-08-17,42,90.15
2007-08-24,35,90.69
2007-08-31,31,89.78
2007-09-07,30,86.43
2007-09-14,26,91.74
2007-09-21,28,94.93
2007-09-28,29,97.58
2007-10-05,36,99.60
2007-10-12,29,101.09
2007-10-19,34,95.88
2007-10-26,26,97.99
2007-11-02,31,97.07
2007-11-09,20,93.35
2007-11-16,25,97.73
2007-11-23,23,93.87
2007-11-30,28,94.14
2007-12-07,31,96.51
2007-12-14,28,93.76
2007-12-21,27,93.59
2007-12-28,28,92.86
2008-01-04,20,90.45
2008-01-11,25,91.36
2008-01-18,34,80.00
2008-01-25,29,79.38
2008-02-01,30,85.29
2008-02-08,33,71.87
2008-02-15,25,71.61
2008-02-22,30,73.49
2008-02-29,32,72.97
2008-03-07,24,69.22
2008-03-14,23,68.68
2008-03-21,30,
2008-03-28,27,75.45
2008-04-04,29,81.49
2008-04-11,31,77.98
2008-04-18,28,78.08
2008-04-25,35,76.14
2008-05-02,30,77.67
2008-05-09,25,72.48
2008-05-16,24,75.30
2008-05-23,22,74.20
2008-05-30,23,74.70
2008-06-06,22,71.63
2008-06-13,19,71.06
2008-06-20,24,67.73
2008-06-27,29,63.76
2008-07-04,17,
2008-07-11,25,57.59
2008-07-18,25,61.67
2008-07-25,19,64.38
2008-08-01,25,69.30
2008-08-08,22,75.45
2008-08-15,20,73.75
2008-08-22,17,72.09
2008-08-29,21,73.71
2008-09-05,13,78.74
2008-09-12,20,80.59
2008-09-19,36,86.25
2008-09-26,24,73.52
2008-10-03,27,55.87
2008-10-10,41,36.13
2008-10-17,32,41.78
2008-10-24,24,34.46
2008-10-31,21,30.00
2008-11-07,25,34.82
2008-11-14,17,25.24
2008-11-21,24,16.30
2008-11-28,17,21.70
2008-12-05,19,28.52
2008-12-12,15,26.80
2008-12-19,19,29.23
2008-12-26,12,26.78
2009-01-02,12,30.77
2009-01-09,21,31.88
2009-01-16,23,26.66
2009-01-23,16,25.47
2009-01-30,21,25.75
2009-02-06,21,30.05
2009-02-13,16,26.66
2009-02-20,21,18.51
2009-02-27,20,16.41
2009-03-06,27,11.38
2009-03-13,20,18.76
2009-03-20,18,16.69
2009-03-27,21,22.18
2009-04-03,18,23.84
2009-04-10,19,
2009-04-17,15,27.52
2009-04-24,16,28.33
2009-05-01,15,28.18
2009-05-08,21,46.00
2009-05-15,20,37.75
2009-05-22,17,39.60
2009-05-29,16,39.91
2009-06-05,19,40.95
2009-06-12,13,37.15
2009-06-19,18,38.22
2009-06-26,19,36.75
2009-07-03,19,
2009-07-10,17,33.83
2009-07-17,20,39.03
2009-07-24,16,42.83
2009-07-31,20,44.27
2009-08-07,20,47.86
2009-08-14,14,46.58
2009-08-21,18,49.94
2009-08-28,17,52.21
2009-09-04,18,47.89
2009-09-11,13,48.70
2009-09-18,17,52.69
2009-09-25,19,47.77
2009-10-02,15,46.74
2009-10-09,16,51.01
2009-10-16,20,51.16
2009-10-23,16,49.73
2009-10-30,13,45.23
2009-11-06,14,45.38
2009-11-13,17,47.80
2009-11-20,16,47.67
2009-11-27,10,48.20
2009-12-04,11,48.59
2009-12-11,18,48.89
2009-12-18,11,49.92
2009-12-25,7,
2010-01-01,9,
2010-01-08,15,53.56
2010-01-15,13,53.46
2010-01-22,17,50.05
2010-01-29,15,49.99
2010-02-05,17,48.53
2010-02-12,16,48.14
2010-02-19,16,51.50
2010-02-26,15,52.41
2010-03-05,22,54.58
2010-03-12,19,55.91
2010-03-19,18,57.96
2010-03-26,18,59.21
2010-04-02,14,
2010-04-09,16,63.52
2010-04-16,16,62.84
2010-04-23,15,65.82
2010-04-30,14,63.56
2010-05-07,18,58.15
2010-05-14,14,60.46
2010-05-21,15,56.39
2010-05-28,13,57.71
2010-06-04,12,55.66
2010-06-11,12,58.81
2010-06-18,12,59.05
2010-06-25,11,57.55
2010-07-02,14,53.89
2010-07-09,11,56.40
2010-07-16,15,53.42
2010-07-23,14,55.42
2010-07-30,12,57.29
2010-08-06,14,59.08
2010-08-13,11,55.49
2010-08-20,17,52.44
2010-08-27,11,51.43
2010-09-03,13,55.03
2010-09-10,12,53.87
2010-09-17,14,55.22
2010-09-24,22,56.01
2010-10-01,17,53.07
2010-10-08,18,54.04
2010-10-15,16,53.82
2010-10-22,18,52.71
2010-10-29,15,52.58
2010-11-05,15,55.64
2010-11-12,13,54.50
2010-11-19,12,53.78
2010-11-26,12,51.54
2010-12-03,11,53.64
2010-12-10,13,56.83
2010-12-17,10,58.09
2010-12-24,10,
2010-12-31,10,58.71
2011-01-07,14,60.20
2011-01-14,16,61.70
2011-01-21,11,61.46
2011-01-28,8,61.11
2011-02-04,14,62.91
2011-02-11,13,65.14
2011-02-18,15,67.02
2011-02-25,14,64.77
2011-03-04,13,63.87
2011-03-11,11,63.10
2011-03-18,14,60.63
2011-03-25,13,61.02
2011-04-01,10,62.52
2011-04-08,13,62.28
2011-04-15,17,61.00
2011-04-22,12,
2011-04-29,14,63.42
2011-05-06,9,63.70
2011-05-13,12,63.13
2011-05-20,9,63.61
2011-05-27,12,63.17
2011-06-03,8,61.26
2011-06-10,9,59.04
2011-06-17,11,59.19
2011-06-24,13,59.71
2011-07-01,12,64.77
2011-07-08,15,64.38
2011-07-15,12,60.76
2011-07-22,13,60.93
2011-07-29,12,58.68
2011-08-05,12,53.99
2011-08-12,12,50.95
2011-08-19,12,46.49
2011-08-26,10,47.56
2011-09-02,9,46.60
2011-09-09,8,46.14
2011-09-16,9,51.45
2011-09-23,12,43.93
2011-09-30,12,46.86
2011-10-07,12,46.02
2011-10-14,15,50.92
2011-10-21,11,53.23
2011-10-28,11,57.30
2011-11-04,12,52.19
2011-11-11,14,54.05
2011-11-18,10,48.53
2011-11-25,8,44.91
2011-12-02,9,50.40
2011-12-09,9,50.39
2011-12-16,12,48.07
2011-12-23,8,50.92
2011-12-30,7,50.12
2012-01-06,9,52.73
2012-01-13,14,55.25
2012-01-20,10,57.36
2012-01-27,11,57.22
2012-02-03,12,59.87
2012-02-10,14,59.00
2012-02-17,13,61.39
2012-02-24,12,61.09
2012-03-02,11,61.34
2012-03-09,10,61.97
2012-03-16,10,63.71
2012-03-23,12,62.99
2012-03-30,11,63.39
2012-04-06,8,
2012-04-13,13,59.91
2012-04-20,12,59.73
2012-04-27,8,61.37
2012-05-04,11,52.89
2012-05-11,10,51.51
2012-05-18,10,46.10
2012-05-25,13,47.20
2012-06-01,10,44.74
2012-06-08,9,47.97
2012-06-15,8,48.59
2012-06-22,11,47.08
2012-06-29,10,48.43
2012-07-06,11,47.80
2012-07-13,11,49.14
2012-07-20,9,46.70
2012-07-27,12,48.08
2012-08-03,10,52.03
2012-08-10,11,53.89
2012-08-17,10,54.19
2012-08-24,10,54.62
2012-08-31,9,54.51
2012-09-07,10,57.19
2012-09-14,11,58.63
2012-09-21,9,56.95
2012-09-28,10,54.51
2012-10-05,10,56.70
2012-10-12,8,56.05
2012-10-19,10,58.04
2012-10-26,9,57.30
2012-11-02,7,57.24
2012-11-09,8,52.71
2012-11-16,10,48.74
2012-11-23,6,52.02
2012-11-30,10,52.12
2012-12-07,9,52.47
2012-12-14,8,50.92
2012-12-21,7,53.43
2012-12-28,7,52.47
2013-01-04,8,56.52
2013-01-11,9,57.60
2013-01-18,10,57.71
2013-01-25,7,59.09
2013-02-01,10,58.84
2013-02-08,12,57.60
2013-02-15,10,57.28
2013-02-22,9,56.08
2013-03-01,10,54.98
2013-03-08,11,59.60
2013-03-15,11,60.41
2013-03-22,11,58.75
2013-03-29,14,
2013-04-05,11,55.48
2013-04-12,12,56.90
2013-04-19,10,55.77
2013-04-26,11,59.25
2013-05-03,8,65.20
2013-05-10,8,65.05
2013-05-17,9,68.38
2013-05-24,11,66.46
2013-05-31,10,68.97
2013-06-07,10,71.72
2013-06-14,11,70.48
2013-06-21,10,71.55
2013-06-28,11,73.03
2013-07-05,10,75.60
2013-07-12,11,77.89
2013-07-19,10,78.19
2013-07-26,10,79.16
2013-08-02,10,82.41
2013-08-09,9,80.58
2013-08-16,10,79.61
2013-08-23,10,78.70
2013-08-30,9,74.88
2013-09-06,9,77.55
2013-09-13,11,79.69
2013-09-20,9,78.24
2013-09-27,10,78.41
2013-10-04,10,78.40
2013-10-11,9,79.87
2013-10-18,9,82.53
2013-10-25,11,81.41
2013-11-01,9,81.19
2013-11-08,10,86.90
2013-11-15,10,88.62
2013-11-22,9,90.07
2013-11-29,8,88.76
2013-12-06,8,88.91
2013-12-13,7,88.19
2013-12-20,9,91.33
2013-12-27,5,91.83
2014-01-03,8,90.21
2014-01-10,10,90.73
2014-01-17,9,90.23
2014-01-24,7,84.36
2014-01-31,10,84.39
2014-02-07,9,83.41
2014-02-14,10,84.99
2014-02-21,11,83.93
2014-02-28,10,84.58
2014-03-07,8,88.58
2014-03-14,11,83.73
2014-03-21,11,86.84
2014-03-28,10,83.59
2014-04-04,8,84.33
2014-04-11,10,77.61
2014-04-18,8,
2014-04-25,9,80.68
2014-05-02,8,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
