Date,NBR,Price
2013-11-15,66,17.79
2013-11-22,76,17.21
2013-11-29,79,16.55
2013-12-06,70,15.75
2013-12-13,58,15.72
2013-12-20,55,16.26
2013-12-27,31,16.84
2014-01-03,30,16.81
2014-01-10,51,17.07
2014-01-17,55,17.28
2014-01-24,57,17.04
2014-01-31,62,17.08
2014-02-07,62,17.39
2014-02-14,67,18.09
2014-02-21,71,22.00
2014-02-28,67,23.02
2014-03-07,56,23.09
2014-03-14,70,22.00
2014-03-21,74,23.57
2014-03-28,78,24.78
2014-04-04,75,24.01
2014-04-11,74,23.53
2014-04-18,67,
2014-04-25,72,24.73
2014-05-02,74,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
