Date,ARG,Price
2007-04-06,32,
2007-04-13,35,42.34
2007-04-20,36,43.60
2007-04-27,38,44.78
2007-05-04,33,43.94
2007-05-11,31,41.88
2007-05-18,32,42.38
2007-05-25,39,42.27
2007-06-01,34,42.75
2007-06-08,35,41.72
2007-06-15,38,42.21
2007-06-22,51,48.13
2007-06-29,40,47.90
2007-07-06,43,47.97
2007-07-13,47,49.60
2007-07-20,44,48.35
2007-07-27,44,44.98
2007-08-03,43,45.71
2007-08-10,42,45.64
2007-08-17,37,43.40
2007-08-24,39,45.84
2007-08-31,37,46.22
2007-09-07,36,46.90
2007-09-14,36,46.77
2007-09-21,38,50.85
2007-09-28,41,51.63
2007-10-05,35,52.71
2007-10-12,39,54.43
2007-10-19,38,52.21
2007-10-26,39,51.50
2007-11-02,36,49.97
2007-11-09,38,48.26
2007-11-16,40,48.06
2007-11-23,48,46.60
2007-11-30,45,49.48
2007-12-07,44,54.16
2007-12-14,38,51.16
2007-12-21,39,52.96
2007-12-28,38,52.36
2008-01-04,37,49.37
2008-01-11,40,45.56
2008-01-18,34,41.99
2008-01-25,42,41.95
2008-02-01,44,47.44
2008-02-08,39,46.43
2008-02-15,39,48.19
2008-02-22,45,48.91
2008-02-29,41,48.59
2008-03-07,36,42.76
2008-03-14,39,43.00
2008-03-21,42,
2008-03-28,41,45.30
2008-04-04,41,48.17
2008-04-11,42,45.98
2008-04-18,43,49.00
2008-04-25,44,49.88
2008-05-02,44,48.81
2008-05-09,43,58.68
2008-05-16,43,60.10
2008-05-23,41,58.65
2008-05-30,45,59.17
2008-06-06,41,60.21
2008-06-13,44,62.20
2008-06-20,45,62.45
2008-06-27,47,62.62
2008-07-04,46,
2008-07-11,43,58.19
2008-07-18,43,59.27
2008-07-25,47,54.92
2008-08-01,46,56.74
2008-08-08,49,58.38
2008-08-15,55,58.62
2008-08-22,62,59.09
2008-08-29,46,59.24
2008-09-05,47,57.10
2008-09-12,47,56.67
2008-09-19,49,59.98
2008-09-26,48,50.36
2008-10-03,50,44.68
2008-10-10,48,34.42
2008-10-17,53,37.58
2008-10-24,51,32.40
2008-10-31,47,38.36
2008-11-07,46,38.92
2008-11-14,46,34.59
2008-11-21,47,30.89
2008-11-28,42,35.75
2008-12-05,47,34.33
2008-12-12,46,34.79
2008-12-19,44,35.66
2008-12-26,38,36.72
2009-01-02,43,40.65
2009-01-09,42,38.50
2009-01-16,43,39.05
2009-01-23,40,37.57
2009-01-30,44,35.31
2009-02-06,47,39.07
2009-02-13,49,38.49
2009-02-20,46,35.18
2009-02-27,47,30.79
2009-03-06,48,27.09
2009-03-13,46,32.17
2009-03-20,49,32.56
2009-03-27,48,34.41
2009-04-03,50,38.11
2009-04-10,44,
2009-04-17,47,38.82
2009-04-24,45,41.32
2009-05-01,45,42.00
2009-05-08,43,42.92
2009-05-15,44,41.32
2009-05-22,43,42.09
2009-05-29,44,42.26
2009-06-05,41,42.49
2009-06-12,44,40.84
2009-06-19,40,41.19
2009-06-26,41,40.87
2009-07-03,46,
2009-07-10,45,37.44
2009-07-17,45,39.24
2009-07-24,42,41.79
2009-07-31,45,44.58
2009-08-07,44,45.25
2009-08-14,43,45.35
2009-08-21,46,46.19
2009-08-28,45,46.00
2009-09-04,49,45.55
2009-09-11,48,45.71
2009-09-18,45,49.84
2009-09-25,42,47.40
2009-10-02,41,47.30
2009-10-09,42,48.48
2009-10-16,44,50.45
2009-10-23,41,49.34
2009-10-30,38,44.36
2009-11-06,38,46.60
2009-11-13,39,47.41
2009-11-20,37,47.05
2009-11-27,39,46.12
2009-12-04,39,46.81
2009-12-11,36,47.39
2009-12-18,39,46.60
2009-12-25,36,
2010-01-01,35,
2010-01-08,36,48.20
2010-01-15,37,48.25
2010-01-22,36,48.11
2010-01-29,35,42.26
2010-02-05,39,60.96
2010-02-12,37,61.81
2010-02-19,37,63.53
2010-02-26,35,64.14
2010-03-05,45,65.63
2010-03-12,39,64.50
2010-03-19,42,63.90
2010-03-26,39,64.09
2010-04-02,39,
2010-04-09,36,64.06
2010-04-16,37,64.32
2010-04-23,40,63.22
2010-04-30,39,63.45
2010-05-07,39,61.69
2010-05-14,40,62.09
2010-05-21,40,61.70
2010-05-28,40,62.47
2010-06-04,40,62.37
2010-06-11,47,63.00
2010-06-18,53,63.76
2010-06-25,50,62.93
2010-07-02,69,62.57
2010-07-09,42,64.90
2010-07-16,36,64.74
2010-07-23,36,65.48
2010-07-30,40,65.29
2010-08-06,41,65.98
2010-08-13,38,64.95
2010-08-20,39,66.25
2010-08-27,41,66.72
2010-09-03,40,66.67
2010-09-10,44,65.02
2010-09-17,44,67.70
2010-09-24,43,67.95
2010-10-01,40,68.30
2010-10-08,39,67.85
2010-10-15,38,69.71
2010-10-22,41,70.13
2010-10-29,41,70.89
2010-11-05,40,68.56
2010-11-12,44,67.49
2010-11-19,44,66.95
2010-11-26,39,61.61
2010-12-03,42,66.26
2010-12-10,38,63.40
2010-12-17,38,63.04
2010-12-24,35,
2010-12-31,35,62.46
2011-01-07,38,63.64
2011-01-14,37,63.72
2011-01-21,38,63.85
2011-01-28,42,62.38
2011-02-04,44,63.71
2011-02-11,48,63.82
2011-02-18,43,64.08
2011-02-25,45,62.51
2011-03-04,44,63.25
2011-03-11,41,62.55
2011-03-18,48,62.09
2011-03-25,46,66.47
2011-04-01,50,66.85
2011-04-08,60,66.98
2011-04-15,100,66.69
2011-04-22,94,
2011-04-29,52,69.45
2011-05-06,51,67.32
2011-05-13,49,67.13
2011-05-20,46,66.86
2011-05-27,46,68.32
2011-06-03,46,66.25
2011-06-10,44,65.86
2011-06-17,48,66.32
2011-06-24,45,68.21
2011-07-01,48,70.46
2011-07-08,44,70.48
2011-07-15,47,69.82
2011-07-22,44,70.08
2011-07-29,43,68.70
2011-08-05,44,63.34
2011-08-12,44,63.60
2011-08-19,42,59.59
2011-08-26,42,62.58
2011-09-02,44,62.77
2011-09-09,42,61.27
2011-09-16,41,65.92
2011-09-23,42,65.04
2011-09-30,42,63.82
2011-10-07,42,66.07
2011-10-14,44,69.05
2011-10-21,43,69.01
2011-10-28,48,71.43
2011-11-04,48,71.19
2011-11-11,66,73.11
2011-11-18,69,70.94
2011-11-25,74,69.71
2011-12-02,70,76.70
2011-12-09,55,77.73
2011-12-16,60,76.56
2011-12-23,43,79.90
2011-12-30,37,78.08
2012-01-06,37,79.67
2012-01-13,39,80.61
2012-01-20,41,79.40
2012-01-27,38,78.67
2012-02-03,43,78.81
2012-02-10,38,78.68
2012-02-17,38,80.65
2012-02-24,39,81.85
2012-03-02,38,82.24
2012-03-09,36,83.04
2012-03-16,37,84.84
2012-03-23,38,86.43
2012-03-30,36,88.97
2012-04-06,34,
2012-04-13,38,89.23
2012-04-20,48,90.46
2012-04-27,59,91.59
2012-05-04,39,91.71
2012-05-11,36,92.08
2012-05-18,39,83.30
2012-05-25,38,87.77
2012-06-01,42,83.91
2012-06-08,42,86.14
2012-06-15,39,84.85
2012-06-22,40,81.69
2012-06-29,40,84.01
2012-07-06,36,82.42
2012-07-13,35,82.40
2012-07-20,35,83.42
2012-07-27,38,78.51
2012-08-03,44,80.61
2012-08-10,43,83.49
2012-08-17,42,84.27
2012-08-24,41,82.22
2012-08-31,36,83.07
2012-09-07,37,86.01
2012-09-14,40,82.05
2012-09-21,37,85.01
2012-09-28,36,82.30
2012-10-05,38,82.52
2012-10-12,39,80.11
2012-10-19,38,82.03
2012-10-26,39,86.74
2012-11-02,41,89.28
2012-11-09,39,88.01
2012-11-16,37,86.72
2012-11-23,35,90.00
2012-11-30,33,88.57
2012-12-07,35,90.99
2012-12-14,35,88.98
2012-12-21,39,91.54
2012-12-28,29,90.71
2013-01-04,30,94.76
2013-01-11,31,92.91
2013-01-18,32,93.61
2013-01-25,31,93.22
2013-02-01,32,96.47
2013-02-08,33,97.92
2013-02-15,32,98.40
2013-02-22,34,98.22
2013-03-01,35,100.72
2013-03-08,31,102.20
2013-03-15,35,103.06
2013-03-22,33,98.02
2013-03-29,33,
2013-04-05,32,95.95
2013-04-12,33,97.20
2013-04-19,31,95.87
2013-04-26,35,96.70
2013-05-03,31,96.83
2013-05-10,32,97.78
2013-05-17,31,101.87
2013-05-24,31,102.71
2013-05-31,33,102.89
2013-06-07,35,101.15
2013-06-14,33,95.94
2013-06-21,29,95.03
2013-06-28,35,95.46
2013-07-05,33,97.11
2013-07-12,32,100.29
2013-07-19,31,100.90
2013-07-26,29,100.31
2013-08-02,31,105.83
2013-08-09,32,105.52
2013-08-16,33,101.58
2013-08-23,31,103.30
2013-08-30,32,101.65
2013-09-06,32,103.33
2013-09-13,32,103.86
2013-09-20,32,105.35
2013-09-27,36,105.93
2013-10-04,34,108.82
2013-10-11,34,108.45
2013-10-18,31,111.58
2013-10-25,32,109.14
2013-11-01,32,108.01
2013-11-08,34,108.28
2013-11-15,36,110.32
2013-11-22,34,110.01
2013-11-29,33,108.63
2013-12-06,32,109.72
2013-12-13,33,106.34
2013-12-20,30,109.90
2013-12-27,24,111.30
2014-01-03,26,108.98
2014-01-10,29,110.36
2014-01-17,33,112.15
2014-01-24,34,108.82
2014-01-31,36,103.24
2014-02-07,32,104.19
2014-02-14,32,106.41
2014-02-21,28,105.20
2014-02-28,30,107.80
2014-03-07,29,107.58
2014-03-14,31,106.09
2014-03-21,34,107.92
2014-03-28,41,105.90
2014-04-04,44,106.40
2014-04-11,35,104.56
2014-04-18,34,
2014-04-25,33,107.11
2014-05-02,36,
