Date,AIV,Price
2010-12-03,49,25.18
2010-12-10,42,25.06
2010-12-17,38,24.52
2010-12-24,39,
2010-12-31,32,25.84
2011-01-07,49,25.26
2011-01-14,46,24.85
2011-01-21,46,24.71
2011-01-28,49,24.91
2011-02-04,48,24.35
2011-02-11,45,24.32
2011-02-18,47,24.59
2011-02-25,43,24.74
2011-03-04,36,24.40
2011-03-11,38,24.52
2011-03-18,40,24.58
2011-03-25,50,24.60
2011-04-01,40,25.41
2011-04-08,47,25.03
2011-04-15,44,25.11
2011-04-22,45,
2011-04-29,45,26.96
2011-05-06,40,25.86
2011-05-13,44,26.11
2011-05-20,48,26.13
2011-05-27,41,26.29
2011-06-03,47,25.61
2011-06-10,44,25.20
2011-06-17,46,25.38
2011-06-24,44,25.02
2011-07-01,42,26.06
2011-07-08,48,27.17
2011-07-15,50,26.83
2011-07-22,46,27.97
2011-07-29,51,27.30
2011-08-05,64,24.19
2011-08-12,42,24.65
2011-08-19,45,24.11
2011-08-26,45,25.02
2011-09-02,46,25.72
2011-09-09,40,26.06
2011-09-16,37,26.57
2011-09-23,42,23.52
2011-09-30,50,22.12
2011-10-07,40,21.60
2011-10-14,40,23.35
2011-10-21,43,24.67
2011-10-28,43,25.03
2011-11-04,47,22.79
2011-11-11,40,23.52
2011-11-18,42,21.52
2011-11-25,38,20.56
2011-12-02,46,21.89
2011-12-09,42,21.91
2011-12-16,35,21.80
2011-12-23,41,22.95
2011-12-30,37,22.91
2012-01-06,41,22.95
2012-01-13,46,22.60
2012-01-20,42,23.81
2012-01-27,40,24.64
2012-02-03,37,25.02
2012-02-10,41,25.07
2012-02-17,44,25.33
2012-02-24,43,25.48
2012-03-02,52,24.59
2012-03-09,39,24.83
2012-03-16,44,25.97
2012-03-23,40,25.59
2012-03-30,36,26.41
2012-04-06,41,
2012-04-13,36,25.91
2012-04-20,42,26.20
2012-04-27,37,27.17
2012-05-04,34,27.16
2012-05-11,35,27.47
2012-05-18,42,25.75
2012-05-25,38,26.71
2012-06-01,38,26.23
2012-06-08,37,27.17
2012-06-15,36,27.39
2012-06-22,39,26.58
2012-06-29,35,27.03
2012-07-06,38,27.37
2012-07-13,39,28.03
2012-07-20,50,27.40
2012-07-27,41,27.20
2012-08-03,37,26.70
2012-08-10,34,26.04
2012-08-17,36,26.38
2012-08-24,35,26.86
2012-08-31,41,26.48
2012-09-07,34,27.21
2012-09-14,36,27.42
2012-09-21,39,26.65
2012-09-28,34,25.99
2012-10-05,37,25.48
2012-10-12,34,25.45
2012-10-19,35,26.86
2012-10-26,30,26.36
2012-11-02,32,26.16
2012-11-09,42,25.38
2012-11-16,35,24.51
2012-11-23,39,24.69
2012-11-30,38,25.07
2012-12-07,29,25.48
2012-12-14,37,25.56
2012-12-21,35,26.73
2012-12-28,37,26.76
2013-01-04,29,27.45
2013-01-11,34,27.25
2013-01-18,34,27.59
2013-01-25,34,27.99
2013-02-01,40,27.39
2013-02-08,39,28.57
2013-02-15,37,29.12
2013-02-22,38,29.83
2013-03-01,41,29.76
2013-03-08,34,30.41
2013-03-15,37,30.74
2013-03-22,38,29.95
2013-03-29,31,
2013-04-05,36,31.60
2013-04-12,36,31.64
2013-04-19,40,31.12
2013-04-26,40,30.74
2013-05-03,39,30.46
2013-05-10,33,31.89
2013-05-17,36,33.08
2013-05-24,36,31.61
2013-05-31,36,30.26
2013-06-07,35,29.79
2013-06-14,44,28.93
2013-06-21,40,27.89
2013-06-28,35,30.04
2013-07-05,37,29.90
2013-07-12,52,30.89
2013-07-19,38,30.77
2013-07-26,39,30.75
2013-08-02,36,29.01
2013-08-09,37,29.21
2013-08-16,31,27.64
2013-08-23,37,28.43
2013-08-30,31,27.53
2013-09-06,35,27.72
2013-09-13,39,28.56
2013-09-20,34,29.01
2013-09-27,37,28.19
2013-10-04,39,27.76
2013-10-11,41,28.70
2013-10-18,35,29.34
2013-10-25,32,29.37
2013-11-01,35,27.65
2013-11-08,38,26.50
2013-11-15,34,26.24
2013-11-22,35,25.60
2013-11-29,33,25.11
2013-12-06,36,25.85
2013-12-13,41,25.67
2013-12-20,38,25.89
2013-12-27,36,26.06
2014-01-03,39,25.91
2014-01-10,42,26.41
2014-01-17,40,27.13
2014-01-24,38,26.73
2014-01-31,33,27.97
2014-02-07,39,29.52
2014-02-14,35,29.74
2014-02-21,38,29.47
2014-02-28,35,29.89
2014-03-07,38,30.64
2014-03-14,36,30.42
2014-03-21,36,30.33
2014-03-28,32,29.93
2014-04-04,36,30.20
2014-04-11,38,29.11
2014-04-18,40,
2014-04-25,39,30.43
2014-05-02,35,
