Date,MTB,Price
2008-02-29,55,82.08
2008-03-07,56,77.29
2008-03-14,57,79.96
2008-03-21,60,
2008-03-28,62,81.80
2008-04-04,61,83.01
2008-04-11,62,83.62
2008-04-18,66,90.50
2008-04-25,68,94.28
2008-05-02,72,95.31
2008-05-09,72,91.04
2008-05-16,74,91.64
2008-05-23,74,88.36
2008-05-30,74,86.66
2008-06-06,74,81.18
2008-06-13,71,77.88
2008-06-20,73,73.32
2008-06-27,73,71.57
2008-07-04,70,
2008-07-11,70,69.70
2008-07-18,72,68.63
2008-07-25,74,68.10
2008-08-01,74,71.57
2008-08-08,74,76.07
2008-08-15,76,74.52
2008-08-22,80,70.21
2008-08-29,77,71.34
2008-09-05,75,73.91
2008-09-12,68,78.17
2008-09-19,67,93.50
2008-09-26,68,91.50
2008-10-03,64,87.67
2008-10-10,62,72.75
2008-10-17,61,79.00
2008-10-24,60,75.25
2008-10-31,58,81.10
2008-11-07,54,73.78
2008-11-14,54,65.83
2008-11-21,53,58.21
2008-11-28,50,64.25
2008-12-05,47,67.88
2008-12-12,46,59.07
2008-12-19,45,55.96
2008-12-26,49,55.39
2009-01-02,53,57.32
2009-01-09,50,48.10
2009-01-16,48,39.93
2009-01-23,52,37.38
2009-01-30,56,38.91
2009-02-06,54,41.10
2009-02-13,50,36.91
2009-02-20,53,35.10
2009-02-27,55,36.60
2009-03-06,60,31.85
2009-03-13,61,39.34
2009-03-20,67,40.27
2009-03-27,66,47.74
2009-04-03,65,47.31
2009-04-10,74,
2009-04-17,79,59.97
2009-04-24,77,53.56
2009-05-01,78,49.39
2009-05-08,83,55.09
2009-05-15,77,46.16
2009-05-22,79,46.73
2009-05-29,79,50.30
2009-06-05,79,48.44
2009-06-12,76,48.86
2009-06-19,77,46.80
2009-06-26,75,49.15
2009-07-03,72,
2009-07-10,73,51.36
2009-07-17,75,54.44
2009-07-24,76,57.52
2009-07-31,78,58.32
2009-08-07,78,61.19
2009-08-14,75,60.02
2009-08-21,75,60.44
2009-08-28,80,61.64
2009-09-04,77,58.46
2009-09-11,78,59.33
2009-09-18,78,66.04
2009-09-25,77,62.47
2009-10-02,70,60.14
2009-10-09,65,66.02
2009-10-16,62,66.53
2009-10-23,56,68.77
2009-10-30,55,62.85
2009-11-06,54,62.83
2009-11-13,55,62.50
2009-11-20,52,65.85
2009-11-27,51,63.85
2009-12-04,48,63.44
2009-12-11,49,64.44
2009-12-18,45,64.87
2009-12-25,44,
2010-01-01,53,
2010-01-08,50,73.84
2010-01-15,47,73.16
2010-01-22,49,75.59
2010-01-29,47,73.75
2010-02-05,51,72.67
2010-02-12,48,72.07
2010-02-19,49,76.60
2010-02-26,50,77.43
2010-03-05,54,78.55
2010-03-12,57,80.00
2010-03-19,57,83.28
2010-03-26,65,80.81
2010-04-02,65,
2010-04-09,69,85.34
2010-04-16,69,84.25
2010-04-23,72,88.49
2010-04-30,74,87.35
2010-05-07,74,84.07
2010-05-14,73,87.25
2010-05-21,73,84.00
2010-05-28,72,79.24
2010-06-04,73,75.36
2010-06-11,72,78.39
2010-06-18,72,90.71
2010-06-25,67,88.37
2010-07-02,66,84.89
2010-07-09,65,90.23
2010-07-16,64,85.73
2010-07-23,68,89.56
2010-07-30,72,87.34
2010-08-06,71,86.88
2010-08-13,73,85.35
2010-08-20,70,89.76
2010-08-27,71,87.78
2010-09-03,72,88.93
2010-09-10,72,86.57
2010-09-17,70,86.70
2010-09-24,69,90.62
2010-10-01,64,81.91
2010-10-08,62,76.84
2010-10-15,61,75.22
2010-10-22,60,74.44
2010-10-29,56,74.75
2010-11-05,57,82.70
2010-11-12,53,80.98
2010-11-19,52,77.80
2010-11-26,49,76.45
2010-12-03,45,80.86
2010-12-10,43,85.02
2010-12-17,40,82.75
2010-12-24,42,
2010-12-31,47,87.05
2011-01-07,49,86.82
2011-01-14,49,86.38
2011-01-21,54,86.77
2011-01-28,52,86.35
2011-02-04,53,87.49
2011-02-11,55,89.86
2011-02-18,56,91.01
2011-02-25,54,88.56
2011-03-04,57,88.01
2011-03-11,60,87.70
2011-03-18,59,87.57
2011-03-25,65,87.54
2011-04-01,67,89.69
2011-04-08,70,87.70
2011-04-15,72,85.35
2011-04-22,75,
2011-04-29,78,88.37
2011-05-06,73,86.43
2011-05-13,79,86.39
2011-05-20,78,88.04
2011-05-27,79,87.62
2011-06-03,79,85.79
2011-06-10,76,84.41
2011-06-17,75,88.02
2011-06-24,73,85.32
2011-07-01,73,89.03
2011-07-08,71,87.56
2011-07-15,71,85.56
2011-07-22,75,89.08
2011-07-29,73,86.24
2011-08-05,72,78.65
2011-08-12,72,73.04
2011-08-19,70,69.86
2011-08-26,72,74.39
2011-09-02,72,72.29
2011-09-09,72,70.50
2011-09-16,71,74.15
2011-09-23,71,69.01
2011-09-30,70,69.90
2011-10-07,67,70.82
2011-10-14,62,75.72
2011-10-21,61,74.94
2011-10-28,59,78.30
2011-11-04,60,72.10
2011-11-11,56,73.91
2011-11-18,54,71.76
2011-11-25,54,67.70
2011-12-02,52,73.88
2011-12-09,48,73.01
2011-12-16,50,72.75
2011-12-23,47,76.89
2011-12-30,51,76.34
2012-01-06,53,79.45
2012-01-13,56,82.34
2012-01-20,56,81.72
2012-01-27,55,80.11
2012-02-03,55,82.45
2012-02-10,53,79.80
2012-02-17,52,82.92
2012-02-24,54,81.77
2012-03-02,61,80.59
2012-03-09,63,81.35
2012-03-16,66,85.69
2012-03-23,72,85.86
2012-03-30,71,86.88
2012-04-06,72,
2012-04-13,70,84.43
2012-04-20,73,87.39
2012-04-27,73,87.38
2012-05-04,80,85.56
2012-05-11,77,84.80
2012-05-18,73,80.71
2012-05-25,76,81.82
2012-06-01,77,78.57
2012-06-08,77,79.93
2012-06-15,73,81.04
2012-06-22,73,80.96
2012-06-29,72,82.57
2012-07-06,72,83.88
2012-07-13,71,83.98
2012-07-20,74,84.97
2012-07-27,73,86.45
2012-08-03,74,87.42
2012-08-10,79,86.66
2012-08-17,87,87.28
2012-08-24,78,85.87
2012-08-31,81,86.90
2012-09-07,82,90.74
2012-09-14,81,94.80
2012-09-21,79,94.99
2012-09-28,77,95.16
2012-10-05,74,98.51
2012-10-12,72,96.32
2012-10-19,65,103.70
2012-10-26,65,103.44
2012-11-02,60,103.55
2012-11-09,59,99.09
2012-11-16,56,97.10
2012-11-23,56,99.67
2012-11-30,53,97.73
2012-12-07,50,97.64
2012-12-14,47,97.91
2012-12-21,48,99.86
2012-12-28,52,97.55
2013-01-04,59,102.80
2013-01-11,58,103.24
2013-01-18,55,103.29
2013-01-25,56,103.99
2013-02-01,57,103.92
2013-02-08,56,104.39
2013-02-15,55,104.83
2013-02-22,58,104.73
2013-03-01,59,102.66
2013-03-08,63,103.96
2013-03-15,62,104.35
2013-03-22,63,103.12
2013-03-29,65,
2013-04-05,67,101.20
2013-04-12,70,100.24
2013-04-19,74,98.75
2013-04-26,79,99.82
2013-05-03,80,100.77
2013-05-10,81,103.52
2013-05-17,78,105.94
2013-05-24,79,104.71
2013-05-31,79,104.90
2013-06-07,75,103.74
2013-06-14,77,102.51
2013-06-21,78,106.25
2013-06-28,78,111.75
2013-07-05,76,116.40
2013-07-12,77,117.78
2013-07-19,79,118.23
2013-07-26,79,117.25
2013-08-02,77,119.12
2013-08-09,80,117.67
2013-08-16,80,116.77
2013-08-23,80,118.26
2013-08-30,86,113.34
2013-09-06,83,114.98
2013-09-13,78,111.93
2013-09-20,72,111.53
2013-09-27,75,112.08
2013-10-04,74,112.83
2013-10-11,71,114.45
2013-10-18,70,114.80
2013-10-25,68,112.55
2013-11-01,67,111.90
2013-11-08,63,113.87
2013-11-15,62,113.23
2013-11-22,59,116.12
2013-11-29,58,115.36
2013-12-06,53,114.30
2013-12-13,51,113.75
2013-12-20,52,114.34
2013-12-27,55,116.07
2014-01-03,62,115.21
2014-01-10,60,116.00
2014-01-17,62,111.99
2014-01-24,62,111.27
2014-01-31,59,111.51
2014-02-07,60,113.00
2014-02-14,58,114.06
2014-02-21,64,113.51
2014-02-28,66,116.59
2014-03-07,73,119.38
2014-03-14,71,117.43
2014-03-21,75,121.13
2014-03-28,73,120.44
2014-04-04,76,120.55
2014-04-11,76,118.22
2014-04-18,82,
2014-04-25,83,122.24
2014-05-02,100,
