Date,FLIR,Price
2006-08-18,27,25.68
2006-08-25,52,25.35
2006-09-01,39,27.49
2006-09-08,34,27.29
2006-09-15,46,27.23
2006-09-22,45,26.63
2006-09-29,47,27.16
2006-10-06,38,26.80
2006-10-13,49,28.21
2006-10-20,42,29.13
2006-10-27,37,31.22
2006-11-03,43,31.01
2006-11-10,44,32.25
2006-11-17,38,33.00
2006-11-24,35,33.53
2006-12-01,46,32.09
2006-12-08,30,31.55
2006-12-15,37,32.65
2006-12-22,33,31.81
2006-12-29,26,31.83
2007-01-05,39,31.58
2007-01-12,40,32.49
2007-01-19,44,31.16
2007-01-26,43,31.91
2007-02-02,59,31.53
2007-02-09,44,34.45
2007-02-16,43,35.32
2007-02-23,48,35.93
2007-03-02,45,33.35
2007-03-09,49,34.60
2007-03-16,44,33.71
2007-03-23,45,34.64
2007-03-30,50,35.67
2007-04-06,43,
2007-04-13,39,38.30
2007-04-20,42,39.75
2007-04-27,43,41.94
2007-05-04,37,43.73
2007-05-11,38,41.91
2007-05-18,42,40.80
2007-05-25,41,40.61
2007-06-01,37,41.70
2007-06-08,46,40.15
2007-06-15,44,42.97
2007-06-22,42,43.28
2007-06-29,41,46.25
2007-07-06,32,47.32
2007-07-13,49,47.71
2007-07-20,45,49.00
2007-07-27,39,44.80
2007-08-03,42,43.46
2007-08-10,40,50.38
2007-08-17,44,51.04
2007-08-24,40,50.40
2007-08-31,35,49.24
2007-09-07,44,48.72
2007-09-14,48,50.91
2007-09-21,47,54.56
2007-09-28,46,55.39
2007-10-05,45,58.31
2007-10-12,39,60.07
2007-10-19,46,57.77
2007-10-26,44,67.92
2007-11-02,47,70.56
2007-11-09,43,63.38
2007-11-16,51,63.83
2007-11-23,49,65.20
2007-11-30,44,68.73
2007-12-07,51,66.70
2007-12-14,46,30.21
2007-12-21,38,31.41
2007-12-28,29,32.59
2008-01-04,46,30.50
2008-01-11,50,30.12
2008-01-18,53,31.34
2008-01-25,43,30.63
2008-02-01,54,32.59
2008-02-08,41,32.67
2008-02-15,49,31.62
2008-02-22,45,29.69
2008-02-29,50,28.46
2008-03-07,53,25.54
2008-03-14,52,26.08
2008-03-21,39,
2008-03-28,41,28.99
2008-04-04,41,31.37
2008-04-11,40,29.08
2008-04-18,37,30.63
2008-04-25,55,34.40
2008-05-02,39,34.91
2008-05-09,43,32.88
2008-05-16,39,35.44
2008-05-23,39,38.17
2008-05-30,43,39.42
2008-06-06,46,37.55
2008-06-13,45,38.52
2008-06-20,45,39.20
2008-06-27,50,41.38
2008-07-04,43,
2008-07-11,44,42.55
2008-07-18,42,45.10
2008-07-25,49,39.82
2008-08-01,40,39.93
2008-08-08,45,38.87
2008-08-15,42,38.80
2008-08-22,41,37.42
2008-08-29,44,35.70
2008-09-05,47,34.20
2008-09-12,49,34.43
2008-09-19,51,38.01
2008-09-26,48,38.15
2008-10-03,49,34.74
2008-10-10,50,27.90
2008-10-17,54,29.82
2008-10-24,56,27.48
2008-10-31,63,32.10
2008-11-07,52,30.23
2008-11-14,44,29.70
2008-11-21,57,28.50
2008-11-28,58,31.00
2008-12-05,45,28.72
2008-12-12,64,25.10
2008-12-19,38,26.95
2008-12-26,26,28.13
2009-01-02,34,31.76
2009-01-09,45,30.53
2009-01-16,56,29.40
2009-01-23,52,28.03
2009-01-30,47,24.97
2009-02-06,54,23.13
2009-02-13,57,22.19
2009-02-20,58,20.60
2009-02-27,51,20.41
2009-03-06,60,19.59
2009-03-13,52,20.46
2009-03-20,53,20.61
2009-03-27,42,20.98
2009-04-03,48,21.88
2009-04-10,51,
2009-04-17,51,21.84
2009-04-24,48,22.00
2009-05-01,56,25.21
2009-05-08,45,26.55
2009-05-15,51,24.65
2009-05-22,47,23.77
2009-05-29,39,22.46
2009-06-05,48,24.50
2009-06-12,43,24.64
2009-06-19,50,22.93
2009-06-26,43,22.79
2009-07-03,41,
2009-07-10,44,20.84
2009-07-17,47,23.17
2009-07-24,51,22.03
2009-07-31,48,21.49
2009-08-07,42,21.66
2009-08-14,45,22.61
2009-08-21,45,23.05
2009-08-28,50,23.10
2009-09-04,46,23.20
2009-09-11,42,25.85
2009-09-18,52,27.97
2009-09-25,46,27.61
2009-10-02,54,26.96
2009-10-09,54,27.80
2009-10-16,48,28.62
2009-10-23,48,29.33
2009-10-30,51,27.81
2009-11-06,52,28.76
2009-11-13,48,28.97
2009-11-20,50,29.57
2009-11-27,40,28.79
2009-12-04,46,29.80
2009-12-11,54,29.94
2009-12-18,53,30.34
2009-12-25,39,
2010-01-01,35,
2010-01-08,54,32.93
2010-01-15,52,30.81
2010-01-22,54,30.52
2010-01-29,50,29.58
2010-02-05,50,29.51
2010-02-12,49,26.62
2010-02-19,55,27.15
2010-02-26,47,26.81
2010-03-05,47,26.64
2010-03-12,45,26.68
2010-03-19,50,27.32
2010-03-26,50,27.91
2010-04-02,48,
2010-04-09,45,28.91
2010-04-16,44,29.29
2010-04-23,45,31.42
2010-04-30,47,30.59
2010-05-07,42,28.44
2010-05-14,42,29.15
2010-05-21,49,28.08
2010-05-28,40,28.49
2010-06-04,41,27.70
2010-06-11,41,27.65
2010-06-18,41,28.84
2010-06-25,41,29.15
2010-07-02,44,29.43
2010-07-09,35,30.51
2010-07-16,43,30.04
2010-07-23,47,30.16
2010-07-30,38,29.76
2010-08-06,38,29.76
2010-08-13,42,26.96
2010-08-20,49,26.36
2010-08-27,46,25.20
2010-09-03,48,26.76
2010-09-10,42,26.83
2010-09-17,42,27.24
2010-09-24,43,27.11
2010-10-01,47,25.74
2010-10-08,44,24.61
2010-10-15,52,25.79
2010-10-22,49,26.41
2010-10-29,46,27.84
2010-11-05,47,28.61
2010-11-12,50,27.74
2010-11-19,52,27.34
2010-11-26,42,27.40
2010-12-03,51,28.39
2010-12-10,45,27.97
2010-12-17,45,28.45
2010-12-24,38,
2010-12-31,33,29.75
2011-01-07,49,29.11
2011-01-14,48,29.49
2011-01-21,46,29.37
2011-01-28,52,30.63
2011-02-04,56,32.13
2011-02-11,51,32.18
2011-02-18,49,32.29
2011-02-25,50,31.99
2011-03-04,53,32.19
2011-03-11,46,31.94
2011-03-18,49,31.99
2011-03-25,54,33.94
2011-04-01,47,34.93
2011-04-08,50,33.68
2011-04-15,46,33.52
2011-04-22,44,
2011-04-29,45,35.22
2011-05-06,45,34.63
2011-05-13,47,36.11
2011-05-20,50,36.63
2011-05-27,47,35.52
2011-06-03,42,34.42
2011-06-10,45,33.25
2011-06-17,44,33.15
2011-06-24,44,32.03
2011-07-01,46,34.20
2011-07-08,40,34.22
2011-07-15,43,28.92
2011-07-22,46,28.81
2011-07-29,44,27.46
2011-08-05,40,24.72
2011-08-12,39,23.66
2011-08-19,38,22.15
2011-08-26,41,24.57
2011-09-02,41,24.76
2011-09-09,41,24.86
2011-09-16,39,27.81
2011-09-23,45,25.48
2011-09-30,44,25.05
2011-10-07,43,25.92
2011-10-14,47,27.37
2011-10-21,47,26.55
2011-10-28,47,27.22
2011-11-04,47,27.12
2011-11-11,50,26.65
2011-11-18,49,25.37
2011-11-25,45,24.20
2011-12-02,49,25.74
2011-12-09,47,25.67
2011-12-16,50,25.18
2011-12-23,40,25.72
2011-12-30,37,25.07
2012-01-06,43,25.11
2012-01-13,45,25.54
2012-01-20,46,26.81
2012-01-27,48,25.97
2012-02-03,59,26.56
2012-02-10,56,24.90
2012-02-17,55,25.60
2012-02-24,54,26.07
2012-03-02,49,26.52
2012-03-09,57,26.34
2012-03-16,51,26.24
2012-03-23,44,25.50
2012-03-30,43,25.31
2012-04-06,48,
2012-04-13,42,23.65
2012-04-20,42,23.55
2012-04-27,47,22.87
2012-05-04,40,21.73
2012-05-11,43,21.39
2012-05-18,43,20.38
2012-05-25,41,21.31
2012-06-01,45,21.22
2012-06-08,46,21.15
2012-06-15,45,19.98
2012-06-22,41,19.58
2012-06-29,43,19.50
2012-07-06,40,19.42
2012-07-13,41,18.77
2012-07-20,44,19.13
2012-07-27,44,20.85
2012-08-03,39,20.79
2012-08-10,46,21.08
2012-08-17,41,20.74
2012-08-24,41,19.86
2012-08-31,39,19.80
2012-09-07,42,20.61
2012-09-14,46,21.08
2012-09-21,43,21.04
2012-09-28,50,19.98
2012-10-05,46,20.45
2012-10-12,44,19.58
2012-10-19,47,19.37
2012-10-26,42,19.53
2012-11-02,43,19.33
2012-11-09,46,19.36
2012-11-16,45,19.08
2012-11-23,47,20.03
2012-11-30,51,20.40
2012-12-07,48,19.96
2012-12-14,44,20.36
2012-12-21,43,21.90
2012-12-28,30,22.09
2013-01-04,33,23.62
2013-01-11,49,23.12
2013-01-18,51,23.84
2013-01-25,53,24.19
2013-02-01,50,23.62
2013-02-08,52,26.50
2013-02-15,50,26.74
2013-02-22,48,26.44
2013-03-01,47,26.21
2013-03-08,52,26.92
2013-03-15,48,26.00
2013-03-22,43,25.81
2013-03-29,44,
2013-04-05,42,25.58
2013-04-12,43,25.62
2013-04-19,48,23.53
2013-04-26,54,23.75
2013-05-03,42,24.45
2013-05-10,40,24.84
2013-05-17,44,24.84
2013-05-24,44,24.15
2013-05-31,39,24.36
2013-06-07,44,24.40
2013-06-14,41,24.44
2013-06-21,40,25.73
2013-06-28,38,26.97
2013-07-05,35,27.91
2013-07-12,42,29.19
2013-07-19,46,28.97
2013-07-26,46,32.44
2013-08-02,39,33.75
2013-08-09,39,32.99
2013-08-16,35,32.20
2013-08-23,43,32.31
2013-08-30,41,31.28
2013-09-06,40,31.69
2013-09-13,43,31.85
2013-09-20,44,31.59
2013-09-27,37,31.32
2013-10-04,47,32.41
2013-10-11,45,32.67
2013-10-18,54,29.43
2013-10-25,48,28.54
2013-11-01,52,28.38
2013-11-08,55,29.06
2013-11-15,53,29.53
2013-11-22,53,29.74
2013-11-29,51,29.67
2013-12-06,49,29.38
2013-12-13,48,28.70
2013-12-20,51,29.14
2013-12-27,36,29.76
2014-01-03,36,29.02
2014-01-10,100,32.30
2014-01-17,93,33.44
2014-01-24,74,32.67
2014-01-31,67,31.72
2014-02-07,60,30.71
2014-02-14,58,30.89
2014-02-21,54,32.79
2014-02-28,59,34.14
2014-03-07,57,35.18
2014-03-14,53,34.13
2014-03-21,55,35.18
2014-03-28,58,35.25
2014-04-04,58,36.56
2014-04-11,52,34.25
2014-04-18,48,
2014-04-25,55,35.05
2014-05-02,49,
