Date,buy COST,Price
2008-04-18,62,69.43
2008-04-25,65,71.54
2008-05-02,66,72.14
2008-05-09,65,71.44
2008-05-16,47,73.27
2008-05-23,57,71.32
2008-05-30,61,71.32
2008-06-06,61,71.19
2008-06-13,61,70.32
2008-06-20,65,68.73
2008-06-27,56,70.26
2008-07-04,55,
2008-07-11,65,69.83
2008-07-18,65,72.23
2008-07-25,74,61.76
2008-08-01,70,62.20
2008-08-08,66,66.99
2008-08-15,66,68.00
2008-08-22,60,67.43
2008-08-29,57,67.06
2008-09-05,55,68.44
2008-09-12,60,69.55
2008-09-19,62,66.09
2008-09-26,65,66.29
2008-10-03,64,62.60
2008-10-10,61,53.90
2008-10-17,58,57.98
2008-10-24,59,50.93
2008-10-31,63,57.01
2008-11-07,61,54.07
2008-11-14,66,48.06
2008-11-21,69,46.71
2008-11-28,65,51.47
2008-12-05,66,55.58
2008-12-12,65,53.40
2008-12-19,57,53.79
2008-12-26,62,51.47
2009-01-02,67,53.35
2009-01-09,64,49.14
2009-01-16,61,48.80
2009-01-23,60,46.97
2009-01-30,69,45.03
2009-02-06,66,45.21
2009-02-13,64,42.76
2009-02-20,63,42.76
2009-02-27,72,42.34
2009-03-06,65,38.98
2009-03-13,68,42.20
2009-03-20,75,44.83
2009-03-27,68,47.40
2009-04-03,68,48.91
2009-04-10,69,
2009-04-17,76,45.77
2009-04-24,77,48.17
2009-05-01,72,47.69
2009-05-08,77,46.60
2009-05-15,77,44.75
2009-05-22,70,48.30
2009-05-29,70,48.52
2009-06-05,75,47.64
2009-06-12,75,47.03
2009-06-19,76,46.11
2009-06-26,70,46.41
2009-07-03,71,
2009-07-10,70,44.97
2009-07-17,80,47.48
2009-07-24,78,49.13
2009-07-31,80,49.50
2009-08-07,83,50.10
2009-08-14,80,48.63
2009-08-21,82,48.56
2009-08-28,73,51.77
2009-09-04,71,55.47
2009-09-11,76,56.81
2009-09-18,73,57.55
2009-09-25,76,56.28
2009-10-02,76,56.47
2009-10-09,75,58.64
2009-10-16,71,58.48
2009-10-23,77,57.81
2009-10-30,79,56.85
2009-11-06,78,59.41
2009-11-13,74,60.47
2009-11-20,71,60.06
2009-11-27,78,60.03
2009-12-04,78,59.19
2009-12-11,78,59.32
2009-12-18,80,58.43
2009-12-25,76,
2010-01-01,83,
2010-01-08,77,59.28
2010-01-15,76,58.79
2010-01-22,78,57.07
2010-01-29,79,57.43
2010-02-05,78,58.58
2010-02-12,74,59.28
2010-02-19,72,61.14
2010-02-26,74,60.97
2010-03-05,79,60.68
2010-03-12,77,60.17
2010-03-19,78,60.72
2010-03-26,77,60.13
2010-04-02,75,
2010-04-09,79,61.21
2010-04-16,78,59.19
2010-04-23,80,60.20
2010-04-30,86,59.08
2010-05-07,80,57.31
2010-05-14,79,57.74
2010-05-21,79,57.44
2010-05-28,82,58.25
2010-06-04,79,56.17
2010-06-11,87,57.52
2010-06-18,79,58.21
2010-06-25,85,56.44
2010-07-02,75,54.23
2010-07-09,81,56.19
2010-07-16,84,54.98
2010-07-23,82,55.95
2010-07-30,92,56.71
2010-08-06,86,56.54
2010-08-13,81,55.31
2010-08-20,87,55.04
2010-08-27,88,56.19
2010-09-03,75,58.57
2010-09-10,78,59.54
2010-09-17,75,61.29
2010-09-24,82,64.05
2010-10-01,80,65.05
2010-10-08,73,64.29
2010-10-15,81,63.70
2010-10-22,77,64.03
2010-10-29,73,62.77
2010-11-05,76,65.40
2010-11-12,82,65.20
2010-11-19,83,66.56
2010-11-26,84,67.22
2010-12-03,85,68.39
2010-12-10,83,71.25
2010-12-17,84,71.84
2010-12-24,78,
2010-12-31,81,72.21
2011-01-07,89,70.65
2011-01-14,81,72.51
2011-01-21,87,72.77
2011-01-28,78,71.93
2011-02-04,82,74.13
2011-02-11,86,75.04
2011-02-18,79,75.43
2011-02-25,85,73.57
2011-03-04,86,72.81
2011-03-11,81,72.55
2011-03-18,76,70.66
2011-03-25,83,71.46
2011-04-01,79,74.25
2011-04-08,85,76.41
2011-04-15,85,76.97
2011-04-22,85,
2011-04-29,88,80.89
2011-05-06,85,80.45
2011-05-13,92,82.72
2011-05-20,89,83.40
2011-05-27,86,81.53
2011-06-03,79,77.81
2011-06-10,77,78.30
2011-06-17,86,79.63
2011-06-24,84,79.13
2011-07-01,83,81.54
2011-07-08,82,81.41
2011-07-15,87,79.86
2011-07-22,84,81.67
2011-07-29,86,78.25
2011-08-05,88,76.74
2011-08-12,88,72.79
2011-08-19,85,74.36
2011-08-26,84,77.21
2011-09-02,76,78.56
2011-09-09,78,78.90
2011-09-16,81,84.24
2011-09-23,75,83.37
2011-09-30,76,82.13
2011-10-07,86,79.02
2011-10-14,76,81.77
2011-10-21,77,85.30
2011-10-28,76,84.93
2011-11-04,78,83.81
2011-11-11,77,83.04
2011-11-18,87,81.72
2011-11-25,84,80.82
2011-12-02,84,86.73
2011-12-09,83,84.37
2011-12-16,83,82.57
2011-12-23,83,84.66
2011-12-30,82,83.32
2012-01-06,85,81.13
2012-01-13,81,80.61
2012-01-20,78,81.41
2012-01-27,85,81.62
2012-02-03,78,85.36
2012-02-10,84,84.20
2012-02-17,83,84.47
2012-02-24,86,84.40
2012-03-02,80,86.23
2012-03-09,82,89.34
2012-03-16,82,90.44
2012-03-23,83,90.27
2012-03-30,90,90.80
2012-04-06,82,
2012-04-13,88,86.32
2012-04-20,85,87.58
2012-04-27,87,88.69
2012-05-04,93,83.39
2012-05-11,89,84.60
2012-05-18,90,82.94
2012-05-25,90,84.48
2012-06-01,89,85.49
2012-06-08,89,88.74
2012-06-15,86,91.44
2012-06-22,92,90.93
2012-06-29,96,95.00
2012-07-06,93,93.68
2012-07-13,97,94.81
2012-07-20,91,95.61
2012-07-27,93,97.11
2012-08-03,91,97.21
2012-08-10,94,95.30
2012-08-17,95,96.14
2012-08-24,95,96.25
2012-08-31,89,97.87
2012-09-07,88,99.72
2012-09-14,99,102.18
2012-09-21,92,102.36
2012-09-28,93,100.16
2012-10-05,92,101.79
2012-10-12,85,97.55
2012-10-19,85,94.78
2012-10-26,86,96.94
2012-11-02,84,96.12
2012-11-09,89,95.46
2012-11-16,92,95.69
2012-11-23,95,97.92
2012-11-30,95,103.92
2012-12-07,89,98.56
2012-12-14,94,96.92
2012-12-21,87,99.49
2012-12-28,87,96.97
2013-01-04,92,102.16
2013-01-11,90,100.28
2013-01-18,87,101.20
2013-01-25,87,102.36
2013-02-01,89,104.15
2013-02-08,84,102.79
2013-02-15,86,102.17
2013-02-22,89,101.16
2013-03-01,93,101.42
2013-03-08,87,103.04
2013-03-15,92,101.75
2013-03-22,88,105.11
2013-03-29,90,
2013-04-05,86,105.80
2013-04-12,90,106.13
2013-04-19,91,104.45
2013-04-26,90,109.27
2013-05-03,88,109.75
2013-05-10,92,109.99
2013-05-17,91,113.05
2013-05-24,89,114.39
2013-05-31,88,109.63
2013-06-07,86,110.58
2013-06-14,89,111.00
2013-06-21,91,108.65
2013-06-28,86,110.57
2013-07-05,86,111.76
2013-07-12,92,116.46
2013-07-19,86,118.07
2013-07-26,94,116.57
2013-08-02,94,119.37
2013-08-09,88,115.63
2013-08-16,95,111.90
2013-08-23,89,113.07
2013-08-30,83,111.87
2013-09-06,84,114.35
2013-09-13,86,117.03
2013-09-20,91,117.94
2013-09-27,87,115.72
2013-10-04,85,114.44
2013-10-11,86,115.90
2013-10-18,91,117.64
2013-10-25,85,116.44
2013-11-01,90,119.62
2013-11-08,87,122.78
2013-11-15,94,124.29
2013-11-22,97,125.21
2013-11-29,93,125.43
2013-12-06,93,122.06
2013-12-13,86,117.91
2013-12-20,88,118.53
2013-12-27,92,118.53
2014-01-03,93,117.29
2014-01-10,91,117.85
2014-01-17,91,116.29
2014-01-24,89,112.13
2014-01-31,92,112.36
2014-02-07,86,114.04
2014-02-14,89,116.10
2014-02-21,90,113.19
2014-02-28,93,116.80
2014-03-07,89,113.50
2014-03-14,91,113.45
2014-03-21,91,113.83
2014-03-28,93,111.66
2014-04-04,90,110.65
2014-04-11,91,112.08
2014-04-18,90,
2014-04-25,91,115.01
2014-05-02,100,
