Date,HAL,Price
2010-01-08,56,34.12
2010-01-15,56,34.03
2010-01-22,55,31.15
2010-01-29,54,29.21
2010-02-05,60,28.29
2010-02-12,53,30.02
2010-02-19,61,31.79
2010-02-26,52,30.15
2010-03-05,53,31.88
2010-03-12,54,31.50
2010-03-19,51,30.50
2010-03-26,51,29.36
2010-04-02,52,
2010-04-09,50,31.57
2010-04-16,72,31.64
2010-04-23,54,34.96
2010-04-30,52,30.65
2010-05-07,51,27.51
2010-05-14,54,28.09
2010-05-21,52,26.73
2010-05-28,49,24.83
2010-06-04,51,23.11
2010-06-11,48,24.39
2010-06-18,47,26.98
2010-06-25,48,26.34
2010-07-02,45,25.74
2010-07-09,46,28.64
2010-07-16,48,27.51
2010-07-23,53,30.59
2010-07-30,52,29.88
2010-08-06,51,30.92
2010-08-13,52,28.10
2010-08-20,51,27.82
2010-08-27,47,29.25
2010-09-03,52,30.43
2010-09-10,48,30.88
2010-09-17,48,30.96
2010-09-24,51,32.73
2010-10-01,56,33.33
2010-10-08,53,34.73
2010-10-15,55,35.82
2010-10-22,54,34.18
2010-10-29,51,31.86
2010-11-05,53,31.92
2010-11-12,54,35.82
2010-11-19,53,38.01
2010-11-26,50,36.56
2010-12-03,53,41.15
2010-12-10,53,40.22
2010-12-17,52,39.89
2010-12-24,55,
2010-12-31,51,40.83
2011-01-07,59,38.45
2011-01-14,58,39.99
2011-01-21,57,39.19
2011-01-28,56,43.88
2011-02-04,55,45.92
2011-02-11,57,44.64
2011-02-18,56,48.11
2011-02-25,55,47.03
2011-03-04,55,46.84
2011-03-11,53,44.46
2011-03-18,53,44.19
2011-03-25,53,46.04
2011-04-01,53,49.34
2011-04-08,53,48.13
2011-04-15,52,46.82
2011-04-22,52,
2011-04-29,50,50.48
2011-05-06,50,46.67
2011-05-13,55,46.00
2011-05-20,54,47.18
2011-05-27,53,50.15
2011-06-03,54,50.28
2011-06-10,51,48.00
2011-06-17,63,46.02
2011-06-24,66,45.87
2011-07-01,64,51.29
2011-07-08,52,54.04
2011-07-15,55,53.08
2011-07-22,54,57.20
2011-07-29,55,54.73
2011-08-05,53,47.09
2011-08-12,56,45.48
2011-08-19,57,38.04
2011-08-26,57,41.46
2011-09-02,51,41.54
2011-09-09,61,39.66
2011-09-16,64,39.88
2011-09-23,62,31.67
2011-09-30,54,30.52
2011-10-07,57,33.32
2011-10-14,59,37.43
2011-10-21,66,33.50
2011-10-28,60,39.13
2011-11-04,58,37.16
2011-11-11,60,38.59
2011-11-18,58,35.96
2011-11-25,55,31.80
2011-12-02,58,36.58
2011-12-09,56,34.08
2011-12-16,58,31.76
2011-12-23,61,33.80
2011-12-30,56,34.51
2012-01-06,57,34.98
2012-01-13,61,33.94
2012-01-20,60,36.20
2012-01-27,56,37.10
2012-02-03,55,36.83
2012-02-10,56,36.06
2012-02-17,59,36.29
2012-02-24,56,38.51
2012-03-02,59,36.05
2012-03-09,58,34.88
2012-03-16,58,34.54
2012-03-23,59,33.42
2012-03-30,56,33.19
2012-04-06,54,
2012-04-13,53,32.41
2012-04-20,56,33.29
2012-04-27,54,33.24
2012-05-04,54,32.53
2012-05-11,53,31.83
2012-05-18,52,29.93
2012-05-25,58,31.37
2012-06-01,54,29.97
2012-06-08,54,27.96
2012-06-15,54,29.45
2012-06-22,55,27.80
2012-06-29,51,28.39
2012-07-06,56,29.30
2012-07-13,53,28.80
2012-07-20,49,30.77
2012-07-27,56,33.62
2012-08-03,54,33.76
2012-08-10,52,35.19
2012-08-17,52,35.12
2012-08-24,51,34.27
2012-08-31,54,32.76
2012-09-07,67,34.24
2012-09-14,56,37.44
2012-09-21,55,35.84
2012-09-28,53,33.69
2012-10-05,69,33.42
2012-10-12,72,33.80
2012-10-19,69,34.98
2012-10-26,56,32.40
2012-11-02,63,32.11
2012-11-09,61,30.56
2012-11-16,57,30.46
2012-11-23,63,32.08
2012-11-30,57,33.35
2012-12-07,60,33.78
2012-12-14,54,33.39
2012-12-21,56,34.71
2012-12-28,54,34.01
2013-01-04,55,36.65
2013-01-11,56,36.62
2013-01-18,54,37.50
2013-01-25,53,39.72
2013-02-01,55,41.08
2013-02-08,55,41.26
2013-02-15,56,42.70
2013-02-22,55,41.11
2013-03-01,55,40.63
2013-03-08,55,42.08
2013-03-15,56,41.90
2013-03-22,55,39.16
2013-03-29,57,
2013-04-05,59,38.60
2013-04-12,56,40.86
2013-04-19,55,37.21
2013-04-26,55,40.57
2013-05-03,57,42.55
2013-05-10,54,43.39
2013-05-17,51,45.25
2013-05-24,53,43.02
2013-05-31,54,41.85
2013-06-07,55,43.16
2013-06-14,57,42.93
2013-06-21,51,41.79
2013-06-28,53,41.72
2013-07-05,48,43.71
2013-07-12,55,44.64
2013-07-19,53,45.83
2013-07-26,53,45.98
2013-08-02,53,46.30
2013-08-09,46,46.03
2013-08-16,55,46.95
2013-08-23,54,48.71
2013-08-30,57,48.00
2013-09-06,53,49.54
2013-09-13,52,49.69
2013-09-20,50,49.34
2013-09-27,69,48.39
2013-10-04,73,49.06
2013-10-11,74,50.67
2013-10-18,56,52.47
2013-10-25,66,51.69
2013-11-01,64,53.23
2013-11-08,58,55.32
2013-11-15,64,56.23
2013-11-22,61,54.50
2013-11-29,58,52.68
2013-12-06,56,50.56
2013-12-13,60,49.39
2013-12-20,56,50.54
2013-12-27,61,51.08
2014-01-03,55,50.13
2014-01-10,58,50.52
2014-01-17,57,50.66
2014-01-24,57,48.61
2014-01-31,59,49.01
2014-02-07,57,51.97
2014-02-14,56,53.57
2014-02-21,56,55.30
2014-02-28,56,57.00
2014-03-07,58,56.20
2014-03-14,65,55.19
2014-03-21,58,58.06
2014-03-28,56,59.46
2014-04-04,55,59.31
2014-04-11,55,57.61
2014-04-18,56,
2014-04-25,61,62.86
2014-05-02,59,
