Date,AVP,Price
2006-03-03,8,28.79
2006-03-10,7,29.10
2006-03-17,7,30.13
2006-03-24,7,31.11
2006-03-31,8,31.17
2006-04-07,7,30.85
2006-04-14,8,
2006-04-21,8,30.74
2006-04-28,8,32.61
2006-05-05,8,32.23
2006-05-12,8,31.95
2006-05-19,8,31.62
2006-05-26,10,31.60
2006-06-02,9,31.58
2006-06-09,9,31.03
2006-06-16,9,29.93
2006-06-23,10,29.83
2006-06-30,8,31.00
2006-07-07,10,30.75
2006-07-14,10,30.40
2006-07-21,10,31.72
2006-07-28,10,32.81
2006-08-04,9,27.51
2006-08-11,11,27.66
2006-08-18,10,28.50
2006-08-25,10,27.91
2006-09-01,9,28.85
2006-09-08,9,29.45
2006-09-15,9,29.54
2006-09-22,8,30.12
2006-09-29,8,30.66
2006-10-06,7,30.57
2006-10-13,8,29.36
2006-10-20,8,30.12
2006-10-27,9,29.20
2006-11-03,7,32.06
2006-11-10,7,33.14
2006-11-17,7,33.67
2006-11-24,8,33.28
2006-12-01,7,32.27
2006-12-08,10,33.69
2006-12-15,9,33.08
2006-12-22,9,33.49
2006-12-29,8,33.04
2007-01-05,8,33.45
2007-01-12,9,34.41
2007-01-19,9,34.59
2007-01-26,8,33.53
2007-02-02,7,35.17
2007-02-09,8,39.06
2007-02-16,7,38.99
2007-02-23,7,38.56
2007-03-02,7,36.45
2007-03-09,8,37.46
2007-03-16,8,37.56
2007-03-23,7,38.02
2007-03-30,8,37.26
2007-04-06,8,
2007-04-13,8,38.05
2007-04-20,9,38.95
2007-04-27,8,39.51
2007-05-04,9,40.81
2007-05-11,9,38.19
2007-05-18,10,38.13
2007-05-25,10,37.03
2007-06-01,10,39.21
2007-06-08,9,38.33
2007-06-15,10,38.38
2007-06-22,10,36.82
2007-06-29,9,36.75
2007-07-06,10,38.20
2007-07-13,10,39.09
2007-07-20,10,39.40
2007-07-27,10,38.70
2007-08-03,11,35.00
2007-08-10,12,34.16
2007-08-17,12,34.18
2007-08-24,12,34.48
2007-08-31,19,34.35
2007-09-07,14,32.34
2007-09-14,13,34.09
2007-09-21,12,35.14
2007-09-28,12,37.53
2007-10-05,11,37.54
2007-10-12,11,38.40
2007-10-19,10,36.19
2007-10-26,10,38.29
2007-11-02,13,39.55
2007-11-09,12,40.13
2007-11-16,12,41.66
2007-11-23,14,41.17
2007-11-30,15,41.05
2007-12-07,20,41.32
2007-12-14,22,39.31
2007-12-21,25,40.93
2007-12-28,46,39.99
2008-01-04,31,39.05
2008-01-11,21,38.47
2008-01-18,20,36.10
2008-01-25,18,34.71
2008-02-01,15,35.87
2008-02-08,13,39.05
2008-02-15,11,39.30
2008-02-22,10,37.91
2008-02-29,10,38.06
2008-03-07,9,36.86
2008-03-14,9,38.06
2008-03-21,9,
2008-03-28,9,39.06
2008-04-04,9,40.95
2008-04-11,10,40.00
2008-04-18,15,40.20
2008-04-25,13,40.16
2008-05-02,11,39.49
2008-05-09,11,39.37
2008-05-16,10,39.31
2008-05-23,10,38.50
2008-05-30,11,39.06
2008-06-06,10,37.21
2008-06-13,10,37.31
2008-06-20,9,35.87
2008-06-27,9,35.44
2008-07-04,10,
2008-07-11,10,35.24
2008-07-18,10,36.21
2008-07-25,9,36.37
2008-08-01,8,42.60
2008-08-08,8,44.35
2008-08-15,8,43.19
2008-08-22,8,43.24
2008-08-29,8,42.83
2008-09-05,9,42.84
2008-09-12,8,42.76
2008-09-19,8,40.52
2008-09-26,7,41.68
2008-10-03,6,38.46
2008-10-10,6,29.31
2008-10-17,6,28.95
2008-10-24,6,24.42
2008-10-31,7,24.83
2008-11-07,6,26.37
2008-11-14,6,22.53
2008-11-21,7,19.65
2008-11-28,6,21.10
2008-12-05,7,22.00
2008-12-12,7,23.12
2008-12-19,6,23.46
2008-12-26,7,22.68
2009-01-02,7,25.10
2009-01-09,7,23.00
2009-01-16,6,20.25
2009-01-23,6,19.54
2009-01-30,7,20.45
2009-02-06,6,22.73
2009-02-13,6,21.37
2009-02-20,7,18.71
2009-02-27,7,17.59
2009-03-06,6,15.68
2009-03-13,6,17.15
2009-03-20,6,17.87
2009-03-27,6,19.90
2009-04-03,7,21.24
2009-04-10,6,
2009-04-17,7,22.09
2009-04-24,6,22.63
2009-05-01,6,23.52
2009-05-08,7,23.39
2009-05-15,8,22.94
2009-05-22,7,25.80
2009-05-29,8,26.56
2009-06-05,8,26.72
2009-06-12,7,26.61
2009-06-19,7,25.88
2009-06-26,7,26.21
2009-07-03,7,
2009-07-10,7,25.11
2009-07-17,8,27.89
2009-07-24,7,29.63
2009-07-31,7,32.38
2009-08-07,8,32.37
2009-08-14,8,32.22
2009-08-21,8,32.66
2009-08-28,8,32.38
2009-09-04,7,30.88
2009-09-11,6,32.07
2009-09-18,6,32.16
2009-09-25,7,32.82
2009-10-02,5,32.61
2009-10-09,5,33.98
2009-10-16,5,33.96
2009-10-23,6,34.98
2009-10-30,6,32.05
2009-11-06,6,33.12
2009-11-13,5,35.10
2009-11-20,6,34.03
2009-11-27,5,34.69
2009-12-04,6,35.36
2009-12-11,7,33.67
2009-12-18,6,31.69
2009-12-25,7,
2010-01-01,7,
2010-01-08,6,31.47
2010-01-15,7,32.26
2010-01-22,10,31.84
2010-01-29,10,30.14
2010-02-05,21,29.24
2010-02-12,23,29.34
2010-02-19,32,30.32
2010-02-26,27,30.44
2010-03-05,19,31.26
2010-03-12,13,32.03
2010-03-19,12,32.10
2010-03-26,10,33.25
2010-04-02,10,
2010-04-09,9,34.33
2010-04-16,8,33.86
2010-04-23,8,33.40
2010-04-30,7,32.33
2010-05-07,7,28.59
2010-05-14,7,27.51
2010-05-21,7,26.66
2010-05-28,7,26.49
2010-06-04,8,25.73
2010-06-11,8,28.09
2010-06-18,7,28.74
2010-06-25,7,27.49
2010-07-02,8,26.46
2010-07-09,10,28.27
2010-07-16,11,28.69
2010-07-23,10,29.44
2010-07-30,9,31.13
2010-08-06,7,31.11
2010-08-13,8,29.40
2010-08-20,9,29.00
2010-08-27,7,29.61
2010-09-03,6,30.44
2010-09-10,6,30.47
2010-09-17,6,31.07
2010-09-24,6,32.19
2010-10-01,6,32.12
2010-10-08,5,32.93
2010-10-15,6,34.86
2010-10-22,6,34.43
2010-10-29,6,30.45
2010-11-05,6,29.78
2010-11-12,5,29.40
2010-11-19,6,29.23
2010-11-26,6,28.76
2010-12-03,5,29.33
2010-12-10,5,29.23
2010-12-17,5,28.84
2010-12-24,6,
2010-12-31,6,29.06
2011-01-07,5,29.58
2011-01-14,5,28.91
2011-01-21,5,28.72
2011-01-28,5,28.06
2011-02-04,5,29.25
2011-02-11,5,29.45
2011-02-18,5,29.02
2011-02-25,6,27.94
2011-03-04,5,27.35
2011-03-11,5,27.16
2011-03-18,5,26.59
2011-03-25,5,27.43
2011-04-01,5,27.46
2011-04-08,5,27.98
2011-04-15,5,28.34
2011-04-22,5,
2011-04-29,5,29.38
2011-05-06,4,29.04
2011-05-13,5,30.18
2011-05-20,5,29.98
2011-05-27,5,29.26
2011-06-03,5,28.26
2011-06-10,5,27.36
2011-06-17,5,27.36
2011-06-24,5,27.53
2011-07-01,5,27.98
2011-07-08,5,28.53
2011-07-15,4,28.11
2011-07-22,4,28.69
2011-07-29,5,26.23
2011-08-05,5,23.21
2011-08-12,5,21.12
2011-08-19,5,20.53
2011-08-26,4,21.68
2011-09-02,5,21.48
2011-09-09,4,21.10
2011-09-16,4,22.10
2011-09-23,4,19.94
2011-09-30,4,19.60
2011-10-07,4,19.82
2011-10-14,4,22.30
2011-10-21,4,23.44
2011-10-28,4,18.87
2011-11-04,4,18.52
2011-11-11,4,18.23
2011-11-18,4,16.84
2011-11-25,4,16.09
2011-12-02,4,16.67
2011-12-09,4,16.58
2011-12-16,4,16.72
2011-12-23,4,17.48
2011-12-30,4,17.47
2012-01-06,4,17.54
2012-01-13,5,17.52
2012-01-20,4,18.58
2012-01-27,4,18.36
2012-02-03,4,18.52
2012-02-10,4,17.87
2012-02-17,4,19.19
2012-02-24,4,18.92
2012-03-02,4,18.65
2012-03-09,4,18.57
2012-03-16,4,18.95
2012-03-23,4,19.09
2012-03-30,4,19.36
2012-04-06,4,
2012-04-13,4,23.52
2012-04-20,4,22.00
2012-04-27,4,21.57
2012-05-04,4,20.57
2012-05-11,4,20.19
2012-05-18,4,16.95
2012-05-25,4,16.59
2012-06-01,4,15.67
2012-06-08,5,15.89
2012-06-15,5,15.79
2012-06-22,5,15.50
2012-06-29,5,16.21
2012-07-06,4,16.47
2012-07-13,4,15.19
2012-07-20,4,15.73
2012-07-27,4,16.17
2012-08-03,4,14.89
2012-08-10,4,16.28
2012-08-17,4,15.96
2012-08-24,4,15.56
2012-08-31,4,15.45
2012-09-07,4,15.99
2012-09-14,5,16.29
2012-09-21,4,16.14
2012-09-28,4,15.95
2012-10-05,3,17.39
2012-10-12,4,17.11
2012-10-19,4,16.48
2012-10-26,4,15.48
2012-11-02,4,15.20
2012-11-09,4,14.28
2012-11-16,4,14.10
2012-11-23,3,14.26
2012-11-30,3,13.95
2012-12-07,4,14.62
2012-12-14,3,14.07
2012-12-21,4,14.29
2012-12-28,4,13.98
2013-01-04,3,16.09
2013-01-11,4,15.22
2013-01-18,4,15.97
2013-01-25,4,16.68
2013-02-01,4,17.15
2013-02-08,4,16.85
2013-02-15,5,20.57
2013-02-22,4,19.96
2013-03-01,5,19.73
2013-03-08,6,19.76
2013-03-15,5,20.10
2013-03-22,4,20.13
2013-03-29,4,
2013-04-05,4,20.26
2013-04-12,5,21.54
2013-04-19,5,21.99
2013-04-26,4,22.05
2013-05-03,4,23.24
2013-05-10,4,23.39
2013-05-17,4,24.02
2013-05-24,4,23.59
2013-05-31,4,23.57
2013-06-07,5,23.70
2013-06-14,5,22.86
2013-06-21,4,20.80
2013-06-28,4,21.03
2013-07-05,4,21.00
2013-07-12,4,22.54
2013-07-19,4,23.32
2013-07-26,4,23.15
2013-08-02,4,22.20
2013-08-09,4,21.98
2013-08-16,4,20.63
2013-08-23,5,20.33
2013-08-30,5,19.77
2013-09-06,5,19.82
2013-09-13,4,20.75
2013-09-20,4,21.42
2013-09-27,4,20.73
2013-10-04,4,20.21
2013-10-11,4,20.82
2013-10-18,4,21.44
2013-10-25,4,21.99
2013-11-01,4,18.27
2013-11-08,4,17.46
2013-11-15,4,17.32
2013-11-22,4,17.48
2013-11-29,4,17.83
2013-12-06,3,17.67
2013-12-13,4,16.82
2013-12-20,4,17.31
2013-12-27,3,17.32
2014-01-03,3,17.06
2014-01-10,4,16.80
2014-01-17,4,16.31
2014-01-24,4,15.50
2014-01-31,4,14.89
2014-02-07,4,14.80
2014-02-14,4,14.55
2014-02-21,4,15.16
2014-02-28,4,15.47
2014-03-07,4,15.17
2014-03-14,4,14.76
2014-03-21,4,14.68
2014-03-28,4,14.36
2014-04-04,4,15.07
2014-04-11,4,14.41
2014-04-18,4,
2014-04-25,4,14.84
2014-05-02,4,
