Date,X,Price
2006-01-13,50,50.12
2006-01-20,51,50.01
2006-01-27,50,58.73
2006-02-03,50,57.92
2006-02-10,48,56.27
2006-02-17,48,55.10
2006-02-24,48,57.75
2006-03-03,48,57.98
2006-03-10,49,57.17
2006-03-17,47,58.93
2006-03-24,47,61.54
2006-03-31,47,60.68
2006-04-07,47,63.60
2006-04-14,49,
2006-04-21,48,67.15
2006-04-28,46,68.50
2006-05-05,49,75.10
2006-05-12,48,70.33
2006-05-19,50,64.00
2006-05-26,59,67.47
2006-06-02,62,69.51
2006-06-09,52,60.66
2006-06-16,49,62.94
2006-06-23,48,64.02
2006-06-30,46,70.12
2006-07-07,46,68.25
2006-07-14,45,66.25
2006-07-21,45,58.70
2006-07-28,45,62.21
2006-08-04,47,59.15
2006-08-11,48,56.44
2006-08-18,47,60.27
2006-08-25,47,59.68
2006-09-01,47,59.56
2006-09-08,48,60.04
2006-09-15,47,58.40
2006-09-22,46,55.76
2006-09-29,47,57.68
2006-10-06,48,60.54
2006-10-13,52,65.44
2006-10-20,51,66.18
2006-10-27,51,68.74
2006-11-03,51,65.80
2006-11-10,51,66.53
2006-11-17,50,70.57
2006-11-24,50,75.27
2006-12-01,49,73.00
2006-12-08,51,78.75
2006-12-15,51,75.04
2006-12-22,52,71.57
2006-12-29,54,73.14
2007-01-05,49,69.72
2007-01-12,47,73.29
2007-01-19,45,72.23
2007-01-26,47,77.98
2007-02-02,48,85.75
2007-02-09,46,83.82
2007-02-16,47,90.65
2007-02-23,48,93.09
2007-03-02,45,86.01
2007-03-09,46,91.24
2007-03-16,45,89.24
2007-03-23,44,96.31
2007-03-30,45,99.17
2007-04-06,46,
2007-04-13,45,105.57
2007-04-20,43,106.88
2007-04-27,44,103.04
2007-05-04,45,104.38
2007-05-11,45,111.08
2007-05-18,47,109.62
2007-05-25,47,108.88
2007-06-01,48,116.80
2007-06-08,47,125.05
2007-06-15,49,116.12
2007-06-22,47,113.41
2007-06-29,48,108.75
2007-07-06,47,113.27
2007-07-13,49,116.10
2007-07-20,48,105.33
2007-07-27,47,97.73
2007-08-03,48,91.53
2007-08-10,48,86.66
2007-08-17,47,82.24
2007-08-24,48,93.39
2007-08-31,49,94.48
2007-09-07,45,93.90
2007-09-14,48,91.64
2007-09-21,46,105.07
2007-09-28,47,105.94
2007-10-05,48,105.29
2007-10-12,49,106.07
2007-10-19,49,104.99
2007-10-26,52,111.28
2007-11-02,54,101.20
2007-11-09,51,94.06
2007-11-16,51,89.58
2007-11-23,51,93.90
2007-11-30,51,97.70
2007-12-07,51,103.64
2007-12-14,52,108.73
2007-12-21,53,115.22
2007-12-28,56,119.77
2008-01-04,52,106.05
2008-01-11,50,106.58
2008-01-18,47,104.72
2008-01-25,50,108.99
2008-02-01,52,107.21
2008-02-08,50,98.99
2008-02-15,50,104.10
2008-02-22,51,108.50
2008-02-29,50,108.45
2008-03-07,48,109.27
2008-03-14,49,117.65
2008-03-21,49,
2008-03-28,50,125.69
2008-04-04,50,140.70
2008-04-11,49,142.40
2008-04-18,50,154.55
2008-04-25,49,152.48
2008-05-02,50,157.06
2008-05-09,50,171.12
2008-05-16,50,181.27
2008-05-23,49,172.23
2008-05-30,51,172.71
2008-06-06,49,180.27
2008-06-13,50,174.61
2008-06-20,49,182.79
2008-06-27,48,186.93
2008-07-04,50,
2008-07-11,49,163.56
2008-07-18,49,142.49
2008-07-25,51,141.07
2008-08-01,53,151.43
2008-08-08,51,137.70
2008-08-15,50,130.88
2008-08-22,50,133.76
2008-08-29,50,133.07
2008-09-05,49,113.61
2008-09-12,50,108.73
2008-09-19,51,103.00
2008-09-26,49,87.26
2008-10-03,52,63.50
2008-10-10,52,44.59
2008-10-17,53,41.24
2008-10-24,53,34.68
2008-10-31,54,36.88
2008-11-07,54,33.68
2008-11-14,55,29.75
2008-11-21,53,24.91
2008-11-28,55,30.40
2008-12-05,56,28.76
2008-12-12,59,39.03
2008-12-19,57,37.13
2008-12-26,58,35.20
2009-01-02,55,39.51
2009-01-09,51,36.70
2009-01-16,53,32.58
2009-01-23,55,30.79
2009-01-30,53,30.03
2009-02-06,53,34.46
2009-02-13,52,30.61
2009-02-20,52,24.80
2009-02-27,53,19.67
2009-03-06,52,17.69
2009-03-13,53,18.18
2009-03-20,54,19.72
2009-03-27,54,24.35
2009-04-03,56,25.87
2009-04-10,57,
2009-04-17,56,29.96
2009-04-24,57,29.03
2009-05-01,60,28.56
2009-05-08,60,31.30
2009-05-15,58,27.13
2009-05-22,53,29.49
2009-05-29,56,34.08
2009-06-05,55,36.21
2009-06-12,55,39.32
2009-06-19,55,37.57
2009-06-26,54,36.91
2009-07-03,52,
2009-07-10,52,30.77
2009-07-17,53,37.42
2009-07-24,54,40.72
2009-07-31,56,39.75
2009-08-07,55,44.94
2009-08-14,54,46.14
2009-08-21,55,44.86
2009-08-28,57,44.60
2009-09-04,59,42.36
2009-09-11,57,45.86
2009-09-18,56,49.03
2009-09-25,57,46.63
2009-10-02,58,40.75
2009-10-09,62,43.85
2009-10-16,62,43.44
2009-10-23,60,40.87
2009-10-30,61,34.49
2009-11-06,61,37.38
2009-11-13,65,39.49
2009-11-20,62,41.32
2009-11-27,61,43.05
2009-12-04,60,44.39
2009-12-11,61,47.14
2009-12-18,60,49.23
2009-12-25,57,
2010-01-01,58,
2010-01-08,54,65.34
2010-01-15,54,62.04
2010-01-22,54,55.00
2010-01-29,54,44.43
2010-02-05,57,44.78
2010-02-12,53,47.98
2010-02-19,54,53.29
2010-02-26,56,52.94
2010-03-05,55,58.90
2010-03-12,55,61.40
2010-03-19,54,59.24
2010-03-26,54,63.96
2010-04-02,56,
2010-04-09,55,64.62
2010-04-16,55,59.81
2010-04-23,55,59.24
2010-04-30,56,54.66
2010-05-07,56,52.22
2010-05-14,55,52.81
2010-05-21,56,47.10
2010-05-28,56,47.21
2010-06-04,55,41.99
2010-06-11,54,44.82
2010-06-18,55,43.41
2010-06-25,59,43.24
2010-07-02,59,37.66
2010-07-09,57,42.88
2010-07-16,60,41.36
2010-07-23,59,48.90
2010-07-30,59,44.33
2010-08-06,60,48.50
2010-08-13,57,45.10
2010-08-20,57,47.06
2010-08-27,61,43.71
2010-09-03,59,45.99
2010-09-10,64,47.45
2010-09-17,62,46.20
2010-09-24,62,43.23
2010-10-01,62,43.63
2010-10-08,66,45.92
2010-10-15,66,43.68
2010-10-22,69,42.28
2010-10-29,67,42.72
2010-11-05,67,48.55
2010-11-12,69,47.16
2010-11-19,67,47.86
2010-11-26,68,47.34
2010-12-03,63,51.05
2010-12-10,66,53.61
2010-12-17,67,58.90
2010-12-24,61,
2010-12-31,60,58.42
2011-01-07,59,56.14
2011-01-14,57,54.67
2011-01-21,57,53.29
2011-01-28,59,55.80
2011-02-04,58,58.17
2011-02-11,60,58.92
2011-02-18,59,61.86
2011-02-25,57,56.76
2011-03-04,58,55.82
2011-03-11,58,55.14
2011-03-18,59,53.43
2011-03-25,61,55.02
2011-04-01,60,54.12
2011-04-08,60,52.80
2011-04-15,60,50.52
2011-04-22,61,
2011-04-29,65,47.71
2011-05-06,61,45.66
2011-05-13,64,44.65
2011-05-20,64,44.96
2011-05-27,66,45.67
2011-06-03,72,43.29
2011-06-10,74,43.33
2011-06-17,68,41.07
2011-06-24,66,41.82
2011-07-01,64,46.91
2011-07-08,60,45.06
2011-07-15,64,43.01
2011-07-22,67,44.81
2011-07-29,65,39.99
2011-08-05,63,33.24
2011-08-12,61,31.09
2011-08-19,62,26.36
2011-08-26,64,27.55
2011-09-02,65,27.66
2011-09-09,66,27.40
2011-09-16,67,27.74
2011-09-23,73,22.23
2011-09-30,73,22.01
2011-10-07,72,21.94
2011-10-14,72,24.64
2011-10-21,77,23.37
2011-10-28,72,27.86
2011-11-04,72,27.92
2011-11-11,80,26.14
2011-11-18,72,25.68
2011-11-25,73,22.27
2011-12-02,73,27.81
2011-12-09,74,27.48
2011-12-16,75,25.87
2011-12-23,72,26.21
2011-12-30,66,26.46
2012-01-06,65,27.30
2012-01-13,63,27.43
2012-01-20,62,27.82
2012-01-27,64,29.88
2012-02-03,65,32.25
2012-02-10,63,29.40
2012-02-17,62,28.41
2012-02-24,63,28.13
2012-03-02,68,27.51
2012-03-09,74,26.85
2012-03-16,69,29.75
2012-03-23,69,29.74
2012-03-30,65,29.37
2012-04-06,68,
2012-04-13,68,28.20
2012-04-20,67,28.99
2012-04-27,69,28.20
2012-05-04,68,26.74
2012-05-11,66,25.85
2012-05-18,67,21.56
2012-05-25,69,21.80
2012-06-01,68,19.31
2012-06-08,69,19.13
2012-06-15,67,19.02
2012-06-22,69,19.15
2012-06-29,70,20.60
2012-07-06,72,20.98
2012-07-13,68,20.24
2012-07-20,66,18.81
2012-07-27,69,19.08
2012-08-03,67,21.72
2012-08-10,68,23.41
2012-08-17,68,22.59
2012-08-24,73,20.81
2012-08-31,73,19.45
2012-09-07,70,20.89
2012-09-14,75,22.35
2012-09-21,79,19.94
2012-09-28,78,19.07
2012-10-05,76,19.83
2012-10-12,79,21.19
2012-10-19,76,22.15
2012-10-26,78,21.15
2012-11-02,74,20.84
2012-11-09,74,21.10
2012-11-16,74,20.06
2012-11-23,77,21.64
2012-11-30,75,21.56
2012-12-07,78,21.77
2012-12-14,77,23.85
2012-12-21,79,23.94
2012-12-28,73,23.03
2013-01-04,71,25.70
2013-01-11,70,24.88
2013-01-18,68,24.77
2013-01-25,72,24.53
2013-02-01,69,22.38
2013-02-08,71,22.47
2013-02-15,68,23.16
2013-02-22,68,21.33
2013-03-01,69,20.31
2013-03-08,70,20.93
2013-03-15,70,20.21
2013-03-22,69,19.81
2013-03-29,70,
2013-04-05,72,17.28
2013-04-12,71,17.45
2013-04-19,70,16.39
2013-04-26,71,17.36
2013-05-03,69,18.14
2013-05-10,72,19.23
2013-05-17,73,18.32
2013-05-24,75,18.42
2013-05-31,72,17.69
2013-06-07,70,17.35
2013-06-14,74,17.89
2013-06-21,71,17.10
2013-06-28,70,17.53
2013-07-05,71,18.36
2013-07-12,71,17.95
2013-07-19,76,18.06
2013-07-26,73,18.94
2013-08-02,78,17.44
2013-08-09,78,18.85
2013-08-16,79,18.82
2013-08-23,78,18.67
2013-08-30,78,17.90
2013-09-06,76,18.87
2013-09-13,80,19.87
2013-09-20,80,20.52
2013-09-27,81,20.44
2013-10-04,85,21.50
2013-10-11,90,21.97
2013-10-18,100,23.98
2013-10-25,95,23.49
2013-11-01,96,25.78
2013-11-08,87,27.59
2013-11-15,92,28.00
2013-11-22,89,26.36
2013-11-29,87,26.81
2013-12-06,87,26.33
2013-12-13,88,27.31
2013-12-20,92,27.95
2013-12-27,86,30.09
2014-01-03,85,29.90
2014-01-10,80,28.56
2014-01-17,80,27.42
2014-01-24,80,25.28
2014-01-31,83,26.11
2014-02-07,79,25.59
2014-02-14,81,27.23
2014-02-21,81,25.00
2014-02-28,83,24.22
2014-03-07,81,24.84
2014-03-14,84,24.05
2014-03-21,81,27.09
2014-03-28,86,27.17
2014-04-04,82,27.76
2014-04-11,83,26.87
2014-04-18,85,
2014-04-25,86,26.51
2014-05-02,85,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
