Date,TAP,Price
2008-01-25,21,43.96
2008-02-01,21,45.83
2008-02-08,20,45.12
2008-02-15,21,50.99
2008-02-22,21,52.91
2008-02-29,22,53.96
2008-03-07,22,50.57
2008-03-14,22,52.26
2008-03-21,23,
2008-03-28,23,53.24
2008-04-04,23,54.48
2008-04-11,23,54.13
2008-04-18,23,55.72
2008-04-25,23,54.66
2008-05-02,22,53.50
2008-05-09,23,56.00
2008-05-16,23,58.03
2008-05-23,23,58.32
2008-05-30,21,58.00
2008-06-06,22,58.07
2008-06-13,22,57.72
2008-06-20,22,55.14
2008-06-27,23,54.12
2008-07-04,22,
2008-07-11,23,54.25
2008-07-18,24,57.29
2008-07-25,25,56.08
2008-08-01,24,54.41
2008-08-08,24,49.91
2008-08-15,23,49.62
2008-08-22,23,48.30
2008-08-29,23,47.65
2008-09-05,22,48.30
2008-09-12,26,49.02
2008-09-19,26,47.76
2008-09-26,25,46.41
2008-10-03,25,46.38
2008-10-10,25,37.60
2008-10-17,25,38.51
2008-10-24,23,38.14
2008-10-31,24,37.36
2008-11-07,24,42.43
2008-11-14,25,42.55
2008-11-21,24,43.31
2008-11-28,24,44.47
2008-12-05,24,41.05
2008-12-12,26,45.58
2008-12-19,26,46.20
2008-12-26,25,47.04
2009-01-02,25,49.52
2009-01-09,26,43.83
2009-01-16,24,42.19
2009-01-23,24,42.49
2009-01-30,23,40.27
2009-02-06,26,41.17
2009-02-13,26,38.84
2009-02-20,28,36.10
2009-02-27,28,35.23
2009-03-06,31,34.10
2009-03-13,32,31.68
2009-03-20,33,33.08
2009-03-27,32,35.37
2009-04-03,32,36.23
2009-04-10,32,
2009-04-17,33,38.38
2009-04-24,32,37.07
2009-05-01,31,39.04
2009-05-08,33,42.00
2009-05-15,34,41.96
2009-05-22,33,43.56
2009-05-29,34,43.99
2009-06-05,33,45.75
2009-06-12,33,44.93
2009-06-19,35,43.03
2009-06-26,33,42.64
2009-07-03,35,
2009-07-10,35,41.86
2009-07-17,35,43.86
2009-07-24,34,44.90
2009-07-31,36,45.21
2009-08-07,36,45.43
2009-08-14,34,45.62
2009-08-21,34,46.30
2009-08-28,34,46.67
2009-09-04,33,48.23
2009-09-11,34,49.28
2009-09-18,35,47.80
2009-09-25,35,47.89
2009-10-02,33,47.72
2009-10-09,35,49.74
2009-10-16,35,49.95
2009-10-23,33,50.24
2009-10-30,34,48.97
2009-11-06,36,43.85
2009-11-13,37,45.68
2009-11-20,37,45.57
2009-11-27,38,45.01
2009-12-04,38,45.72
2009-12-11,40,45.06
2009-12-18,39,43.43
2009-12-25,43,
2010-01-01,44,
2010-01-08,43,44.50
2010-01-15,40,45.18
2010-01-22,40,43.02
2010-01-29,38,42.00
2010-02-05,37,41.22
2010-02-12,33,38.90
2010-02-19,32,41.11
2010-02-26,38,40.38
2010-03-05,40,42.81
2010-03-12,41,43.15
2010-03-19,44,43.36
2010-03-26,43,42.61
2010-04-02,46,
2010-04-09,44,43.58
2010-04-16,44,43.98
2010-04-23,47,44.14
2010-04-30,44,44.36
2010-05-07,44,41.96
2010-05-14,47,42.70
2010-05-21,46,41.89
2010-05-28,45,41.04
2010-06-04,45,41.64
2010-06-11,46,43.68
2010-06-18,44,44.55
2010-06-25,45,43.40
2010-07-02,47,42.18
2010-07-09,46,44.16
2010-07-16,48,43.97
2010-07-23,50,46.24
2010-07-30,48,45.01
2010-08-06,50,45.68
2010-08-13,49,45.62
2010-08-20,49,45.92
2010-08-27,49,43.81
2010-09-03,46,44.59
2010-09-10,48,44.08
2010-09-17,50,45.50
2010-09-24,48,46.89
2010-10-01,49,47.78
2010-10-08,48,49.16
2010-10-15,47,48.71
2010-10-22,47,48.53
2010-10-29,49,47.23
2010-11-05,48,50.25
2010-11-12,50,49.02
2010-11-19,50,49.11
2010-11-26,50,48.68
2010-12-03,51,49.36
2010-12-10,51,49.30
2010-12-17,49,50.80
2010-12-24,52,
2010-12-31,54,50.19
2011-01-07,52,47.47
2011-01-14,52,47.70
2011-01-21,52,48.78
2011-01-28,48,46.51
2011-02-04,42,47.47
2011-02-11,50,45.05
2011-02-18,54,45.60
2011-02-25,56,45.00
2011-03-04,55,44.24
2011-03-11,53,44.10
2011-03-18,53,43.25
2011-03-25,55,45.12
2011-04-01,56,47.24
2011-04-08,60,46.78
2011-04-15,63,47.86
2011-04-22,64,
2011-04-29,64,48.75
2011-05-06,62,45.02
2011-05-13,64,46.02
2011-05-20,68,46.50
2011-05-27,67,46.63
2011-06-03,68,44.19
2011-06-10,68,44.22
2011-06-17,68,44.64
2011-06-24,69,44.29
2011-07-01,67,45.32
2011-07-08,65,44.55
2011-07-15,66,44.82
2011-07-22,68,46.54
2011-07-29,68,45.05
2011-08-05,69,42.53
2011-08-12,63,43.25
2011-08-19,63,42.87
2011-08-26,62,42.67
2011-09-02,59,42.66
2011-09-09,61,41.80
2011-09-16,62,42.81
2011-09-23,63,39.13
2011-09-30,63,39.61
2011-10-07,63,41.01
2011-10-14,61,41.78
2011-10-21,64,41.70
2011-10-28,65,42.96
2011-11-04,64,38.87
2011-11-11,66,41.02
2011-11-18,65,39.57
2011-11-25,65,38.00
2011-12-02,63,40.51
2011-12-09,67,41.40
2011-12-16,62,42.64
2011-12-23,65,44.00
2011-12-30,65,43.54
2012-01-06,65,43.57
2012-01-13,60,43.94
2012-01-20,55,44.00
2012-01-27,53,42.88
2012-02-03,64,43.93
2012-02-10,70,43.17
2012-02-17,72,45.43
2012-02-24,71,43.92
2012-03-02,74,43.60
2012-03-09,69,42.76
2012-03-16,67,43.11
2012-03-23,71,43.96
2012-03-30,65,45.25
2012-04-06,72,
2012-04-13,67,40.94
2012-04-20,65,41.30
2012-04-27,65,41.49
2012-05-04,65,42.00
2012-05-11,67,41.32
2012-05-18,69,39.84
2012-05-25,69,39.78
2012-06-01,72,38.33
2012-06-08,70,38.98
2012-06-15,69,39.43
2012-06-22,72,38.96
2012-06-29,76,41.61
2012-07-06,75,41.00
2012-07-13,75,40.86
2012-07-20,74,41.34
2012-07-27,76,42.28
2012-08-03,77,42.08
2012-08-10,73,44.17
2012-08-17,73,44.33
2012-08-24,71,44.27
2012-08-31,69,44.54
2012-09-07,73,45.54
2012-09-14,72,45.87
2012-09-21,69,45.60
2012-09-28,70,45.05
2012-10-05,73,44.64
2012-10-12,70,44.20
2012-10-19,67,44.03
2012-10-26,69,43.46
2012-11-02,68,43.31
2012-11-09,65,41.18
2012-11-16,66,39.83
2012-11-23,67,40.51
2012-11-30,64,41.46
2012-12-07,63,43.01
2012-12-14,64,43.04
2012-12-21,66,43.36
2012-12-28,69,42.71
2013-01-04,69,42.75
2013-01-11,66,42.69
2013-01-18,66,44.84
2013-01-25,68,45.12
2013-02-01,66,45.37
2013-02-08,59,44.41
2013-02-15,59,43.53
2013-02-22,69,46.48
2013-03-01,75,45.24
2013-03-08,73,47.37
2013-03-15,74,48.46
2013-03-22,73,48.96
2013-03-29,74,
2013-04-05,73,50.16
2013-04-12,73,51.91
2013-04-19,76,52.65
2013-04-26,73,51.01
2013-05-03,73,51.31
2013-05-10,77,50.08
2013-05-17,75,53.32
2013-05-24,76,51.56
2013-05-31,79,49.41
2013-06-07,83,50.66
2013-06-14,83,49.59
2013-06-21,85,47.79
2013-06-28,86,47.86
2013-07-05,87,47.65
2013-07-12,89,51.30
2013-07-19,88,51.39
2013-07-26,88,49.79
2013-08-02,87,50.79
2013-08-09,88,53.20
2013-08-16,85,50.78
2013-08-23,79,50.46
2013-08-30,81,48.79
2013-09-06,82,49.24
2013-09-13,78,49.54
2013-09-20,77,50.53
2013-09-27,81,50.40
2013-10-04,78,50.47
2013-10-11,80,51.76
2013-10-18,82,52.62
2013-10-25,80,53.89
2013-11-01,82,53.99
2013-11-08,81,53.79
2013-11-15,81,54.12
2013-11-22,85,53.65
2013-11-29,84,52.67
2013-12-06,80,54.96
2013-12-13,80,53.19
2013-12-20,78,54.94
2013-12-27,79,55.76
2014-01-03,81,55.01
2014-01-10,76,56.08
2014-01-17,74,55.58
2014-01-24,69,53.82
2014-01-31,65,52.64
2014-02-07,73,52.41
2014-02-14,79,55.02
2014-02-21,83,56.60
2014-02-28,86,56.83
2014-03-07,87,58.24
2014-03-14,87,57.61
2014-03-21,85,58.50
2014-03-28,89,58.08
2014-04-04,90,59.79
2014-04-11,91,57.08
2014-04-18,94,
2014-04-25,96,58.56
2014-05-02,100,
