Date,M,Price
2012-09-21,93,38.39
2012-09-28,92,37.62
2012-10-05,90,39.61
2012-10-12,89,39.41
2012-10-19,86,39.99
2012-10-26,97,38.48
2012-11-02,87,40.61
2012-11-09,91,38.93
2012-11-16,93,40.18
2012-11-23,91,41.73
2012-11-30,90,38.70
2012-12-07,91,39.41
2012-12-14,90,38.07
2012-12-21,91,37.51
2012-12-28,88,37.36
2013-01-04,89,37.94
2013-01-11,88,36.89
2013-01-18,86,38.42
2013-01-25,86,38.74
2013-02-01,89,39.51
2013-02-08,86,39.92
2013-02-15,85,39.12
2013-02-22,87,39.08
2013-03-01,87,40.68
2013-03-08,86,41.67
2013-03-15,89,41.78
2013-03-22,87,42.66
2013-03-29,89,
2013-04-05,88,43.39
2013-04-12,90,44.43
2013-04-19,88,43.54
2013-04-26,89,44.63
2013-05-03,88,46.23
2013-05-10,90,47.23
2013-05-17,87,48.67
2013-05-24,86,49.21
2013-05-31,85,48.34
2013-06-07,87,48.61
2013-06-14,88,48.48
2013-06-21,86,46.86
2013-06-28,86,48.00
2013-07-05,84,49.18
2013-07-12,85,49.43
2013-07-19,88,49.03
2013-07-26,85,48.17
2013-08-02,84,49.46
2013-08-09,82,48.52
2013-08-16,86,44.99
2013-08-23,85,44.79
2013-08-30,90,44.43
2013-09-06,87,45.08
2013-09-13,92,44.70
2013-09-20,92,44.62
2013-09-27,92,43.52
2013-10-04,91,44.07
2013-10-11,89,42.64
2013-10-18,92,44.39
2013-10-25,92,44.89
2013-11-01,93,45.96
2013-11-08,88,46.18
2013-11-15,95,51.09
2013-11-22,95,51.26
2013-11-29,94,53.26
2013-12-06,95,51.83
2013-12-13,92,51.41
2013-12-20,91,52.27
2013-12-27,92,52.70
2014-01-03,89,53.54
2014-01-10,88,55.84
2014-01-17,90,56.23
2014-01-24,88,54.42
2014-01-31,91,53.20
2014-02-07,91,53.09
2014-02-14,89,53.40
2014-02-21,90,53.71
2014-02-28,92,57.86
2014-03-07,92,58.05
2014-03-14,94,58.58
2014-03-21,92,58.97
2014-03-28,94,58.92
2014-04-04,93,59.74
2014-04-11,93,56.90
2014-04-18,92,
2014-04-25,94,57.57
2014-05-02,91,
