Date,CCE,Price
2006-06-16,40,19.15
2006-06-23,36,19.47
2006-06-30,36,20.37
2006-07-07,33,20.39
2006-07-14,42,20.26
2006-07-21,42,21.21
2006-07-28,45,21.55
2006-08-04,41,21.48
2006-08-11,41,21.09
2006-08-18,39,21.38
2006-08-25,34,21.89
2006-09-01,42,22.28
2006-09-08,38,21.46
2006-09-15,46,20.74
2006-09-22,45,20.53
2006-09-29,36,20.83
2006-10-06,44,20.65
2006-10-13,33,20.92
2006-10-20,37,20.87
2006-10-27,39,20.50
2006-11-03,37,20.24
2006-11-10,38,20.09
2006-11-17,39,20.23
2006-11-24,38,20.72
2006-12-01,33,20.52
2006-12-08,37,20.52
2006-12-15,33,20.25
2006-12-22,34,20.20
2006-12-29,32,20.42
2007-01-05,37,20.40
2007-01-12,39,21.02
2007-01-19,47,20.78
2007-01-26,39,20.71
2007-02-02,41,20.61
2007-02-09,33,20.30
2007-02-16,39,20.71
2007-02-23,34,20.43
2007-03-02,41,20.06
2007-03-09,40,20.25
2007-03-16,39,20.23
2007-03-23,36,20.43
2007-03-30,38,20.25
2007-04-06,38,
2007-04-13,39,20.77
2007-04-20,41,21.51
2007-04-27,37,21.98
2007-05-04,35,22.36
2007-05-11,41,21.92
2007-05-18,42,22.92
2007-05-25,36,22.97
2007-06-01,39,23.25
2007-06-08,36,22.72
2007-06-15,38,23.05
2007-06-22,41,23.13
2007-06-29,38,24.00
2007-07-06,37,24.01
2007-07-13,40,24.35
2007-07-20,44,23.55
2007-07-27,41,22.75
2007-08-03,44,22.65
2007-08-10,43,23.68
2007-08-17,45,24.01
2007-08-24,45,24.25
2007-08-31,47,23.82
2007-09-07,37,24.03
2007-09-14,35,24.20
2007-09-21,38,24.25
2007-09-28,47,24.22
2007-10-05,39,24.23
2007-10-12,43,24.29
2007-10-19,40,23.97
2007-10-26,42,25.30
2007-11-02,40,25.78
2007-11-09,40,25.14
2007-11-16,39,25.41
2007-11-23,44,24.81
2007-11-30,46,25.97
2007-12-07,45,25.43
2007-12-14,40,26.50
2007-12-21,34,26.39
2007-12-28,37,26.32
2008-01-04,45,25.71
2008-01-11,49,26.65
2008-01-18,43,24.41
2008-01-25,49,23.60
2008-02-01,49,23.75
2008-02-08,45,23.28
2008-02-15,48,24.47
2008-02-22,50,24.21
2008-02-29,45,24.43
2008-03-07,45,24.17
2008-03-14,49,23.87
2008-03-21,47,
2008-03-28,48,24.15
2008-04-04,50,24.34
2008-04-11,49,23.31
2008-04-18,46,23.92
2008-04-25,50,22.79
2008-05-02,48,22.65
2008-05-09,42,21.49
2008-05-16,41,21.59
2008-05-23,46,21.15
2008-05-30,47,20.14
2008-06-06,44,19.49
2008-06-13,47,19.33
2008-06-20,47,18.35
2008-06-27,46,17.12
2008-07-04,46,
2008-07-11,53,16.36
2008-07-18,54,16.67
2008-07-25,51,16.90
2008-08-01,56,16.99
2008-08-08,56,17.61
2008-08-15,57,17.79
2008-08-22,53,17.25
2008-08-29,52,17.07
2008-09-05,51,16.95
2008-09-12,49,18.08
2008-09-19,48,17.71
2008-09-26,51,17.34
2008-10-03,50,15.91
2008-10-10,51,10.00
2008-10-17,54,11.18
2008-10-24,47,8.88
2008-10-31,46,10.05
2008-11-07,47,9.89
2008-11-14,51,9.17
2008-11-21,52,8.13
2008-11-28,53,9.18
2008-12-05,55,10.18
2008-12-12,55,10.43
2008-12-19,55,11.78
2008-12-26,46,11.85
2009-01-02,44,12.36
2009-01-09,60,12.20
2009-01-16,54,11.66
2009-01-23,54,11.58
2009-01-30,57,11.23
2009-02-06,55,12.62
2009-02-13,52,13.40
2009-02-20,52,12.30
2009-02-27,49,11.48
2009-03-06,56,10.00
2009-03-13,60,11.25
2009-03-20,60,11.83
2009-03-27,58,13.23
2009-04-03,65,14.09
2009-04-10,56,
2009-04-17,78,14.89
2009-04-24,58,15.42
2009-05-01,63,17.00
2009-05-08,61,17.40
2009-05-15,57,16.73
2009-05-22,60,16.65
2009-05-29,55,16.66
2009-06-05,58,17.43
2009-06-12,56,17.18
2009-06-19,55,17.53
2009-06-26,57,16.80
2009-07-03,61,
2009-07-10,64,16.49
2009-07-17,64,17.35
2009-07-24,60,18.12
2009-07-31,62,18.79
2009-08-07,57,19.42
2009-08-14,63,19.70
2009-08-21,63,20.41
2009-08-28,62,20.65
2009-09-04,66,20.32
2009-09-11,58,20.45
2009-09-18,64,21.15
2009-09-25,64,20.90
2009-10-02,64,20.58
2009-10-09,62,20.94
2009-10-16,55,20.94
2009-10-23,54,19.98
2009-10-30,59,19.07
2009-11-06,58,19.72
2009-11-13,55,20.23
2009-11-20,55,20.42
2009-11-27,59,19.93
2009-12-04,54,19.91
2009-12-11,57,19.76
2009-12-18,55,20.43
2009-12-25,51,
2010-01-01,46,
2010-01-08,61,21.18
2010-01-15,67,21.25
2010-01-22,62,20.95
2010-01-29,64,20.19
2010-02-05,64,20.10
2010-02-12,63,19.28
2010-02-19,58,19.74
2010-02-26,74,25.55
2010-03-05,68,25.86
2010-03-12,67,27.01
2010-03-19,57,26.96
2010-03-26,59,27.60
2010-04-02,63,
2010-04-09,65,28.26
2010-04-16,66,28.37
2010-04-23,62,28.25
2010-04-30,61,27.73
2010-05-07,60,25.84
2010-05-14,63,26.57
2010-05-21,65,25.36
2010-05-28,59,26.10
2010-06-04,56,25.47
2010-06-11,56,26.27
2010-06-18,57,27.04
2010-06-25,58,25.88
2010-07-02,58,26.03
2010-07-09,63,27.68
2010-07-16,65,27.69
2010-07-23,68,28.51
2010-07-30,67,28.70
2010-08-06,72,29.17
2010-08-13,71,28.71
2010-08-20,79,29.02
2010-08-27,73,28.67
2010-09-03,78,29.37
2010-09-10,91,30.17
2010-09-17,97,30.19
2010-09-24,84,30.20
2010-10-01,78,31.80
2010-10-08,72,22.55
2010-10-15,63,24.10
2010-10-22,64,24.63
2010-10-29,65,24.01
2010-11-05,60,24.61
2010-11-12,62,24.94
2010-11-19,59,25.51
2010-11-26,64,24.67
2010-12-03,61,25.49
2010-12-10,59,25.93
2010-12-17,63,25.25
2010-12-24,57,
2010-12-31,58,25.03
2011-01-07,69,23.88
2011-01-14,71,25.49
2011-01-21,68,25.00
2011-01-28,69,25.03
2011-02-04,72,25.81
2011-02-11,71,26.24
2011-02-18,75,27.15
2011-02-25,78,26.57
2011-03-04,79,25.83
2011-03-11,69,26.34
2011-03-18,72,25.81
2011-03-25,64,26.50
2011-04-01,61,27.57
2011-04-08,64,27.49
2011-04-15,66,28.17
2011-04-22,61,
2011-04-29,65,28.41
2011-05-06,63,27.61
2011-05-13,69,28.96
2011-05-20,90,29.47
2011-05-27,71,28.61
2011-06-03,76,28.40
2011-06-10,60,27.99
2011-06-17,64,28.61
2011-06-24,61,28.34
2011-07-01,67,29.81
2011-07-08,71,28.99
2011-07-15,66,28.17
2011-07-22,68,29.82
2011-07-29,67,28.11
2011-08-05,67,26.18
2011-08-12,69,26.78
2011-08-19,71,25.98
2011-08-26,69,26.38
2011-09-02,69,26.90
2011-09-09,68,25.34
2011-09-16,79,27.32
2011-09-23,69,24.80
2011-09-30,63,24.88
2011-10-07,57,24.11
2011-10-14,56,26.02
2011-10-21,60,25.57
2011-10-28,52,26.56
2011-11-04,54,26.16
2011-11-11,57,26.74
2011-11-18,53,25.97
2011-11-25,58,24.22
2011-12-02,60,25.82
2011-12-09,58,26.14
2011-12-16,59,25.78
2011-12-23,56,26.05
2011-12-30,54,25.78
2012-01-06,64,25.46
2012-01-13,64,25.59
2012-01-20,63,26.59
2012-01-27,64,26.99
2012-02-03,63,27.49
2012-02-10,68,27.43
2012-02-17,60,29.00
2012-02-24,58,28.71
2012-03-02,63,28.33
2012-03-09,59,27.51
2012-03-16,61,27.81
2012-03-23,56,28.30
2012-03-30,54,28.60
2012-04-06,53,
2012-04-13,54,27.78
2012-04-20,56,28.96
2012-04-27,54,29.74
2012-05-04,55,29.18
2012-05-11,56,29.38
2012-05-18,57,27.17
2012-05-25,64,27.57
2012-06-01,56,26.35
2012-06-08,54,26.94
2012-06-15,53,26.85
2012-06-22,56,26.95
2012-06-29,56,28.04
2012-07-06,59,28.14
2012-07-13,59,27.32
2012-07-20,57,26.84
2012-07-27,56,29.70
2012-08-03,61,29.34
2012-08-10,57,29.43
2012-08-17,53,29.67
2012-08-24,59,29.58
2012-08-31,60,29.53
2012-09-07,62,30.72
2012-09-14,62,31.17
2012-09-21,58,31.32
2012-09-28,55,31.27
2012-10-05,52,31.96
2012-10-12,48,31.49
2012-10-19,52,31.20
2012-10-26,46,30.97
2012-11-02,44,31.29
2012-11-09,49,30.33
2012-11-16,45,29.64
2012-11-23,48,30.56
2012-11-30,49,31.18
2012-12-07,46,32.00
2012-12-14,46,30.97
2012-12-21,47,31.67
2012-12-28,39,31.29
2013-01-04,43,32.87
2013-01-11,50,33.49
2013-01-18,52,34.28
2013-01-25,51,34.48
2013-02-01,51,35.37
2013-02-08,48,35.39
2013-02-15,44,36.26
2013-02-22,51,35.95
2013-03-01,56,35.57
2013-03-08,56,36.27
2013-03-15,60,36.16
2013-03-22,53,37.18
2013-03-29,51,
2013-04-05,55,36.00
2013-04-12,57,37.27
2013-04-19,59,37.00
2013-04-26,66,36.00
2013-05-03,58,37.22
2013-05-10,60,37.26
2013-05-17,56,38.21
2013-05-24,58,37.95
2013-05-31,63,37.16
2013-06-07,56,37.04
2013-06-14,59,36.14
2013-06-21,55,34.49
2013-06-28,61,35.16
2013-07-05,65,34.97
2013-07-12,65,36.89
2013-07-19,72,37.17
2013-07-26,67,37.85
2013-08-02,69,38.12
2013-08-09,69,38.18
2013-08-16,71,37.59
2013-08-23,68,37.59
2013-08-30,69,37.40
2013-09-06,73,38.81
2013-09-13,72,39.71
2013-09-20,73,40.83
2013-09-27,78,40.57
2013-10-04,77,40.20
2013-10-11,82,40.88
2013-10-18,88,42.19
2013-10-25,78,41.18
2013-11-01,78,41.77
2013-11-08,80,41.32
2013-11-15,76,42.06
2013-11-22,80,41.57
2013-11-29,100,41.94
2013-12-06,92,42.59
2013-12-13,92,40.66
2013-12-20,91,43.14
2013-12-27,77,43.63
2014-01-03,70,43.67
2014-01-10,87,44.40
2014-01-17,85,44.28
2014-01-24,82,43.53
2014-01-31,78,43.29
2014-02-07,79,44.40
2014-02-14,77,46.15
2014-02-21,76,47.34
2014-02-28,74,47.08
2014-03-07,75,47.42
2014-03-14,78,46.50
2014-03-21,83,47.37
2014-03-28,80,46.85
2014-04-04,76,46.88
2014-04-11,77,45.24
2014-04-18,77,
2014-04-25,84,45.75
2014-05-02,78,
