Date,GOOGL,Price
2010-08-13,53,486.35
2010-08-20,55,462.02
2010-08-27,54,458.83
2010-09-03,54,470.30
2010-09-10,60,476.14
2010-09-17,58,490.15
2010-09-24,57,527.29
2010-10-01,62,525.62
2010-10-08,62,536.35
2010-10-15,64,601.45
2010-10-22,63,612.53
2010-10-29,63,613.70
2010-11-05,67,625.08
2010-11-12,68,603.29
2010-11-19,68,590.83
2010-11-26,70,590.00
2010-12-03,70,573.00
2010-12-10,70,592.21
2010-12-17,68,590.80
2010-12-24,75,
2010-12-31,76,593.97
2011-01-07,73,616.44
2011-01-14,74,624.18
2011-01-21,76,611.83
2011-01-28,76,600.99
2011-02-04,85,610.98
2011-02-11,82,624.50
2011-02-18,77,630.08
2011-02-25,75,610.04
2011-03-04,72,600.62
2011-03-11,71,576.71
2011-03-18,71,561.06
2011-03-25,69,579.74
2011-04-01,76,591.80
2011-04-08,76,578.16
2011-04-15,76,530.70
2011-04-22,76,
2011-04-29,76,544.10
2011-05-06,75,535.30
2011-05-13,78,529.55
2011-05-20,77,524.03
2011-05-27,76,520.90
2011-06-03,76,523.08
2011-06-10,78,509.51
2011-06-17,77,485.02
2011-06-24,78,474.88
2011-07-01,80,521.03
2011-07-08,80,531.99
2011-07-15,79,597.62
2011-07-22,80,618.23
2011-07-29,79,603.69
2011-08-05,77,579.04
2011-08-12,80,563.77
2011-08-19,79,490.92
2011-08-26,79,526.86
2011-09-02,79,524.84
2011-09-09,78,524.85
2011-09-16,81,546.68
2011-09-23,85,525.51
2011-09-30,85,515.04
2011-10-07,85,515.12
2011-10-14,81,591.68
2011-10-21,84,590.49
2011-10-28,85,600.14
2011-11-04,88,596.14
2011-11-11,86,608.35
2011-11-18,86,594.88
2011-11-25,87,563.00
2011-12-02,87,620.36
2011-12-09,85,627.42
2011-12-16,88,625.96
2011-12-23,87,633.14
2011-12-30,90,645.90
2012-01-06,82,650.02
2012-01-13,83,624.99
2012-01-20,84,585.99
2012-01-27,85,579.98
2012-02-03,83,596.33
2012-02-10,85,605.91
2012-02-17,84,604.64
2012-02-24,85,609.90
2012-03-02,84,621.25
2012-03-09,89,600.25
2012-03-16,87,625.04
2012-03-23,90,642.59
2012-03-30,86,641.24
2012-04-06,88,
2012-04-13,84,624.60
2012-04-20,86,596.06
2012-04-27,88,614.98
2012-05-04,88,596.97
2012-05-11,86,605.23
2012-05-18,90,600.40
2012-05-25,93,591.53
2012-06-01,90,570.98
2012-06-08,88,580.45
2012-06-15,87,564.51
2012-06-22,86,571.48
2012-06-29,89,580.07
2012-07-06,84,585.98
2012-07-13,80,576.52
2012-07-20,82,610.82
2012-07-27,82,634.96
2012-08-03,80,641.33
2012-08-10,85,642.00
2012-08-17,81,677.14
2012-08-24,84,678.63
2012-08-31,83,685.09
2012-09-07,82,706.15
2012-09-14,85,709.68
2012-09-21,84,733.99
2012-09-28,89,754.50
2012-10-05,85,767.65
2012-10-12,83,744.75
2012-10-19,84,681.79
2012-10-26,84,675.15
2012-11-02,87,687.92
2012-11-09,86,663.03
2012-11-16,82,647.18
2012-11-23,83,667.97
2012-11-30,87,698.37
2012-12-07,89,684.21
2012-12-14,91,701.96
2012-12-21,87,715.63
2012-12-28,90,700.01
2013-01-04,89,737.97
2013-01-11,87,739.99
2013-01-18,87,704.51
2013-01-25,88,753.67
2013-02-01,86,775.60
2013-02-08,87,785.37
2013-02-15,87,792.89
2013-02-22,85,799.71
2013-03-01,85,806.19
2013-03-08,86,831.52
2013-03-15,87,814.30
2013-03-22,88,810.31
2013-03-29,85,
2013-04-05,83,783.05
2013-04-12,83,790.05
2013-04-19,85,799.87
2013-04-26,85,801.42
2013-05-03,85,845.72
2013-05-10,86,880.23
2013-05-17,86,909.18
2013-05-24,86,873.32
2013-05-31,85,871.22
2013-06-07,84,879.73
2013-06-14,85,875.04
2013-06-21,83,880.93
2013-06-28,84,880.37
2013-07-05,86,893.49
2013-07-12,83,923.00
2013-07-19,85,896.60
2013-07-26,81,885.35
2013-08-02,80,906.57
2013-08-09,80,890.41
2013-08-16,88,856.91
2013-08-23,86,870.21
2013-08-30,84,846.90
2013-09-06,82,879.58
2013-09-13,84,889.07
2013-09-20,86,903.11
2013-09-27,99,876.39
2013-10-04,100,872.35
2013-10-11,98,871.99
2013-10-18,99,1011.41
2013-10-25,94,1015.20
2013-11-01,96,1027.04
2013-11-08,97,1016.03
2013-11-15,98,1033.56
2013-11-22,95,1031.89
2013-11-29,95,1059.59
2013-12-06,93,1069.87
2013-12-13,94,1060.79
2013-12-20,93,1100.62
2013-12-27,93,1118.40
2014-01-03,91,1105.00
2014-01-10,92,1130.18
2014-01-17,93,1150.53
2014-01-24,92,1123.83
2014-01-31,93,1180.97
2014-02-07,95,1177.44
2014-02-14,95,1202.80
2014-02-21,94,1203.79
2014-02-28,97,1215.65
2014-03-07,94,1214.79
2014-03-14,96,1172.80
2014-03-21,95,1183.04
2014-03-28,93,1120.15
2014-04-04,97,545.25
2014-04-11,93,537.76
2014-04-18,99,
2014-04-25,95,523.10
2014-05-02,98,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
