Date,DE,Price
2008-06-13,84,77.92
2008-06-20,85,76.37
2008-06-27,81,71.38
2008-07-04,82,
2008-07-11,80,64.99
2008-07-18,79,67.33
2008-07-25,80,69.18
2008-08-01,79,70.22
2008-08-08,81,69.06
2008-08-15,84,66.65
2008-08-22,83,67.54
2008-08-29,87,70.57
2008-09-05,87,63.23
2008-09-12,86,63.24
2008-09-19,83,63.38
2008-09-26,87,55.33
2008-10-03,87,39.24
2008-10-10,88,38.12
2008-10-17,87,39.42
2008-10-24,87,30.36
2008-10-31,88,38.56
2008-11-07,83,37.21
2008-11-14,87,33.79
2008-11-21,85,30.97
2008-11-28,89,34.81
2008-12-05,82,31.99
2008-12-12,82,36.86
2008-12-19,78,39.38
2008-12-26,75,38.47
2009-01-02,75,41.51
2009-01-09,77,45.99
2009-01-16,82,39.88
2009-01-23,82,36.62
2009-01-30,85,34.74
2009-02-06,83,41.81
2009-02-13,86,36.11
2009-02-20,83,28.89
2009-02-27,81,27.49
2009-03-06,88,25.51
2009-03-13,87,29.65
2009-03-20,89,30.72
2009-03-27,89,35.07
2009-04-03,89,37.30
2009-04-10,80,
2009-04-17,90,39.44
2009-04-24,90,40.52
2009-05-01,88,42.88
2009-05-08,91,44.91
2009-05-15,92,41.91
2009-05-22,94,41.90
2009-05-29,94,43.47
2009-06-05,95,46.47
2009-06-12,90,44.77
2009-06-19,89,40.06
2009-06-26,88,41.78
2009-07-03,90,
2009-07-10,95,35.31
2009-07-17,89,38.38
2009-07-24,91,42.36
2009-07-31,87,43.74
2009-08-07,87,46.31
2009-08-14,89,44.53
2009-08-21,92,44.80
2009-08-28,93,44.43
2009-09-04,93,42.18
2009-09-11,92,43.00
2009-09-18,91,45.07
2009-09-25,96,43.94
2009-10-02,93,41.13
2009-10-09,96,42.97
2009-10-16,93,44.04
2009-10-23,93,48.08
2009-10-30,94,45.55
2009-11-06,91,47.16
2009-11-13,92,47.58
2009-11-20,92,50.83
2009-11-27,97,52.36
2009-12-04,89,54.24
2009-12-11,86,52.44
2009-12-18,84,54.83
2009-12-25,83,
2010-01-01,81,
2010-01-08,83,57.63
2010-01-15,84,56.33
2010-01-22,87,53.02
2010-01-29,90,49.95
2010-02-05,88,49.82
2010-02-12,91,53.11
2010-02-19,90,57.28
2010-02-26,92,57.30
2010-03-05,91,59.54
2010-03-12,96,58.64
2010-03-19,97,58.99
2010-03-26,97,60.56
2010-04-02,89,
2010-04-09,98,61.68
2010-04-16,100,60.51
2010-04-23,96,61.79
2010-04-30,97,59.82
2010-05-07,96,56.38
2010-05-14,98,58.36
2010-05-21,100,58.73
2010-05-28,100,57.68
2010-06-04,100,56.88
2010-06-11,98,58.86
2010-06-18,96,59.26
2010-06-25,94,59.74
2010-07-02,93,54.50
2010-07-09,90,58.01
2010-07-16,90,59.73
2010-07-23,86,64.50
2010-07-30,88,66.68
2010-08-06,85,68.04
2010-08-13,89,64.85
2010-08-20,88,65.13
2010-08-27,91,64.63
2010-09-03,92,68.63
2010-09-10,90,67.81
2010-09-17,89,72.45
2010-09-24,90,72.64
2010-10-01,90,68.57
2010-10-08,92,75.35
2010-10-15,88,76.16
2010-10-22,90,77.25
2010-10-29,91,76.80
2010-11-05,89,79.10
2010-11-12,92,76.86
2010-11-19,91,77.98
2010-11-26,92,76.00
2010-12-03,89,78.31
2010-12-10,85,82.14
2010-12-17,84,81.55
2010-12-24,82,
2010-12-31,80,83.05
2011-01-07,82,84.34
2011-01-14,83,89.52
2011-01-21,85,89.24
2011-01-28,84,88.91
2011-02-04,87,93.21
2011-02-11,90,95.42
2011-02-18,89,95.00
2011-02-25,90,90.49
2011-03-04,87,92.35
2011-03-11,85,87.79
2011-03-18,89,90.10
2011-03-25,89,94.24
2011-04-01,91,98.60
2011-04-08,94,95.93
2011-04-15,91,93.76
2011-04-22,83,
2011-04-29,92,97.50
2011-05-06,92,91.53
2011-05-13,93,87.72
2011-05-20,93,84.75
2011-05-27,93,85.74
2011-06-03,94,82.20
2011-06-10,93,81.80
2011-06-17,92,78.53
2011-06-24,89,79.98
2011-07-01,89,84.54
2011-07-08,90,86.11
2011-07-15,89,81.69
2011-07-22,91,81.24
2011-07-29,88,78.51
2011-08-05,88,72.66
2011-08-12,91,74.97
2011-08-19,90,69.01
2011-08-26,89,76.03
2011-09-02,92,78.03
2011-09-09,91,75.26
2011-09-16,92,78.02
2011-09-23,92,67.47
2011-09-30,91,64.57
2011-10-07,92,65.70
2011-10-14,89,71.39
2011-10-21,91,72.23
2011-10-28,94,78.67
2011-11-04,87,75.39
2011-11-11,91,75.79
2011-11-18,92,74.27
2011-11-25,91,73.64
2011-12-02,90,77.69
2011-12-09,84,78.34
2011-12-16,85,73.65
2011-12-23,81,78.69
2011-12-30,79,77.35
2012-01-06,79,82.30
2012-01-13,84,84.66
2012-01-20,83,87.04
2012-01-27,86,87.99
2012-02-03,87,88.40
2012-02-10,85,87.55
2012-02-17,84,83.87
2012-02-24,83,83.27
2012-03-02,87,82.28
2012-03-09,89,80.17
2012-03-16,88,83.22
2012-03-23,89,80.84
2012-03-30,86,80.90
2012-04-06,81,
2012-04-13,89,79.47
2012-04-20,89,80.91
2012-04-27,88,82.89
2012-05-04,87,80.69
2012-05-11,89,79.07
2012-05-18,87,73.19
2012-05-25,94,75.14
2012-06-01,92,71.52
2012-06-08,87,74.31
2012-06-15,89,75.35
2012-06-22,88,75.53
2012-06-29,87,80.87
2012-07-06,86,80.70
2012-07-13,86,77.48
2012-07-20,85,75.88
2012-07-27,86,78.10
2012-08-03,86,77.51
2012-08-10,85,79.37
2012-08-17,88,76.94
2012-08-24,90,76.67
2012-08-31,91,75.11
2012-09-07,89,78.22
2012-09-14,90,82.00
2012-09-21,90,82.70
2012-09-28,90,82.47
2012-10-05,91,82.78
2012-10-12,87,82.44
2012-10-19,88,84.99
2012-10-26,90,85.47
2012-11-02,84,85.60
2012-11-09,84,84.29
2012-11-16,85,85.25
2012-11-23,88,83.97
2012-11-30,85,84.05
2012-12-07,81,85.43
2012-12-14,82,85.93
2012-12-21,78,86.19
2012-12-28,76,84.55
2013-01-04,74,88.67
2013-01-11,79,89.62
2013-01-18,81,90.96
2013-01-25,83,93.47
2013-02-01,83,94.65
2013-02-08,83,92.81
2013-02-15,81,89.75
2013-02-22,82,87.13
2013-03-01,86,87.89
2013-03-08,87,90.88
2013-03-15,88,92.24
2013-03-22,88,87.72
2013-03-29,82,
2013-04-05,88,85.68
2013-04-12,89,86.14
2013-04-19,86,83.46
2013-04-26,90,85.49
2013-05-03,86,90.54
2013-05-10,87,92.30
2013-05-17,88,86.97
2013-05-24,91,86.29
2013-05-31,91,87.11
2013-06-07,88,86.81
2013-06-14,89,84.88
2013-06-21,86,82.47
2013-06-28,85,81.25
2013-07-05,87,81.44
2013-07-12,87,83.94
2013-07-19,88,84.05
2013-07-26,86,82.81
2013-08-02,82,83.40
2013-08-09,84,81.74
2013-08-16,83,84.11
2013-08-23,89,83.50
2013-08-30,89,83.64
2013-09-06,87,82.61
2013-09-13,87,82.49
2013-09-20,87,83.82
2013-09-27,89,82.37
2013-10-04,88,82.55
2013-10-11,88,82.31
2013-10-18,91,84.19
2013-10-25,88,83.55
2013-11-01,90,81.64
2013-11-08,88,81.50
2013-11-15,88,82.83
2013-11-22,88,84.77
2013-11-29,88,84.24
2013-12-06,84,85.32
2013-12-13,82,87.18
2013-12-20,81,90.08
2013-12-27,75,90.70
2014-01-03,73,90.66
2014-01-10,83,89.76
2014-01-17,85,89.35
2014-01-24,86,85.55
2014-01-31,88,85.96
2014-02-07,86,86.56
2014-02-14,88,85.84
2014-02-21,87,84.69
2014-02-28,87,85.93
2014-03-07,84,88.80
2014-03-14,86,87.20
2014-03-21,88,89.84
2014-03-28,91,88.75
2014-04-04,91,91.83
2014-04-11,88,92.01
2014-04-18,82,
2014-04-25,90,93.14
2014-05-02,88,
