Date,IGT,Price
2012-06-22,43,15.08
2012-06-29,38,15.75
2012-07-06,44,15.88
2012-07-13,44,15.31
2012-07-20,43,15.28
2012-07-27,45,11.35
2012-08-03,42,11.20
2012-08-10,45,11.37
2012-08-17,41,11.76
2012-08-24,41,12.02
2012-08-31,44,12.29
2012-09-07,44,12.51
2012-09-14,41,13.22
2012-09-21,43,12.82
2012-09-28,43,13.09
2012-10-05,42,12.91
2012-10-12,42,12.76
2012-10-19,45,13.00
2012-10-26,50,12.67
2012-11-02,54,12.93
2012-11-09,53,13.50
2012-11-16,58,12.73
2012-11-23,63,13.13
2012-11-30,62,13.87
2012-12-07,45,14.40
2012-12-14,45,14.43
2012-12-21,41,14.17
2012-12-28,37,13.65
2013-01-04,40,14.93
2013-01-11,45,14.98
2013-01-18,40,15.01
2013-01-25,46,15.12
2013-02-01,50,15.55
2013-02-08,41,16.79
2013-02-15,42,16.27
2013-02-22,43,15.89
2013-03-01,42,16.24
2013-03-08,46,17.00
2013-03-15,44,17.02
2013-03-22,43,16.67
2013-03-29,40,
2013-04-05,42,16.11
2013-04-12,40,16.94
2013-04-19,43,16.07
2013-04-26,44,16.96
2013-05-03,39,17.45
2013-05-10,41,18.14
2013-05-17,44,18.24
2013-05-24,41,18.25
2013-05-31,44,17.88
2013-06-07,44,17.45
2013-06-14,42,17.25
2013-06-21,42,16.24
2013-06-28,41,16.71
2013-07-05,42,16.75
2013-07-12,41,17.66
2013-07-19,43,18.69
2013-07-26,38,18.42
2013-08-02,52,19.29
2013-08-09,36,19.31
2013-08-16,41,18.67
2013-08-23,44,19.34
2013-08-30,45,18.89
2013-09-06,38,19.36
2013-09-13,41,20.32
2013-09-20,40,21.01
2013-09-27,47,19.23
2013-10-04,50,19.02
2013-10-11,46,18.55
2013-10-18,43,18.62
2013-10-25,45,18.68
2013-11-01,43,18.65
2013-11-08,46,17.47
2013-11-15,45,17.84
2013-11-22,46,16.96
2013-11-29,43,17.49
2013-12-06,44,17.87
2013-12-13,46,17.42
2013-12-20,47,17.44
2013-12-27,37,17.66
2014-01-03,46,17.48
2014-01-10,49,17.50
2014-01-17,60,17.77
2014-01-24,61,15.04
2014-01-31,58,14.43
2014-02-07,53,14.74
2014-02-14,53,14.97
2014-02-21,60,14.70
2014-02-28,62,15.09
2014-03-07,84,15.72
2014-03-14,100,14.97
2014-03-21,46,14.90
2014-03-28,53,13.72
2014-04-04,46,13.66
2014-04-11,35,13.58
2014-04-18,43,
2014-04-25,42,12.46
2014-05-02,47,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
