Date,General Dynamics,Price
2011-05-06,28,74.44
2011-05-13,30,74.37
2011-05-20,31,73.03
2011-05-27,26,71.26
2011-06-03,26,70.60
2011-06-10,31,69.37
2011-06-17,29,71.67
2011-06-24,31,72.29
2011-07-01,29,75.81
2011-07-08,24,74.66
2011-07-15,28,70.36
2011-07-22,28,70.80
2011-07-29,28,68.14
2011-08-05,29,64.44
2011-08-12,28,61.18
2011-08-19,32,57.47
2011-08-26,28,61.28
2011-09-02,28,60.94
2011-09-09,27,59.00
2011-09-16,29,60.60
2011-09-23,27,55.92
2011-09-30,31,56.89
2011-10-07,27,59.55
2011-10-14,27,62.04
2011-10-21,26,65.32
2011-10-28,23,65.47
2011-11-04,23,63.45
2011-11-11,25,65.72
2011-11-18,23,63.84
2011-11-25,18,61.13
2011-12-02,24,65.72
2011-12-09,25,65.07
2011-12-16,24,63.20
2011-12-23,23,66.36
2011-12-30,16,66.41
2012-01-06,23,67.62
2012-01-13,28,70.60
2012-01-20,26,72.47
2012-01-27,26,70.35
2012-02-03,25,70.51
2012-02-10,25,70.30
2012-02-17,26,70.88
2012-02-24,25,72.40
2012-03-02,27,72.65
2012-03-09,25,71.78
2012-03-16,23,72.90
2012-03-23,20,72.78
2012-03-30,24,73.38
2012-04-06,22,
2012-04-13,22,68.88
2012-04-20,24,69.76
2012-04-27,21,67.58
2012-05-04,23,67.05
2012-05-11,22,66.53
2012-05-18,23,63.34
2012-05-25,22,63.58
2012-06-01,23,62.72
2012-06-08,22,64.06
2012-06-15,24,64.86
2012-06-22,23,63.26
2012-06-29,23,65.96
2012-07-06,21,65.24
2012-07-13,23,64.86
2012-07-20,20,64.97
2012-07-27,22,63.83
2012-08-03,22,63.10
2012-08-10,22,63.58
2012-08-17,21,65.70
2012-08-24,23,66.09
2012-08-31,21,65.51
2012-09-07,21,67.20
2012-09-14,23,66.78
2012-09-21,26,66.15
2012-09-28,24,66.12
2012-10-05,21,67.29
2012-10-12,22,66.10
2012-10-19,21,67.17
2012-10-26,22,67.32
2012-11-02,21,68.81
2012-11-09,20,64.45
2012-11-16,20,62.13
2012-11-23,17,65.41
2012-11-30,20,66.50
2012-12-07,20,67.19
2012-12-14,19,67.49
2012-12-21,17,70.40
2012-12-28,12,67.88
2013-01-04,16,71.07
2013-01-11,22,70.74
2013-01-18,23,70.66
2013-01-25,25,70.96
2013-02-01,21,65.88
2013-02-08,22,66.82
2013-02-15,21,66.40
2013-02-22,24,67.32
2013-03-01,22,67.73
2013-03-08,22,68.89
2013-03-15,20,69.91
2013-03-22,20,69.29
2013-03-29,21,
2013-04-05,21,69.56
2013-04-12,24,70.60
2013-04-19,20,67.00
2013-04-26,24,73.30
2013-05-03,21,75.24
2013-05-10,22,75.70
2013-05-17,21,78.29
2013-05-24,20,77.34
2013-05-31,18,77.10
2013-06-07,22,79.12
2013-06-14,20,78.00
2013-06-21,20,76.20
2013-06-28,22,78.33
2013-07-05,20,79.42
2013-07-12,22,82.60
2013-07-19,24,84.40
2013-07-26,21,85.86
2013-08-02,22,87.49
2013-08-09,22,86.92
2013-08-16,22,83.75
2013-08-23,22,84.61
2013-08-30,24,83.25
2013-09-06,22,84.57
2013-09-13,24,87.13
2013-09-20,23,88.15
2013-09-27,24,88.29
2013-10-04,22,85.91
2013-10-11,21,87.76
2013-10-18,21,88.40
2013-10-25,20,88.26
2013-11-01,23,87.15
2013-11-08,20,87.20
2013-11-15,20,88.71
2013-11-22,20,92.15
2013-11-29,16,91.66
2013-12-06,20,90.79
2013-12-13,18,90.26
2013-12-20,17,93.37
2013-12-27,14,95.00
2014-01-03,17,94.74
2014-01-10,22,95.10
2014-01-17,23,95.47
2014-01-24,22,98.31
2014-01-31,21,101.31
2014-02-07,22,104.19
2014-02-14,26,106.35
2014-02-21,24,107.45
2014-02-28,21,109.54
2014-03-07,21,111.49
2014-03-14,22,107.63
2014-03-21,19,107.08
2014-03-28,20,107.70
2014-04-04,20,108.29
2014-04-11,19,104.99
2014-04-18,20,
2014-04-25,18,109.01
2014-05-02,15,
