Date,buy X,Price
2007-03-16,30,89.24
2007-03-23,26,96.31
2007-03-30,26,99.17
2007-04-06,28,
2007-04-13,25,105.57
2007-04-20,25,106.88
2007-04-27,26,103.04
2007-05-04,27,104.38
2007-05-11,24,111.08
2007-05-18,23,109.62
2007-05-25,27,108.88
2007-06-01,28,116.80
2007-06-08,27,125.05
2007-06-15,29,116.12
2007-06-22,27,113.41
2007-06-29,34,108.75
2007-07-06,28,113.27
2007-07-13,29,116.10
2007-07-20,41,105.33
2007-07-27,32,97.73
2007-08-03,33,91.53
2007-08-10,37,86.66
2007-08-17,28,82.24
2007-08-24,28,93.39
2007-08-31,30,94.48
2007-09-07,29,93.90
2007-09-14,43,91.64
2007-09-21,35,105.07
2007-09-28,40,105.94
2007-10-05,33,105.29
2007-10-12,34,106.07
2007-10-19,32,104.99
2007-10-26,39,111.28
2007-11-02,32,101.20
2007-11-09,33,94.06
2007-11-16,38,89.58
2007-11-23,44,93.90
2007-11-30,46,97.70
2007-12-07,49,103.64
2007-12-14,47,108.73
2007-12-21,46,115.22
2007-12-28,55,119.77
2008-01-04,42,106.05
2008-01-11,34,106.58
2008-01-18,34,104.72
2008-01-25,30,108.99
2008-02-01,31,107.21
2008-02-08,31,98.99
2008-02-15,34,104.10
2008-02-22,31,108.50
2008-02-29,39,108.45
2008-03-07,29,109.27
2008-03-14,34,117.65
2008-03-21,25,
2008-03-28,34,125.69
2008-04-04,36,140.70
2008-04-11,29,142.40
2008-04-18,32,154.55
2008-04-25,32,152.48
2008-05-02,36,157.06
2008-05-09,32,171.12
2008-05-16,32,181.27
2008-05-23,34,172.23
2008-05-30,30,172.71
2008-06-06,33,180.27
2008-06-13,38,174.61
2008-06-20,29,182.79
2008-06-27,36,186.93
2008-07-04,31,
2008-07-11,37,163.56
2008-07-18,37,142.49
2008-07-25,39,141.07
2008-08-01,37,151.43
2008-08-08,37,137.70
2008-08-15,38,130.88
2008-08-22,35,133.76
2008-08-29,33,133.07
2008-09-05,31,113.61
2008-09-12,30,108.73
2008-09-19,30,103.00
2008-09-26,39,87.26
2008-10-03,34,63.50
2008-10-10,41,44.59
2008-10-17,29,41.24
2008-10-24,37,34.68
2008-10-31,36,36.88
2008-11-07,35,33.68
2008-11-14,41,29.75
2008-11-21,39,24.91
2008-11-28,53,30.40
2008-12-05,45,28.76
2008-12-12,48,39.03
2008-12-19,53,37.13
2008-12-26,48,35.20
2009-01-02,50,39.51
2009-01-09,39,36.70
2009-01-16,35,32.58
2009-01-23,37,30.79
2009-01-30,32,30.03
2009-02-06,36,34.46
2009-02-13,34,30.61
2009-02-20,39,24.80
2009-02-27,34,19.67
2009-03-06,38,17.69
2009-03-13,32,18.18
2009-03-20,37,19.72
2009-03-27,31,24.35
2009-04-03,33,25.87
2009-04-10,34,
2009-04-17,39,29.96
2009-04-24,35,29.03
2009-05-01,39,28.56
2009-05-08,37,31.30
2009-05-15,36,27.13
2009-05-22,39,29.49
2009-05-29,36,34.08
2009-06-05,37,36.21
2009-06-12,35,39.32
2009-06-19,42,37.57
2009-06-26,36,36.91
2009-07-03,34,
2009-07-10,35,30.77
2009-07-17,37,37.42
2009-07-24,33,40.72
2009-07-31,39,39.75
2009-08-07,37,44.94
2009-08-14,36,46.14
2009-08-21,40,44.86
2009-08-28,42,44.60
2009-09-04,45,42.36
2009-09-11,40,45.86
2009-09-18,39,49.03
2009-09-25,38,46.63
2009-10-02,41,40.75
2009-10-09,45,43.85
2009-10-16,44,43.44
2009-10-23,45,40.87
2009-10-30,40,34.49
2009-11-06,42,37.38
2009-11-13,46,39.49
2009-11-20,49,41.32
2009-11-27,53,43.05
2009-12-04,46,44.39
2009-12-11,42,47.14
2009-12-18,56,49.23
2009-12-25,51,
2010-01-01,46,
2010-01-08,43,65.34
2010-01-15,39,62.04
2010-01-22,37,55.00
2010-01-29,38,44.43
2010-02-05,36,44.78
2010-02-12,37,47.98
2010-02-19,37,53.29
2010-02-26,34,52.94
2010-03-05,35,58.90
2010-03-12,36,61.40
2010-03-19,40,59.24
2010-03-26,35,63.96
2010-04-02,37,
2010-04-09,34,64.62
2010-04-16,31,59.81
2010-04-23,34,59.24
2010-04-30,39,54.66
2010-05-07,35,52.22
2010-05-14,38,52.81
2010-05-21,34,47.10
2010-05-28,42,47.21
2010-06-04,34,41.99
2010-06-11,35,44.82
2010-06-18,36,43.41
2010-06-25,50,43.24
2010-07-02,58,37.66
2010-07-09,55,42.88
2010-07-16,67,41.36
2010-07-23,55,48.90
2010-07-30,57,44.33
2010-08-06,62,48.50
2010-08-13,54,45.10
2010-08-20,55,47.06
2010-08-27,50,43.71
2010-09-03,42,45.99
2010-09-10,52,47.45
2010-09-17,49,46.20
2010-09-24,45,43.23
2010-10-01,49,43.63
2010-10-08,49,45.92
2010-10-15,44,43.68
2010-10-22,51,42.28
2010-10-29,47,42.72
2010-11-05,51,48.55
2010-11-12,54,47.16
2010-11-19,53,47.86
2010-11-26,64,47.34
2010-12-03,61,51.05
2010-12-10,64,53.61
2010-12-17,66,58.90
2010-12-24,67,
2010-12-31,57,58.42
2011-01-07,51,56.14
2011-01-14,46,54.67
2011-01-21,45,53.29
2011-01-28,47,55.80
2011-02-04,45,58.17
2011-02-11,44,58.92
2011-02-18,41,61.86
2011-02-25,43,56.76
2011-03-04,45,55.82
2011-03-11,42,55.14
2011-03-18,40,53.43
2011-03-25,42,55.02
2011-04-01,43,54.12
2011-04-08,38,52.80
2011-04-15,41,50.52
2011-04-22,41,
2011-04-29,38,47.71
2011-05-06,41,45.66
2011-05-13,40,44.65
2011-05-20,39,44.96
2011-05-27,41,45.67
2011-06-03,45,43.29
2011-06-10,46,43.33
2011-06-17,45,41.07
2011-06-24,49,41.82
2011-07-01,43,46.91
2011-07-08,44,45.06
2011-07-15,40,43.01
2011-07-22,55,44.81
2011-07-29,50,39.99
2011-08-05,47,33.24
2011-08-12,45,31.09
2011-08-19,44,26.36
2011-08-26,45,27.55
2011-09-02,43,27.66
2011-09-09,43,27.40
2011-09-16,41,27.74
2011-09-23,44,22.23
2011-09-30,38,22.01
2011-10-07,45,21.94
2011-10-14,46,24.64
2011-10-21,45,23.37
2011-10-28,43,27.86
2011-11-04,47,27.92
2011-11-11,49,26.14
2011-11-18,51,25.68
2011-11-25,60,22.27
2011-12-02,56,27.81
2011-12-09,50,27.48
2011-12-16,54,25.87
2011-12-23,57,26.21
2011-12-30,60,26.46
2012-01-06,46,27.30
2012-01-13,42,27.43
2012-01-20,40,27.82
2012-01-27,42,29.88
2012-02-03,48,32.25
2012-02-10,44,29.40
2012-02-17,43,28.41
2012-02-24,40,28.13
2012-03-02,46,27.51
2012-03-09,50,26.85
2012-03-16,45,29.75
2012-03-23,45,29.74
2012-03-30,43,29.37
2012-04-06,51,
2012-04-13,50,28.20
2012-04-20,46,28.99
2012-04-27,46,28.20
2012-05-04,50,26.74
2012-05-11,50,25.85
2012-05-18,48,21.56
2012-05-25,45,21.80
2012-06-01,47,19.31
2012-06-08,50,19.13
2012-06-15,51,19.02
2012-06-22,53,19.15
2012-06-29,51,20.60
2012-07-06,50,20.98
2012-07-13,49,20.24
2012-07-20,49,18.81
2012-07-27,56,19.08
2012-08-03,53,21.72
2012-08-10,54,23.41
2012-08-17,53,22.59
2012-08-24,54,20.81
2012-08-31,52,19.45
2012-09-07,54,20.89
2012-09-14,53,22.35
2012-09-21,55,19.94
2012-09-28,60,19.07
2012-10-05,55,19.83
2012-10-12,54,21.19
2012-10-19,55,22.15
2012-10-26,52,21.15
2012-11-02,49,20.84
2012-11-09,56,21.10
2012-11-16,55,20.06
2012-11-23,70,21.64
2012-11-30,58,21.56
2012-12-07,60,21.77
2012-12-14,61,23.85
2012-12-21,58,23.94
2012-12-28,63,23.03
2013-01-04,54,25.70
2013-01-11,51,24.88
2013-01-18,49,24.77
2013-01-25,50,24.53
2013-02-01,49,22.38
2013-02-08,46,22.47
2013-02-15,49,23.16
2013-02-22,47,21.33
2013-03-01,48,20.31
2013-03-08,48,20.93
2013-03-15,49,20.21
2013-03-22,49,19.81
2013-03-29,47,
2013-04-05,46,17.28
2013-04-12,47,17.45
2013-04-19,47,16.39
2013-04-26,46,17.36
2013-05-03,47,18.14
2013-05-10,49,19.23
2013-05-17,47,18.32
2013-05-24,48,18.42
2013-05-31,46,17.69
2013-06-07,44,17.35
2013-06-14,49,17.89
2013-06-21,47,17.10
2013-06-28,47,17.53
2013-07-05,44,18.36
2013-07-12,48,17.95
2013-07-19,51,18.06
2013-07-26,55,18.94
2013-08-02,65,17.44
2013-08-09,63,18.85
2013-08-16,59,18.82
2013-08-23,58,18.67
2013-08-30,56,17.90
2013-09-06,56,18.87
2013-09-13,56,19.87
2013-09-20,60,20.52
2013-09-27,55,20.44
2013-10-04,59,21.50
2013-10-11,73,21.97
2013-10-18,98,23.98
2013-10-25,88,23.49
2013-11-01,78,25.78
2013-11-08,72,27.59
2013-11-15,79,28.00
2013-11-22,86,26.36
2013-11-29,86,26.81
2013-12-06,79,26.33
2013-12-13,78,27.31
2013-12-20,76,27.95
2013-12-27,77,30.09
2014-01-03,74,29.90
2014-01-10,60,28.56
2014-01-17,58,27.42
2014-01-24,61,25.28
2014-01-31,56,26.11
2014-02-07,60,25.59
2014-02-14,58,27.23
2014-02-21,57,25.00
2014-02-28,64,24.22
2014-03-07,60,24.84
2014-03-14,70,24.05
2014-03-21,65,27.09
2014-03-28,66,27.17
2014-04-04,59,27.76
2014-04-11,56,26.87
2014-04-18,57,
2014-04-25,56,26.51
2014-05-02,56,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
