Date,BLK,Price
2005-10-21,11,89.90
2005-10-28,13,93.22
2005-11-04,13,96.52
2005-11-11,11,101.59
2005-11-18,11,104.67
2005-11-25,15,111.00
2005-12-02,13,110.04
2005-12-09,15,109.25
2005-12-16,14,112.69
2005-12-23,15,108.78
2005-12-30,14,108.48
2006-01-06,12,110.42
2006-01-13,11,112.65
2006-01-20,12,127.00
2006-01-27,12,133.12
2006-02-03,13,129.66
2006-02-10,11,131.51
2006-02-17,10,146.58
2006-02-24,10,143.50
2006-03-03,12,141.35
2006-03-10,12,132.25
2006-03-17,10,140.46
2006-03-24,11,139.45
2006-03-31,10,140.00
2006-04-07,10,147.56
2006-04-14,11,
2006-04-21,11,150.80
2006-04-28,11,151.54
2006-05-05,16,150.75
2006-05-12,11,139.89
2006-05-19,10,132.45
2006-05-26,10,137.30
2006-06-02,10,136.05
2006-06-09,8,132.71
2006-06-16,10,127.96
2006-06-23,11,132.05
2006-06-30,9,139.17
2006-07-07,12,138.84
2006-07-14,12,132.98
2006-07-21,13,126.22
2006-07-28,14,129.99
2006-08-04,11,127.15
2006-08-11,12,125.36
2006-08-18,11,133.05
2006-08-25,11,128.40
2006-09-01,10,133.18
2006-09-08,11,133.01
2006-09-15,12,148.00
2006-09-22,11,144.40
2006-09-29,13,149.00
2006-10-06,10,149.02
2006-10-13,10,149.50
2006-10-20,11,145.61
2006-10-27,13,149.50
2006-11-03,10,145.35
2006-11-10,13,141.76
2006-11-17,10,147.17
2006-11-24,13,149.75
2006-12-01,14,142.30
2006-12-08,12,147.15
2006-12-15,13,145.86
2006-12-22,10,149.55
2006-12-29,9,151.90
2007-01-05,10,156.75
2007-01-12,10,172.50
2007-01-19,12,169.68
2007-01-26,13,169.17
2007-02-02,12,169.08
2007-02-09,10,173.68
2007-02-16,10,173.54
2007-02-23,11,174.35
2007-03-02,11,155.70
2007-03-09,12,158.62
2007-03-16,12,156.07
2007-03-23,10,160.36
2007-03-30,13,156.31
2007-04-06,12,
2007-04-13,11,157.86
2007-04-20,11,154.84
2007-04-27,13,151.49
2007-05-04,12,148.92
2007-05-11,14,149.09
2007-05-18,11,148.20
2007-05-25,12,144.98
2007-06-01,13,154.30
2007-06-08,13,152.02
2007-06-15,14,157.90
2007-06-22,13,155.51
2007-06-29,14,156.59
2007-07-06,15,165.65
2007-07-13,12,168.85
2007-07-20,17,171.51
2007-07-27,14,163.45
2007-08-03,14,151.00
2007-08-10,13,158.00
2007-08-17,15,161.25
2007-08-24,15,158.66
2007-08-31,15,155.10
2007-09-07,13,152.59
2007-09-14,12,158.21
2007-09-21,14,170.08
2007-09-28,14,173.41
2007-10-05,14,179.32
2007-10-12,14,184.00
2007-10-19,12,186.72
2007-10-26,13,198.43
2007-11-02,15,199.30
2007-11-09,13,191.20
2007-11-16,15,192.24
2007-11-23,13,190.60
2007-11-30,13,198.37
2007-12-07,14,213.16
2007-12-14,13,208.95
2007-12-21,16,216.15
2007-12-28,13,219.35
2008-01-04,15,210.98
2008-01-11,15,204.06
2008-01-18,16,201.50
2008-01-25,15,208.05
2008-02-01,15,220.55
2008-02-08,14,204.90
2008-02-15,15,195.78
2008-02-22,17,185.58
2008-02-29,15,193.25
2008-03-07,15,183.56
2008-03-14,14,178.99
2008-03-21,14,
2008-03-28,13,199.40
2008-04-04,18,219.98
2008-04-11,15,207.50
2008-04-18,18,204.35
2008-04-25,15,203.34
2008-05-02,14,216.25
2008-05-09,17,212.00
2008-05-16,17,216.40
2008-05-23,16,208.51
2008-05-30,16,224.99
2008-06-06,17,213.51
2008-06-13,17,210.25
2008-06-20,17,197.00
2008-06-27,16,177.60
2008-07-04,19,
2008-07-11,20,174.71
2008-07-18,18,218.00
2008-07-25,19,218.30
2008-08-01,18,219.32
2008-08-08,18,222.58
2008-08-15,17,216.70
2008-08-22,16,213.30
2008-08-29,17,217.25
2008-09-05,16,211.55
2008-09-12,16,203.00
2008-09-19,18,210.00
2008-09-26,17,201.01
2008-10-03,16,182.50
2008-10-10,17,159.00
2008-10-17,16,148.72
2008-10-24,18,116.50
2008-10-31,18,131.34
2008-11-07,17,125.59
2008-11-14,18,110.12
2008-11-21,16,108.90
2008-11-28,18,125.71
2008-12-05,20,128.31
2008-12-12,19,120.16
2008-12-19,18,136.41
2008-12-26,17,126.40
2009-01-02,19,139.12
2009-01-09,18,127.30
2009-01-16,18,117.16
2009-01-23,16,111.85
2009-01-30,15,108.80
2009-02-06,17,122.49
2009-02-13,19,111.61
2009-02-20,19,103.07
2009-02-27,17,96.81
2009-03-06,18,92.40
2009-03-13,19,108.00
2009-03-20,20,113.96
2009-03-27,19,127.49
2009-04-03,18,138.00
2009-04-10,18,
2009-04-17,17,135.92
2009-04-24,17,151.16
2009-05-01,19,148.42
2009-05-08,19,148.35
2009-05-15,19,140.81
2009-05-22,19,147.72
2009-05-29,19,159.50
2009-06-05,18,163.74
2009-06-12,20,176.56
2009-06-19,20,174.96
2009-06-26,20,177.88
2009-07-03,18,
2009-07-10,19,166.16
2009-07-17,18,179.79
2009-07-24,20,192.18
2009-07-31,19,190.54
2009-08-07,20,202.46
2009-08-14,22,197.77
2009-08-21,21,207.50
2009-08-28,25,201.55
2009-09-04,24,195.45
2009-09-11,23,201.77
2009-09-18,22,207.19
2009-09-25,22,203.75
2009-10-02,22,206.93
2009-10-09,23,216.55
2009-10-16,22,225.55
2009-10-23,21,231.20
2009-10-30,21,216.49
2009-11-06,22,227.51
2009-11-13,20,233.10
2009-11-20,22,225.66
2009-11-27,20,221.19
2009-12-04,20,223.49
2009-12-11,22,226.01
2009-12-18,21,238.81
2009-12-25,19,
2010-01-01,22,
2010-01-08,22,238.92
2010-01-15,21,238.09
2010-01-22,22,225.00
2010-01-29,20,213.82
2010-02-05,21,208.79
2010-02-12,22,207.16
2010-02-19,23,215.51
2010-02-26,22,218.80
2010-03-05,23,219.83
2010-03-12,20,210.00
2010-03-19,21,224.35
2010-03-26,21,219.27
2010-04-02,21,
2010-04-09,22,206.11
2010-04-16,20,200.75
2010-04-23,21,211.02
2010-04-30,24,184.00
2010-05-07,23,172.12
2010-05-14,23,169.72
2010-05-21,22,166.47
2010-05-28,21,167.88
2010-06-04,22,159.49
2010-06-11,29,159.14
2010-06-18,24,158.77
2010-06-25,22,152.34
2010-07-02,24,142.79
2010-07-09,22,154.97
2010-07-16,24,149.14
2010-07-23,25,154.49
2010-07-30,24,157.49
2010-08-06,25,157.16
2010-08-13,24,151.58
2010-08-20,24,145.40
2010-08-27,23,141.15
2010-09-03,25,151.55
2010-09-10,25,151.16
2010-09-17,23,165.05
2010-09-24,24,167.23
2010-10-01,26,171.34
2010-10-08,23,174.50
2010-10-15,25,175.74
2010-10-22,23,167.56
2010-10-29,23,170.99
2010-11-05,23,173.15
2010-11-12,25,173.07
2010-11-19,25,168.98
2010-11-26,25,164.60
2010-12-03,27,172.35
2010-12-10,26,183.05
2010-12-17,24,187.20
2010-12-24,26,
2010-12-31,27,190.58
2011-01-07,28,188.36
2011-01-14,25,199.06
2011-01-21,26,193.07
2011-01-28,27,194.28
2011-02-04,24,194.35
2011-02-11,27,203.42
2011-02-18,33,206.67
2011-02-25,29,203.92
2011-03-04,27,201.89
2011-03-11,25,189.98
2011-03-18,25,184.55
2011-03-25,28,188.24
2011-04-01,28,202.43
2011-04-08,28,196.10
2011-04-15,27,193.24
2011-04-22,27,
2011-04-29,27,195.94
2011-05-06,26,195.74
2011-05-13,26,194.24
2011-05-20,26,197.51
2011-05-27,27,200.67
2011-06-03,26,193.63
2011-06-10,27,185.82
2011-06-17,27,187.34
2011-06-24,25,184.39
2011-07-01,27,196.42
2011-07-08,27,195.45
2011-07-15,28,184.54
2011-07-22,27,187.92
2011-07-29,28,178.46
2011-08-05,28,161.58
2011-08-12,27,161.07
2011-08-19,28,151.33
2011-08-26,27,160.99
2011-09-02,27,156.04
2011-09-09,28,151.07
2011-09-16,27,160.88
2011-09-23,29,147.63
2011-09-30,28,148.01
2011-10-07,39,147.78
2011-10-14,33,155.91
2011-10-21,32,154.32
2011-10-28,29,169.78
2011-11-04,29,157.60
2011-11-11,29,164.33
2011-11-18,28,159.26
2011-11-25,44,151.27
2011-12-02,36,169.02
2011-12-09,32,172.68
2011-12-16,29,170.33
2011-12-23,30,178.41
2011-12-30,31,178.24
2012-01-06,30,179.13
2012-01-13,29,186.57
2012-01-20,28,182.82
2012-01-27,29,187.49
2012-02-03,31,188.64
2012-02-10,31,190.00
2012-02-17,29,196.19
2012-02-24,30,196.00
2012-03-02,29,198.25
2012-03-09,30,196.91
2012-03-16,28,205.60
2012-03-23,28,201.11
2012-03-30,29,204.90
2012-04-06,28,
2012-04-13,29,197.81
2012-04-20,32,190.40
2012-04-27,38,192.50
2012-05-04,33,183.17
2012-05-11,32,179.77
2012-05-18,31,171.91
2012-05-25,32,171.36
2012-06-01,30,166.57
2012-06-08,31,173.91
2012-06-15,31,176.73
2012-06-22,32,172.00
2012-06-29,31,169.82
2012-07-06,30,171.28
2012-07-13,42,175.78
2012-07-20,100,173.31
2012-07-27,49,170.67
2012-08-03,39,173.19
2012-08-10,38,174.41
2012-08-17,37,178.79
2012-08-24,37,178.27
2012-08-31,35,176.37
2012-09-07,33,182.02
2012-09-14,32,183.00
2012-09-21,35,183.00
2012-09-28,36,178.30
2012-10-05,35,187.39
2012-10-12,32,184.31
2012-10-19,31,188.94
2012-10-26,32,186.99
2012-11-02,29,189.52
2012-11-09,30,186.83
2012-11-16,32,186.99
2012-11-23,33,195.54
2012-11-30,32,197.04
2012-12-07,34,194.76
2012-12-14,31,201.53
2012-12-21,33,206.75
2012-12-28,31,204.51
2013-01-04,35,218.03
2013-01-11,36,221.01
2013-01-18,33,233.93
2013-01-25,32,236.42
2013-02-01,32,236.89
2013-02-08,30,238.16
2013-02-15,30,242.95
2013-02-22,31,240.87
2013-03-01,33,236.83
2013-03-08,33,248.27
2013-03-15,33,256.74
2013-03-22,31,253.13
2013-03-29,32,
2013-04-05,30,245.79
2013-04-12,33,263.13
2013-04-19,32,250.16
2013-04-26,32,263.77
2013-05-03,31,271.34
2013-05-10,33,276.67
2013-05-17,32,290.95
2013-05-24,34,283.35
2013-05-31,34,279.20
2013-06-07,34,280.23
2013-06-14,31,269.73
2013-06-21,32,248.67
2013-06-28,37,256.85
2013-07-05,35,257.26
2013-07-12,33,269.74
2013-07-19,32,280.72
2013-07-26,33,286.38
2013-08-02,35,286.62
2013-08-09,35,280.57
2013-08-16,42,270.15
2013-08-23,35,268.80
2013-08-30,34,260.32
2013-09-06,34,261.23
2013-09-13,35,264.63
2013-09-20,34,278.30
2013-09-27,34,270.95
2013-10-04,39,272.01
2013-10-11,34,280.49
2013-10-18,35,301.66
2013-10-25,32,307.61
2013-11-01,34,303.65
2013-11-08,34,301.59
2013-11-15,34,303.19
2013-11-22,33,303.76
2013-11-29,38,302.75
2013-12-06,38,301.83
2013-12-13,34,297.80
2013-12-20,36,314.34
2013-12-27,33,316.38
2014-01-03,34,314.17
2014-01-10,35,314.94
2014-01-17,34,316.72
2014-01-24,35,303.11
2014-01-31,33,300.47
2014-02-07,35,299.87
2014-02-14,34,303.03
2014-02-21,34,299.00
2014-02-28,35,304.84
2014-03-07,37,310.79
2014-03-14,36,295.71
2014-03-21,36,301.86
2014-03-28,38,310.89
2014-04-04,34,308.92
2014-04-11,35,293.71
2014-04-18,35,
2014-04-25,34,300.45
2014-05-02,35,
